,Round Name,Panel,Rankings
0,Round 1,"Alex Cullen Ⓒ, Kelvin Ng, Venthan Brabaakaran, Brittany Pryor Ⓣ","['1 Western Sydney 6 (A)', '0 ACU 1 (N)']"
1,Round 1,"Tom Goldie, Timothy Kay Ⓣ","['1 Sydney 1 (A)', '0 ACU 2 (N)']"
2,Round 1,"Isabell Crawford, Rachel Dix Ⓣ","['1 Adelaide 1 (N)', '0 Macquarie 5 (A)']"
3,Round 1,"Max Riley, Kate Flanigan Ⓣ, Peter Sams Ⓣ","['1 ANU 6 (A)', '0 Adelaide 2 (N)']"
4,Round 1,"Melanie Jones Ⓒ, Amel Saeed, Cameron McArthur, Tingting Luo Ⓣ","['1 Adelaide 3 (N)', '0 Macquarie 2 (A)']"
5,Round 1,"Lucy Lester, Carine Lim Ⓣ","['1 ADFA 1 (N)', '0 Wollongong 4 (A)']"
6,Round 1,"Sophie Large, Judith Mogi Ⓣ","['1 ANU 1 (A)', '0 UQ 8 (N)']"
7,Round 1,"Maria Fidler, Liam McFadzean-Lodge Ⓣ","['1 ANU 10 (A)', '0 Griffith 2 (N)']"
8,Round 1,Nick Gerovasilis,"['1 ANU 2 (N)', '0 Monash 1 (A)']"
9,Round 1,"Tyrone Connell, Sarah (So Eun) Lee Ⓣ","['1 Sydney 4 (N)', '0 ANU 3 (A)']"
10,Round 1,"Stephanie White, Stuart Dixon Ⓣ, Vivian Pham Ⓣ","['1 ANU 4 (N)', '0 UTS 2 (A)']"
11,Round 1,"Bridget Payne Ⓒ, Elisabeth Johnstone, Jack Nagy","['1 ANU 5 (N)', '0 Western Sydney 5 (A)']"
12,Round 1,"Nikhil Puppala Ⓒ, Freya Rich, Sam Bradshaw, Shourye Dwivedi Ⓣ","['1 Sydney 3 (N)', '0 ANU 7 (A)']"
13,Round 1,"Thomas Stansfield, Matthew Atkinson Ⓣ","['1 ANU 8 (A)', '0 Wollongong 3 (N)']"
14,Round 1,"Abby Johnston, Robert Leane Ⓣ","['1 ANU 9 (N)', '0 Monash 12 (A)']"
15,Round 1,"Matthew Guy, Mala Dhanasekar Ⓣ","['1 UNSW 8 (N)', '0 Campion 1 (A)']"
16,Round 1,Emily Phillimore,"['1 Monash 2 (N)', '0 Griffith 1 (A)']"
17,Round 1,"Hamish Williamson, Abby Hodges Ⓣ","['1 UNSW 7 (N)', '0 Griffith 3 (A)']"
18,Round 1,"Nicholas Salmon, Maria Angelica Arteaga Jaime Ⓣ, Samara Mobbs Ⓣ","['1 Macquarie 1 (A)', '0 Griffith 4 (N)']"
19,Round 1,"Winnie Jobanputra, Ingrid Mao Ⓣ","['1 UQ 6 (N)', '0 Macquarie 3 (A)']"
20,Round 1,"John Hajek, Ayden Singh Ⓣ","['1 UWA 2 (N)', '0 Macquarie 4 (A)']"
21,Round 1,"Connor Robinson, Jessie Schreiber Ⓣ","['1 QUT 3 (A)', '0 Macquarie 6 (N)']"
22,Round 1,"April Broadbent, Tara Josem Ⓣ","['1 Melbourne 1 (A)', '0 Western Sydney 2 (N)']"
23,Round 1,"Jessy Wu, Andrew Montgomery Ⓣ, Ruby Hillsmith Ⓣ","['1 Melbourne 10 (N)', '0 UWA 3 (A)']"
24,Round 1,"Daniel Dummer, Ellie Conroy Ⓣ","['1 UWA 6 (N)', '0 Melbourne 11 (A)']"
25,Round 1,"Evie Woodforde, Chui Lee Ⓣ, William Thomas Ⓣ","['1 Monash 7 (A)', '0 Melbourne 2 (N)']"
26,Round 1,"Sam Scott, Andrew Polus Ⓣ, Lachlan McGrath Ⓣ","['1 Melbourne 3 (N)', '0 Western Sydney 1 (A)']"
27,Round 1,"Nick Bonyhady, Olivia Scotting Ⓣ","['1 Melbourne 4 (N)', '0 Wollongong 5 (A)']"
28,Round 1,vs Wollongong 1,['0 Melbourne 5 (A)']
29,Round 1,"James Stratton, Nick Godfrey Ⓣ","['1 Melbourne 6 (A)', '0 UNSW 4 (N)']"
30,Round 1,"Clyde Welsh, Mayank Adlakha Ⓣ","['1 Melbourne 7 (A)', '0 UWA 7 (N)']"
31,Round 1,"Gabriel Bowes-Whitton, Zachary Thomas Ⓣ","['1 Melbourne 8 (A)', '0 UNSW 5 (N)']"
32,Round 1,"Emma Boogaerdt, Lachlan Naolu Ⓣ","['1 Sydney 6 (A)', '0 Melbourne 9 (N)']"
33,Round 1,"Patrick Dawson, Jack McNally Ⓣ","['1 Monash 10 (A)', '0 UQ 9 (N)']"
34,Round 1,"Andrew Mather, Alexandra Collalillo Ⓣ","['1 UNSW 2 (N)', '0 Monash 11 (A)']"
35,Round 1,Phyllida Behm,"['1 Sydney 2 (N)', '0 Monash 3 (A)']"
36,Round 1,"Nakul Bhagwat, James Dunn Ⓣ","['1 Monash 4 (N)', '0 Western Sydney 3 (A)']"
37,Round 1,"Ben Jackson, Gen Li Ⓣ","['1 Sydney 7 (A)', '0 Monash 5 (N)']"
38,Round 1,Sam Crock,"['1 QUT 1 (A)', '0 Monash 6 (N)']"
39,Round 1,"Chelsea Moran Ⓒ, Marcus McCulloch, Viran Weerasekera, Daniel Evans Ⓣ","['1 Monash 8 (N)', '0 UTS 4 (A)']"
40,Round 1,"Fraser Jones, Katrina Neall Ⓣ","['1 UNSW 10 (N)', '0 Monash 9 (A)']"
41,Round 1,"Eliza Parer, Christy Ho Ⓣ","['1 Sydney 9 (A)', '0 Notre Dame 1 (N)']"
