,Round Name,Panel,Rankings
0,Round 1,"Corey Pattonⓒ , Kieran Lowe , Wiley Cason","['3 Waterloo SWBF (CG)', '2 UNReno NMSU (OO)', '1 Claremont NYSL (OG)', '0 Amherst CZMA (CO)']"
1,Round 1,"Aine Foranⓒ , Andrew Gardner , Blake Harris , Bryna Frohock","['3 WillametteU CMBH (CG)', '2 Claremont HOGS (CO)', '1 Gonzaga KLKR (OG)', '0 UNReno JCDE (OO)']"
2,Round 1,"Rob Margessonⓒ , Emily Luther , Matt Aust","['3 Gonzaga GCMH (CG)', '2 UBC AWJZ (OO)', '1 Humboldt DEOG (OG)', '0 Claremont NCLG (CO)']"
3,Round 1,"Wesley Kamikawaⓒ , Andrew Myers , Brandon Stickels","['3 Humboldt FCSV (CG)', '2 Colorado MYSJ (OO)', '1 WillametteU CROL (CO)', '0 NorthwestU JWST (OG)']"
4,Round 1,"Jonathan Taylorⓒ , John Schultz , Josh Tafel","['3 Regis TJWN (CG)', '2 PLU SAAW (CO)', '1 GFU AGJH (OO)', '0 SeattleU DKFL (OG)']"
5,Round 1,"Jon Denzlerⓒ , Jacob Williams , Logan Albert","['3 SeattleU ALLP (OO)', '2 UCBoulder SASL (CO)', '1 UAA KMBB (OG)', '0 GFU JSBF (CG)']"
6,Round 1,"Seyoung Jeonⓒ , Barbara Millward , Caroline Guess","['3 UBC NSAG (CG)', '2 UBC AJST (CO)', '1 Regis EMFI (OG)', '0 GFU KTAB (OO)']"
7,Round 1,"Alissa Neumanⓒ , Dominic Liu , Katie Na","['3 UAA RHJM (OO)', '2 UBC RWBB (CO)', '1 UAA NBHM (OG)', '0 Gonzaga JTSB (CG)']"
8,Round 1,"Angie Tinkerⓒ , Aaron Donaldson , Holden Smith","['3 Idaho VHLW (OG)', '2 Regis NACC (OO)', '1 SFU STMR (CG)', '0 SeattleU SSHC (CO)']"
9,Round 1,"Shannon Scottⓒ , Abdul Rehman Khan , Aidan Wilson","['3 SeattleU DWCS SU-SFU (CO)', '2 NorthwestU CTBS (OO)', '1 KState AAAD (CG)', '0 SeattleU SPAJ (OG)']"
10,Round 1,"Michael Warrenⓒ , Devon Wang , Pastor Arroya , Tim Browning","['3 KState RPSS (OO)', '2 PLU JUSC (OG)', '1 UAA WSJW (CO)', '0 PLU EESJ (CG)']"
11,Round 1,"Ren Wilcoxⓒ , Matthew Omiya , Skyler Younger","['3 UBC DWAH (CG)', '2 NorthwestU TWMO (OG)', '1 WillametteU QMBA (OO)', '0 NorthwestU PGCC (CO)']"
12,Round 1,"Sam Ericksonⓒ , Kyle Cheesewright , Robert Trapp","['3 Regis ANSA (CO)', '2 SeattleU RSAG (OO)', '1 PLU TAHB (CG)', '0 UBC EKJC (OG)']"
13,Round 1,"Marlene Pierceⓒ , Adrian Lask , Parker Dahl","['3 SeattleU PDCQ (OO)', '2 WillametteU RBEC (CO)', '1 UCBoulder TAGW (CG)', '0 WillametteU KMPA (OG)']"
14,Round 1,"Johnathan Swayneⓒ , Jessica Bernard , Phil Sharp","['3 UPS PUCV (CO)', '2 UAA HCGM (CG)', '1 UAA KBJS (OO)', '0 UBC JPEM (OG)']"
15,Round 2,"Jonathan Taylorⓒ , Pastor Arroya , Tim Browning","['3 UBC JPEM (CO)', '2 Amherst CZMA (CG)', '1 NorthwestU PGCC (OG)', '0 GFU JSBF (OO)']"
16,Round 2,"Sam Ericksonⓒ , Caroline Guess , Parker Dahl","['3 Claremont HOGS (CG)', '2 PLU SAAW (OO)', '1 UNReno NMSU (OG)', '0 UBC AWJZ (CO)']"
17,Round 2,"Shannon Scottⓒ , Logan Albert , Wiley Cason","['3 WillametteU KMPA (OO)', '2 SeattleU SSHC (OG)', '1 Claremont NCLG (CG)', '0 UNReno JCDE (CO)']"
18,Round 2,"Ren Wilcoxⓒ , Jacob Williams , Skyler Younger","['3 UBC RWBB (OO)', '2 NorthwestU CTBS (OG)', '1 PLU JUSC (CO)', '0 Claremont NYSL (CG)']"
19,Round 2,"Alissa Neumanⓒ , Aidan Wilson , Matt Aust","['3 UAA HCGM (CO)', '2 NorthwestU TWMO (CG)', '1 Colorado MYSJ (OG)', '0 WillametteU RBEC (OO)']"
20,Round 2,"Angie Tinkerⓒ , Katie Na , Kyle Cheesewright","['3 GFU AGJH (CG)', '2 WillametteU CROL (OO)', '1 Humboldt DEOG (CO)', '0 GFU KTAB (OG)']"
21,Round 2,"Jon Denzlerⓒ , Andrew Gardner , Dominic Liu , John Schultz","['3 Gonzaga GCMH (CO)', '2 Waterloo SWBF (OO)', '1 SeattleU PDCQ (CG)', '0 UBC NSAG (OG)']"
22,Round 2,"Marlene Pierceⓒ , Rob Margesson , Robert Trapp","['3 NorthwestU JWST (CO)', '2 SeattleU DKFL (OO)', '1 Gonzaga JTSB (OG)', '0 SeattleU SPAJ (CG)']"
23,Round 2,"Johnathan Swayneⓒ , Aaron Donaldson , Holden Smith","['3 UBC AJST (CG)', '2 SeattleU RSAG (OG)', '1 UCBoulder SASL (OO)', '0 Gonzaga KLKR (CO)']"
24,Round 2,"Barbara Millwardⓒ , Abdul Rehman Khan , Emily Luther , Josh Tafel","['3 UPS PUCV (OO)', '2 SeattleU ALLP (CG)', '1 WillametteU CMBH (OG)', '0 Humboldt FCSV (CO)']"
25,Round 2,"Michael Warrenⓒ , Adrian Lask , Devon Wang","['3 SeattleU DWCS SU-SFU (OG)', '2 Regis TJWN (CO)', '1 Regis ANSA (CG)', '0 Idaho VHLW (OO)']"
26,Round 2,"Wesley Kamikawaⓒ , Andrew Myers , Matthew Omiya","['3 UAA NBHM (CG)', '2 SFU STMR (CO)', '1 Regis EMFI (OO)', '0 KState AAAD (OG)']"
27,Round 2,"Aine Foranⓒ , Blake Harris , Jessica Bernard","['3 UAA RHJM (CO)', '2 UBC DWAH (OO)', '1 Regis NACC (CG)', '0 KState RPSS (OG)']"
