,Round Name,Panel,Rankings
0,Rodada 1,"Tiago Tupinambáⓒ , Pietra Regis Adriano Balbino","['3 Bertoni e Franciscão (CO)', '2 Silveira e Campos (OG)', '1 Rocha e Gomes (OO)', '0 Ramos e Torres (CG)']"
1,Rodada 1,"Pedro José Sáⓒ , Ricardo Lundgren","['3 Rocha e Aguiar (CO)', '2 Dray e Diniz (OO)', '1 Soares e Lins (OG)', '0 Bravo e Cecchetti (CG)']"
2,Rodada 1,"Rebeca de Oliveira Liarenoⓒ , Leonardo Osta","['3 Peixoto e Soter (CO)', '2 Tarré e Freire (CG)', '1 Ferreira e Costa (OO)', '0 Time do suingue 2 (OG)']"
3,Rodada 1,"João Gustavo Rocha Limaⓒ , Rafael Esteves","['3 Time do suingue (OO)', '2 Veiga e Rocha (CG)', ""1 Sant'Anna e Ruas (CO)"", '0 Ferreira e Ribeiro (OG)']"
4,Rodada 1,"João Miguel Souzaⓒ , Alexander Oliveira Ribeiro","['3 Leoni e Bittencourt (CO)', '2 Visnadi e Maciel (OO)', '1 Szajnberg e Brandão (OG)', '0 Vieira e Bopp (CG)']"
5,Rodada 2,"João Miguel Souzaⓒ , Rafael Esteves","['3 Bertoni e Franciscão (CG)', '2 Peixoto e Soter (OO)', '1 Time do suingue (OG)', '0 Tarré e Freire (CO)']"
6,Rodada 2,"Rebeca de Oliveira Liarenoⓒ , Ricardo Lundgren","['3 Ramos e Torres (OO)', '2 Vieira e Bopp (CO)', '1 Ferreira e Ribeiro (CG)', '0 Bravo e Cecchetti (OG)']"
7,Rodada 2,"Tiago Tupinambáⓒ , Alexander Oliveira Ribeiro","['3 Leoni e Bittencourt (OG)', '2 Rocha e Aguiar (CG)', '1 Dray e Diniz (CO)', '0 Veiga e Rocha (OO)']"
8,Rodada 2,"João Gustavo Rocha Limaⓒ , Pietra Regis Adriano Balbino","['3 Szajnberg e Brandão (OO)', '2 Time do suingue 2 (CO)', '1 Soares e Lins (CG)', '0 Ferreira e Costa (OG)']"
9,Rodada 2,"Pedro José Sáⓒ , Leonardo Osta , Vitória Borges","['3 Silveira e Campos (CG)', '2 Visnadi e Maciel (CO)', '1 Rocha e Gomes (OG)', ""0 Sant'Anna e Ruas (OO)""]"
10,Rodada 3,"Pedro José Sáⓒ , Ricardo Lundgren","['3 Bertoni e Franciscão (OO)', '2 Leoni e Bittencourt (CG)', '1 Silveira e Campos (CO)', '0 Peixoto e Soter (OG)']"
11,Rodada 3,João Miguel Souzaⓒ,"['3 Ferreira e Ribeiro (OO)', '2 Bravo e Cecchetti (CO)', '1 Tarré e Freire (OG)', ""0 Sant'Anna e Ruas (CG)""]"
12,Rodada 3,"Tiago Tupinambáⓒ , Adriano Sampaio","['3 Rocha e Aguiar (OO)', '2 Szajnberg e Brandão (CO)', '0 Dray e Diniz (OG)', '0 Visnadi e Maciel (CG)']"
13,Rodada 3,"Rebeca de Oliveira Liarenoⓒ , Pietra Regis Adriano Balbino","['3 Rocha e Gomes (CG)', '2 Veiga e Rocha (CO)', '1 Ramos e Torres (OG)', '0 Vieira e Bopp (OO)']"
14,Rodada 4,"Rebeca de Oliveira Liarenoⓒ , Adriano Sampaio","['3 Bertoni e Franciscão (CO)', '2 Rocha e Aguiar (OG)', '1 Szajnberg e Brandão (CG)', '0 Leoni e Bittencourt (OO)']"
15,Rodada 4,Pedro José Sáⓒ,"['3 Visnadi e Maciel (OG)', '2 Bravo e Cecchetti (OO)', '1 Ferreira e Ribeiro (CO)', '0 Time do suingue (CG)']"
16,Rodada 4,João Gustavo Rocha Limaⓒ,"['3 Dray e Diniz (CG)', '2 Tarré e Freire (OO)', '1 Vieira e Bopp (OG)', '0 Ramos e Torres (CO)']"
17,Rodada 4,João Miguel Souzaⓒ,"['3 Veiga e Rocha (OG)', '2 Silveira e Campos (OO)', '1 Rocha e Gomes (CO)', '0 Peixoto e Soter (CG)']"
18,Rodada 4,"Ricardo Lundgrenⓒ , Alexander Oliveira Ribeiro","['3 Soares e Lins (OO)', ""2 Sant'Anna e Ruas (OG)"", '1 Time do suingue 2 (CG)', '0 Time do suingue 3 (CO)']"
19,Rodada 5,"João Gustavo Rocha Limaⓒ , Alexander Oliveira Ribeiro","['3 Bertoni e Franciscão (OG)', '2 Leoni e Bittencourt (CG)', '1 Rocha e Aguiar (CO)', '0 Silveira e Campos (OO)']"
20,Rodada 5,"Rebeca de Oliveira Liarenoⓒ , Vitória Borges","['3 Tarré e Freire (OG)', '1 Bravo e Cecchetti (CO)', '0 Ramos e Torres (OO)', '0 Vieira e Bopp (CG)']"
21,Rodada 5,"Pedro José Sáⓒ , João Miguel Souza","['3 Veiga e Rocha (CG)', '2 Szajnberg e Brandão (CO)', '1 Dray e Diniz (OG)', '0 Visnadi e Maciel (OO)']"
22,Rodada 5,"Tiago Tupinambáⓒ , Adriano Sampaio","['3 Rocha e Gomes (OG)', '2 Ferreira e Ribeiro (OO)', '1 Soares e Lins (CO)', '0 Peixoto e Soter (CG)']"
