,Round Name,Panel,Rankings
0,Round 1,"Darrin Hicksⓒ , Donnie Hodge , Rissa Piaggio","['3 Carroll FL (CG)', '2 Regis MD (CO)', '1 UAA MM (OO)', '0 UMF CW (OG)']"
1,Round 1,"Joe Allenⓒ , Garrett Rogers , Rachel Anderson","['3 Loyola JR (OO)', '2 Carroll MW (OG)', '1 Metro MS (CO)', '0 UMF DD (CG)']"
2,Round 1,"Helen Ruizⓒ , Galen Metzger","['3 USAFA WP (OG)', '2 Carroll PT (CG)', '1 UAA BW (OO)', '0 Washburn CN (CO)']"
3,Round 1,"John Riefⓒ , Phillip Hatty","['3 Claremont OS (CG)', '2 USAFA DB (CO)', '1 Pepperdine HP (OO)', '0 DU MeMo (OG)']"
4,Round 1,"Becca Poliquinⓒ , Ashleigh Denchfield , Ruby ^2(76""""@@@@@@:-)","['3 Mississippi NR (OG)', '2 Loyola BC (OO)', '1 Washburn BR (CO)', '0 DU AR (CG)']"
5,Round 1,"Steve Johnsonⓒ , Austin Lohmeyer , Leo Houts","['3 USAFA GG (OO)', '2 DU BrDo (OG)', '1 USAFA DR (CO)', '0 Regis MaBa (CG)']"
6,Round 1,"Jessica Jimenezⓒ , Bekah Nickel , Lauren Kersey","['3 DU ES (CG)', '2 UC Berkeley UP (OG)', '1 Washburn PaCa (OO)', '0 Wyoming HedMe (CO)']"
7,Round 1,"Brian Schraderⓒ , Nina Hernandez , Rob Margesson","['3 Washburn WG (OG)', '2 Wyoming KM (CO)', '1 Loyola MS (OO)', '0 DU FuLi (CG)']"
8,Round 1,"Paul Nareyⓒ , Mark Mackenzie","['3 DU GD (CO)', '2 DU FW (OO)', '1 HSU BC (OG)', '0 UC Berkeley AD (CG)']"
9,Round 1,"Robert Jonesⓒ , Michael Dubay","['3 DU HS (CG)', '2 Mississippi SH (OO)', '1 Wyoming BG (OG)', '0 UMF PH (CO)']"
10,Round 1,"Cody Walizerⓒ , Joanna Marks","['3 USAFA BaGr (OG)', '2 Regis RJ (CG)', '1 USC TZ (OO)', '0 HSU EV (CO)']"
11,Round 1,"Adam Hallⓒ , Greyson Koinzan , Quintin Brown , Zach Nickel","['3 USC LK (CG)', '2 USAFA CO (OG)', '1 HSU KF (OO)', '0 Wyoming HaDy (CO)']"
12,Round 1,"Austin Thomaⓒ , Austin ""Woody"" Wood","['3 Regis NA (CG)', '2 KSU AP (OG)', '1 Regis SB (CO)', '0 UMF MoSc (OO)']"
13,Round 1,"Katelyn Johnsonⓒ , John Woo","['3 KSU GS (CG)', '2 USAFA SoBa (CO)', '1 Regis AS (OG)', '0 USAFA LaMo (OO)']"
14,Round 1,"David Romanelliⓒ , Massin Abarchan , Nick Iwanicki","['3 USAFA JL (CG)', '2 USC FV (OO)', '1 USAFA PY (OG)', '0 Metro MC (CO)']"
15,Round 1,"Reese Woldⓒ , Amari Bertagnolli , David Hansen","['3 Mississippi KH (CG)', '2 Regis CA (OO)', '1 USC HM (OG)', '0 Regis WR (CO)']"
16,Round 2,"Robert Jonesⓒ , David Hansen , John Woo","['3 USAFA GG (CG)', '2 USAFA WP (CO)', '1 Carroll FL (OG)', '0 Claremont OS (OO)']"
17,Round 2,"Darrin Hicksⓒ , Leo Houts , Nick Iwanicki","['3 Carroll MW (CO)', '2 USAFA DB (OG)', '1 USAFA CO (OO)', '0 USAFA SoBa (CG)']"
18,Round 2,"David Romanelliⓒ , Joanna Marks , Rachel Anderson","['3 UC Berkeley UP (CG)', '2 Carroll PT (CO)', '1 DU BrDo (OO)', '0 Wyoming KM (OG)']"
19,Round 2,"Joe Allenⓒ , Jessica Jimenez","['3 DU AR (CO)', '2 UMF PH (CG)', '1 Wyoming HaDy (OG)', '0 HSU EV (OO)']"
20,Round 2,"Adam Hallⓒ , Mark Mackenzie , Ruby ^2(76""""@@@@@@:-)","['3 DU HS (OO)', '2 Loyola JR (CG)', '1 DU ES (CO)', '0 Mississippi KH (OG)']"
21,Round 2,"Lauren Kerseyⓒ , Michael Dubay","['3 DU MeMo (CO)', '2 UMF MoSc (CG)', '1 DU FuLi (OO)', '0 UC Berkeley AD (OG)']"
22,Round 2,"Helen Ruizⓒ , Donnie Hodge , Massin Abarchan","['3 DU FW (CO)', '2 Regis RJ (OG)', '1 KSU AP (OO)', '0 Mississippi SH (CG)']"
23,Round 2,"Becca Poliquinⓒ , Amari Bertagnolli , Nina Hernandez","['3 DU GD (CG)', '2 KSU GS (OG)', '1 USAFA JL (CO)', '0 USC LK (OO)']"
24,Round 2,"Ed Nofeⓒ , Greyson Koinzan , Phillip Hatty","['3 Regis SB (OG)', '2 USAFA PY (OO)', '1 HSU BC (CG)', '0 Regis AS (CO)']"
25,Round 2,"Austin Thomaⓒ , Ashleigh Denchfield , Garrett Rogers","['3 UAA MM (CO)', '2 USAFA DR (OO)', '1 Washburn PaCa (OG)', '0 HSU KF (CG)']"
26,Round 2,"Brian Schraderⓒ , Austin Lohmeyer , Caleb Frazier","['3 Regis CA (CO)', '2 USC FV (OG)', '1 Loyola BC (CG)', '0 Regis MD (OO)']"
