,Round Name,Panel,Rankings
0,Round 1,"Noam Harrisⓒ , Sarah Thomas","['3 UofA GD (OG)', '2 Claremont KN (OO)', '1 Seattle OP (CG)', '0 SFU NS (CO)']"
1,Round 1,"Oleg Oleynikovⓒ , Caroline Guess , Parker Davidson","['3 UBC ZP (CO)', '2 UBC MZ (CG)', '1 SFU KM (OG)', '0 Claremont RY (OO)']"
2,Round 1,"Gavin Gillⓒ , Beth Blanchette , Madison Blomly-DeZara","['3 Seattle SW (OO)', '2 HYBRID FF (CO)', '1 UBC GW (OG)', '0 UVic LW (CG)']"
3,Round 1,"Ash Hulewiczⓒ , Bobo Wong , Matei Sasu","['3 HYBRID JW (CG)', '2 Seattle CS (OO)', '1 USask PM (CO)', '0 Vanderbilt NS (OG)']"
4,Round 1,"Nicholas Arandaⓒ , Gabriel Neuman","['3 UofA DS (CO)', '2 HYBRID SY (CG)', '1 UBC SB (OG)', '0 UPS UP (OO)']"
5,Round 1,"Noah Macdonaldⓒ , Chesto Pace , Madyson Frank","['3 UBC JT (OO)', '2 Manitoba IS (CO)', '1 Vanderbilt MW (OG)', '0 Manitoba MS (CG)']"
6,Round 1,"Pia Coⓒ , Helena Ong","['3 Seattle GS (OO)', '2 UVic WW (OG)', '1 Seattle LP (CO)', '0 UBC CL (CG)']"
7,Round 1,"Mary Pilkintonⓒ , Leslie Min","['3 SFU WW (OO)', '2 SFU DR (OG)', '1 Vanderbilt NR (CG)', '0 SFU AG (CO)']"
8,Round 1,"Nathan Schwarz-Leeⓒ , Linda Huang , Steve Yuan","['3 SFU CG (OO)', '2 UofA BJ (OG)', '1 USask DV (CO)', '0 Vanderbilt RS (CG)']"
9,Round 1,"Brandon Stickelsⓒ , Mishal Ashraf","['3 UofA TV (OO)', '2 SFU HS (CO)', '1 UPS BA (CG)', '0 UBC IK (OG)']"
10,Round 2,"Mary Pilkintonⓒ , Madison Blomly-DeZara , Noam Harris","['3 Seattle CS (CO)', '2 UVic WW (OO)', '1 Claremont KN (CG)', '0 Manitoba IS (OG)']"
11,Round 2,"Ash Hulewiczⓒ , Brandon Stickels","['3 UVic LW (CO)', '2 Vanderbilt RS (OG)', '1 SFU NS (OO)', '0 Claremont RY (CG)']"
12,Round 2,"Pia Coⓒ , Madyson Frank","['3 UBC MZ (CO)', '2 UofA BJ (OO)', '1 HYBRID FF (CG)', '0 SFU HS (OG)']"
13,Round 2,"Gavin Gillⓒ , Leslie Min , Sarah Thomas","['3 SFU CG (OG)', '2 UofA TV (CG)', '1 HYBRID SY (CO)', '0 HYBRID JW (OO)']"
14,Round 2,"Caroline Guessⓒ , Parker Davidson","['3 Manitoba MS (OG)', '2 UPS UP (CG)', '1 Vanderbilt NS (OO)', '0 UBC CL (CO)']"
15,Round 2,"Noah Macdonaldⓒ , Bobo Wong , Steve Yuan","['3 Seattle GS (CO)', '2 UofA DS (OG)', '1 UofA GD (OO)', '0 SFU DR (CG)']"
16,Round 2,"Oleg Oleynikovⓒ , Chesto Pace","['3 UBC SB (OO)', '2 Vanderbilt MW (CO)', '1 Seattle LP (OG)', '0 UBC IK (CG)']"
17,Round 2,"Nathan Schwarz-Leeⓒ , Beth Blanchette","['3 Vanderbilt NR (CO)', '2 USask PM (CG)', '1 Seattle OP (OO)', '0 SFU AG (OG)']"
18,Round 2,"Mishal Ashrafⓒ , Helena Ong , Matei Sasu","['3 UBC ZP (OO)', '2 SFU WW (CG)', '1 UBC JT (OG)', '0 Seattle SW (CO)']"
19,Round 2,"Nicholas Arandaⓒ , Gabriel Neuman","['3 UBC GW (CG)', '2 SFU KM (OO)', '1 USask DV (OG)', '0 UPS BA (CO)']"
20,Round 3,"Caroline Guessⓒ , Josh , Parker Davidson","['3 UVic WW (CO)', '2 UBC SB (CG)', '1 UBC GW (OO)', '0 Claremont KN (OG)']"
21,Round 3,"Noam Harrisⓒ , Matei Sasu","['3 UBC IK (CO)', '2 UBC CL (OO)', '1 Claremont RY (OG)', '0 SFU AG (CG)']"
22,Round 3,"Bobo Wongⓒ , Sarah Thomas , Steve Yuan","['3 SFU KM (CO)', '2 HYBRID FF (OG)', '1 Manitoba IS (CG)', '0 UVic LW (OO)']"
23,Round 3,"Devon Wangⓒ , Helena Ong , Oleg Oleynikov","['3 SFU DR (OO)', '2 Seattle SW (CG)', '1 HYBRID JW (CO)', '0 Seattle OP (OG)']"
24,Round 3,"Nicholas Arandaⓒ , Brandon Stickels","['3 USask PM (OG)', '2 HYBRID SY (OO)', '1 Vanderbilt MW (CG)', '0 Manitoba MS (CO)']"
25,Round 3,"Pia Coⓒ , Madyson Frank , Nathan Schwarz-Lee","['3 UofA DS (OO)', '2 UofA TV (CO)', '1 Seattle CS (CG)', '0 SFU WW (OG)']"
26,Round 3,"Noah Macdonaldⓒ , Beth Blanchette , Gavin Gill","['3 Seattle GS (CG)', '2 SFU CG (CO)', '1 UBC ZP (OG)', '0 UBC MZ (OO)']"
27,Round 3,"Mary Pilkintonⓒ , Leslie Min","['3 Vanderbilt RS (CO)', '2 Seattle LP (CG)', '1 SFU NS (OG)', '0 SFU HS (OO)']"
28,Round 3,"Mishal Ashrafⓒ , Chesto Pace","['3 UPS UP (CO)', '2 USask DV (OO)', '1 Vanderbilt NS (CG)', '0 UPS BA (OG)']"
29,Round 3,"Gabriel Neumanⓒ , Madison Blomly-DeZara , Zain","['3 UofA BJ (CO)', '2 UBC JT (CG)', '1 UofA GD (OO)', '0 Vanderbilt NR (OG)']"
30,Round 4,"Mary Pilkintonⓒ , Matei Sasu","['3 Claremont KN (CO)', '2 UVic LW (OG)', '1 Manitoba IS (OO)', '0 Manitoba MS (CG)']"
31,Round 4,"Gabriel Neumanⓒ , Gavin Gill","['3 SFU AG (OO)', '2 UBC CL (OG)', '1 Claremont RY (CO)', '0 SFU NS (CG)']"
32,Round 4,"Alex Gagneⓒ , Noam Harris","['3 USask DV (CG)', '2 SFU WW (CO)', '1 HYBRID SY (OG)', '0 HYBRID FF (OO)']"
33,Round 4,"Sarah Thomasⓒ , Madison Blomly-DeZara","['3 HYBRID JW (OG)', '2 Seattle LP (CG)', '1 Vanderbilt NR (OO)', '0 UBC IK (CO)']"
34,Round 4,"Beth Blanchetteⓒ , Madyson Frank , Oleg Oleynikov","['3 UBC SB (CO)', '2 Seattle CS (OG)', '1 SFU KM (CG)', '0 USask PM (OO)']"
35,Round 4,"Nicholas Arandaⓒ , Helena Ong , Mishal Ashraf","['3 UofA DS (CG)', '2 SFU CG (OO)', '1 UBC ZP (CO)', '0 Seattle GS (OG)']"
36,Round 4,"Nathan Schwarz-Leeⓒ , Steve Yuan","['3 Vanderbilt NS (OG)', '2 SFU HS (CG)', '1 Seattle OP (CO)', '0 UPS BA (OO)']"
37,Round 4,"Noah Macdonaldⓒ , Chesto Pace , Zain","['3 UBC MZ (CG)', '2 UBC GW (CO)', '1 Seattle SW (OG)', '0 Vanderbilt MW (OO)']"
38,Round 4,"Brandon Stickelsⓒ , Caroline Guess","['3 UofA GD (CG)', '2 SFU DR (CO)', '1 Vanderbilt RS (OO)', '0 UPS UP (OG)']"
39,Round 4,"Pia Coⓒ , Josh , Parker Davidson","['3 UofA BJ (OO)', '2 UVic WW (CG)', '1 UofA TV (OG)', '0 UBC JT (CO)']"
40,Round 5,"Pia Coⓒ , Bobo Wong","['3 USask PM (CO)', '2 Vanderbilt RS (OG)', '1 Seattle SW (CG)', '0 Claremont KN (OO)']"
41,Round 5,"Parker Davidsonⓒ , Matei Sasu","['3 UPS BA (CO)', '2 UBC IK (OO)', '1 Claremont RY (OG)', '0 SFU NS (CG)']"
42,Round 5,"Devon Wangⓒ , Helena Ong","['3 Vanderbilt NR (OG)', '2 HYBRID FF (CO)', '1 Vanderbilt MW (CG)', '0 Manitoba IS (OO)']"
43,Round 5,"Noah Macdonaldⓒ , Mishal Ashraf , Nathan Schwarz-Lee","['3 HYBRID JW (OG)', '2 SFU DR (CO)', '1 SFU KM (CG)', '0 Seattle LP (OO)']"
44,Round 5,"Nicholas Arandaⓒ , Beth Blanchette , Oleg Oleynikov","['3 UBC GW (OO)', '2 USask DV (CG)', '1 HYBRID SY (CO)', '0 UBC JT (OG)']"
45,Round 5,"Madura Kattaⓒ , Jeneya Copithorne","['3 Seattle OP (CO)', '2 SFU AG (CG)', '1 SFU HS (OG)', '0 Manitoba MS (OO)']"
46,Round 5,"Eshan Cheemaⓒ , Evelyn Kim , Gavin Gill","['3 UBC ZP (CG)', '2 SFU WW (OO)', '1 Seattle CS (CO)', '0 UofA TV (OG)']"
47,Round 5,"Sarah Thomasⓒ , Madison Blomly-DeZara , Madyson Frank","['3 UBC SB (CG)', '2 Seattle GS (OO)', '1 UBC MZ (OG)', '0 UofA GD (CO)']"
48,Round 5,"Mary Pilkintonⓒ , Brandon Stickels , Caroline Guess","['3 UofA BJ (CO)', '2 UVic WW (OG)', '1 UofA DS (OO)', '0 SFU CG (CG)']"
49,Round 5,"Gabriel Neumanⓒ , Josh","['3 UPS UP (CG)', '2 UBC CL (OO)', '1 Vanderbilt NS (CO)', '0 UVic LW (OG)']"
50,Semifinals,"Noah Macdonaldⓒ , Beth Blanchette , Parker Davidson","['1 UVic WW (OO)', '1 UofA BJ (OG)', '0 Seattle GS (CO)', '0 UBC GW (CG)']"
51,Semifinals,"Nicholas Arandaⓒ , Gabriel Neuman , Gavin Gill","['1 SFU CG (OO)', '1 UBC SB (CO)', '0 UBC ZP (CG)', '0 UofA DS (OG)']"
52,Grand Final,"Pia Coⓒ , Evelyn Kim , Nathan Schwarz-Lee , Oleg Oleynikov","['1 UofA BJ (OG)', '0 SFU CG (OO)', '0 UVic WW (CG)', '0 UBC SB (CO)']"
