,Round Name,Panel,Rankings
0,Round 1,"Onyedimma Chiomaⓒ , Ikediasor Vera , Prof. Mich Otuma","['3 Aba (OO)', '2 Sokoto (OG)', '1 Igboho (CG)', '0 Warri (CO)']"
1,Round 1,"Ekenedirichukwu Ahanekuⓒ , Chigbo Desiree , Okolie Ugochukwu","['3 Abeokuta (CG)', '2 Okigwe (OG)', '1 Suleja (CO)', '0 Bida (OO)']"
2,Round 1,"Atim Itaⓒ , Ebirim Prince-Bernard , Jonah Tsakute","['3 Minna (OO)', '2 Abuja (CO)', '1 Ibadan (OG)', '0 Jalingo (CG)']"
3,Round 1,"Abiakwu Chimaⓒ , Deborah Egbekpalu , Ukpe Sophia A.","['3 Owerri (CO)', '2 Asaba (CG)', '1 Ijero (OO)', '0 Buguma (OG)']"
4,Round 1,"Okaro Emamoke Dominicⓒ , Ehikoiya Joshua , Koko-beke Jennifer","['3 Makurdi (CO)', '2 Shaki (CG)', '1 Okene (OO)', '0 Bauchi (OG)']"
5,Round 1,"Theophilus Justiceⓒ , Godswill Isek-Francis , Okoye Uchechukwu Frank , Uchendu Christian","['3 Calabar (OG)', '2 Yola (CG)', '1 Zaria (CO)', '0 Benin (OO)']"
6,Round 1,"Dr. Emmanuel Shebbsⓒ , Akah Augustine , Ojimma Amarachi I.","['3 Enugu (CO)', '2 Jos (OO)', '1 Gombe (OG)', '0 Onitsha (CG)']"
7,Round 1,"Adewale Adeifeⓒ , Nsikan Usip , Sandra Chukwurah","['3 Port-Harcourt (CG)', '2 Uromi (CO)', '1 Garki (OO)', '0 Ijebu ode (OG)']"
8,Round 1,"Victor Bisongⓒ , Adibe Faustina , Odom Emmanuella","['3 kaduna (CG)', '2 kano (OG)', '1 Uyo (OO)', '0 Sapele (CO)']"
9,Round 2,"Ebirim Prince-Bernardⓒ , Ojimma Amarachi I. , Ehikoiya Joshuaⓣ","['3 Abeokuta (CO)', '2 Owerri (CG)', '1 Aba (OG)', '0 kaduna (OO)']"
10,Round 2,"Christopher Ekomⓒ , Dr. Emmanuel Shebbs , Okoye Uchechukwu Frank","['3 kano (CO)', '2 Uromi (OG)', '1 Yola (OO)', '0 Abuja (CG)']"
11,Round 2,"Godswill Isek-Francisⓒ , Jonah Tsakute , Sandra Chukwurah , Ukpe Sophia A.","['3 Jos (OG)', '2 Gombe (CO)', '1 Uyo (CG)', '0 Asaba (OO)']"
12,Round 2,"Akah Augustineⓒ , Deborah Egbekpalu , Izu Samuel Ukandu","['3 Sapele (CG)', '2 Jalingo (OO)', '1 Bauchi (CO)', '0 Benin (OG)']"
13,Round 2,"Victor Bisongⓒ , Ikediasor Vera , Okolie Ugochukwu","['3 Ijebu ode (CO)', '2 Buguma (OO)', '1 Onitsha (OG)', '0 Bida (CG)']"
14,Round 2,"Adewale Adeifeⓒ , Adibe Faustina , Koko-beke Jennifer , Nsikan Usipⓣ","['3 Minna (OG)', '2 Calabar (CG)', '1 Okigwe (OO)', '0 Sokoto (CO)']"
15,Round 2,"Onyedimma Chiomaⓒ , Atim Ita , Ekenedirichukwu Ahaneku","['3 Makurdi (CG)', '2 Enugu (OG)', '1 Port-Harcourt (CO)', '0 Shaki (OO)']"
16,Round 2,"Okaro Emamoke Dominicⓒ , Abiakwu Chima , Odom Emmanuella","['3 Garki (OG)', '2 Zaria (OO)', '1 Suleja (CG)', '0 Igboho (CO)']"
17,Round 2,"Chigbo Desireeⓒ , Theophilus Justice , Uchendu Christian","['3 Ibadan (OO)', '2 Warri (CG)', '1 Ijero (OG)', '0 Okene (CO)']"
18,Round 3,"Ukpe Sophia A.ⓒ , Nsikan Usip , Odom Emmanuella","['3 Aba (CO)', '2 Gombe (OO)', '1 Yola (OG)', '0 Ibadan (CG)']"
19,Round 3,"Ekenedirichukwu Ahanekuⓒ , Abiakwu Chima , Deborah Egbekpalu , Uchendu Christian","['3 Minna (CO)', '2 Abeokuta (OG)', '1 Makurdi (OO)', '0 kano (CG)']"
20,Round 3,"Sandra Chukwurahⓒ , Adibe Faustina , Theophilus Justice","['3 Abuja (OO)', '2 Jalingo (CO)', '1 Uyo (OG)', '0 Buguma (CG)']"
21,Round 3,"Adewale Adeifeⓒ , Ebirim Prince-Bernard , Onyedimma Chioma","['3 Asaba (CO)', '2 Okene (OG)', '1 Ijero (CG)', '0 Suleja (OO)']"
22,Round 3,"Koko-beke Jenniferⓒ , Atim Ita , Dr. Emmanuel Shebbs","['3 Igboho (OO)', '2 Benin (CO)', '1 Bauchi (CG)', '0 Bida (OG)']"
23,Round 3,"Okaro Emamoke Dominicⓒ , Chigbo Desiree , Ehikoiya Joshua , Ikediasor Vera","['3 Enugu (OO)', '2 Calabar (CO)', '1 Jos (CG)', '0 Owerri (OG)']"
24,Round 3,"Victor Bisongⓒ , Akah Augustine , Okolie Ugochukwu","['3 Garki (CO)', '2 Uromi (OO)', '1 Port-Harcourt (OG)', '0 Zaria (CG)']"
