,Name,Team,Categories,Speaker Scores
0,Uyok Richard Godwin,Minna,,"['78', '81', '81', '80', '81', '81', '80', '81', '80']"
1,Undelikwo Collins,Minna,,"['78', '79', '80', '80', '80', '78', '81', '82', '80']"
2,David Udioko,Abeokuta,,"['79', '79', '80', '81', '79', '80', '80', '80', '76']"
3,Obinna Udochukwu,Abeokuta,,"['78', '77', '80', '81', '80', '81', '79', '80', '78']"
4,Ukoha Chidiebere,Garki,,"['79', '81', '79', '82', '79', '79', '78', '75', '80']"
5,Alo Michael,Aba,,"['78', '75', '79', '78', '80', '78', '80', '81', '81']"
6,Dominion Eromosele,Okigwe,,"['78', '80', '79', '76', '79', '79', '80', '80', '79']"
7,Ekemini Pius,Aba,,"['79', '74', '78', '77', '78', '78', '81', '80', '81']"
8,Ndubuisi Emelie,Garki,,"['77', '80', '78', '81', '81', '78', '78', '72', '80']"
9,Ibralum Salim Kobi,Port-Harcourt,,"['80', '76', '76', '79', '77', '80', '81', '76', '79']"
10,Oluwadamilola Agbaje,Port-Harcourt,,"['81', '79', '77', '78', '76', '79', '80', '77', '77']"
11,Chizoma Joshua,Makurdi,,"['80', '78', '79', '75', '79', '76', '81', '77', '77']"
12,Obiyo Grateful,Enugu,,"['78', '79', '78', '79', '78', '78', '77', '76', '77']"
13,Daniel Akpotuzor,Owerri,,"['78', '76', '76', '77', '78', '82', '78', '78', '77']"
14,Okocha Beatrice,Enugu,,"['76', '77', '79', '78', '79', '79', '75', '76', '79']"
15,Chijioke Chinedum,Uromi,,"['78', '76', '78', '78', '73', '78', '80', '78', '79']"
16,Sodiq Farihan Ayomide,Okene,,"['78', '77', '77', '75', '78', '78', '77', '77', '80']"
17,Ayozie Joy,Makurdi,,"['76', '80', '79', '75', '78', '75', '80', '76', '78']"
18,Okorie John,Jos,,"['77', '79', '77', '77', '77', '77', '79', '79', '75']"
19,Ayafa Tonye Amada,Asaba,,"['77', '78', '79', '75', '77', '77', '77', '77', '79']"
20,Chinwuba Chidubem,Okigwe,,"['77', '77', '78', '75', '77', '78', '79', '77', '77']"
21,Joel Joshua,Uromi,,"['79', '74', '77', '76', '75', '80', '79', '77', '78']"
22,Mohammed Habib,Okene,,"['75', '76', '76', '76', '79', '77', '78', '75', '81']"
23,Azubuike Oluchi,Uyo,,"['76', '77', '73', '78', '78', '76', '79', '79', '77']"
24,Nwamini Nnanna Loveth,Calabar,,"['77', '79', '76', '77', '75', '77', '79', '77', '75']"
25,Erobiri Godsent,Sapele,,"['75', '78', '77', '79', '72', '77', '80', '76', '77']"
26,Nwinyinya Smart Uchenna,Calabar,,"['77', '79', '77', '75', '77', '76', '78', '77', '75']"
27,Osuji Noel,Jos,,"['75', '79', '74', '75', '78', '79', '78', '77', '76']"
28,Balyeshea Gracie,Uyo,,"['76', '77', '74', '77', '76', '77', '78', '79', '76']"
29,Precious Sule Oshoke Abdulmalik,Asaba,,"['76', '75', '78', '75', '74', '77', '76', '76', '79']"
30,Godwin Divine C.,Gombe,,"['73', '78', '77', '73', '79', '76', '77', '76', '76']"
