,Round Name,Panel,Rankings
0,Rodada 1,"Julia Hissai Yaegashiⓒ , Catherine Capdeville","['3 USP-FGV A (CG)', '2 UFMG H (OO)', '1 UFMG B (CO)', '0 DHC A (OG)']"
1,Rodada 1,"João Antônio Senna Alves Radicchiⓒ , Arthur Gandra de Morais","['3 FDV A (OO)', '2 SDI A (CO)', '1 UFRJ D (OG)', '0 UFMG P (CG)']"
2,Rodada 1,"Lucca Gabriel Almeida Silvaⓒ , Anna Fonseca","['3 UFMG A (OG)', '2 FDV B (OO)', '1 IDP A (CO)', '0 UFMG J (CG)']"
3,Rodada 1,"Gabriel Teixeira Guiaⓒ , Lívia Pedroni Batista Bastos , Pedro Ferreira","['3 UFMG D (OO)', '2 FGV A (OG)', '1 UFMG I (CG)', '0 Ibmec MG B (CO)']"
4,Rodada 1,"Mariana Santosⓒ , Jordhana Raposo , Letícia Fernandes","['3 UFMG C (OO)', '2 UFRJ C (CG)', '1 Ibmec MG A (OG)', '0 UFMG E (CO)']"
5,Rodada 1,"Renato Ribeiroⓒ , Lucas Henrique Filardi Mendonça , Walter Martins Maia","['3 UFRJ A (OG)', '2 UFMG L (CG)', '1 Ibmec-VA A (OO)', '0 Swing Team 1 (CO)']"
6,Rodada 1,"Lara Lacerdaⓒ , Larissa Mantuan","['3 PUC Minas A (CO)', '2 IDP-UFES A (OO)', '1 UFMG K (OG)', '0 UFMG-DHC A (CG)']"
7,Rodada 1,"Alice Bertoniⓒ , Marina Seidel","['3 UFMG F (OG)', '2 UFES A (CG)', '1 UFMG N (OO)', '0 UFMG M (CO)']"
8,Rodada 1,"Lucas de Medeiros Alvesⓒ , Aurélio Andrade","['3 UFMG O (OO)', '2 UFRJ B (OG)', '1 UFMG G (CG)', '0 UFMG Q (CO)']"
9,Rodada 2,Renato Ribeiroⓒ,"['3 UFMG-DHC A (OG)', '2 DHC A (CO)', '1 Ibmec MG B (CG)', '0 UFMG Q (OO)']"
10,Rodada 2,"Mariana Santosⓒ , Jordhana Raposo","['3 FDV A (OG)', '2 UFRJ A (OO)', '1 UFMG O (CG)', '0 UFMG D (CO)']"
11,Rodada 2,"João Antônio Senna Alves Radicchiⓒ , Anna Fonseca","['3 UFRJ C (OO)', '2 FGV A (CO)', '1 FDV B (CG)', '0 UFES A (OG)']"
12,Rodada 2,"Lara Lacerdaⓒ , Pedro Ferreira","['3 Ibmec-VA A (OG)', '2 UFMG H (CG)', '1 Ibmec MG A (OO)', '0 UFMG L (CO)']"
13,Rodada 2,"Lucas de Medeiros Alvesⓒ , Marina Seidel","['3 IDP A (OO)', '2 UFMG K (CG)', '1 UFMG M (OG)', '0 UFMG G (CO)']"
14,Rodada 2,"Lucca Gabriel Almeida Silvaⓒ , Larissa Mantuan","['3 SDI A (CG)', '2 UFRJ B (OO)', '1 IDP-UFES A (CO)', '0 PUC Minas A (OG)']"
15,Rodada 2,"Gabriel Teixeira Guiaⓒ , Lucas Henrique Filardi Mendonça","['3 Swing Team 1 (OO)', '2 UFMG J (CO)', '1 UFMG P (OG)', '0 UFMG E (CG)']"
16,Rodada 2,"Julia Hissai Yaegashiⓒ , Aurélio Andrade","['3 USP-FGV A (CO)', '2 UFMG A (CG)', '1 UFMG F (OO)', '0 UFMG C (OG)']"
17,Rodada 2,Alice Bertoniⓒ,"['3 UFMG B (OO)', '2 UFRJ D (CG)', '1 UFMG N (CO)', '0 UFMG I (OG)']"
18,Rodada 3,Lucas de Medeiros Alvesⓒ,"['3 UFMG J (OG)', '2 UFES A (CO)', '1 UFMG N (CG)', '0 DHC A (OO)']"
19,Rodada 3,"João Antônio Senna Alves Radicchiⓒ , Anna Fonseca","['3 UFMG A (CO)', '2 FDV A (CG)', '1 USP-FGV A (OO)', '0 UFRJ C (OG)']"
20,Rodada 3,"Bernardo Rabeloⓒ , Marina Seidel","['3 FDV B (OG)', '2 Ibmec-VA A (CG)', '1 UFMG O (CO)', '0 PUC Minas A (OO)']"
21,Rodada 3,"Lara Lacerdaⓒ , Walter Martins Maia","['3 UFMG H (OG)', '2 IDP A (CG)', '1 FGV A (OO)', '0 UFRJ B (CO)']"
22,Rodada 3,"Lucca Gabriel Almeida Silvaⓒ , Mariana Santos","['3 UFRJ D (OO)', '2 UFMG-DHC A (CO)', '1 Ibmec MG A (CG)', '0 IDP-UFES A (OG)']"
23,Rodada 3,"Gabriel Teixeira Guiaⓒ , Jordhana Raposo","['3 UFMG I (CO)', '2 Ibmec MG B (OO)', '1 UFMG L (OG)', '0 UFMG M (CG)']"
24,Rodada 3,"Lívia Pedroni Batista Bastosⓒ , Arthur Gandra de Morais","['3 UFMG F (CO)', '2 UFMG B (OG)', '1 UFRJ A (CG)', '0 SDI A (OO)']"
25,Rodada 3,"Alice Bertoniⓒ , Larissa Mantuan","['3 UFMG D (OG)', '2 Swing Team 1 (CG)', '1 UFMG C (CO)', '0 UFMG K (OO)']"
26,Rodada 3,Julia Hissai Yaegashiⓒ,"['3 UFMG G (OG)', '2 UFMG P (CO)', '1 UFMG E (OO)', '0 UFMG Q (CG)']"
27,Rodada 4,"Arthur Gandra de Moraisⓒ , Marina Seidel","['3 DHC A (CG)', '2 UFMG Q (OG)', '1 UFMG M (OO)', '0 UFMG E (CO)']"
28,Rodada 4,"Alice Bertoniⓒ , Aurélio Andrade , Larissa Mantuan","['3 USP-FGV A (OG)', '2 FDV A (CO)', '1 UFMG A (OO)', '0 UFMG F (CG)']"
29,Rodada 4,"Lucca Gabriel Almeida Silvaⓒ , Walter Martins Maia","['3 Ibmec-VA A (OO)', '2 UFMG D (CG)', '1 FDV B (CO)', '0 UFMG H (OG)']"
30,Rodada 4,"Gabriel Teixeira Guiaⓒ , Lucas Henrique Filardi Mendonça","['3 SDI A (OG)', '2 FGV A (CG)', '1 UFMG O (CO)', '0 UFMG-DHC A (OO)']"
31,Rodada 4,"Lucas de Medeiros Alvesⓒ , Mariana Santos","['3 Ibmec MG A (CO)', '2 PUC Minas A (CG)', '1 UFMG P (OO)', '0 Ibmec MG B (OG)']"
