,Round Name,Panel,Rankings
0,Round 1,Grace Belworthyⓒ,"['1 Anti-Anti-Australian Bias Taskforce (N)', '0 Pandan Bears (A)']"
1,Round 1,Keegan Burrowⓒ,"[""1 Umbar's fan club (A)"", '0 Auckland Boys High School (N)']"
2,Round 1,Nic Wilsonⓒ,"['1 Auckland Meerkat (A)', '0 Team Bitconnect (N)']"
3,Round 1,Rebecca Frankumⓒ,"['1 Testing Positive for Missing the Ho (A)', '0 Auckland Otter (N)']"
4,Round 1,Joe Ascroftⓒ,"['1 With the Power of Ra (A)', '0 Blue-Nitro© (N)']"
5,Round 1,"Oscar Battell-Wallaceⓒ , Alex McHughⓣ","['1 Cheese and Bacon Scroll (N)', '0 The Pizza is Late Again (A)']"
6,Round 1,Lucy Harrisonⓒ,"['1 Pen Island (A)', '0 Chunky Cats in Funky Hats (N)']"
7,Round 1,Bill Dieckermannⓒ,"['1 Wai Did Jesus Diekato (A)', '0 Cinnamon roll over the competition (N)']"
8,Round 1,"Siobhan Daviesⓒ , Leo Heⓣ","['1 Donna and the Dynamos (N)', '0 What a Kant (A)']"
9,Round 1,Joseph Garryⓒ,"['1 Dublin Drunks (N)', '0 Mabibo 🇦🇺🇧🇩🇨🇦 (A)']"
10,Round 1,"John Brinsley-Pirieⓒ , Alice May Jones , Estelle Novenka Florens","['1 Vic Pidgeons (A)', '0 Foxton Tea Party (N)']"
11,Round 1,"Daniel Maier-Gantⓒ , Libby Ganeⓣ","['1 heqq yeah (A)', '0 Zoom University 1 (N)']"
12,Round 1,Emma Richardsonⓒ,"['1 Rising sexual tension in the shared (A)', '0 Why do cats always get their way? T (N)']"
13,Round 1,Nick Robertsonⓒ,"['1 ""there\'s 30 minutes till entries cl (A)', '0 The Scroll of Truth (N)']"
14,Round 2,"Emma Richardsonⓒ , Leo Heⓣ","['1 Anti-Anti-Australian Bias Taskforce (A)', '0 Pen Island (N)']"
15,Round 2,Joseph Garryⓒ,"['1 Auckland Boys High School (A)', '0 Team Bitconnect (N)']"
16,Round 2,Daniel Maier-Gantⓒ,"['1 Auckland Meerkat (A)', ""0 Umbar's fan club (N)""]"
17,Round 2,Estelle Novenka Florensⓒ,"['1 Zoom University 1 (N)', '0 Auckland Otter (A)']"
18,Round 2,Alice May Jonesⓒ,"['1 Blue-Nitro© (A)', '0 Cinnamon roll over the competition (N)']"
19,Round 2,"Joe Ascroftⓒ , Alex McHughⓣ","['1 Cheese and Bacon Scroll (A)', '0 Vic Pidgeons (N)']"
20,Round 2,Rebecca Frankumⓒ,"['1 Mabibo 🇦🇺🇧🇩🇨🇦 (N)', '0 Chunky Cats in Funky Hats (A)']"
21,Round 2,"Mitchell Smitheramⓒ , Chris Ryan , Kayla Grant","['1 Rising sexual tension in the shared (N)', '0 Donna and the Dynamos (A)']"
22,Round 2,"Zar Sinclairⓒ , Nick Robertson , Siobhan Davies","['1 With the Power of Ra (N)', '0 Dublin Drunks (A)']"
23,Round 2,Nic Wilsonⓒ,"['1 Foxton Tea Party (A)', '0 What a Kant (N)']"
24,Round 2,"Grace Belworthyⓒ , Libby Ganeⓣ","['1 heqq yeah (A)', '0 Wai Did Jesus Diekato (N)']"
25,Round 2,Keegan Burrowⓒ,"['1 The Pizza is Late Again (A)', '0 Pandan Bears (N)']"
26,Round 2,Oscar Battell-Wallaceⓒ,"['1 Testing Positive for Missing the Ho (N)', '0 ""there\'s 30 minutes till entries cl (A)']"
27,Round 2,John Brinsley-Pirieⓒ,"['1 The Scroll of Truth (A)', '0 Why do cats always get their way? T (N)']"
28,Round 3,"Zar Sinclairⓒ , Alex McHughⓣ","['1 Rising sexual tension in the shared (N)', '0 Anti-Anti-Australian Bias Taskforce (A)']"
29,Round 3,"Oscar Battell-Wallaceⓒ , Leo Heⓣ","['1 Auckland Boys High School (N)', '0 Pen Island (A)']"
30,Round 3,"Siobhan Daviesⓒ , Libby Ganeⓣ","['1 Auckland Meerkat (N)', '0 Cheese and Bacon Scroll (A)']"
31,Round 3,Joseph Garryⓒ,"['1 Chunky Cats in Funky Hats (N)', '0 Auckland Otter (A)']"
32,Round 3,Grace Belworthyⓒ,"['1 The Scroll of Truth (A)', '0 Blue-Nitro© (N)']"
33,Round 3,"Keegan Burrowⓒ , John Brinsley-Pirie , Nick Robertson","['1 Cinnamon roll over the competition (N)', '0 Team Bitconnect (A)']"
34,Round 3,Nic Wilsonⓒ,"['1 ""there\'s 30 minutes till entries cl (N)', '0 Donna and the Dynamos (A)']"
35,Round 3,"Mitchell Smitheramⓒ , Chris Ryan , Kayla Grant","['1 Mabibo 🇦🇺🇧🇩🇨🇦 (A)', '0 Dublin Drunks (N)']"
36,Round 3,Rebecca Frankumⓒ,"[""1 Umbar's fan club (N)"", '0 Foxton Tea Party (A)']"
37,Round 3,Joe Ascroftⓒ,"['1 heqq yeah (N)', '0 Testing Positive for Missing the Ho (A)']"
38,Round 3,Alice May Jonesⓒ,"['1 Pandan Bears (A)', '0 What a Kant (N)']"
39,Round 3,Estelle Novenka Florensⓒ,"['1 Why do cats always get their way? T (A)', '0 The Pizza is Late Again (N)']"
40,Round 3,Daniel Maier-Gantⓒ,"['1 Vic Pidgeons (A)', '0 Wai Did Jesus Diekato (N)']"
41,Round 3,Emma Richardsonⓒ,"['1 Zoom University 1 (A)', '0 With the Power of Ra (N)']"
42,Round 4,"Estelle Novenka Florensⓒ , Daniel Maier-Gant , Nic Wilson","['1 Anti-Anti-Australian Bias Taskforce (N)', '0 Auckland Meerkat (A)']"
43,Round 4,Siobhan Daviesⓒ,"['1 Auckland Boys High School (A)', '0 Testing Positive for Missing the Ho (N)']"
44,Round 4,Keegan Burrowⓒ,"['1 Auckland Otter (N)', '0 What a Kant (A)']"
45,Round 4,Rebecca Frankumⓒ,"['1 Wai Did Jesus Diekato (N)', '0 Blue-Nitro© (A)']"
46,Round 4,Emma Richardsonⓒ,"['1 Vic Pidgeons (A)', '0 Cheese and Bacon Scroll (N)']"
47,Round 4,Liam Holtⓒ,"['1 Team Bitconnect (N)', '0 Chunky Cats in Funky Hats (A)']"
48,Round 4,Alice May Jonesⓒ,"['1 Pen Island (N)', '0 Cinnamon roll over the competition (A)']"
49,Round 4,Joe Ascroftⓒ,"['1 Dublin Drunks (A)', '0 Donna and the Dynamos (N)']"
50,Round 4,Nick Robertsonⓒ,"['1 The Pizza is Late Again (A)', '0 Foxton Tea Party (N)']"
51,Round 4,Oscar Battell-Wallaceⓒ,"['1 heqq yeah (N)', '0 Rising sexual tension in the shared (A)']"
52,Round 4,Grace Belworthyⓒ,"['1 ""there\'s 30 minutes till entries cl (A)', '0 Mabibo 🇦🇺🇧🇩🇨🇦 (N)']"
53,Round 4,Joseph Garryⓒ,"['1 Pandan Bears (N)', '0 Why do cats always get their way? T (A)']"
54,Round 4,Paul Smithⓒ,"['1 The Scroll of Truth (N)', '0 Zoom University 1 (A)']"
55,Round 4,John Brinsley-Pirieⓒ,"[""1 Umbar's fan club (N)"", '0 With the Power of Ra (A)']"
56,Semifinals,"Oscar Battell-Wallaceⓒ , Joe Ascroft , Siobhan Davies","['1 Anti-Anti-Australian Bias Taskforce (N)', '0 Auckland Meerkat (A)']"
