,Name,Team,Categories,Speaker Scores
0,Benjamin Jackson,heqq yeah,,"['77.00', '76.00', '75.00', '78.00']"
1,Oliver Cummins,Anti-Anti-Australian Bias Taskforce,,"['75.00', '77.00', '77.00', '75.33']"
2,Connor Seddon,Rising sexual tension in the shared,,"['76.00', '73.67', '78.00', '75.00']"
3,Amrit Agastia,Anti-Anti-Australian Bias Taskforce,,"['74.00', '76.00', '76.00', '76.33']"
4,Cara Rowe,Zoom University 1,,"['76.00', '76.00', '73.00', '—']"
5,Umbar Sandhu,Auckland Meerkat,,"['74.00', '76.00', '74.00', '75.33']"
6,Shakked Noy,The Scroll of Truth,,"['74.00', '77.00', '75.00', '73.00']"
7,Arin Tornyi-Aydin,heqq yeah,,"['75.00', '73.00', '75.00', '76.00']"
8,Redacted,—,,"['77.00', '72.00', '76.00', '74.00']"
9,Nathaniel Brown,Rising sexual tension in the shared,,"['74.00', '72.67', '76.00', '76.00']"
10,Caroline Hygate,Zoom University 1,,"['75.00', '75.00', '74.00', '—']"
11,Zachary Wong,"""there's 30 minutes till entries cl",,"['75.00', '74.00', '75.00', '74.00']"
12,David Wu,Testing Positive for Missing the Ho,,"['75.00', '74.00', '75.00', '74.00']"
13,Celine Goh,Auckland Meerkat,,"['75.00', '76.00', '71.00', '75.33']"
14,Sharuka Wikramanayake,Auckland Meerkat,,"['74.00', '76.00', '73.00', '74.33']"
15,Jonah Soewandito,Testing Positive for Missing the Ho,,"['76.00', '73.00', '75.00', '73.00']"
16,Keir Robinson,Vic Pidgeons,,"['74.00', '74.00', '72.00', '77.00']"
17,Seamus Dove,Anti-Anti-Australian Bias Taskforce,,"['74.00', '77.00', '70.00', '75.33']"
18,Piper Whitehead,Umbar's fan club,,"['72.00', '75.00', '74.00', '75.00']"
19,Bridget Scott,Vic Pidgeons,,"['74.00', '73.00', '72.00', '77.00']"
20,Josh Mackay,Cheese and Bacon Scroll,,"['74.00', '75.00', '72.00', '75.00']"
21,Will Miller,With the Power of Ra,,"['75.00', '72.67', '72.00', '76.00']"
22,Rowan Evans,Zoom University 1,,"['75.00', '75.00', '73.00', '72.00']"
23,Vikas Shenoy,With the Power of Ra,,"['74.00', '73.00', '73.00', '75.00']"
24,Grace Baylis,Umbar's fan club,,"['72.00', '74.00', '72.00', '76.00']"
25,Liam Rawlings,Wai Did Jesus Diekato,,"['73.00', '72.00', '73.00', '75.00']"
26,William Price,Auckland Boys High School,,"['71.00', '73.00', '75.00', '74.00']"
27,Conna Leslie-Keefe,Testing Positive for Missing the Ho,,"['72.00', '74.00', '74.00', '73.00']"
28,Bobo Wong,Mabibo 🇦🇺🇧🇩🇨🇦,,"['71.00', '74.00', '75.33', '72.00']"
29,Mitchell Palmer,Auckland Boys High School,,"['71.00', '73.00', '73.00', '75.00']"
30,Colby Allen,Cheese and Bacon Scroll,,"['73.00', '73.00', '72.00', '74.00']"
31,Mary Pilkinton,Mabibo 🇦🇺🇧🇩🇨🇦,,"['72.00', '75.00', '72.67', '72.00']"
32,Harrison Smith,With the Power of Ra,,"['73.00', '71.00', '74.00', '73.00']"
33,Melissa Connolly,Umbar's fan club,,"['71.00', '73.00', '73.00', '74.00']"
34,Oscar McGuire,The Pizza is Late Again,,"['73.00', '70.00', '74.00', '73.00']"
35,Josh Meikle,Pen Island,,"['73.00', '72.00', '72.00', '72.00']"
36,Michaela de Vantier,Why do cats always get their way? T,,"['72.00', '72.00', '75.00', '70.00']"
37,Peter Lang,The Scroll of Truth,,"['72.00', '73.00', '70.00', '74.00']"
38,Natasha Singh,"""there's 30 minutes till entries cl",,"['73.00', '72.00', '72.00', '72.00']"
39,Maya Polaschek,Pen Island,,"['72.00', '74.00', '72.00', '71.00']"
40,Dominic Beaton,Foxton Tea Party,,"['71.50', '73.00', '72.00', '72.00']"
41,Bishal Podder,Mabibo 🇦🇺🇧🇩🇨🇦,,"['72.00', '72.00', '71.33', '73.00']"
42,Seth Whittington,Cheese and Bacon Scroll,,"['72.00', '74.00', '71.00', '71.00']"
43,Isaac Heron,Pen Island,,"['71.00', '73.00', '73.00', '71.00']"
44,Ian Qiu,Auckland Boys High School,,"['72.00', '71.00', '72.00', '72.00']"
45,Sophie Dixon,Vic Pidgeons,,"['72.00', '73.00', '70.00', '72.00']"
46,Elizabeth Yarnell,Rising sexual tension in the shared,,"['74.00', '70.00', '71.00', '72.00']"
47,Liam Silverwood,"""there's 30 minutes till entries cl",,"['68.00', '74.00', '73.00', '72.00']"
48,Mark Smyth,Dublin Drunks,,"['73.00', '70.00', '71.33', '72.00']"
49,Emma White,Why do cats always get their way? T,,"['70.00', '71.00', '75.00', '70.00']"
50,Anna Roberts,Blue-Nitro©,,"['74.00', '70.00', '71.00', '71.00']"
51,Dushanka Govender,Donna and the Dynamos,,"['72.00', '70.00', '71.00', '72.00']"
52,Ollie Miekle,Blue-Nitro©,,"['73.00', '71.00', '71.00', '70.00']"
53,Andre Castaing,Dublin Drunks,,"['73.00', '72.33', '69.67', '70.00']"
54,Ravindi Pathirana,Why do cats always get their way? T,,"['70.00', '69.00', '75.00', '71.00']"
55,Chris McCardle,The Pizza is Late Again,,"['71.00', '69.00', '73.00', '72.00']"
56,Georgia Barclay,Donna and the Dynamos,,"['72.00', '69.67', '73.00', '70.00']"
57,Andrey Borro,Team Bitconnect,,"['71.00', '69.00', '71.00', '73.00']"
58,Jaiden Tucker,Blue-Nitro©,,"['72.00', '71.00', '72.00', '69.00']"
59,Harry Aickin,Team Bitconnect,,"['72.00', '69.00', '69.00', '74.00']"
60,Florence Oakley,The Scroll of Truth,,"['69.00', '71.00', '71.00', '72.00']"
61,Rilke Comer,Foxton Tea Party,,"['72.00', '70.00', '71.00', '70.00']"
62,Amelia Mance,Foxton Tea Party,,"['72.00', '70.00', '70.00', '71.00']"
63,Shannon Chalmers,Donna and the Dynamos,,"['71.00', '68.67', '72.00', '70.00']"
64,Sashank Raj,What a Kant,,"['70.00', '70.00', '71.00', '—']"
65,Louis Donovan,Chunky Cats in Funky Hats,,"['72.00', '65.00', '70.00', '74.00']"
66,Lekha Suki,Pandan Bears,,"['70.00', '69.00', '71.00', '71.00']"
67,Donovan Kelso,Team Bitconnect,,"['70.00', '70.00', '69.00', '72.00']"
68,Ryan Blackmore,The Pizza is Late Again,,"['72.00', '67.00', '74.00', '68.00']"
69,Joel Jacob,Pandan Bears,,"['70.00', '68.00', '72.00', '70.00']"
70,Rahul Rajasekar,Pandan Bears,,"['71.00', '67.00', '71.00', '71.00']"
71,Aylish Waldron,Wai Did Jesus Diekato,,"['68.00', '70.00', '70.00', '72.00']"
72,Ruben Castaing,Cinnamon roll over the competition,,"['72.00', '68.00', '71.50', '68.00']"
73,Ryan Iglrdia,Auckland Otter,,"['67.00', '73.00', '69.00', '—']"
74,Catherine Reynolds,Chunky Cats in Funky Hats,,"['71.00', '67.00', '71.00', '69.00']"
75,Stella Slomp,Wai Did Jesus Diekato,,"['68.00', '69.00', '69.00', '72.00']"
76,Emma Jackson,Chunky Cats in Funky Hats,,"['69.00', '68.00', '69.00', '71.00']"
77,Oliverio Burton Ramos,Auckland Otter,,"['69.00', '72.00', '69.00', '67.00']"
78,Briar Chisholm,Auckland Otter,,"['68.00', '72.00', '70.00', '65.00']"
79,Lakshman Vijay,What a Kant,,"['71.00', '68.00', '69.00', '67.00']"
80,Ritika Kayal,What a Kant,,"['70.00', '67.00', '70.00', '67.00']"
81,Kyla Forbes-Kean,Cinnamon roll over the competition,,"['67.00', '68.00', '70.50', '68.00']"
82,Callum Nish,Cinnamon roll over the competition,,"['70.00', '67.00', '68.00', '67.00']"
83,Anthony Treacy,Dublin Drunks,,"['71.00', '72.33', '—', '—']"
