,Round Name,Panel,Rankings
0,Round 1,"Emily Frizellⓒ , Elena Kalema , Jack Williams , Lucy McManus","['3 A cross-Dutch conspiracy (OO)', '2 all pain no gain (CO)', '1 Opinionators (OG)', '0 Seek Bromance (CG)']"
1,Round 1,"Elaye Karstadtⓒ , Arka Dev Biswas Deepra , Artem Samarsky","['3 Anti-virus (OG)', '2 Pollepel en bommelding (OO)', '1 M&L (CG)', '0 Lamma (CO)']"
2,Round 1,"Klaudia Maciejewskaⓒ , Arie Mora , Mehdi Naderi Varandi , Eeshan Ketkarⓣ","['3 Bavarian Contrarians (CO)', '2 Astana A (CG)', '1 Tried to reg with dial-up internet (OO)', '0 quarantine and chill (OG)']"
3,Round 1,"Rok Hafnerⓒ , Alia Gilbrecht , Eirini Kolimatsi , Navot Silbersteinⓣ","['3 Giving Desperate Hilarity the Quali (OG)', ""2 At least we didn't have to bribe Mi (CG)"", '1 UDS Trivium GDS LDU Chronos coaliti (OO)', '0 Bosnian chicken farmers (CO)']"
4,Round 1,"Sharmila Parmanandⓒ , Abhinav Mohanty , Yishai Binnes , Julia Janczewskaⓣ","['3 This house would stay in this house (OO)', '2 John and Cees (OG)', '1 B&D (CO)', '0 Funghi (CG)']"
5,Round 1,"Dani Georgievⓒ , James Merryweather , Tamar Ben Meir","['3 Vulnerable Dinos in Lockdown (CG)', '2 BDU A (OG)', '1 Whipped Cream and Waffles (OO)', '0 SoFi (CO)']"
6,Round 1,"Lena Kolleⓒ , Markus Myllymäki , Stefan Ziman , Zoé Sandleⓣ","['3 WorkahoLLics (OG)', '2 Corona, what is this behaviour (OO)', '1 Polish-Silesian Union (CG)', '0 black hot chill debaters (CO)']"
7,Round 1,"Shudipto Ahmedⓒ , Maciej Lulewicz , Olivia Mackender","['3 The Quaranteens (CG)', ""2 We're used to no audience debates (OO)"", '1 Bonaparte is uncreative (OG)', '0 La casa de Falafel (CO)']"
8,Round 1,"Miriam Kalmanⓒ , Mashahed Hassan Simanta , Nefeli Vasiou","['3 concrete impacts (OO)', '2 Bristol A (OG)', '1 DisInfo Slide (CO)', '0 We desire to desire that Tom breaks (CG)']"
9,Round 1,"Luka Petrovicⓒ , Altamash Kadir , George Wilson , Vikram Mehta","['3 Disappointing David Register (OG)', '2 The Pensive Pugilists (OO)', '1 Swing A (CG)', ""0 Burnin' the Bologne (CO)""]"
10,Round 1,"Calyxx Peuckerⓒ , Anchal Shukla , Ramy Masalha , Vikhyat Dwivediⓣ","['3 Covid-90210 (OO)', '2 Edinburgh A (OG)', '1 Gargoyles (CG)', '0 PRUE A (CO)']"
11,Round 1,"Joona Suhonenⓒ , Dimitri Nilov , Sean Pearce , Smee Cujic","['3 Harjumaa A (OO)', '2 KDA Nicole & Franka (CO)', ""1 You're not a dinosaur if you're doi (OG)"", '0 Cyanide Tongues (CG)']"
12,Round 1,"Gigi Gilⓒ , Diogo Videira , Jakub Winiecki , Zeynep Akçakaya","['3 Just a couple of Kants (OO)', '2 Edinburgh (C)rack & Craic (OG)', '1 High school musical (CO)', '0 NICK ATE OUR HOMEWORK (CG)']"
13,Round 1,"Marta Vasicⓒ , Dorota Kaiper , Mara Burgstede , Nikola Michaylov","[""3 We're Central European We Swear (CO)"", '2 Eigenpeople (OO)', '1 Krasotki (OG)', '0 The Apocalypse (CG)']"
14,Round 1,"Reed Brownⓒ , Andriy Kasyanenko , Cecil Khayat , Francisca Baptista","['3 NU A (OO)', '2 IBA-DU (OG)', '1 NU Z (CO)', '0 Saint Petersburg A (CG)']"
15,Round 2,"Joona Suhonenⓒ , Artem Samarsky , Mara Burgstede , Vikram Mehta","['3 Edinburgh A (OO)', '2 Just a couple of Kants (OG)', '1 Bavarian Contrarians (CG)', '0 A cross-Dutch conspiracy (CO)']"
16,Round 2,"Marta Vasicⓒ , Arie Mora , Jakub Winiecki","['3 BDU A (CO)', '2 Bristol A (CG)', '1 The Pensive Pugilists (OG)', '0 all pain no gain (OO)']"
17,Round 2,"Emily Frizellⓒ , Nefeli Vasiou , Tamar Ben Meir , Zeynep Akçakaya","['3 Vulnerable Dinos in Lockdown (OO)', '2 Anti-virus (CO)', '1 NU A (OG)', '0 Harjumaa A (CG)']"
18,Round 2,"Lena Kolleⓒ , Diogo Videira , Mehdi Naderi Varandi , Julia Janczewskaⓣ","['3 Astana A (OO)', '2 KDA Nicole & Franka (OG)', '1 Edinburgh (C)rack & Craic (CG)', '0 Eigenpeople (CO)']"
19,Round 2,"Calyxx Peuckerⓒ , Andriy Kasyanenko , Gigi Gil , Eeshan Ketkarⓣ","['3 IBA-DU (CO)', ""2 At least we didn't have to bribe Mi (OO)"", ""1 We're used to no audience debates (CG)"", '0 Corona, what is this behaviour (OG)']"
20,Round 2,"Klaudia Maciejewskaⓒ , Dorota Kaiper , Stefan Ziman","['3 B&D (OO)', '2 NU Z (OG)', '1 Gargoyles (CO)', '0 Krasotki (CG)']"
21,Round 2,"Maciej Lulewiczⓒ , Abhinav Mohanty , Eirini Kolimatsi","['3 black hot chill debaters (OO)', '2 Saint Petersburg A (OG)', '1 The Apocalypse (CO)', '0 PRUE A (CG)']"
22,Round 2,"Benji Kalmanⓒ , Alia Gilbrecht , George Wilson , Vikhyat Dwivediⓣ","['3 NICK ATE OUR HOMEWORK (OO)', '2 Swing A (CO)', '1 Whipped Cream and Waffles (OG)', '0 Bonaparte is uncreative (CG)']"
23,Round 2,"Shudipto Ahmedⓒ , Francisca Baptista , Mashahed Hassan Simanta","['3 Bosnian chicken farmers (OO)', '2 Seek Bromance (CO)', '1 SoFi (OG)', '0 Lamma (CG)']"
24,Round 2,"Roy Schulmanⓒ , Elena Kalema , James Merryweather , Sean Pearce","['3 DisInfo Slide (OO)', '2 Tried to reg with dial-up internet (OG)', '1 Polish-Silesian Union (CO)', ""0 Burnin' the Bologne (CG)""]"
25,Round 2,"Sharmila Parmanandⓒ , Anchal Shukla , Markus Myllymäki , Zoé Sandleⓣ","['3 Disappointing David Register (CG)', ""2 We're Central European We Swear (OO)"", '1 This house would stay in this house (OG)', '0 concrete impacts (CO)']"
26,Round 2,"Rok Hafnerⓒ , Jack Williams , Lucy McManus","['3 Giving Desperate Hilarity the Quali (CG)', '2 WorkahoLLics (OO)', '1 Covid-90210 (OG)', '0 The Quaranteens (CO)']"
27,Round 2,"Dani Georgievⓒ , Cecil Khayat , Olivia Mackender","['3 We desire to desire that Tom breaks (CO)', '2 La casa de Falafel (OO)', '1 Cyanide Tongues (OG)', '0 quarantine and chill (CG)']"
28,Round 2,"Yishai Binnesⓒ , Arka Dev Biswas Deepra , Nikola Michaylov","[""3 You're not a dinosaur if you're doi (CO)"", '2 M&L (OO)', '1 Opinionators (CG)', '0 Funghi (OG)']"
29,Round 2,"Reed Brownⓒ , Ramy Masalha , Smee Cujic , Navot Silbersteinⓣ","['3 John and Cees (OO)', '2 UDS Trivium GDS LDU Chronos coaliti (CO)', '1 Pollepel en bommelding (OG)', '0 High school musical (CG)']"
30,Round 3,"Lena Kolleⓒ , Cecil Khayat , Sean Pearce","['3 UDS Trivium GDS LDU Chronos coaliti (OG)', '2 A cross-Dutch conspiracy (CG)', '1 Pollepel en bommelding (CO)', '0 Swing A (OO)']"
31,Round 3,"Sharmila Parmanandⓒ , Mehdi Naderi Varandi , Tamar Ben Meir , Vikram Mehta","['3 Saint Petersburg A (CO)', '2 The Apocalypse (OO)', '1 Gargoyles (OG)', '0 all pain no gain (CG)']"
32,Round 3,"Rok Hafnerⓒ , Artem Samarsky , Diogo Videira","['3 Anti-virus (CG)', '2 IBA-DU (OO)', '1 Edinburgh A (CO)', '0 Astana A (OG)']"
33,Round 3,"Benji Kalmanⓒ , Anchal Shukla , Arka Dev Biswas Deepra , Olivia Mackender","[""3 At least we didn't have to bribe Mi (CO)"", '2 Bavarian Contrarians (OG)', '1 Edinburgh (C)rack & Craic (OO)', '0 The Pensive Pugilists (CG)']"
34,Round 3,"Joona Suhonenⓒ , Dimitri Nilov , Elena Kalema , Smee Cujic","['3 Bristol A (OO)', '2 NU A (CO)', '1 Covid-90210 (CG)', '0 B&D (OG)']"
35,Round 3,"Luka Petrovicⓒ , Alia Gilbrecht , Markus Myllymäki , Julia Janczewskaⓣ","['3 Just a couple of Kants (CO)', ""2 We're Central European We Swear (OG)"", '1 WorkahoLLics (CG)', '0 BDU A (OO)']"
36,Round 3,"Roy Schulmanⓒ , Jakub Winiecki , Nikola Michaylov , Navot Silbersteinⓣ","[""3 We're used to no audience debates (CO)"", '2 We desire to desire that Tom breaks (OO)', '1 M&L (OG)', '0 black hot chill debaters (CG)']"
