,Round Name,Panel,Rankings
0,Round 1,Nic Wilsonⓒ,"['1 awkward white men (A)', '0 Doughnuts (N)']"
1,Round 1,Sophie Maherⓒ,"['1 Bitconnect (A)', '0 dude i got it i got it i got it. i (N)']"
2,Round 1,Tamara Jenkinⓒ,"['1 Catholic feminists for Jesus (N)', '0 Cantasauras Rex (A)']"
3,Round 1,Hana Zawawiⓒ,"['1 Feral Australian Invaders (A)', '0 Canterscary (N)']"
4,Round 1,Emily Williamsⓒ,"['1 Co-staraptor (A)', '0 IIUM 2 (N)']"
5,Round 1,"Amy Spittalⓒ , Astha Jakher , Manasija Das","['1 Currently Unknown (A)', '0 InGen legal team (N)']"
6,Round 1,"Tim Bainⓒ , Kristine M Barbosa , Maya Polaschek","['1 Disappointing My Dads (N)', '0 It’s a Dog! It’s a Kat! It’s AROON! (A)']"
7,Round 1,"Abigail Leblancⓒ , John Brinsley-Pirie , Keegan Burrow","['1 The chicks u love impactors (A)', '0 Donna and the Dynamos (N)']"
8,Round 1,Joe Ascroftⓒ,"['1 IIUM 1 (A)', '0 Finding a way (N)']"
9,Round 1,April Broadbentⓒ,"['1 Finnish Them (N)', '0 Fire Ferrets (A)']"
10,Round 1,Umbar Sandhuⓒ,"['1 This is a placeholder until the cre (A)', '0 IIUM 3 (N)']"
11,Round 1,"Craig Stantonⓒ , Shrey Shah , Siobhan Davies","[""1 MDU don't talk to me or my sons eve (N)"", ""0 It's a miracle no one flaked (A)""]"
12,Round 1,Daniel Maier-Gantⓒ,"['1 Lazy Sunday Sleepover Gang (N)', '0 Mabibo 🇦🇺🇧🇩🇨🇦 (A)']"
13,Round 1,"Tejas Jaiswalⓒ , Oscar Battell Wallace , Shannon Wardlaw","['1 Raise your hand if you have cucked (A)', '0 Loosely held together by alcohol an (N)']"
14,Round 1,Olivia Mackenderⓒ,"['1 Stonks Bad (N)', '0 Loquacious Cretaceous (A)']"
15,Round 1,Nitin Kumar Saidhaⓒ,"['1 The War on Pterodactyl (N)', '0 Solo: Reborn (A)']"
16,Round 1,Bill Dieckermannⓒ,"['1 The Jew Crew (N)', '0 Strike Force Raptor (A)']"
17,Round 1,Rebecca Frankumⓒ,"['1 The Litty Titties (A)', '0 Young money $$$ (N)']"
18,Round 1,Scott Fletcherⓒ,"['1 Two whites don’t make a wong (N)', '0 Waterproof (A)']"
19,Round 1,"Snuhee Royⓒ , Anh , Sucharitha Rao","['1 Wholesome Victoria (N)', '0 Whipped Coffee (A)']"
20,Round 2,Scott Fletcherⓒ,"['1 Raise your hand if you have cucked (N)', '0 awkward white men (A)']"
21,Round 2,"Nic Wilsonⓒ , Shannon Wardlaw 💢 , Shrey Shah","['1 The Litty Titties (A)', '0 Bitconnect (N)']"
22,Round 2,Tejas Jaiswalⓒ,"['1 Cantasauras Rex (N)', '0 IIUM 2 (A)']"
23,Round 2,Tamara Jenkinⓒ,"['1 Loosely held together by alcohol an (A)', '0 Canterscary (N)']"
24,Round 2,Tim Bainⓒ,"['1 Catholic feminists for Jesus (N)', '0 Wholesome Victoria (A)']"
25,Round 2,"Kristine M Barbosaⓒ , Joe Ascroft , Manasija Das","['1 Co-staraptor (N)', '0 The Jew Crew (A)']"
26,Round 2,Umbar Sandhuⓒ,"['1 Feral Australian Invaders (A)', '0 Currently Unknown (N)']"
27,Round 2,"Liam Rawlingsⓒ , Maya Polaschek , Oscar Battell Wallace 💢","['1 Disappointing My Dads (A)', ""0 MDU don't talk to me or my sons eve (N)""]"
28,Round 2,Bill Dieckermannⓒ,"['1 Donna and the Dynamos (A)', '0 InGen legal team (N)']"
29,Round 2,"Keegan Burrowⓒ , Olivia Mackender , Snuhee Roy","[""1 It's a miracle no one flaked (N)"", '0 Doughnuts (A)']"
30,Round 2,Sucharitha Raoⓒ,"['1 dude i got it i got it i got it. i (A)', '0 Solo: Reborn (N)']"
31,Round 2,Rebecca Frankumⓒ,"['1 Whipped Coffee (N)', '0 Finding a way (A)']"
32,Round 2,Abigail Leblancⓒ,"['1 Finnish Them (A)', '0 IIUM 1 (N)']"
33,Round 2,Sophie Maherⓒ,"['1 Mabibo 🇦🇺🇧🇩🇨🇦 (N)', '0 Fire Ferrets (A)']"
34,Round 2,Siobhan Daviesⓒ,"['1 Waterproof (N)', '0 IIUM 3 (A)']"
35,Round 2,April Broadbentⓒ,"['1 It’s a Dog! It’s a Kat! It’s AROON! (A)', '0 Loquacious Cretaceous (N)']"
