,Round Name,Panel,Rankings
0,Rodada 1,"André Chichorro de Carvalhoⓒ , Ediane Emanuelle Macedo Ferreira , Victor Cabral Ribeiroⓣ","['3 Rocha Miranda (CO)', '2 Portuguesa (OG)', '1 Acari (CG)', '0 Maria da Graça (OO)']"
1,Rodada 1,"Mariana Baptistaⓒ , Maria Eduarda Lahas , Natália da Costa Arume , João Pedro Souza Ribeiroⓣ","['3 Glória (CG)', '2 Jardim Botânico (OG)', '1 Bangu (OO)', '0 Maracanã (CO)']"
2,Rodada 1,"Gabriel Guiaⓒ , Bárbara Coelho , Ana Beatriz Lima Araújoⓣ","['3 Leme (CG)', '2 Santa Cruz (CO)', '1 Barra da Tijuca (OG)', '0 São Cristóvão (OO)']"
3,Rodada 1,"Francisco Diego Ribeiro Sousaⓒ , Anna Julia Frigini , Yasmin de Méro Omena","['3 Tijuca (CO)', '2 Benfica (CG)', '1 Taquara (OO)', '0 Madureira (OG)']"
4,Rodada 1,"Luísa Taveiraⓒ , Alessany Soterio , Rebeca de Oliveira Liareno","['3 Recreio dos Bandeirantes (CG)', '2 Joá (OG)', '1 Bento Ribeiro (OO)', '0 Piedade (CO)']"
5,Rodada 1,"João Lucas Fernandes Lopesⓒ , Anny Gabrielli Souza , Isabela Tonon da Costa Dondone","['3 Laranjeiras (CO)', '2 Santa Teresa (OG)', '1 Bonsucesso (CG)', '0 Cachambi (OO)']"
6,Rodada 1,"Sofia Narcisoⓒ , Lara Lacerda , Mariana Henrique","['3 Cidade de Deus (CO)', '2 Cosme Velho (OO)', '1 Santíssimo (OG)', '0 Paquetá (CG)']"
7,Rodada 1,"Aline Terrãoⓒ , Gabriel Gomes Oliveira , Leticia Fernandes Szajnberg","['3 Cidade Nova (OO)', '2 Copacabana (CO)', '1 Méier (OG)', '0 Rio Comprido (CG)']"
8,Rodada 1,"Ana Cláudia Freitasⓒ , Caio Vitor da Silva Ramos , Emanuelle Lamas Rocha","['3 Del Castilho (CG)', '2 Manguinhos (CO)', '1 Penha (OG)', '0 Swing Team A (OO)']"
9,Rodada 1,"Isabella Refkalefskyⓒ , Bianca Garcia , Laís de Carvalho Torres","['3 Oswaldo Cruz (CG)', '2 Grajaú (OO)', '1 Encantado (CO)', '0 Realengo (OG)']"
10,Rodada 1,"Micarla Linsⓒ , Marina Seidel Carneiro , Ravi Mukesh Rameschandra","['3 Irajá (OG)', '2 Ipanema (CO)', '1 Jacarepaguá (CG)', '0 Pilares (OO)']"
11,Rodada 1,"Luísa Côrtesⓒ , Hian Gualberto , Rached Centeno","['3 Leblon (CO)', '2 Olaria (OO)', '1 Lapa (CG)', '0 Padre Miguel (OG)']"
12,Rodada 2,"Sofia Narcisoⓒ , Luísa Côrtes , Marina Seidel Carneiro","['3 Encantado (CG)', '2 Bonsucesso (OO)', '1 Acari (OG)', '0 Penha (CO)']"
13,Rodada 2,"Luísa Taveiraⓒ , Bárbara Coelho , Hian Gualberto","['3 Bangu (OG)', '2 Jacarepaguá (CO)', '1 Méier (CG)', '0 Santíssimo (OO)']"
14,Rodada 2,"Aline Terrãoⓒ , Anny Gabrielli Souza , João Pedro Souza Ribeiroⓣ","['3 Bento Ribeiro (CG)', '2 Taquara (OG)', '1 Lapa (OO)', '0 Barra da Tijuca (CO)']"
15,Rodada 2,"Mariana Baptistaⓒ , Alessany Soterio , Emanuelle Lamas Rocha","['3 Ipanema (CG)', '2 Benfica (OG)', '1 Portuguesa (OO)', '0 Grajaú (CO)']"
16,Rodada 2,"Lara Lacerdaⓒ , Pedro Victor André Silva , Rebeca de Oliveira Liareno","['3 Maria da Graça (OG)', '2 São Cristóvão (CG)', '1 Cachambi (CO)', '0 Piedade (OO)']"
17,Rodada 2,"Ana Cláudia Freitasⓒ , Anna Julia Frigini , Rached Centeno","['3 Recreio dos Bandeirantes (CO)', '2 Laranjeiras (OG)', '1 Irajá (OO)', '0 Cidade de Deus (CG)']"
18,Rodada 2,"Gabriel Guiaⓒ , Isabela Tonon da Costa Dondone , Ravi Mukesh Rameschandra","['3 Oswaldo Cruz (OG)', '2 Glória (OO)', '1 Cidade Nova (CO)', '0 Leblon (CG)']"
19,Rodada 2,"André Chichorro de Carvalhoⓒ , Bianca Garcia , Caio Vitor da Silva Ramos , Victor Cabral Ribeiroⓣ","['3 Santa Teresa (CG)', '2 Joá (OO)', '1 Copacabana (OG)', '0 Cosme Velho (CO)']"
20,Rodada 2,"Isabella Refkalefskyⓒ , Francisco Diego Ribeiro Sousa , Mariana Henrique","['3 Leme (OG)', '2 Rocha Miranda (OO)', '1 Tijuca (CG)', '0 Del Castilho (CO)']"
21,Rodada 2,"Micarla Linsⓒ , Gabriel Gomes Oliveira , Yasmin de Méro Omena","['3 Jardim Botânico (CO)', '2 Manguinhos (OO)', '1 Santa Cruz (CG)', '0 Olaria (OG)']"
22,Rodada 2,"Natália da Costa Arumeⓒ , Laís de Carvalho Torres , Leticia Fernandes Szajnberg","['3 Rio Comprido (OG)', '2 Padre Miguel (OO)', '1 Pilares (CG)', '0 Madureira (CO)']"
23,Rodada 2,"João Lucas Fernandes Lopesⓒ , Ediane Emanuelle Macedo Ferreira , Ana Beatriz Lima Araújoⓣ","['3 Paquetá (CO)', '2 Swing Team A (CG)', '1 Maracanã (OG)', '0 Realengo (OO)']"
