,Round Name,Panel,Rankings
0,Round 1,"Hadar Goldbergⓒ , Arka Dev Biswas , Yash Thirani","['3 Idli and Sambar (OO)', '2 Shitty cases VITty responses (CO)', '1 Bata Gang (CG)', '0 A Pro Team (OG)']"
1,Round 1,"Brian Wongⓒ , Achintya Murali , Omkar Masurkar","['3 Seamus and Oliver (CO)', '2 We Fight over Speaker Roles (OO)', '1 Meri Jung: One Man Army (OG)', '0 BITS Goa (CG)']"
2,Round 1,"Abhilaksh Sharmaⓒ , Abhijit Vadavalli , Bansal Kartik","['3 Black Clouds And Silver Linings (CO)', '2 Ignite Pass Kai!! (OO)', '1 NUJS (CG)', '0 Sushi Mafia (OG)']"
3,Round 1,"Vishakha Rajⓒ , Pranav Kagalkar , Reed , Shantanu Bariar , Sowmya S","[""3 Manchester's past and future snakes (OO)"", '2 MSRIT OO (OG)', '1 Liminal Spaces Debating Δ (CO)', '0 Nine Nine (CG)']"
4,Round 2,"Yash Thiraniⓒ , Abhijit Vadavalli , Achintya Murali","['3 Liminal Spaces Debating Δ (OO)', '2 A Pro Team (CG)', '1 NUJS (OG)', '0 We Fight over Speaker Roles (CO)']"
5,Round 2,"Brian Wongⓒ , Pranav Kagalkar , Reed","['3 Seamus and Oliver (OO)', ""2 Manchester's past and future snakes (CO)"", '1 Bata Gang (OG)', '0 Sushi Mafia (CG)']"
6,Round 2,"Abhilaksh Sharmaⓒ , Arka Dev Biswas , Sowmya S","['3 Ignite Pass Kai!! (CO)', '2 MSRIT OO (CG)', '1 Shitty cases VITty responses (OO)', '0 BITS Goa (OG)']"
7,Round 2,"Hadar Goldbergⓒ , Bansal Kartik , Omkar Masurkar","['3 Idli and Sambar (CO)', '2 Meri Jung: One Man Army (CG)', '1 Nine Nine (OG)', '0 Black Clouds And Silver Linings (OO)']"
8,Round 3,"Vishakha Rajⓒ , Abhijit Vadavalli , Reed","['3 MSRIT OO (CG)', '2 A Pro Team (OO)', '1 Meri Jung: One Man Army (CO)', '0 Sushi Mafia (OG)']"
9,Round 3,"Hadar Goldbergⓒ , Omkar Masurkar , Pranav Kagalkar","['3 Nine Nine (OO)', '2 Bata Gang (OG)', '1 NUJS (CG)', '0 BITS Goa (CO)']"
10,Round 3,"Abhilaksh Sharmaⓒ , Arka Dev Biswas , Sowmya S","['3 Liminal Spaces Debating Δ (CO)', '2 Seamus and Oliver (OO)', '1 Black Clouds And Silver Linings (OG)', '0 Shitty cases VITty responses (CG)']"
11,Round 3,"Shantanu Bariarⓒ , Bansal Kartik , Brian Wong","['3 Idli and Sambar (CG)', '2 We Fight over Speaker Roles (OG)', ""1 Manchester's past and future snakes (OO)"", '0 Ignite Pass Kai!! (CO)']"
12,Round 4,"Abhilaksh Sharmaⓒ , Bansal Kartik , Shantanu Bariar","[""3 Manchester's past and future snakes (CG)"", '2 Black Clouds And Silver Linings (OG)', '1 BITS Goa (OO)', '0 A Pro Team (CO)']"
13,Round 4,"Yash Thiraniⓒ , Achintya Murali , Reed","['3 Bata Gang (OO)', '2 Liminal Spaces Debating Δ (OG)', '1 Meri Jung: One Man Army (CO)', '0 Ignite Pass Kai!! (CG)']"
14,Round 4,"Vishakha Rajⓒ , Omkar Masurkar , Sowmya S","['3 Idli and Sambar (CG)', '2 Seamus and Oliver (OG)', '1 MSRIT OO (CO)', '0 NUJS (OO)']"
15,Round 4,"Hadar Goldbergⓒ , Abhijit Vadavalli , Pranav Kagalkar","['3 Nine Nine (OO)', '2 Shitty cases VITty responses (OG)', '1 We Fight over Speaker Roles (CG)', '0 Sushi Mafia (CO)']"
16,Round 5,"Brian Wongⓒ , Arka Dev Biswas , Omkar Masurkar","['3 Seamus and Oliver (CG)', '2 Nine Nine (CO)', '1 A Pro Team (OO)', '0 Ignite Pass Kai!! (OG)']"
17,Round 5,"Yash Thiraniⓒ , Pranav Kagalkar , Sowmya S","['3 Black Clouds And Silver Linings (CG)', '2 MSRIT OO (OO)', '1 Bata Gang (CO)', '0 We Fight over Speaker Roles (OG)']"
18,Round 5,"Reedⓒ , Achintya Murali , Bansal Kartik","['3 Idli and Sambar (OG)', '2 Liminal Spaces Debating Δ (CG)', '1 BITS Goa (CO)', '0 Sushi Mafia (OO)']"
19,Round 5,"Abhilaksh Sharmaⓒ , Abhijit Vadavalli , Vishakha Raj","['3 NUJS (CO)', '2 Shitty cases VITty responses (CG)', ""1 Manchester's past and future snakes (OG)"", '0 Meri Jung: One Man Army (OO)']"
20,Grand Final,"Reedⓒ , Abhilaksh Sharma , Bansal Kartik , Omkar Masurkar , Shantanu Bariar , Vishakha Raj , Yash Thirani","['1 Idli and Sambar (CG)', '0 Liminal Spaces Debating Δ (OO)', '0 MSRIT OO (CO)', '0 Seamus and Oliver (OG)']"
