,Name,Team,Categories,Speaker Scores
0,Mukhtar Tashkenbayev,Cherry and Strawberry Whatever,,"['81', '80', '80', '80', '78', '81', '79', '81', '80']"
1,Shyngys Aidynov,Astana A,,"['79', '79', '79', '80', '78', '80', '79', '80', '80']"
2,Alikhan Kazenov,Astana A,,"['78', '79', '79', '80', '78', '79', '78', '78', '78']"
3,Nurlan Muratbek,NU F,,"['77', '77', '78', '76', '79', '77', '76', '76', '77']"
4,Amirlan Kassymov,Do it for Dana Turgali,,"['76', '78', '76', '77', '74', '75', '80', '78', '78']"
5,Nursulu Sagimbayeva,Passive Aggressive,,"['78', '77', '77', '77', '76', '77', '79', '76', '75']"
6,Nazerke Mukhlissova,Kaizen,,"['76', '76', '78', '72', '82', '78', '79', '74', '76']"
7,Elina Amurlayeva,Passive Aggressive,,"['77', '78', '78', '75', '76', '76', '78', '76', '76']"
8,Dmitriy Bessedin,Do it for Dana Turgali,,"['77', '77', '76', '77', '73', '75', '80', '76', '77']"
9,Adelya Dauletkyzy,Kaizen,,"['76', '75', '79', '72', '79', '77', '79', '74', '76']"
10,Usoroh Paius,KIMEP A,,"['74', '77', '74', '74', '81', '78', '75', '73', '75']"
11,Diana Shaizada,Partnership of intellectuals,,"['75', '76', '74', '75', '75', '72', '74', '72', '74']"
12,Tleukhan Mussin,T N biscuits,,"['74', '75', '78', '75', '75', '72', '72', '72', '73']"
13,Sagida Zhatkanbayeva,Kz MSU A,,"['76', '75', '74', '79', '75', '73', '73', '75', '66']"
14,Olzhas Suleymenov,KIMEP A,,"['72', '75', '70', '75', '76', '77', '74', '71', '72']"
15,Akbilek Seitmukhanbet,Partnership of intellectuals,,"['74', '75', '73', '74', '74', '72', '75', '71', '73']"
16,Zhaksylyk Oglanbekov,Vespucci,,"['75', '72', '73', '72', '73', '74', '74', '76', '72']"
17,Ainagul Alzhanova,later,,"['75', '74', '73', '74', '75', '73', '74', '66', '72']"
18,Madina Abzhan,Angry Kittens,,"['72', '73', '70', '75', '73', '74', '73', '70', '69']"
19,Madi Nurlanuly,Angry Kittens,,"['71', '74', '70', '77', '71', '72', '70', '70', '68']"
20,Zhansaya Serikova,Telescope,,"['69', '74', '71', '70', '74', '73', '70', '74', '68']"
21,Adlet Bolatov,Swing 1,,"['74', '72', '65', '68', '73', '71', '73', '73', '70']"
22,Aidana Shynarbek,Telescope,,"['68', '72', '72', '72', '70', '73', '71', '73', '67']"
23,Samat Sayakov,NU F,,"['77', '75', '77', '77', '—', '75', '76', '76', '77']"
24,Nurtas Kuzdeubayev,Qazaq pikirsayisi,,"['—', '75', '76', '76', '75', '74', '72', '79', '76']"
25,Yerkebulan Kuanbay,Qazaq pikirsayisi,,"['73', '—', '76', '75', '73', '72', '72', '78', '75']"
26,Arsen Orazbek,Vespucci,,"['—', '72', '72', '73', '73', '74', '74', '74', '73']"
27,Adina Kadyrova,later,,"['—', '74', '72', '73', '72', '72', '73', '66', '72']"
28,Rustem Turtayev,T N biscuits,,"['74', '75', '78', '75', '78', '74', '71', '—', '—']"
29,Arafat Charakhmetov,Swing 1,,"['73', '73', '67', '69', '75', '72', '74', '—', '—']"
30,Alisher Juzgenbayev,Cherry and Strawberry Whatever,,"['—', '80', '81', '—', '80', '—', '—', '80', '81']"
31,Sanzhar Kul-Mukhammed,Kz MSU A,,"['—', '—', '—', '—', '—', '—', '—', '—', '66']"
