,Round Name,Panel,Rankings
0,Round 1,"Shuvam Mitraⓒ , Dhruvi Shah , Jaswanth","['1 360 noscope (O)', '0 Febating Teens (G)']"
1,Round 1,"Rangan Majumdarⓒ , Aryan Bidaniⓣ","['1 A Team has No Name (O)', '0 Meraki (G)']"
2,Round 1,"Abhilash Saneⓒ , Shivam Narain , Shreyas","['1 Parmesan (G)', '0 Across The Line (O)']"
3,Round 1,"Divyanshuⓒ , Rita Abaniⓣ","['1 Apocalpyse 2020 (O)', '0 Team Nepal (G)']"
4,Round 1,"Mozaien Takⓒ , Abhiram Geddamⓣ","['1 Cigarettes after breaks (O)', '0 Atma-not-nirbhar (G)']"
5,Round 1,"Deep Behalⓒ , Muskaan Guptaⓣ","['1 Dard E Disco (G)', '0 Consensus (O)']"
6,Round 1,"Mehak Shahⓒ , Rahul Datta , Surabhi Menon","['1 CrossQuestioning (O)', '0 Two and a Half Women (G)']"
7,Round 1,"Devashish Trivediⓒ , Adya Sharmaⓣ","['1 D Generation X (O)', '0 The Stoner, the Narc and the Ace (G)']"
8,Round 1,"Subham Borahⓒ , Govind Singh Madan Singh Bistⓣ","['1 Pretty in Polemic (O)', '0 #dalgona (G)']"
9,Round 1,"Srijan Poudelⓒ , Ananya , Vinayak Gandhi","['1 Heraz (O)', '0 Laymann Brothers (G)']"
10,Round 1,"Rajdeep Mukherjeeⓒ , Aastha Arora , Vedika Kedia","['1 Leaky Binders (G)', '0 In pursuit of Dispute (O)']"
11,Round 1,"Vaishnavi Bhaskarⓒ , Nahiyan H.ⓣ","['1 Metro Boomin want some more (G)', '0 Lovegood (O)']"
12,Round 1,"Jibran Ahmad Khanⓒ , Jaisha Groverⓣ","['1 Take de Bait (G)', '0 Nisarg (O)']"
13,Round 1,"Kshitij Bakshiⓒ , Narayan Sharma , Syed Zulfiquar Quli","['1 Powerpuff Girls (O)', '0 Parle-D (G)']"
14,Round 1,"Altamash Kadirⓒ , Gautam Vashishthaⓣ","['1 Quaran-3 (G)', '0 Pasha bhai ke aadmi (O)']"
15,Round 1,"Srijit Talukdarⓒ , Shreya Agarwal , Tushar Pancholi","['1 Shaka Laka boom (O)', '0 Urban Naxals (G)']"
16,Round 1,"Abhijit Vadavalliⓒ , Utkarsh Mishraⓣ","[""1 Shishimaanu's Warriors (O)"", '0 Smells like Team Sprit (G)']"
17,Round 2,"Rangan Majumdarⓒ , Jaisha Grover , Vedika Kedia","['1 Apocalpyse 2020 (G)', '0 360 noscope (O)']"
18,Round 2,"Shirish kumarⓒ , Aastha Arora","['1 A Team has No Name (O)', '0 Shaka Laka boom (G)']"
19,Round 2,"Mallika Dandekarⓒ , V. Meghana Reddyⓣ","['1 Across The Line (O)', '0 Consensus (G)']"
20,Round 2,"Srijan Poudelⓒ , Aryan Bidani , Rita Abani","['1 Febating Teens (G)', '0 Atma-not-nirbhar (O)']"
21,Round 2,"Srijit Talukdarⓒ , Shivam Narain , Shreyas","['1 Cigarettes after breaks (O)', '0 CrossQuestioning (G)']"
