,Round Name,Panel,Rankings
0,Round 1,"Jacklin Kwanⓒ , Alia Gilbrecht , Caitriona O Brien","['3 UCL Ward v Byham (OG)', '2 CARLETON BG (OO)', '1 VIT Chai Sutta (CO)', '0 ASTANA Astana A (CG)']"
1,Round 1,"Lovro Spremⓒ , Matthew Fricker , Reed","['3 EDINBURGH Bloods (OO)', '2 BDU Berlin A (OG)', '1 EDINBURGH A (CO)', '0 LEIDEN "" ‘Leiden A but without the self-co (CG)']"
2,Round 1,"Katharina Jansenⓒ , Josh Freeman , Olga Enikeeva","['3 OPEN pirates (CG)', '2 NU NU Z (OO)', '1 COMPOSITE IIT B&D (OG)', '0 BDU Crazy Broke Asians (CO)']"
3,Round 1,"Marta Vasićⓒ , Gwylim Taylor , Sean Pearce","[""3 COMPOSITE Goose's Gurus (OG)"", '2 STPETERSBURG A (OO)', '1 BDU The prancing ponies (CO)', '0 STANDREWS SB (CG)']"
4,Round 1,"Lucy Murphyⓒ , Anh Quynh , Dafna Haran","['3 TCDHIST We both resigned in disgrace (CG)', '2 BELGRADE TBA (OO)', '1 VIT The Bee Gees (CO)', '0 NEWCASTLE Carpe Yeetum (OG)']"
5,Round 1,"Monica Formanⓒ , Fabian Beitsma , Sameer Shaikh","['3 OPEN [KDA] Thanks Jacklin :D (OG)', '2 COMPOSITE An Najah 1 (OO)', '1 TCDHIST reverse the polarity of the neutron (CG)', '0 BRISTOL A (CO)']"
6,Round 1,"Ife Grilloⓒ , Alexandra Lovell","[""3 CAMBRIDGE Cromwell's Men are Here Again (CO)"", '2 COMPOSITE An Najah 2 (OO)', '1 WARWICK A (CG)', '0 KNU I promise to be fresh (OG)']"
7,Round 1,"Doireann Obrianⓒ , Bhargav Bhamidipati , Brynley Hamer","['3 DURHAM A (OG)', ""2 OPEN Don't Tell Dan Lahav (CG)"", '1 NU Kaizen (OO)', '0 COMPOSITE An Najah 3 (CO)']"
8,Round 1,"Dani Georgievⓒ , Jaymal Lodha , Sophie FT","['3 COMPOSITE Bread and Roses (CO)', '2 COMPOSITE Open Tau Y&E (OO)', '1 TCDHIST Demolition crew (OG)', '0 OPEN Passive Aggressive (CG)']"
9,Round 1,"Mateusz Wójtowiczⓒ , Anna-Ruth Cockerham , Olivia Mackender","['3 EDINBURGH Guess Which One Of Us Is On Ket (OG)', '2 UCDLAWSOC ACC (CG)', '1 OPEN IIT Bombay MR (CO)', '0 JAKARTA Trostsky is Hotsky (OO)']"
10,Round 1,"Lena Kolleⓒ , Liam Oldrey , Maciej Lulewicz","['3 OPEN Break the tab not the quarantine (OG)', '2 OPEN VIT Z (CO)', '1 NU A (OO)', '0 TELAVIV NAPAz (CG)']"
11,Round 1,"Milos Marjanovicⓒ , Anthony Treacy","['3 OPEN Taking Debating Seriously (OG)', '2 OPEN TBD (OO)', '1 VIT Zara Zara (CG)', '0 NU Bella Ciao (CO)']"
12,Round 1,"Nicole O Sullivanⓒ , Desmond Fairall , Tawfique Elahi","['3 OXFORD Fluorescent Adolescents (CO)', '2 VIT Redacted (CG)', '1 NU Bushido (OO)', '0 NU Just team (OG)']"
13,Round 2,"Klaudia Maciejewskaⓒ , Gwylim Taylor , Sophie FT","['3 ASTANA Astana A (CO)', '2 TELAVIV NAPAz (OO)', '1 JAKARTA Trostsky is Hotsky (CG)', '0 COMPOSITE An Najah 3 (OG)']"
14,Round 2,"Lucy Murphyⓒ , Anh Quynh , Mateusz Wójtowicz","['3 OPEN [KDA] Thanks Jacklin :D (CO)', '2 COMPOSITE Bread and Roses (CG)', '1 EDINBURGH Bloods (OG)', '0 BDU Berlin A (OO)']"
15,Round 2,"Dani Georgievⓒ , Caitriona O Brien , Reed","['3 LEIDEN "" ‘Leiden A but without the self-co (OO)', '2 KNU I promise to be fresh (CG)', '1 BDU Crazy Broke Asians (OG)', '0 NU Just team (CO)']"
16,Round 2,"Lovro Spremⓒ , Bhargav Bhamidipati , Dafna Haran","['3 BDU The prancing ponies (CG)', '2 WARWICK A (CO)', '1 VIT Zara Zara (OO)', '0 NU Bushido (OG)']"
17,Round 2,"Nicole O Sullivanⓒ , Liam Oldrey , Sean Pearce","['3 COMPOSITE Open Tau Y&E (CG)', '2 CARLETON BG (OG)', '1 COMPOSITE IIT B&D (OO)', '0 BELGRADE TBA (CO)']"
18,Round 2,"Jacklin Kwanⓒ , Alia Gilbrecht , Josh Freeman","['3 OPEN Passive Aggressive (OO)', '2 BRISTOL A (CG)', '1 NEWCASTLE Carpe Yeetum (CO)', '0 NU Bella Ciao (OG)']"
19,Round 2,"Milos Marjanovicⓒ , Fabian Beitsma , Pranav Kagalkar , Shvabh Chakarwarti","[""3 CAMBRIDGE Cromwell's Men are Here Again (OO)"", '2 OPEN Break the tab not the quarantine (CO)', '1 DURHAM A (CG)', '0 TCDHIST We both resigned in disgrace (OG)']"
20,Round 2,"Katharina Jansenⓒ , Brynley Hamer , Jaymal Lodha","['3 COMPOSITE An Najah 1 (OG)', '2 EDINBURGH Guess Which One Of Us Is On Ket (CG)', '1 UCDLAWSOC ACC (CO)', ""0 COMPOSITE Goose's Gurus (OO)""]"
21,Round 2,"Marta Vasićⓒ , Olga Enikeeva , Sameer Shaikh","['3 VIT The Bee Gees (OG)', '2 NU NU Z (CO)', '1 COMPOSITE An Najah 2 (CG)', '0 OPEN VIT Z (OO)']"
22,Round 2,"Doireann Obrianⓒ , Alexandra Lovell , Anna-Ruth Cockerham","['3 EDINBURGH A (OO)', '2 NU A (CO)', '1 OPEN IIT Bombay MR (CG)', '0 VIT Chai Sutta (OG)']"
23,Round 2,"Lena Kolleⓒ , Anthony Treacy , Tawfique Elahi","['3 TCDHIST reverse the polarity of the neutron (OO)', '2 NU Kaizen (OG)', '1 STANDREWS SB (CO)', '0 TCDHIST Demolition crew (CG)']"
