,Round Name,Panel,Rankings
0,Round 1,Alia YaoⒸ,"['1 LearningLeaders B (O)', '0 ACJC A (P)']"
1,Round 1,Shitij MalikⒸ,"['1 CIS (O)', '0 ACJC B (P)']"
2,Round 1,Elakiya AnanthakrishnanⒸ,"['1 Deerfield Academy (P)', '0 Team Macau (O)']"
3,Round 1,Francois BritsⒸ,"['1 ISDS Orange (O)', '0 YK Pao (P)']"
4,Round 1,"Chansol ParkⒸ , Arth Mishra , Emily Scrimgeour","['1 Singapore (P)', '0 ISDS White (O)']"
5,Round 1,Nguyễn Đức PhúⒸ,"['1 Team Romania (O)', '0 Korea Blue (P)']"
6,Round 1,Rajdeep MukherjeeⒸ,"['1 Korea Red (P)', '0 Shorin Global A (O)']"
7,Round 1,Jeriel ChuaⒸ,"['1 WSDC Korea (P)', '0 LearningLeaders A (O)']"
8,Round 1,"Mahin De SilvaⒸ , Chia-Yin Lin , Sowmya Srinivasan","['1 WSDC Vietnam A (O)', '0 LearningLeaders C (P)']"
9,Round 1,"Siti AnastasiaⒸ , Maansi Bhavnani , Narayan Sharma","['1 New Zealand (P)', '0 Takezono (O)']"
10,Round 1,"Claire RyanⒸ , Erin SuzukiⓉ , Naaz HafizⓉ","['1 Taiwan Red (O)', '0 SAS (P)']"
11,Round 1,"Devin HewageⒸ , Cindy Gao , Shahaznani Shaharuddin","['1 Taiwan White (O)', '0 Shorin Global B (P)']"
12,Round 1,Andria ChenⒸ,"['1 Sri KDU A (O)', '0 Utsunomiya B (P)']"
13,Round 1,Anthony PaxtonⒸ,"['1 WSDC Vietnam B (O)', '0 Sri KDU B (P)']"
14,Round 1,"Prithvi ArunⒸ , Immaculata James , Yumi Arisaka","['1 Taiwan Blue (O)', '0 Sri Lanka (P)']"
15,Round 1,"Vee Nis LingⒸ , Yu-Chieh (Melody) ChiangⓉ","['1 WSDC Bangladesh (O)', '0 Swing (P)']"
16,Round 1,Radu SuciuⒸ,"['1 WSDC Philippines B (P)', '0 Utsunomiya A (O)']"
17,Round 1,Simona MaziluⒸ,"['1 WSDC Hong Kong (P)', '0 WSDC Philippines A (O)']"
18,Round 2,Shitij MalikⒸ,"['1 ACJC A (P)', '0 Utsunomiya B (O)']"
19,Round 2,"Siti AnastasiaⒸ , Arth Mishra , Eric Kazadi","['1 ACJC B (O)', '0 Shorin Global B (P)']"
20,Round 2,Radu SuciuⒸ,"['1 WSDC Bangladesh (O)', '0 CIS (P)']"
21,Round 2,"Andria ChenⒸ , Erin Suzuki , Maansi Bhavnani","['1 WSDC Hong Kong (O)', '0 Deerfield Academy (P)']"
22,Round 2,"Mahin De SilvaⒸ , Alia Yao , Emily Scrimgeour","['1 Team Romania (P)', '0 ISDS Orange (O)']"
23,Round 2,"Anthony PaxtonⒸ , Yu-Chieh (Melody) ChiangⓉ","['1 ISDS White (O)', '0 YK Pao (P)']"
24,Round 2,Francois BritsⒸ,"['1 Korea Blue (P)', '0 SAS (O)']"
25,Round 2,Simona MaziluⒸ,"['1 WSDC Korea (O)', '0 Korea Red (P)']"
26,Round 2,Sowmya SrinivasanⒸ,"['1 LearningLeaders A (P)', '0 Team Syria (O)']"
27,Round 2,Rajdeep MukherjeeⒸ,"['1 Taiwan Blue (O)', '0 LearningLeaders B (P)']"
28,Round 2,Devin HewageⒸ,"['1 LearningLeaders C (O)', '0 Sri KDU B (P)']"
29,Round 2,"Nguyễn Đức PhúⒸ , Chia-Yin Lin , Cindy Gao","['1 Singapore (P)', '0 New Zealand (O)']"
30,Round 2,"Vee Nis LingⒸ , Naaz HafizⓉ , Shahaznani ShaharuddinⓉ","['1 Takezono (P)', '0 Shorin Global A (O)']"
31,Round 2,Elakiya AnanthakrishnanⒸ,"['1 Taiwan Red (O)', '0 Sri KDU A (P)']"
32,Round 2,"Chansol ParkⒸ , Cayman Giordano , Narayan Sharma","['1 Sri Lanka (P)', '0 Utsunomiya A (O)']"
33,Round 2,Jeriel ChuaⒸ,"['1 WSDC Vietnam B (P)', '0 Taiwan White (O)']"
34,Round 2,"Claire RyanⒸ , Immaculata JamesⓉ , Yumi ArisakaⓉ","['1 WSDC Philippines A (O)', '0 Team Macau (P)']"
35,Round 2,"Prithvi ArunⒸ , Aurora Liu , Mohamad Yahia Sammouneh","['1 WSDC Philippines B (O)', '0 WSDC Vietnam A (P)']"
36,Round 3,Elakiya AnanthakrishnanⒸ,"['1 ACJC A (O)', '0 ACJC B (P)']"
37,Round 3,Maansi BhavnaniⒸ,"['1 CIS (O)', '0 SAS (P)']"
38,Round 3,Narayan SharmaⒸ,"['1 Deerfield Academy (O)', '0 Taiwan White (P)']"
39,Round 3,Andria ChenⒸ,"['1 ISDS Orange (P)', '0 LearningLeaders B (O)']"
40,Round 3,Jeriel ChuaⒸ,"['1 ISDS White (P)', '0 LearningLeaders C (O)']"
41,Round 3,"Siti AnastasiaⒸ , Aurora Liu , Erin Suzuki","['1 WSDC Philippines A (P)', '0 Korea Blue (O)']"
42,Round 3,Nguyễn Đức PhúⒸ,"['1 Sri Lanka (O)', '0 Korea Red (P)']"
43,Round 3,"Claire RyanⒸ , Devin Hewage , Eric Kazadi , Naaz HafizⓉ","['1 WSDC Hong Kong (O)', '0 LearningLeaders A (P)']"
44,Round 3,Arth MishraⒸ,"['1 New Zealand (P)', '0 Takezono (O)']"
45,Round 3,Shitij MalikⒸ,"['1 Team Macau (O)', '0 Shorin Global A (P)']"
46,Round 3,Simona MaziluⒸ,"['1 Sri KDU B (O)', '0 Shorin Global B (P)']"
47,Round 3,"Mahin De SilvaⒸ , Cayman Giordano , Shahaznani Shaharuddin , Yu-Chieh (Melody) ChiangⓉ","['1 Singapore (O)', '0 WSDC Bangladesh (P)']"
48,Round 3,Radu SuciuⒸ,"['1 Sri KDU A (P)', '0 WSDC Vietnam A (O)']"
49,Round 3,"Chansol ParkⒸ , Anthony Paxton , Mohamad Yahia Sammouneh","['1 Taiwan Red (O)', '0 Taiwan Blue (P)']"
50,Round 3,"Vee Nis LingⒸ , Cindy Gao , Sowmya Srinivasan , Immaculata JamesⓉ","['1 Team Romania (O)', '0 WSDC Philippines B (P)']"
51,Round 3,Clarice TeeⒸ,"['1 Team Syria (P)', '0 YK Pao (O)']"
52,Round 3,Rajdeep MukherjeeⒸ,"['1 Utsunomiya A (P)', '0 Utsunomiya B (O)']"
53,Round 3,"Prithvi ArunⒸ , Chia-Yin Lin , Francois Brits","['1 WSDC Korea (P)', '0 WSDC Vietnam B (O)']"
54,Round 5,"Claire RyanⒸ , Naaz HafizⓉ","['1 Singapore (P)', '0 ACJC A (O)']"
55,Round 5,"Alia YaoⒸ , Andria Chen , Chansol Park","['1 WSDC Vietnam A (O)', '0 ACJC B (P)']"
56,Round 5,"Vee Nis LingⒸ , Cindy Gao , Tim Gamez","['1 Sri Lanka (P)', '0 CIS (O)']"
57,Round 5,"Shitij MalikⒸ , Mohamad Yahia Sammouneh , Shahaznani Shaharuddin","['1 Korea Red (O)', '0 Deerfield Academy (P)']"
58,Round 5,"Radu SuciuⒸ , Aurora Liu , Francois Brits","['1 ISDS Orange (O)', '0 New Zealand (P)']"
59,Round 5,"Mahin De SilvaⒸ , Yumi ArisakaⓉ","['1 WSDC Philippines B (P)', '0 ISDS White (O)']"
60,Round 5,"Elakiya AnanthakrishnanⒸ , Anthony Paxton , Cayman Giordano","['1 Korea Blue (O)', '0 Taiwan White (P)']"
61,Round 5,Emily ScrimgeourⒸ,"['1 LearningLeaders A (O)', '0 Takezono (P)']"
62,Round 5,Chia-Yin LinⒸ,"['1 LearningLeaders B (P)', '0 Sri KDU A (O)']"
63,Round 5,Simona MaziluⒸ,"['1 LearningLeaders C (P)', '0 Shorin Global A (O)']"
64,Round 5,Rajdeep MukherjeeⒸ,"['1 SAS (P)', '0 YK Pao (O)']"
65,Round 5,Sowmya SrinivasanⒸ,"['1 Shorin Global B (O)', '0 Utsunomiya B (P)']"
66,Round 5,Eric KazadiⒸ,"['1 Sri KDU B (P)', '0 Utsunomiya A (O)']"
67,Round 5,"Siti AnastasiaⒸ , Erin Suzuki , Nguyễn Đức Phú","['1 Taiwan Blue (O)', '0 Team Macau (P)']"
68,Round 5,Devin HewageⒸ,"['1 Team Romania (O)', '0 Taiwan Red (P)']"
69,Round 5,Prithvi ArunⒸ,"['1 WSDC Philippines A (O)', '0 Team Syria (P)']"
70,Round 5,"Maansi BhavnaniⒸ , Yu-Chieh (Melody) ChiangⓉ","['1 WSDC Bangladesh (O)', '0 WSDC Vietnam B (P)']"
71,Round 5,Narayan SharmaⒸ,"['1 WSDC Hong Kong (P)', '0 WSDC Korea (O)']"
