,Round Name,Panel,Rankings
0,Round 1,"Olja Bošnjakⓒ , Lucie Slamova , Matthew Creese","['3 Anarcho Primitivist Porn Addicts (CO)', '2 :0000000 (CG)', '1 In this essay I will (OO)', '0 @jack owns our Twitter (OG)']"
1,Round 1,"Noam Dahanⓒ , Franka Boender , Namita Pandey","['3 One of us is Literally A Cyborg (CG)', '2 A tournament for Marxist extensions (OG)', '1 Swing B (OO)', '0 Jew must be kidding (CO)']"
2,Round 1,Melda Erenⓒ,"['3 Backhalf to The Future (OO)', '2 Edinburgh Aaa (CO)', '1 Heroes from Southampton (CG)', '0 CyberHummus (OG)']"
3,Round 1,"Mateusz Wójtowiczⓒ , Rose Fils-Aime","['3 [KDA] The Real ULU A (OG)', '2 To die hating OO, that was freedom (OO)', '1 BasiLL Drop Queens (CG)', '0 East India Company (CO)']"
4,Round 1,"Ife Grilloⓒ , Edith Chow , Joris Graff","['3 BDU at BDU but not BDU (OG)', '2 The doomsday clock Tiks more Toks (CG)', '1 TCD HIST owes us an apology (OO)', '0 [KDA] Amsterdam A (CO)']"
5,Round 1,"Arie Moraⓒ , Alexandra Lovell , Chesta Behl","['3 Edinburgh (C)apitalist Hellscape (OO)', '2 Your mom is a three-body problem (CO)', '1 Mayan Apocalypse (OG)', '0 Blue Pills (CG)']"
6,Round 1,"Dafna Haranⓒ , Oscar Raimes , Sean Pearce","['3 Team underscore Name (CG)', '2 Bristol CyberSpunk (OG)', '1 I have no mouth and I must debate (OO)', '0 Depresso with milk (CO)']"
7,Round 1,"Dani Georgievⓒ , Maciej Lulewicz","['3 pirates (CO)', '2 [KDA] Open the door, ProjectDebater (OG)', '1 Edinburgh B (CG)', '0 CDA Yoda & Skywalker (OO)']"
8,Round 1,"Lucy Murphyⓒ , Alicja Filbier","['3 demand utopia (CG)', '2 The zoom where it happens (OO)', ""1 Wait, this isn't Cyberpunk 2077 (OG)"", '0 Crimea river (CO)']"
9,Round 1,"Klaudia Maciejewskaⓒ , Elijah Morris , Kseniia Vybornova","['3 Guess who is in denial about EUDC (CO)', '2 Moscow A (OO)', '1 Electric Sheep (OG)', '0 Zara Zara (CG)']"
10,Round 1,"Tudor Musatⓒ , Gwylim Taylor , Tomer Galanti","['3 Goose’s Gang (OG)', '2 “you’re breathtaking” (CG)', '1 Swing A (OO)', '0 Spongebob Screams (CO)']"
11,Round 1,"Ron Leizrowiceⓒ , Leauren Ji , Lucy McManus","['3 Mammoth (OG)', '2 Green Nude Eel (CG)', '1 UCM MI (OO)', '0 Haifa A&L (CO)']"
12,Round 2,"Noam Dahanⓒ , Gwylim Taylor , Tomer Galanti","['3 :0000000 (CO)', '2 Your mom is a three-body problem (OG)', '1 Moscow A (CG)', '0 Edinburgh Aaa (OO)']"
13,Round 2,"Melda Erenⓒ , Dafna Haran , Sean Pearce","['3 To die hating OO, that was freedom (CO)', '2 Bristol CyberSpunk (CG)', '1 “you’re breathtaking” (OG)', '0 A tournament for Marxist extensions (OO)']"
14,Round 2,"Lucy Murphyⓒ , Edith Chow , Ron Leizrowice","['3 [KDA] The Real ULU A (CG)', '2 demand utopia (CO)', '1 Anarcho Primitivist Porn Addicts (OO)', '0 One of us is Literally A Cyborg (OG)']"
15,Round 2,"Tudor Musatⓒ , Matthew Creese , Rose Fils-Aime","['3 Team underscore Name (OG)', '2 Guess who is in denial about EUDC (CG)', '1 Backhalf to The Future (CO)', '0 Goose’s Gang (OO)']"
16,Round 2,"Mateusz Wójtowiczⓒ , Chesta Behl , Leauren Ji","['3 BasiLL Drop Queens (OO)', '2 In this essay I will (CO)', '1 Electric Sheep (CG)', '0 Edinburgh B (OG)']"
17,Round 2,"Emily Frizellⓒ , Lucie Slamova , Namita Pandey","['3 pirates (CG)', '2 Edinburgh (C)apitalist Hellscape (OG)', '1 BDU at BDU but not BDU (OO)', '0 Mammoth (CO)']"
18,Round 2,"Franka Boenderⓒ , Maciej Lulewicz","['3 East India Company (CG)', '2 Crimea river (OG)', '1 Jew must be kidding (OO)', '0 Blue Pills (CO)']"
19,Round 2,"Alicja Filbierⓒ , Reed","['3 [KDA] Amsterdam A (CG)', '2 Depresso with milk (OG)', '1 @jack owns our Twitter (OO)', '0 CDA Yoda & Skywalker (CO)']"
20,Round 2,"Olja Bošnjakⓒ , Alexandra Lovell","['3 CyberHummus (OO)', '2 Haifa A&L (OG)', '1 Spongebob Screams (CG)', '0 Zara Zara (CO)']"
21,Round 2,"Klaudia Maciejewskaⓒ , Lucas de Carvalho , Oscar Raimes","['3 The zoom where it happens (OG)', '2 [KDA] Open the door, ProjectDebater (CG)', '1 Green Nude Eel (CO)', '0 The doomsday clock Tiks more Toks (OO)']"
22,Round 2,"Dani Georgievⓒ , Elijah Morris , Kshitij Bakshi","['3 TCD HIST owes us an apology (CO)', '2 UCM MI (OG)', '1 I have no mouth and I must debate (CG)', '0 Heroes from Southampton (OO)']"
23,Round 2,"Arie Moraⓒ , Joris Graff , Kseniia Vybornova","['3 Swing B (OG)', '2 Mayan Apocalypse (OO)', '1 Swing A (CG)', ""0 Wait, this isn't Cyberpunk 2077 (CO)""]"
24,Round 3,"Emily Frizellⓒ , Chesta Behl , Maciej Lulewicz","['3 The zoom where it happens (CG)', '2 Guess who is in denial about EUDC (OG)', '1 :0000000 (OO)', '0 [KDA] Open the door, ProjectDebater (CO)']"
25,Round 3,"Matthew Creeseⓒ , Alicja Filbier , Oscar Raimes","['3 The doomsday clock Tiks more Toks (OG)', '2 Electric Sheep (OO)', '1 Haifa A&L (CG)', '0 A tournament for Marxist extensions (CO)']"
26,Round 3,"Mateusz Wójtowiczⓒ , Leauren Ji , Rose Fils-Aime","['3 BDU at BDU but not BDU (CO)', '2 TCD HIST owes us an apology (OG)', '1 Anarcho Primitivist Porn Addicts (CG)', '0 Bristol CyberSpunk (OO)']"
27,Round 3,"Noam Dahanⓒ , Olja Bošnjak , Reed","['3 Backhalf to The Future (CG)', '2 One of us is Literally A Cyborg (OO)', '1 In this essay I will (OG)', '0 Swing B (CO)']"
28,Round 3,"Lucy Murphyⓒ , Franka Boender , Joris Graff","['3 Edinburgh (C)apitalist Hellscape (CO)', '2 BasiLL Drop Queens (OG)', '1 demand utopia (OO)', '0 Your mom is a three-body problem (CG)']"
29,Round 3,"Lucie Slamovaⓒ , Kseniia Vybornova , Parth Pandya","['3 Edinburgh B (CO)', '2 Zara Zara (OG)', '1 Jew must be kidding (CG)', '0 Blue Pills (OO)']"
30,Round 3,"Arie Moraⓒ , Sowmya Srinivasan , Tomer Galanti","['3 CDA Yoda & Skywalker (OG)', '2 Spongebob Screams (OO)', '1 @jack owns our Twitter (CG)', '0 Heroes from Southampton (CO)']"
31,Round 3,"Tudor Musatⓒ , Alexandra Lovell , Sean Pearce","['3 CyberHummus (CO)', '2 Moscow A (OG)', '1 Mammoth (OO)', '0 Crimea river (CG)']"
32,Round 3,"Dani Georgievⓒ , Abigail Leblanc , Kshitij Bakshi , Namita Pandey","['3 UCM MI (CO)', '2 “you’re breathtaking” (OO)', '1 Green Nude Eel (OG)', '0 Depresso with milk (CG)']"
33,Round 3,"Klaudia Maciejewskaⓒ , Lucas de Carvalho , Lucy McManus","['3 [KDA] Amsterdam A (OO)', '2 Goose’s Gang (CO)', '1 East India Company (OG)', '0 Mayan Apocalypse (CG)']"
34,Round 3,"Dafna Haranⓒ , Edith Chow , Elijah Morris","[""3 Wait, this isn't Cyberpunk 2077 (OO)"", '2 Swing A (CO)', '1 Edinburgh Aaa (CG)', '0 I have no mouth and I must debate (OG)']"
35,Round 3,"Melda Erenⓒ , Gwylim Taylor , Ron Leizrowice","['3 To die hating OO, that was freedom (CG)', '2 [KDA] The Real ULU A (OO)', '1 Team underscore Name (CO)', '0 pirates (OG)']"
36,Round 4,"Dani Georgievⓒ , Lucy Murphy , Sean Pearce , Sowmya Srinivasan","['3 :0000000 (OO)', '2 TCD HIST owes us an apology (CG)', '1 [KDA] Amsterdam A (OG)', '0 CyberHummus (CO)']"
37,Round 4,"Tomer Galantiⓒ , Rose Fils-Aime","['3 I have no mouth and I must debate (CO)', '2 Depresso with milk (OO)', '1 Heroes from Southampton (OG)', '0 A tournament for Marxist extensions (CG)']"
38,Round 4,"Emily Frizellⓒ , Alexandra Lovell , Lucy McManus","['3 Edinburgh B (OO)', '2 “you’re breathtaking” (CO)', '1 Anarcho Primitivist Porn Addicts (OG)', '0 One of us is Literally A Cyborg (CG)']"
39,Round 4,"Melda Erenⓒ , Matthew Creese , Olja Bošnjak","['3 Team underscore Name (OO)', '2 BDU at BDU but not BDU (CG)', '1 Backhalf to The Future (OG)', '0 Guess who is in denial about EUDC (CO)']"
40,Round 4,"Noam Dahanⓒ , Alicja Filbier , Lucie Slamova","['3 demand utopia (OG)', '2 pirates (OO)', '1 BasiLL Drop Queens (CO)', '0 UCM MI (CG)']"
41,Round 4,"Gwylim Taylorⓒ , Kshitij Bakshi","['3 @jack owns our Twitter (CO)', '2 Zara Zara (OO)', '1 Blue Pills (OG)', '0 Crimea river (CG)']"
42,Round 4,"Dafna Haranⓒ , Joris Graff , Kseniia Vybornova","['3 Bristol CyberSpunk (CO)', '2 Edinburgh Aaa (OG)', '1 East India Company (OO)', '0 In this essay I will (CG)']"
43,Round 4,"Arie Moraⓒ , Chesta Behl , Leauren Ji","['3 Haifa A&L (OO)', '2 Mayan Apocalypse (CO)', '1 Jew must be kidding (OG)', '0 CDA Yoda & Skywalker (CG)']"
44,Round 4,"Mateusz Wójtowiczⓒ , Abigail Leblanc , Tudor Musat","['3 The zoom where it happens (CO)', '2 [KDA] The Real ULU A (OO)', '1 To die hating OO, that was freedom (OG)', '0 Edinburgh (C)apitalist Hellscape (CG)']"
45,Round 4,"Reedⓒ , Edith Chow , Franka Boender","['3 Green Nude Eel (OO)', '2 Electric Sheep (CO)', '1 Spongebob Screams (OG)', '0 Mammoth (CG)']"
46,Round 4,"Klaudia Maciejewskaⓒ , Maciej Lulewicz , Namita Pandey","['3 [KDA] Open the door, ProjectDebater (OO)', '2 Moscow A (OG)', '1 Goose’s Gang (CG)', '0 The doomsday clock Tiks more Toks (CO)']"
47,Round 4,"Ron Leizrowiceⓒ , Elijah Morris , Lucas de Carvalho","['3 Your mom is a three-body problem (OO)', ""2 Wait, this isn't Cyberpunk 2077 (CG)"", '1 Swing B (CO)', '0 Swing A (OG)']"
48,Gold Final,"Emily Frizellⓒ , Arie Mora , Lucy Murphy , Matthew Creese , Namita Pandey","['1 The zoom where it happens (OG)', '0 [KDA] The Real ULU A (OO)', '0 Team underscore Name (CG)', '0 To die hating OO, that was freedom (CO)']"
49,Silver Finals,"Klaudia Maciejewskaⓒ , Dafna Haran , Dani Georgiev , Franka Boender , Gwylim Taylor","['1 Backhalf to The Future (CO)', '0 :0000000 (OO)', '0 BDU at BDU but not BDU (OG)', '0 demand utopia (CG)']"
50,Pro-Am Final,"Mateusz Wójtowiczⓒ , Alexandra Lovell , Lucie Slamova , Maciej Lulewicz , Sean Pearce","['1 pirates (OO)', '0 Bristol CyberSpunk (CG)', '0 Edinburgh (C)apitalist Hellscape (CO)', '0 “you’re breathtaking” (OG)']"
