,Round Name,Panel,Rankings
0,Round 1,"Kevin Yapⓒ , Mikkel Neri","['3 3/4 Chinese (OO)', '2 Spot the am (CO)', '1 Stable vpn plz (OG)', '0 Yeeeet (CG)']"
1,Round 1,Reedⓒ,"['3 amomentplease (OG)', '2 Cows and boars (CO)', '1 Not in the same class (CG)', '0 4-Month Summer Vacation (OO)']"
2,Round 1,"Kanan Ishizakaⓒ , Micol John Cansino","['3 Intermediate Calculus (OG)', '2 Am I edible? (CO)', '1 I love Jets (OO)', '0 Gamada (CG)']"
3,Round 1,"Eric Kazadiⓒ , Abbie Leung","['3 Heckin Bamboozle (CO)', '2 Circuit Breaker (OG)', '1 Brooklyn99 Fans (CG)', '0 Avengers (swing) (OO)']"
4,Round 1,"Kuberan Hansrajh Kumaresanⓒ , Mehak Shah","['3 Boomer-Millennial Cross (CO)', '2 Crilled Gheese (OO)', '1 Tribute to Nas Daily (CG)', '0 Jason & Johnny (OG)']"
5,Round 1,"Ooi Hon Sonⓒ , Bob Ngai , An Khanh Leⓣ","['3 Frequency (OO)', '2 Lost in Causeway Bay (OG)', '1 Jogjakarta (CO)', '0 CDC The DJ (CG)']"
6,Round 1,Nimaya Harrisⓒ,"['3 duck (CG)', '2 Now That You Find Me (OG)', '1 Grumpy Cats (OO)', '0 Phyto-lick fun club (CO)']"
7,Round 1,Ralph Leeⓒ,"['3 Yoda and Panda (CG)', '2 Dumplings (OO)', '1 Stardust Crusaders (OG)', '0 meow (CO)']"
8,Round 2,"Kuberan Hansrajh Kumaresanⓒ , Mehak Shah , An Khanh Leⓣ","['3 Heckin Bamboozle (CG)', '2 amomentplease (OO)', '1 duck (CO)', '0 3/4 Chinese (OG)']"
9,Round 2,"Bob Ngaiⓒ , Ralph Lee","['3 Yeeeet (CO)', '2 Gamada (OG)', '1 Phyto-lick fun club (OO)', '0 4-Month Summer Vacation (CG)']"
10,Round 2,"Ooi Hon Sonⓒ , Reed","['3 Am I edible? (OG)', '2 Spot the am (CG)', '1 Circuit Breaker (OO)', '0 Dumplings (CO)']"
11,Round 2,Micol John Cansinoⓒ,"['3 meow (OO)', '2 Avengers (swing) (OG)', '1 Jason & Johnny (CG)', '0 CDC The DJ (CO)']"
12,Round 2,"Mikkel Neriⓒ , Eric Kazadi , Avo Nguyenⓣ","['3 Frequency (CO)', '2 Yoda and Panda (OG)', '1 Boomer-Millennial Cross (CG)', '0 Intermediate Calculus (OO)']"
13,Round 2,Kanan Ishizakaⓒ,"['3 Not in the same class (OG)', '2 Grumpy Cats (CG)', '1 Tribute to Nas Daily (CO)', '0 Brooklyn99 Fans (OO)']"
14,Round 2,"Kevin Yapⓒ , Abbie Leung , Do Phan Quynh Chiⓣ","['3 Lost in Causeway Bay (CO)', '2 Cows and boars (OG)', '1 Crilled Gheese (CG)', '0 Now That You Find Me (OO)']"
15,Round 2,Nimaya Harrisⓒ,"['3 Jogjakarta (CG)', '2 Stardust Crusaders (OO)', '1 I love Jets (OG)', '0 Stable vpn plz (CO)']"
16,Round 3,"Reedⓒ , Bob Ngai","['3 Intermediate Calculus (OO)', '2 3/4 Chinese (CO)', '1 Crilled Gheese (OG)', '0 Stardust Crusaders (CG)']"
17,Round 3,Kanan Ishizakaⓒ,"['3 Stable vpn plz (OO)', '2 4-Month Summer Vacation (CO)', '1 CDC The DJ (OG)', '0 swing (CG)']"
18,Round 3,"Kuberan Hansrajh Kumaresanⓒ , Abbie Leung , Do Phan Quynh Chiⓣ","['3 Yoda and Panda (CO)', '2 Heckin Bamboozle (OO)', '1 Frequency (OG)', '0 Am I edible? (CG)']"
19,Round 3,"Ralph Leeⓒ , Nimaya Harris","['3 Boomer-Millennial Cross (OG)', '2 Spot the am (OO)', '1 amomentplease (CO)', '0 Lost in Causeway Bay (CG)']"
20,Round 3,"Mikkel Neriⓒ , Ooi Hon Son , An Khanh Leⓣ","['3 Brooklyn99 Fans (OG)', '2 I love Jets (CO)', '1 Phyto-lick fun club (CG)', '0 Jason & Johnny (OO)']"
21,Round 3,"Mehak Shahⓒ , Kevin Yap","['3 Grumpy Cats (OG)', '2 Circuit Breaker (CO)', '1 Yeeeet (OO)', '0 meow (CG)']"
22,Round 3,Micol John Cansinoⓒ,"['3 Jogjakarta (OG)', '2 duck (OO)', '1 Not in the same class (CO)', '0 Cows and boars (CG)']"
23,Round 3,Eric Kazadiⓒ,"['3 Gamada (CO)', '2 Dumplings (OG)', '1 Now That You Find Me (CG)', '0 Tribute to Nas Daily (OO)']"
24,Round 4,Kuberan Hansrajh Kumaresanⓒ,"['3 3/4 Chinese (CG)', '2 Am I edible? (OO)', '1 duck (OG)', '0 Grumpy Cats (CO)']"
25,Round 4,"Mikkel Neriⓒ , Kanan Ishizaka , An Khanh Leⓣ","['3 Tribute to Nas Daily (CG)', '2 4-Month Summer Vacation (OG)', '1 Stardust Crusaders (CO)', '0 Now That You Find Me (OO)']"
26,Round 4,"Ralph Leeⓒ , Avo Nguyenⓣ","['3 Spot the am (OG)', '2 amomentplease (CG)', '1 Boomer-Millennial Cross (OO)', '0 Intermediate Calculus (CO)']"
27,Round 4,"Mehak Shahⓒ , Bob Ngai","['3 meow (OG)', '2 I love Jets (CG)', '1 Cows and boars (OO)', '0 Brooklyn99 Fans (CO)']"
28,Round 4,"Eric Kazadiⓒ , Do Phan Quynh Chiⓣ","['3 swing (OO)', '2 Jason & Johnny (CO)', '1 Phyto-lick fun club (OG)', '0 CDC The DJ (CG)']"
29,Round 4,"Ooi Hon Sonⓒ , Abbie Leung","['3 Gamada (OG)', '2 Circuit Breaker (CG)', '1 Not in the same class (OO)', '0 Lost in Causeway Bay (CO)']"
30,Round 4,"Micol John Cansinoⓒ , Nimaya Harris","['3 Crilled Gheese (CO)', '2 Dumplings (OO)', '1 Yeeeet (OG)', '0 Stable vpn plz (CG)']"
31,Round 4,"Reedⓒ , Kevin Yap","['3 Yoda and Panda (OO)', '2 Frequency (CG)', '1 Heckin Bamboozle (OG)', '0 Jogjakarta (CO)']"
32,Round 5,"Micol John Cansinoⓒ , Kanan Ishizaka","['3 amomentplease (CG)', '2 Gamada (OO)', '1 Boomer-Millennial Cross (CO)', '0 3/4 Chinese (OG)']"
33,Round 5,"Abbie Leungⓒ , An Khanh Leⓣ","['3 Stardust Crusaders (CG)', '2 Brooklyn99 Fans (OO)', '1 4-Month Summer Vacation (OG)', '0 Now That You Find Me (CO)']"
34,Round 5,"Ralph Leeⓒ , Kevin Yap","['3 Am I edible? (CO)', '2 Crilled Gheese (OO)', '1 Circuit Breaker (OG)', '0 Intermediate Calculus (CG)']"
35,Round 5,"Reedⓒ , Do Phan Quynh Chiⓣ","['3 CDC The DJ (OO)', '2 Jason & Johnny (CO)', '1 Phyto-lick fun club (CG)', '0 swing (OG)']"
36,Round 5,"Mikkel Neriⓒ , Avo Nguyenⓣ","['3 Lost in Causeway Bay (OO)', '2 Cows and boars (OG)', '1 Yeeeet (CG)', '0 Stable vpn plz (CO)']"
37,Round 5,"Nimaya Harrisⓒ , Kuberan Hansrajh Kumaresan","['3 duck (CO)', '2 Jogjakarta (OO)', '1 meow (OG)', '0 Grumpy Cats (CG)']"
38,Round 5,"Ooi Hon Sonⓒ , Eric Kazadi","['3 Not in the same class (OO)', '2 Dumplings (CG)', '1 I love Jets (CO)', '0 Tribute to Nas Daily (OG)']"
39,Round 5,"Mehak Shahⓒ , Bob Ngai","['3 Frequency (CO)', '2 Spot the am (OO)', '1 Heckin Bamboozle (OG)', '0 Yoda and Panda (CG)']"
40,Pre-Semifinals,"Kanan Ishizakaⓒ , Abbie Leung , Nimaya Harris","['1 Am I edible? (CG)', '1 Gamada (OO)', '0 Crilled Gheese (OG)', '0 Not in the same class (CO)']"
41,Pre-Semifinals,"Micol John Cansinoⓒ , Kuberan Hansrajh Kumaresan , Ooi Hon Son","['1 Boomer-Millennial Cross (OG)', '1 Heckin Bamboozle (OO)', '0 duck (CG)', '0 Jogjakarta (CO)']"
42,Semifinals,"Ralph Leeⓒ , Bob Ngai , Mehak Shah , Ooi Hon Son , Reed","['1 Am I edible? (OO)', '1 Spot the am (CG)', '0 Frequency (OG)', '0 Gamada (CO)']"
43,Semifinals,"Kevin Yapⓒ , Eric Kazadi , Kuberan Hansrajh Kumaresan , Micol John Cansino , Mikkel Neri","['1 Boomer-Millennial Cross (CO)', '1 Yoda and Panda (OO)', '0 amomentplease (CG)', '0 Heckin Bamboozle (OG)']"
44,Grand Finals,"Nimaya Harrisⓒ , Abbie Leung , Eric Kazadi , Kuberan Hansrajh Kumaresan , Ralph Lee","['1 Am I edible? (CG)', '0 Boomer-Millennial Cross (OG)', '0 Spot the am (CO)', '0 Yoda and Panda (OO)']"
