,Round Name,Panel,Rankings
0,Round 1,"DavidⒸ , Syed","['3 420 Soubletze It (OG)', '2 In Pursuit Of Dispute (CG)', '1 TBD (OO)', ""0 St. Mark's School (CO)""]"
1,Round 1,"TerenceⒸ , Hana","['3 Kings & Elites (CG)', '2 Shanghai RN (OG)', '1 Cempaka G (CO)', '0 EDC SENATORS (OO)']"
2,Round 1,AmirulⒸ,"['3 Old Ideal Cold Boys (CG)', '2 Ching Chung Ling Long (OO)', '1 TUNAZ  β (OG)', '0 TL (CO)']"
3,Round 1,AmyⒸ,"['3 🥥🥥🥥 (CO)', '2 Team Morocco (CG)', '1 TUNAZ α (OO)', '0 We debate with the judge (OG)']"
4,Round 2,HanaⒸ,"['3 Kings & Elites (OO)', '2 🥥🥥🥥 (OG)', '1 420 Soubletze It (CG)', '0 Old Ideal Cold Boys (CO)']"
5,Round 2,"AmyⒸ , Syed","['3 Cempaka G (OO)', '2 TUNAZ α (CG)', '1 TBD (OG)', '0 TUNAZ  β (CO)']"
6,Round 2,TerenceⒸ,"['3 Shanghai RN (CG)', '2 In Pursuit Of Dispute (CO)', '1 Ching Chung Ling Long (OG)', '0 Team Morocco (OO)']"
7,Round 2,AmirulⒸ,"['3 EDC SENATORS (CG)', '2 We debate with the judge (CO)', ""1 St. Mark's School (OG)"", '0 TL (OO)']"
8,Round 3,SyedⒸ,"['3 Shanghai RN (CO)', '2 420 Soubletze It (OO)', '1 🥥🥥🥥 (CG)', '0 Kings & Elites (OG)']"
9,Round 3,"HanaⒸ , Amy","['3 Cempaka G (CG)', '2 EDC SENATORS (OG)', '1 In Pursuit Of Dispute (OO)', '0 TUNAZ α (CO)']"
10,Round 3,DavidⒸ,"['3 Ching Chung Ling Long (CO)', '2 Old Ideal Cold Boys (OG)', '1 We debate with the judge (OO)', '0 TBD (CG)']"
11,Round 3,AmirulⒸ,"[""3 St. Mark's School (OO)"", '2 Team Morocco (CO)', '1 TUNAZ  β (CG)', '0 TL (OG)']"
12,Semifinals,"SyedⒸ , Amy , Terence","['1 420 Soubletze It (OO)', '1 Kings & Elites (OG)', '0 Cempaka G (CO)', '0 EDC SENATORS (CG)']"
13,Semifinals,"AmirulⒸ , David , Hana","['1 Shanghai RN (CG)', '1 🥥🥥🥥 (CO)', '0 Ching Chung Ling Long (OO)', '0 Old Ideal Cold Boys (OG)']"
