,Round Name,Panel,Rankings
0,Round 1,Tyson Dennis-SharmaⒸ,"['1 APtV A (P)', '0 LinkedKey DMZZ (O)']"
1,Round 1,"Arghya Dev Biswas AryanⒸ , Audrey Hsu , Meehakk Mulani","['1 EEC Team 3 (O)', '0 ASPADE Panama (P)']"
2,Round 1,Thamera NaickerⒸ,"['1 Bangladesh Bangladesh WSDC (O)', '0 SF Squeaky Frog (P)']"
3,Round 1,Jason XiaoⒸ,"['1 Pigeon Pigeon (O)', '0 Canada Zhuologist (P)']"
4,Round 1,"Evan ShenⒸ , Reza Qurban-Ali , Vivian Zhang","['1 Chipmunks JSLRD (P)', '0 EEC Team 4 (O)']"
5,Round 1,Zarina Bell-GamⒸ,"['1 Mexico Red (O)', '0 CVA Avocates (P)']"
6,Round 1,Senkai HsiaⒸ,"['1 WPGA A (O)', '0 Denmark Development (P)']"
7,Round 1,Tracey LeeⒸ,"['1 Mexico Green (O)', '0 EDC Team 1 (P)']"
8,Round 1,Allan LeeⒸ,"['1 Eton Wong Gang (P)', '0 EDC Team 2 (O)']"
9,Round 1,"HarishⒸ , Mohamad Yahia Sammouneh","['1 FDT Blue (P)', '0 EEC Team 1 (O)']"
10,Round 1,Mattea RoachⒸ,"['1 EEC Team 2 (P)', '0 UwU UwU (O)']"
11,Round 1,"Peter KoczanskiⒸ , Alex Gagne","['1 FDT Black (O)', '0 LinkedKey CCL (P)']"
12,Round 1,Eric KazadiⒸ,"['1 FDT Green (P)', '0 McCallie The Rookies (O)']"
13,Round 1,Shudipto R AhmedⒸ,"['1 Quebec A (O)', '0 FDT Pink (P)']"
14,Round 1,Chansol ParkⒸ,"['1 FDT Purple (O)', '0 Vancouver A (P)']"
15,Round 1,"Brent SchmidtⒸ , Jerneja Logaj , William Cahill","['1 FDT Red (P)', '0 Ivy+ Lamppost (O)']"
16,Round 1,"Shaniaé MaharajⒸ , Marta AnielskaⓉ","['1 VDA 3 (P)', '0 Independent Cheetos For Life (O)']"
17,Round 1,"Enting LeeⒸ , Marcus Nonn","['1 Independent just vibin (O)', '0 LinkedKey DLN (P)']"
18,Round 1,"Leora DiakuwⒸ , Rodrigo Jiménez Alemán , Zack Hassan","['1 Independent Organic Roasted Seaweed (P)', '0 VDA 1 (O)']"
19,Round 1,"Naomi PanovkaⒸ , Alice May Jones","['1 TDT TDT (P)', '0 LinkedKey SSW (O)']"
20,Round 1,Anwyn DiakuwⒸ,"['1 OM Outstanding Moves (P)', '0 McCallie Intermediate Debaters (O)']"
21,Round 1,"Eta KrpanecⒸ , Delaney Hurley","['1 SASDB Strelitzia (O)', '0 VDA 2 (P)']"
22,Round 1,Abhinav R BathulaⒸ,"['1 STEAM FOO (O)', '0 Saskatoon A (P)']"
23,Round 1,Arsalan GhaemiⒸ,"['1 ZIP Slovenia (O)', '0 Taiwan White (P)']"
24,Round 2,"Evan ShenⒸ , Shaniaé Maharaj","['1 APtV A (P)', '0 FDT Red (O)']"
