,Round Name,Panel,Rankings
0,Round 1,"Isaac BothamⒸ , David Chen","['3 Crosby A (CG)', ""2 GUU (I've been to Canada once) (OO)"", '1 2 Cute 2 be 4gotten (CO)', '0 the dream team (OG)']"
1,Round 1,"Ethan CurryⒸ , Kayla Pietrobono","['3 Former DCC A? (OO)', '2 A Dictatorship of No Hair Cuts (OG)', '1 we love AOC (CO)', '0 Parthicc (CG)']"
2,Round 1,"Micaela LewisⒸ , Gabriel Duguay , Kiana Saint-Macary","['3 ACAB (OG)', '2 Mayan Apocalypse (CO)', '1 Team names are overrated (OO)', '0 Dream Quaranteam (CG)']"
3,Round 1,"Har Naveenjeet SinghⒸ , Amrit Agastia","['3 Khan We Please Break? (CO)', '2 KC (OO)', '1 Chard (CG)', '0 Why Not (OG)']"
4,Round 1,"WesleyⒸ , Oleg Oleynikov","['3 check out luxide on soundcloud (OO)', '2 SFU1 (CG)', '1 Jesus in tweed (OG)', '0 Men In Blue (CO)']"
5,Round 1,"Selihom AndargeⒸ , Rody Visotski","['3 NaEmma (CG)', ""2 Varsity Boys' Basketball (CO)"", '1 Door Hinge (OG)', '0 N/A (OO)']"
6,Round 1,"Jade ZhongⒸ , Aonkon Dey , Deepansh Jawrani","['3 Netball is a Real Sport (CO)', '2 Nexus (OO)', '1 OwO (OG)', '0 *spicy* (CG)']"
7,Round 1,"Mehdi BouchentoufⒸ , Ananya Venkatesan , Shitij Malik","['3 Swing 1 (OO)', '2 Woke Bois (OG)', '1 The ChanChanMen (CO)', '0 We Can Speak Mandarin (CG)']"
8,Round 2,"Jade ZhongⒸ , Kayla Pietrobono","['3 Door Hinge (CO)', '2 2 Cute 2 be 4gotten (OG)', '1 Jesus in tweed (OO)', '0 The ChanChanMen (CG)']"
9,Round 2,"Lochlann KerrⒸ , Deepansh Jawrani","[""3 Varsity Boys' Basketball (OO)"", '2 A Dictatorship of No Hair Cuts (CO)', '1 SFU1 (OG)', ""0 GUU (I've been to Canada once) (CG)""]"
10,Round 2,"Isaac BothamⒸ , Shitij Malik","['3 NaEmma (CO)', '2 Crosby A (OO)', '1 ACAB (CG)', '0 check out luxide on soundcloud (OG)']"
11,Round 2,"Oleg OleynikovⒸ , Ananya Venkatesan","['3 Chard (OO)', '2 OwO (CO)', '1 we love AOC (CG)', '0 Team names are overrated (OG)']"
12,Round 2,Ethan CurryⒸ,"['3 *spicy* (CO)', '2 Dream Quaranteam (OO)', '1 Parthicc (OG)', '0 the dream team (CG)']"
13,Round 2,"Rody VisotskiⒸ , Gabriel Duguay","['3 Khan We Please Break? (OO)', '2 Netball is a Real Sport (OG)', '1 Swing 1 (CO)', '0 Former DCC A? (CG)']"
14,Round 2,Selihom AndargeⒸ,"['3 Mayan Apocalypse (OO)', '2 Woke Bois (CG)', '1 KC (CO)', '0 Nexus (OG)']"
15,Round 2,"Kiana Saint-MacaryⒸ , David Chen","['3 Men In Blue (OO)', '2 Why Not (CG)', '1 N/A (OG)', '0 We Can Speak Mandarin (CO)']"
16,Round 3,"Charmaine StrongⒸ , Kiana Saint-Macary","['3 Former DCC A? (CO)', '2 2 Cute 2 be 4gotten (OO)', '1 check out luxide on soundcloud (CG)', '0 *spicy* (OG)']"
