,Round Name,Panel,Rankings
0,Round 1,"Arka Dev Biswas Deepraⓒ , Farhan Fuad Chowdhury","['3 CCPC 1 (OO)', '2 NDDC 2 (CG)', '1 ACC 1 (OG)', '0 RCDC 2 (CO)']"
1,Round 1,"Sadid Murshedⓒ , Nawar Anzara","['3 JDC 1 (CO)', '2 ACC 2 (CG)', '1 VDC 1 (OG)', '0 CCPC 2 (OO)']"
2,Round 1,"Estelle Novenka Florensⓒ , AFZ","['3 ADC 1 (OG)', '2 JDC 2 (OO)', '1 BISC 1 (CG)', '0 MMU 1 (CO)']"
3,Round 1,"Jubayer Ibn Hamidⓒ , Wasi Kabir","['3 MMD 1 (CO)', '2 DSDC 1 (OG)', '1 ADC 2 (OO)', '0 BNMDC 1 (CG)']"
4,Round 1,"Irhum Shafkatⓒ , Tawfique Elahi","['3 MMD 2 (CG)', '2 DC 1 (OG)', '1 WDC 2 (CO)', '0 BISC 2 (OO)']"
5,Round 1,"Parinda Rahmanⓒ , Fahim Ahmed Aurko , Mithi Sarwar","['3 IHSBDC 1 (CO)', '2 RCDC 1 (CG)', '1 NDDC 3 (OG)', '0 IDC 1 (OO)']"
6,Round 1,"Turza Sahaⓒ , Mahdi Uddin Ahmed","['3 MAD 1 (CG)', '2 WDC 1 (CO)', '1 NDDC 1 (OO)', '0 IHSBDC 2 (OG)']"
7,Round 2,"Ahmad Tousif Jamiⓒ , Fahim Ahmed Aurkoⓣ","['3 WDC 2 (CG)', '2 ADC 2 (CO)', '1 ACC 1 (OO)', '0 RCDC 2 (OG)']"
8,Round 2,"Sadid Murshedⓒ , Sharthokⓣ","['3 DC 1 (CG)', '2 JDC 2 (OG)', '1 ACC 2 (OO)', '0 NDDC 1 (CO)']"
9,Round 2,"Jubayer Ibn Hamidⓒ , Rafiush Safin , Mahdi Uddin Ahmedⓣ","['3 ADC 1 (OO)', '2 MAD 1 (CO)', '1 MMD 1 (OG)', '0 CCPC 1 (CG)']"
10,Round 2,"Irhum Shafkatⓒ , Mithi Sarwar , Wasi Kabirⓣ","['3 BISC 1 (OG)', '2 VDC 1 (CO)', '1 MMU 1 (CG)', '0 Swing 1 (OO)']"
11,Round 2,"Tawfique Elahiⓒ , Arka Dev Biswas Deepra","['3 IDC 1 (OG)', '2 BNMDC 1 (OO)', '1 CCPC 2 (CG)', '0 BISC 2 (CO)']"
