,Round Name,Panel,Rankings
0,Round 1,"Conna Leslie-Keefeⓒ , Rushdoon Ahmedⓣ","['3 Corona (CG)', '2 Jeanie and Stormie (OO)', '1 A Team Has No Name (OG)', '0 gIA đỊNh (CO)']"
1,Round 1,"Michael Donaghue-Evansⓒ , Shitij Malik","['3 Across the Line (OO)', '2 GLC KT (CO)', '1 Apapun (OG)', '0 Double N (CG)']"
2,Round 1,"Lê Minh Túⓒ , Raghav Bherwani , Jenski Nguyenⓣ","['3 DDD (OG)', '2 Xenocrates (CG)', '1 Swing 1 (OO)', ""0 Annika's Haters (CO)""]"
3,Round 1,Josh Taylorⓒ,"['3 Potato Farm (CG)', '2 Anonymous (CO)', '1 Sao Cũng Được (OG)', '0 We found each other quite easily (OO)']"
4,Round 1,Liang Tianⓒ,"['3 ato tab ab (OG)', '2 BERNIEng Away (CO)', '1 Life of POI (CG)', '0 Random Almond (OO)']"
5,Round 1,"Abigail Leblancⓒ , Pranav Dinesh Kumar , Priyanka Das , Sumaiya Akterⓣ","['3 We Fight During Prep Time (CG)', '2 The Batman (OG)', '1 CAN I SPEAK TO YOUR MANAGER? (CO)', '0 BA 1 (OO)']"
6,Round 1,"Connor O'Brienⓒ , Declan Chua Qi Xunⓣ","['3 Yare Yare Dazai (OO)', '2 The Novices (CO)', '1 CDC Elizabeth (OG)', '0 piano (CG)']"
7,Round 1,"Arghya Dev Biswas Aryanⓒ , Justin Lim","['3 Curry Lives Matter (OO)', '2 Swing 2 (CO)', '1 SMASH (CG)', '0 KQ (OG)']"
8,Round 1,"Andrew Mooreⓒ , Lê Gia Huy","['3 Rogue Fighter (OG)', '2 Evangelion (CG)', '1 Kem Wabi (OO)', '0 Hanoi Pinky (CO)']"
9,Round 1,"Ariel Limⓒ , Nitin Kumar Saidha","['3 Swing 3 (OO)', '2 Pomé (OG)', '1 Give us CO(ffee) (CG)', '0 Joker (CO)']"
10,Round 1,"Srijit Talukdarⓒ , Bhargav Bhamidipatiⓣ","['3 KGP-F (CG)', '2 Team Morocco (CO)', '1 Yay!Deb8 (OO)', '0 Vegan Wolves (OG)']"
11,Round 2,"Michael Donaghue-Evansⓒ , Shitij Malik","['3 A Team Has No Name (CO)', '2 Yay!Deb8 (OG)', '1 gIA đỊNh (CG)', '0 SMASH (OO)']"
12,Round 2,"Lê Minh Túⓒ , Lê Gia Huy , Ryan Lim","['3 ato tab ab (OO)', '2 Curry Lives Matter (CG)', '1 We Fight During Prep Time (OG)', '0 Across the Line (CO)']"
13,Round 2,"Andrew Mooreⓒ , Bhargav Bhamidipati","[""3 Annika's Haters (CG)"", '2 piano (OO)', '1 Random Almond (CO)', '0 Wonder Twins (OG)']"
14,Round 2,"James Panⓒ , Srijit Talukdar","['3 BERNIEng Away (CG)', '2 GLC KT (OG)', '1 Anonymous (OO)', '0 Evangelion (CO)']"
15,Round 2,"Tran Xuan Thangⓒ , Liang Tian , Justin Limⓣ","['3 Joker (OO)', '2 Apapun (CG)', '1 Sao Cũng Được (CO)', '0 CAN I SPEAK TO YOUR MANAGER? (OG)']"
16,Round 2,"Ariel Limⓒ , Priyanka Das","['3 BA 1 (CO)', '2 The Determiners (OG)', '1 Vegan Wolves (CG)', '0 Hanoi Pinky (OO)']"
17,Round 2,"Abigail Leblancⓒ , Raghav Bherwani , Jenski Nguyenⓣ","['3 Life of POI (OG)', '2 Give us CO(ffee) (CO)', '1 CDC Elizabeth (CG)', '0 Double N (OO)']"
18,Round 2,"Arghya Dev Biswas Aryanⓒ , Pranav Dinesh Kumar , Sumaiya Akterⓣ","['3 DDD (OO)', '2 KGP-F (OG)', '1 Rogue Fighter (CG)', '0 Pomé (CO)']"
19,Round 2,"Josh Taylorⓒ , Nitin Kumar Saidha","['3 Jeanie and Stormie (CO)', '2 Team Morocco (OO)', '1 The Batman (CG)', '0 Kem Wabi (OG)']"
20,Round 2,Connor O'Brienⓒ,"['3 Potato Farm (OO)', '2 The Novices (OG)', '1 Yare Yare Dazai (CG)', '0 Xenocrates (CO)']"
21,Round 3,"James Panⓒ , Nitin Kumar Saidha","['3 We Fight During Prep Time (OO)', '2 Rogue Fighter (CO)', ""1 Annika's Haters (OG)"", '0 A Team Has No Name (CG)']"
22,Round 3,"Cavan Tayⓒ , Srijit Talukdar , Pranav Dinesh Kumarⓣ","['3 Joker (OG)', '2 Give us CO(ffee) (OO)', '1 Across the Line (CG)', '0 The Batman (CO)']"
23,Round 3,"Connor O'Brienⓒ , Lê Minh Tú","['3 Yay!Deb8 (CO)', '2 Anonymous (CG)', '1 Apapun (OO)', '0 BA 1 (OG)']"
24,Round 3,"Michael Donaghue-Evansⓒ , Boris Lam , Rahul Datta","['3 ato tab ab (CO)', '2 DDD (CG)', '1 Potato Farm (OG)', '0 KGP-F (OO)']"
25,Round 3,"Abigail Leblancⓒ , Justin Lim , Raghav Bherwani","['3 Curry Lives Matter (CO)', '2 BERNIEng Away (OO)', '1 Yare Yare Dazai (OG)', '0 Jeanie and Stormie (CG)']"
26,Round 3,"Ariel Limⓒ , Shitij Malik , Thu Nguyen Minhⓣ","['3 Evangelion (OO)', '2 Pomé (CG)', '1 Xenocrates (OG)', '0 CDC Elizabeth (CO)']"
27,Round 3,"Arghya Dev Biswas Aryanⓒ , Tran Xuan Thang","['3 gIA đỊNh (OO)', '2 Double N (CO)', '1 Wonder Twins (CG)', '0 Hanoi Pinky (OG)']"
28,Round 3,"Conna Leslie-Keefeⓒ , Priyanka Das , Ryan Lim","['3 GLC KT (CG)', '2 Team Morocco (OG)', '1 The Novices (OO)', '0 Life of POI (CO)']"
29,Round 3,"Oliver Cumminsⓒ , Liang Tian","['3 Kem Wabi (CG)', '2 The Determiners (OO)', '1 Vegan Wolves (CO)', '0 SMASH (OG)']"
30,Round 4,"Conna Leslie-Keefeⓒ , Cavan Tay , Thu Nguyen Minh","['3 Life of POI (CG)', '2 KGP-F (CO)', '1 A Team Has No Name (OO)', '0 Anonymous (OG)']"
31,Round 4,"Ryan Limⓒ , Justin Lim","['3 Pomé (OO)', '2 Across the Line (OG)', '1 The Determiners (CG)', '0 Kem Wabi (CO)']"
32,Round 4,"Michael Donaghue-Evansⓒ , Liang Tian , Srijit Talukdar","[""3 Annika's Haters (OO)"", '2 Yare Yare Dazai (CO)', '1 Jeanie and Stormie (OG)', '0 The Novices (CG)']"
33,Round 4,"James Cafferkyⓒ , Raghav Bherwani","['3 gIA đỊNh (OG)', '2 Apapun (CO)', '1 The Batman (OO)', '0 CDC Elizabeth (CG)']"
34,Round 4,"Ariel Limⓒ , Nitin Kumar Saidha , Tran Xuan Thang","['3 ato tab ab (CG)', '2 GLC KT (OO)', '1 Curry Lives Matter (OG)', '0 DDD (CO)']"
35,Round 4,"Arghya Dev Biswas Aryanⓒ , Rahul Datta , Shitij Malik , Jenski Nguyenⓣ","['3 Potato Farm (CO)', '2 We Fight During Prep Time (OO)', '1 BERNIEng Away (OG)', '0 Team Morocco (CG)']"
36,Round 4,"James Panⓒ , Pranav Dinesh Kumar","['3 piano (CO)', '2 Swing 1 (CG)', '1 Vegan Wolves (OO)', '0 Double N (OG)']"
37,Round 4,"Oliver Cumminsⓒ , Lê Gia Huy , Priyanka Das","['3 Rogue Fighter (OO)', '2 Give us CO(ffee) (OG)', '1 Joker (CG)', '0 Yay!Deb8 (CO)']"
38,Round 4,"Abigail Leblancⓒ , Lê Minh Tú","['3 Random Almond (OG)', '2 Wonder Twins (OO)', '1 SMASH (CO)', '0 Hanoi Pinky (CG)']"
39,Round 5,"Arghya Dev Biswas Aryanⓒ , Pranav Dinesh Kumar , Rahul Datta","['3 Across the Line (OO)', '2 A Team Has No Name (OG)', '1 Team Morocco (CG)', '0 The Determiners (CO)']"
40,Round 5,"Connor O'Brienⓒ , Lê Gia Huy","[""3 Annika's Haters (OO)"", '2 Pomé (OG)', '1 Give us CO(ffee) (CO)', '0 gIA đỊNh (CG)']"
41,Round 5,"Michael Donaghue-Evansⓒ , Shitij Malik","['3 The Novices (OG)', '2 Anonymous (OO)', '1 The Batman (CO)', '0 Random Almond (CG)']"
42,Round 5,"Ariel Limⓒ , Tran Xuan Thang","['3 piano (OG)', '2 Apapun (CO)', '1 Jeanie and Stormie (OO)', '0 Yay!Deb8 (CG)']"
43,Round 5,"Abigail Leblancⓒ , Lê Minh Tú , Raghav Bherwani","['3 ato tab ab (CO)', '2 GLC KT (CG)', '1 Potato Farm (OG)', '0 Rogue Fighter (OO)']"
44,Round 5,"James Cafferkyⓒ , Liang Tian , Srijit Talukdar","['3 Curry Lives Matter (OG)', '2 DDD (CG)', '1 BERNIEng Away (OO)', '0 We Fight During Prep Time (CO)']"
45,Round 5,"Conna Leslie-Keefeⓒ , Nitin Kumar Saidha","['3 Swing 1 (OG)', '2 Wonder Twins (CO)', '1 Hanoi Pinky (OO)', '0 SMASH (CG)']"
46,Round 5,"James Panⓒ , Justin Lim","['3 KGP-F (CG)', '2 Yare Yare Dazai (OG)', '1 Life of POI (OO)', '0 Joker (CO)']"
47,Quarterfinals,"Abigail Leblancⓒ , Liang Tian , Madeline Schultz","[""1 Annika's Haters (OO)"", '1 GLC KT (CO)', '0 Across the Line (OG)', '0 Life of POI (CG)']"
48,Quarterfinals,"Michael Donaghue-Evansⓒ , Ryan Lim , Thu Nguyen Minh","['1 ato tab ab (OO)', '1 We Fight During Prep Time (CG)', '0 Apapun (CO)', '0 Rogue Fighter (OG)']"
49,Quarterfinals,"Oliver Cumminsⓒ , Priyanka Das , Tran Xuan Thang","['1 KGP-F (CG)', '1 Potato Farm (OG)', '0 BERNIEng Away (CO)', '0 Pomé (OO)']"
50,Quarterfinals,"James Panⓒ , Lê Gia Huy , Pranav Dinesh Kumar","['1 DDD (OO)', '1 Yare Yare Dazai (CG)', '0 Curry Lives Matter (CO)', '0 The Novices (OG)']"
51,Semifinals,"Amrit Agastiaⓒ , Ariel Lim , Lê Minh Tú , Shitij Malik , Tran Xuan Thang","['1 DDD (OO)', '1 Yare Yare Dazai (OG)', ""0 Annika's Haters (CO)"", '0 GLC KT (CG)']"
52,Semifinals,"Madeline Schultzⓒ , Arghya Dev Biswas Aryan , Lê Gia Huy , Rahul Datta , Srijit Talukdar","['1 ato tab ab (OG)', '1 Potato Farm (CO)', '0 KGP-F (CG)', '0 We Fight During Prep Time (OO)']"
53,Grand Final,"James Panⓒ , Abigail Leblanc , Amrit Agastia , Connor O'Brien , Lê Gia Huy , Michael Donaghue-Evans , Tran Xuan Thang","['1 Potato Farm (OO)', '0 ato tab ab (CG)', '0 DDD (OG)', '0 Yare Yare Dazai (CO)']"
