,Round Name,Panel,Rankings
0,Round 1,"Dani GeorgievⒸ , Omkar Masurkar","['3 THP Opening Government in danger to (OG)', '2 Vienna X (OO)', '1 93rd minute substitution (CG)', '0 Cambridge JB (CO)']"
1,Round 1,Roy SchulmanⒸ,"[""3 Can't stop thinking about your ex? (OG)"", '2 Berlin A (OO)', '1 Bristol F (CG)', '0 AlmostSwing 1 (CO)']"
2,Round 1,"Ido KotlerⒸ , Amaar","['3 Durham A (OO)', '2 Persistent Pufferfish (OG)', '1 Cambridge Dim Sum Chicken Rice (CO)', '0 Amsterdam A (CG)']"
3,Round 1,"Lena KolleⒸ , Arie Mora","['3 Astana A (CO)', '2 Belgrade C (CG)', '1 Eton RA (OG)', '0 St Andrews B (OO)']"
4,Round 1,"AnqiⒸ , Lucy McManus","['3 Eton HR (OG)', '2 Asterix and Obelix (CG)', '1 Oxford C U in the bin room (CO)', '0 Edinburgh C (OO)']"
5,Round 1,"Anna ShrederⒸ , Francois Brits","['3 Chipotle with Aristotle (OO)', '2 Bristol B (CO)', '1 GPT-3 are ya winning? (OG)', '0 Phil A (CG)']"
6,Round 1,"Uphie AbdurrahmanⒸ , Anna-Ruth Cockerham","['3 Imperial IR (CG)', '2 ""🥺"" girl and ""bruh"" girl solidarity (OG)', ""1 This isn't the small NAMDA pro am b (OO)"", '0 Butter Knife (CO)']"
7,Round 1,"Marta VasićⒸ , Saad Khan","['3 LSE A (OG)', '2 Cambridge AC (CG)', '1 Zagreb A + Bristol A (CO)', '0 Sksksksksk (OO)']"
8,Round 1,"Hadar GoldbergⒸ , Brynley Hamer","['3 Tilbury House DH (OG)', '2 Vienna A (CG)', '1 Oxford B (CO)', '0 Delhi Belly (OO)']"
9,Round 1,"IfeⒸ , Sean Pearce","['3 Edinburgh B (CG)', '2 UDS camgirls (OG)', '1 UCL AI (CO)', '0 Dhoni Shakib partnership (OO)']"
10,Round 1,"Tom ManorⒸ , Spencer Shia","['3 Hist B (CO)', '2 Edinburgh A (CG)', '1 NU C (OG)', '0 LSE C (OO)']"
11,Round 1,"Enting LeeⒸ , Josh Freeman","['3 University of Bucharest (CG)', '2 GPT-3 in a trenchcoat (CO)', '1 Eton AM (OO)', '0 Phoenix (OG)']"
12,Round 1,"Klaudia MaciejewskaⒸ , Tawfique Elahi","['3 правый похоронный (CG)', '2 Who framed Petar Rabbit? (OO)', '1 Eton JC (OG)', '0 Hexing the moon to get higher speak (CO)']"
