,Round Name,Panel,Rankings
0,Round 1,"Noam ShurinⒸ , Iman Iftikhar , Marina Shew","['3 McGill RM (CO)', '2 ind. ZN (OG)', '1 Aston HM (CG)', '0 VIT SB (OO)']"
1,Round 1,"Aashia BoseⒸ , Joanna Ding , Parth Pandya","['3 Tamil Nadu PS (CG)', '2 Bard SS (OG)', '1 Hansraj DS (OO)', '0 MSRIT SH (CO)']"
2,Round 1,"Noor  BakhtⒸ , Anish Welde , Gillian Breuer","['3 Hybrid-CR CK (CO)', '2 ind. SJ (OG)', '1 Beaconhouse SQ (OO)', '0 Bristol AB (CG)']"
3,Round 1,"Enshia LiⒸ , Clara Martorano , Mozaien Tak","['3 BUET TT (CO)', '2 Kinnaird MT (OO)', '1 UWODS CW (OG)', '0 McGill RN (CG)']"
4,Round 1,"Clarence BrontëⒸ , Matthew Wilson","['3 Saskatchewan DV (CG)', '2 Carleton OZ (CO)', '1 Kyiv BV (OO)', '0 MSRIT PR (OG)']"
5,Round 1,"Niki LinganurⒸ , Ishan Singh , Zeina Melhem","['3 W&M ST (CG)', '2 Christ BS (OO)', '1 UChicago MO (OG)', '0 ind. NN (CO)']"
6,Round 1,"Hadley ParumⒸ , Bossypants , Christina Wang","['3 Cornell KZ (CO)', '2 ind. PS (OG)', '1 Cornell CP (OO)', ""0 Queen's LM (CG)""]"
7,Round 1,"Eva-Marie QuinonesⒸ , Ceylan Borgers , Leauren Ji","['3 ind. BS (OO)', '2 ind. TT (OG)', '1 Kinnaird SH (CO)', '0 EDS SL (CG)']"
8,Round 1,"Nikhila PushadapuⒸ , Emily Howe , Jeric Pauig","['3 Froebels BF (CO)', '2 MSRIT NH (CG)', '1 Nazarbayev ZZ (OG)', '0 Nazarbayev TA (OO)']"
9,Round 1,"Jessica AwurumⒸ , Abigail Robbins , Beth Blanchette","['3 ind. HL (OO)', '2 SF-UofA Hybrid CJ (CG)', '1 ind. TS (CO)', '0 Hart House WR (OG)']"
10,Round 1,"Thamera NaickerⒸ , Joanne Johnson , Kimia Raahemifar","['3 ind. GG (OO)', '2 SVC AB (CO)', '1 ind. RF (OG)', '0 ind. AAL (CG)']"
11,Round 1,"Alexandra LovellⒸ , Adya Sharma","['3 LGS IS (OO)', '2 ind. AK (CO)', '1 Nazarbayev BA (CG)', '0 MSRIT KK (OG)']"
12,Round 1,"Elaina TaylorⒸ , Hayley Arlin , Naama Or","['3 ind. CZ (CG)', '2 ind. JW (OG)', '1 MSRIT AB (CO)', '0 Nazarbayev AI (OO)']"
13,Round 1,"Micaela LewisⒸ , Cameron Chacon , Chris Beasley","['3 ind. LI (CO)', '2 NMIMS SOL BC (OO)', '1 ind. SA (CG)', '0 ind. NA (OG)']"
14,Round 1,"Betsy StudholmeⒸ , Khushi Totla , Meghan Ackland","['3 ind. LW (CO)', '2 Miranda KP (OO)', '1 ind. SS (CG)', '0 SDCPII SB (OG)']"
15,Round 1,"Ivy XuⒸ , Astha Jakher , The Bell Jar","['3 Miranda YR (CO)', ""2 Queen's XC (OO)"", '1 York YJ (CG)', '0 USDS DD (OG)']"
16,Round 2,"Alexandra LovellⒸ , Ceylan Borgers , Ishan Singh","['3 York YJ (OO)', '2 Aston HM (CO)', '1 Hansraj DS (OG)', '0 Cornell CP (CG)']"
17,Round 2,"Thamera NaickerⒸ , Gillian Breuer","['3 NMIMS SOL BC (CO)', '2 Bard SS (OO)', '1 ind. AK (OG)', '0 ind. TT (CG)']"
18,Round 2,"Jessica AwurumⒸ , Joanna Ding , Leauren Ji","['3 ind. RF (OO)', '2 UWODS CW (CG)', '1 Beaconhouse SQ (OG)', '0 Nazarbayev ZZ (CO)']"
19,Round 2,"Navneet KhubberⒸ , Emily Howe","[""3 Queen's LM (OG)"", '2 ind. NN (OO)', '1 Nazarbayev TA (CG)', '0 Bristol AB (CO)']"
20,Round 2,"Meghan AcklandⒸ , Beth Blanchette , Naama Or","['3 ind. GG (CG)', '2 W&M ST (OO)', '1 BUET TT (OG)', '0 LGS IS (CO)']"
21,Round 2,"Micaela LewisⒸ , Cameron Chacon , Jeric Pauig","['3 SF-UofA Hybrid CJ (OG)', '2 Miranda KP (CG)', '1 Carleton OZ (OO)', '0 ind. SJ (CO)']"
22,Round 2,"Eva-Marie QuinonesⒸ , Khushi Totla","['3 ind. PS (OO)', '2 Kinnaird MT (CO)', '1 SVC AB (OG)', '0 Christ BS (CG)']"
23,Round 2,"Clarence BrontëⒸ , Hayley Arlin , Joanne Johnson","['3 McGill RM (OO)', '2 Saskatchewan DV (OG)', '1 Cornell KZ (CG)', '0 ind. HL (CO)']"
24,Round 2,"Mozaien TakⒸ , Marina Shew","['3 EDS SL (OG)', '2 Hart House WR (CG)', '1 MSRIT PR (OO)', '0 MSRIT KK (CO)']"
25,Round 2,"Hadley ParumⒸ , Aashia Bose , Parth Pandya","['3 Miranda YR (OO)', '2 ind. BS (CO)', '1 ind. LW (OG)', '0 Froebels BF (CG)']"
26,Round 2,Ivy XuⒸ,"['3 Hybrid-CR CK (CG)', '2 Tamil Nadu PS (CO)', '1 ind. LI (OG)', '0 ind. CZ (OO)']"
27,Round 2,"Enshia LiⒸ , Matthew Wilson , The Bell Jar","['3 USDS DD (OO)', '2 MSRIT SH (OG)', '1 ind. AAL (CO)', '0 SDCPII SB (CG)']"
28,Round 2,"Niki LinganurⒸ , Adya Sharma , Matt Caito","['3 ind. ZN (CO)', '2 ind. JW (OO)', ""1 Queen's XC (CG)"", '0 MSRIT NH (OG)']"
29,Round 2,"Betsy StudholmeⒸ , Chris Beasley , Kimia Raahemifar","['3 McGill RN (OO)', '2 VIT SB (OG)', '1 Nazarbayev AI (CO)', '0 ind. NA (CG)']"
30,Round 2,"Elaina TaylorⒸ , Bossypants , Clara Martorano","['3 ind. SA (CO)', '2 ind. TS (CG)', '1 Kinnaird SH (OG)', '0 UChicago MO (OO)']"
31,Round 2,"Nikhila PushadapuⒸ , Astha Jakher , Christina Wang","['3 Nazarbayev BA (CO)', '2 MSRIT AB (OO)', '1 ind. SS (OG)', '0 Kyiv BV (CG)']"
32,Round 3,"Enshia LiⒸ , Joanna Ding , Marina Shew","['3 ind. TS (OO)', '2 ind. CZ (CO)', '1 Aston HM (OG)', '0 MSRIT AB (CG)']"
33,Round 3,"Jessica AwurumⒸ , Noor  Bakht","['3 Cornell KZ (OO)', '2 Bard SS (CO)', '1 York YJ (OG)', '0 BUET TT (CG)']"
34,Round 3,"Elaina TaylorⒸ , Clara Martorano","['3 Hart House WR (OO)', '2 ind. SS (OG)', '1 Beaconhouse SQ (CO)', '0 Hansraj DS (CG)']"
35,Round 3,"Betsy StudholmeⒸ , Emily Howe","['3 SDCPII SB (CO)', '2 Swing 2 (CG)', '1 Bristol AB (OG)', '0 MSRIT KK (OO)']"
36,Round 3,"Nikhila PushadapuⒸ , Iman Iftikhar , Naama Or","['3 Carleton OZ (CG)', '2 SVC AB (OO)', ""1 Queen's XC (OG)"", '0 McGill RN (CO)']"
37,Round 3,"Parth PandyaⒸ , Navneet Khubber , Sharada	Srinivasan","['3 ind. SJ (CG)', '2 Kinnaird SH (OO)', '1 MSRIT NH (CO)', '0 Christ BS (OG)']"
38,Round 3,"BossypantsⒸ , Saad Khan","['3 Cornell CP (CO)', '2 Nazarbayev AI (CG)', '1 ind. AAL (OO)', '0 Kyiv BV (OG)']"
39,Round 3,"Alexandra LovellⒸ , Gillian Breuer","['3 UWODS CW (CO)', '2 EDS SL (OO)', '1 Froebels BF (OG)', '0 LGS IS (CG)']"
40,Round 3,"Mozaien TakⒸ , Ceylan Borgers , Jeric Pauig","['3 Miranda YR (CG)', '2 McGill RM (OG)', '1 ind. GG (CO)', '0 Hybrid-CR CK (OO)']"
41,Round 3,"Micaela LewisⒸ , Khushi Totla","['3 ind. HL (OG)', ""2 Queen's LM (CO)"", '1 USDS DD (CG)', '0 ind. AK (OO)']"
42,Round 3,"Ivy XuⒸ , Beth Blanchette , Kimia Raahemifar","['3 ind. BS (CG)', '2 Saskatchewan DV (OO)', '1 NMIMS SOL BC (OG)', '0 ind. PS (CO)']"
43,Round 3,"Niki LinganurⒸ , Aashia Bose , Astha Jakher","['3 Miranda KP (OG)', '2 ind. LI (OO)', '1 ind. JW (CO)', '0 Kinnaird MT (CG)']"
44,Round 3,"Meehakk MulaniⒸ , Hayley Arlin , Matt Caito","['3 ind. RF (CO)', '2 ind. SA (OO)', '1 ind. LW (CG)', '0 Nazarbayev BA (OG)']"
45,Round 3,"Thamera NaickerⒸ , Adya Sharma , Leauren Ji","['3 ind. TT (CO)', '2 VIT SB (CG)', '1 ind. NN (OG)', '0 MSRIT SH (OO)']"
46,Round 3,"Hadley ParumⒸ , Abigail Robbins , The Bell Jar","['3 SF-UofA Hybrid CJ (CO)', '2 W&M ST (OG)', '1 ind. ZN (CG)', '0 Tamil Nadu PS (OO)']"
47,Round 3,"Cameron ChaconⒸ , Joanne Johnson","['3 UChicago MO (CG)', '2 MSRIT PR (CO)', '1 Nazarbayev TA (OG)', '0 Nazarbayev ZZ (OO)']"
48,Round 4,"Thamera NaickerⒸ , Saad Khan","['3 USDS DD (CO)', '2 Aston HM (OO)', '1 VIT SB (CG)', '0 McGill RN (OG)']"
49,Round 4,"Ivy XuⒸ , Cameron Chacon , Leauren Ji","['3 Bard SS (CO)', '2 ind. ZN (OO)', '1 Carleton OZ (OG)', '0 ind. HL (CG)']"
50,Round 4,"Nikhila PushadapuⒸ , Parth Pandya","['3 Swing 1 (OG)', '2 MSRIT KK (CG)', '1 Bristol AB (OO)', '0 Kyiv BV (CO)']"
51,Round 4,"Enshia LiⒸ , Kimia Raahemifar","['3 UChicago MO (CO)', '2 Kinnaird MT (OG)', '1 Kinnaird SH (CG)', '0 BUET TT (OO)']"
52,Round 4,"Navneet KhubberⒸ , Naama Or","['3 MSRIT PR (CG)', '2 Christ BS (CO)', '1 MSRIT NH (OO)', '0 Nazarbayev AI (OG)']"
53,Round 4,"Jessica AwurumⒸ , Joanne Johnson","['3 Froebels BF (OO)', '2 ind. SS (CO)', '1 Cornell CP (OG)', '0 Nazarbayev BA (CG)']"
54,Round 4,"Niki LinganurⒸ , Aashia Bose , Adya Sharma","['3 Miranda KP (CO)', '2 ind. RF (CG)', '1 Cornell KZ (OO)', '0 ind. SA (OG)']"
55,Round 4,"Micaela LewisⒸ , Christina Wang","['3 ind. JW (CG)', '2 Tamil Nadu PS (OG)', '1 ind. TT (OO)', '0 EDS SL (CO)']"
56,Round 4,"Clara MartoranoⒸ , Chris Beasley","['3 Swing 2 (OO)', '2 Hansraj DS (CO)', '1 MSRIT SH (CG)', '0 ind. AAL (OG)']"
57,Round 4,"Elaina TaylorⒸ , Matthew Wilson","['3 ind. LW (OO)', ""2 Queen's XC (OG)"", '1 Hart House WR (CO)', '0 ind. PS (CG)']"
58,Round 4,"Hadley ParumⒸ , Emily Howe , Hayley Arlin","['3 Hybrid-CR CK (OG)', '2 NMIMS SOL BC (CG)', '1 UWODS CW (OO)', '0 ind. TS (CO)']"
59,Round 4,"Alexandra LovellⒸ , Gillian Breuer , Matt Caito","['3 McGill RM (CG)', '2 ind. BS (OG)', '1 Miranda YR (CO)', '0 SF-UofA Hybrid CJ (OO)']"
60,Round 4,"Betsy StudholmeⒸ , Joanna Ding , Marina Shew","[""3 Queen's LM (CG)"", '2 York YJ (CO)', '1 ind. SJ (OO)', '0 ind. CZ (OG)']"
61,Round 4,"Eva-Marie QuinonesⒸ , Meehakk Mulani , Mozaien Tak","['3 W&M ST (CO)', '2 ind. GG (OG)', '1 Saskatchewan DV (OO)', '0 ind. LI (CG)']"
62,Round 4,"BossypantsⒸ , Ceylan Borgers","['3 LGS IS (OG)', '2 MSRIT AB (OO)', '1 ind. NN (CG)', '0 Nazarbayev TA (CO)']"
63,Round 5,"Nikhila PushadapuⒸ , Chris Beasley","['3 Hart House WR (OO)', '2 ind. SA (CO)', '1 ind. TS (OG)', '0 Aston HM (CG)']"
64,Round 5,"Micaela LewisⒸ , Saad Khan , Thamera Naicker","[""3 Queen's LM (OO)"", '2 Saskatchewan DV (CO)', '1 Cornell KZ (OG)', '0 Bard SS (CG)']"
65,Round 5,"Beth BlanchetteⒸ , Matt Caito , Naama Or","['3 Swing 1 (OO)', '2 McGill RN (OG)', '1 MSRIT SH (CO)', '0 Beaconhouse SQ (CG)']"
66,Round 5,"Cameron ChaconⒸ , Ceylan Borgers","['3 MSRIT KK (CG)', '2 Bristol AB (CO)', '1 ind. AAL (OO)', '0 Kyiv BV (OG)']"
67,Round 5,"Elaina TaylorⒸ , Astha Jakher","['3 Swing 2 (CO)', '2 ind. CZ (OG)', '1 Kinnaird SH (CG)', '0 BUET TT (OO)']"
68,Round 5,"Alexandra LovellⒸ , Anish Welde , Joanne Johnson","['3 Carleton OZ (CG)', '2 ind. LW (OG)', '1 USDS DD (OO)', '0 NMIMS SOL BC (CO)']"
69,Round 5,"Meehakk MulaniⒸ , Leauren Ji","['3 Nazarbayev BA (OO)', '2 MSRIT NH (CG)', '1 Christ BS (CO)', '0 Nazarbayev AI (OG)']"
70,Round 5,Enshia LiⒸ,"['3 Cornell CP (OO)', '2 EDS SL (CG)', '1 MSRIT AB (OG)', '0 VIT SB (CO)']"
