,Round Name,Panel,Rankings
0,Round 1,Tom FrankhamⒸ,"['3 Mikawa Yakitori Bar (CG)', '2 youtube.com/watch?v=dQw4w9WgXcQ (OO)', '1 Penn Drugs and Lottery Tickets (CO)', '0 420 Soubletze It (OG)']"
1,Round 1,Micol CansinoⒸ,"['3 chicken ran (OG)', '2 IN THE HOUSE (CO)', '1 Blue and Gold Victory (OO)', '0 ababa wazo (CG)']"
2,Round 1,Parth ManiktalaⒸ,"['3 Cambridge A(sians) (CO)', '2 Appa and Momo (OG)', '1 National Chengchi University (OO)', '0 Accio Rebuttal (CG)']"
3,Round 1,KimⒸ,"['3 Chinese Merchants of Death (CO)', '2 Intellectual Fantasy (OO)', '1 Aristotle (CG)', '0 PC Police (OG)']"
4,Round 1,Luigi AlcanesesⒸ,"['3 ILNU (OO)', ""2 big ed's mayo (CO)"", '1 U Macau 2 (CG)', '0 Knarriga äppelpajer (OG)']"
5,Round 1,"PloopyⒸ , Srijit TalukdarⓉ","['3 NTU Kuch Kuch Hota Hai (OG)', '2 President 1 (CO)', '1 Wits University (OO)', '0 Bob (CG)']"
6,Round 1,BunnyⒸ,"['3 Boo Who (CG)', '2 may the fourth be with you (OG)', '1 Grumpy Cat & Morgan Stanley Dog (OO)', '0 ok zoomer (CO)']"
7,Round 1,ChristinaⒸ,"['3 MSRIT A (OO)', '2 Captain our Captain (CO)', '1 E&J (CG)', '0 Honsbridge International (OG)']"
8,Round 1,Allen XiaoⒸ,"['3 Chad Domge (CO)', ""2 Taylor's Sad Law Students (OG)"", '1 NTU Dhoom Machale (OO)', '0 Milton Keynes (CG)']"
9,Round 1,"Uphie AbdurrahmanⒸ , Jian MengⓉ","['3 NTU 2 Idiots (CG)', '2 The Team (OO)', '1 Phoenix (CO)', '0 CHS EDU A (OG)']"
10,Round 1,Fardeen AmeenⒸ,"['3 Hello, fellow Southeast Asians (OO)', '2 Debate Not Therapy (CO)', '1 Learning Leaders (CG)', '0 CHS EDU B (OG)']"
11,Round 1,"Jason LeeⒸ , Priyanka DasⓉ","['3 Melon (CO)', '2 DU Daredevils (CG)', '1 DLSU thank u, next (OO)', ""0 I'M BORED (OG)""]"
12,Round 1,"Nicolas LozanoⒸ , Rahul DattaⓉ","['3 Dom & Sub (OG)', ""2 Taylor's RB (CG)"", '1 IITKGP1 (CO)', '0 Honsbridge Legends (OO)']"
13,Round 1,"Vivian ZhuⒸ , Bhargav BhamidipatiⓉ","['3 Yearn Baby Yearn (CO)', ""2 It's 4 am in California (CG)"", '1 Generally Calling for Quaranflings (OO)', '0 Piano Guys (OG)']"
14,Round 1,Inna FerminⒸ,"['3 uninvited from wsdc finals (CG)', '2 Generic (OG)', '1 Mad Women (OO)', '0 U Macau 1 (CO)']"
15,Round 1,Tamkeen NawabⒸ,"['3 Keio 1 (OG)', '2 incognito,,, (CO)', '1 U Macau 3 (CG)', '0 In Pursuit of Dispute (OO)']"
16,Round 1,Amrit AgastiaⒸ,"['3 Josh and uhh.... Maedgbh? (CG)', '2 Nekoma High (OG)', '1 Kiewtiepie (OO)', '0 Need My Morning Coffee (CO)']"
17,Round 1,Shudipto R. AhmedⒸ,"['3 Team Gama Long Time not in the game (CG)', '2 SWING A (OO)', '1 Whatever (OG)', '0 Swing B (CO)']"
18,Round 2,Shudipto R. AhmedⒸ,"['3 Mad Women (CO)', '2 NTU Dhoom Machale (OG)', '1 Grumpy Cat & Morgan Stanley Dog (CG)', '0 420 Soubletze It (OO)']"
19,Round 2,Allen XiaoⒸ,"['3 ababa wazo (OG)', '2 PC Police (OO)', '1 Accio Rebuttal (CO)', '0 In Pursuit of Dispute (CG)']"
20,Round 2,"Inna FerminⒸ , Rahul DattaⓉ","['3 incognito,,, (OO)', '2 The Team (CO)', ""1 big ed's mayo (OG)"", '0 Appa and Momo (CG)']"
21,Round 2,"BunnyⒸ , Jian MengⓉ","['3 IITKGP1 (CG)', '2 E&J (CO)', '1 Aristotle (OO)', '0 National Chengchi University (OG)']"
22,Round 2,Jason LeeⒸ,"['3 Phoenix (CG)', '2 Penn Drugs and Lottery Tickets (OO)', '1 Blue and Gold Victory (CO)', '0 U Macau 2 (OG)']"
23,Round 2,Luigi AlcanesesⒸ,"[""3 I'M BORED (OO)"", '2 Swing B (CG)', '1 Need My Morning Coffee (OG)', '0 Bob (CO)']"
