,Round Name,Panel,Rankings
0,Round 1,"Ishmamul HaqueⒸ , Prerana Rai","['3 BITSG 1 (OG)', '2 RML 1 (OO)', '1 ACC 1 (CO)', '0 ESS 1 (CG)']"
1,Round 1,Nicolas LozanoⒸ,"['3 IBA DU 1 (OG)', '2 Swing 2 (OO)', '1 CMC 1 (CO)', '0 ACPS 1 (CG)']"
2,Round 1,"Sadid MurshedⒸ , Adhara Ayandrila","['3 BITSP 1 (CO)', '2 IIT Roorkee 1 (OG)', '1 AUD 1 (CG)', '0 CCPC 1 (OO)']"
3,Round 1,Bishal PodderⒸ,"['3 NMIMS SOL 1 (OG)', '2 IIT Kanpur 1 (CO)', '1 VDC 1 (OO)', '0 BISC 1 (CG)']"
4,Round 1,Estelle Novenka FlorensⒸ,"['3 VIT 1 (CO)', '2 IBA DU 3 (OG)', '1 TU 1 (CG)', '0 BUP 1 (OO)']"
5,Round 1,"Rahul DattaⒸ , Turza Saha","['3 RBS 1 (CG)', '2 BUP 2 (OO)', '1 IUT 2 (OG)', '0 SDS 1 (CO)']"
6,Round 1,Pawan AdhikariⒸ,"['3 CU 1 (CO)', '2 DGBHS 1 (OO)', '1 BUTEX 1 (CG)', '0 IUB 1 (OG)']"
7,Round 1,"Aliya FairuzⒸ , Srijit Talukdar","['3 Composite 1 (CG)', '2 Manipal 1 (OO)', '1 KC 2 (OG)', '0 CCPC 2 (CO)']"
8,Round 1,Jumanah AhmedⒸ,"['3 MAD 1 (CG)', '2 CDC 1 (OO)', '1 SD 3 (OG)', '0 FS 1 (CO)']"
9,Round 1,"Yash ChaturvediⒸ , Rafiush Safin","['3 KC 1 (OO)', '2 CSDS 1 (CO)', '1 JDC 1 (OG)', '0 SAGC 1 (CG)']"
10,Round 1,Momotaz Rahman MeghaⒸ,"['3 IBA DU 4 (CG)', '2 SD 1 (OO)', '1 IUT 1 (OG)', '0 CU ACC 1 (CO)']"
11,Round 1,"Syed Shadab TajwarⒸ , Gazi Mahtab","['3 ILNU 1 (OO)', '2 Swing 1 (CG)', '1 NSU 1 (CO)', '0 CUFBDA 1 (OG)']"
12,Round 1,"Apratim ShrivastavⒸ , Anirvin Sharma","['3 HRC 1 (CO)', '2 MLIS 1 (CG)', '1 IBA DU 2 (OO)', '0 Ideal 1 (OG)']"
13,Round 1,"Raiyan HusainⒸ , Tawfique Elahi","['3 UCDS 1 (OG)', '2 RVCE 1 (OO)', '1 RCDC 1 (CO)', '0 SD 2 (CG)']"
14,Round 2,"Srijit TalukdarⒸ , Pawan Adhikari","['3 AUD 1 (CO)', '2 RCDC 1 (CG)', '1 SD 3 (OO)', '0 ACC 1 (OG)']"
15,Round 2,Adhara AyandrilaⒸ,"['3 BUP 1 (CO)', '2 CUFBDA 1 (OO)', '1 ACPS 1 (OG)', '0 CCPC 2 (CG)']"
16,Round 2,"Prerana RaiⒸ , Bishal Podder","['3 IIT Kharagpur 1 (OO)', '2 BISC 1 (CO)', '1 FS 1 (OG)', '0 CU ACC 1 (CG)']"
17,Round 2,Momotaz Rahman MeghaⒸ,"['3 VIT 1 (CG)', '2 HRC 1 (OO)', '1 SD 1 (OG)', '0 BITSG 1 (CO)']"
18,Round 2,"Kanishk GargⒸ , Aliya Fairuz","['3 IBA DU 1 (CG)', '2 CU 1 (OG)', '1 BITSP 1 (OO)', '0 RBS 1 (CO)']"
19,Round 2,Ishmamul HaqueⒸ,"['3 IIT Kanpur 1 (OG)', '2 IUT 2 (CO)', '1 BUP 2 (CG)', '0 IUT 1 (OO)']"
20,Round 2,Turza SahaⒸ,"['3 CMC 1 (CG)', '2 VDC 1 (OG)', '1 NSU 1 (OO)', '0 BUTEX 1 (CO)']"
21,Round 2,"Tawfique ElahiⒸ , Jumanah Ahmed","['3 CCPC 1 (CG)', '2 IUB 1 (CO)', '1 SDS 1 (OO)', '0 SAGC 1 (OG)']"
22,Round 2,"Rahul DattaⒸ , Anirvin Sharma","['3 IBA DU 3 (OO)', '2 RML 1 (OG)', '1 RVCE 1 (CO)', '0 CDC 1 (CG)']"
23,Round 2,Shudipto AhmedⒸ,"['3 Composite 1 (OG)', '2 MAD 1 (CO)', '1 UCDS 1 (OO)', '0 NMIMS SOL 1 (CG)']"
24,Round 2,"Sadid MurshedⒸ , Gazi Mahtab","['3 IIT Roorkee 1 (OO)', '2 Manipal 1 (CO)', '1 DGBHS 1 (OG)', '0 CSDS 1 (CG)']"
25,Round 2,Inqiyad PatwaryⒸ,"['3 MIST 1 (CG)', '2 ESS 1 (OG)', '1 SD 2 (OO)', '0 Ideal 1 (CO)']"
26,Round 2,"Rafiush SafinⒸ , Estelle Novenka Florens","['3 KC 2 (CG)', '2 TU 1 (OG)', '1 JDC 1 (OO)', '0 IBA DU 2 (CO)']"
27,Round 2,Nicolas LozanoⒸ,"['3 ILNU 1 (CG)', '2 KC 1 (OG)', '1 IBA DU 4 (CO)', '0 MLIS 1 (OO)']"
28,Round 3,Rafiush SafinⒸ,"['3 FS 1 (OO)', '2 ACC 1 (CG)', '1 SD 2 (OG)', '0 IUT 1 (CO)']"
29,Round 3,"Srijit TalukdarⒸ , Tawfique Elahi","['3 BUTEX 1 (OO)', '2 IBA DU 2 (OG)', '1 ACPS 1 (CO)', '0 SDS 1 (CG)']"
30,Round 3,Apratim ShrivastavⒸ,"['3 RML 1 (CG)', '2 UCDS 1 (CO)', '1 AUD 1 (OG)', '0 IBA DU 4 (OO)']"
31,Round 3,Adhara AyandrilaⒸ,"['3 BISC 1 (OO)', '2 MLIS 1 (OG)', '1 NSU 1 (CG)', '0 CUFBDA 1 (CO)']"
32,Round 3,"Turza SahaⒸ , Prerana Rai","['3 NMIMS SOL 1 (CO)', '2 BITSG 1 (OO)', '1 BUP 2 (OG)', '0 IUT 2 (CG)']"
33,Round 3,Nicolas LozanoⒸ,"['3 CU 1 (OO)', '2 BITSP 1 (CG)', '1 MAD 1 (OG)', '0 IBA DU 3 (CO)']"
34,Round 3,Rahul DattaⒸ,"['3 CCPC 1 (CO)', '2 ESS 1 (OO)', '1 BUP 1 (OG)', '0 DGBHS 1 (CG)']"
35,Round 3,Anirvin SharmaⒸ,"['3 CCPC 2 (OO)', '2 CU ACC 1 (OG)', '1 Ideal 1 (CG)', '0 SAGC 1 (CO)']"
36,Round 3,"Shudipto AhmedⒸ , Gazi Mahtab","['3 VDC 1 (CO)', '2 CDC 1 (OG)', '1 SD 1 (CG)', '0 RCDC 1 (OO)']"
37,Round 3,Syed Shadab TajwarⒸ,"['3 RBS 1 (OO)', '2 Manipal 1 (CG)', '1 CMC 1 (OG)', '0 KC 2 (CO)']"
38,Round 3,Kanishk GargⒸ,"['3 IBA DU 1 (OO)', '2 Composite 1 (CO)', '1 ILNU 1 (OG)', '0 VIT 1 (CG)']"
39,Round 3,Inqiyad PatwaryⒸ,"['3 IUB 1 (OO)', '2 SD 3 (CG)', '1 JDC 1 (CO)', '0 CSDS 1 (OG)']"
40,Round 3,Sadid MurshedⒸ,"['3 IIT Roorkee 1 (CG)', '2 KC 1 (CO)', '1 HRC 1 (OG)', '0 IIT Kanpur 1 (OO)']"
41,Round 3,Ishmamul HaqueⒸ,"['3 TU 1 (CO)', '2 IIT Kharagpur 1 (CG)', '1 MIST 1 (OO)', '0 RVCE 1 (OG)']"
42,Round 4,Tawfique ElahiⒸ,"['3 DGBHS 1 (CO)', '2 RCDC 1 (OG)', '1 IBA DU 2 (CG)', '0 ACC 1 (OO)']"
