,Round Name,Panel,Rankings
0,Round 1,"Iffah KitchlewⒸ , Hasan Shahab , Shehrzadae Moeed","['1 AC A (O)', '0 Froebels B (P)']"
1,Round 1,Osheen FatimahⒸ,"['1 LACAS A (O)', '0 AC B (P)']"
2,Round 1,Lyba BashirⒸ,"['1 BDC A (O)', '0 Froebels A (P)']"
3,Round 1,Sardar NadirⒸ,"['1 LGS OPF B (O)', '0 BGTL A (P)']"
4,Round 1,"Monazza AsifⒸ , Moosa M. Waraich , Ozair Zafer","['1 BLL A (P)', '0 City Ravi A (O)']"
5,Round 1,"Sania ShahidⒸ 💢 , Imad Rashid , Mustafa Khursheed","['1 CCI B (P)', '0 BMI A (O)']"
6,Round 1,"Saad FarooqiⒸ , Ali Nawaz , Nirvana Amjad","['1 LGS JT B (P)', '0 CCI A (O)']"
7,Round 1,"Ahmed MustafaⒸ , Minahil Bakhtawar , Yashar Khan","['1 Cedar A (O)', '0 Nixor A (P)']"
8,Round 1,"Rayyan Farooq ButtⒸ , Muzamil Godil , Sania Irfan 💢","['1 City Ravi B (O)', '0 Nixor C (P)']"
9,Round 1,Sharjeel AhmedⒸ,"['1 Lyceum B (P)', '0 Generations A (O)']"
10,Round 1,"Myra HussainⒸ , Bilal Arshad , Usman Ali 💢","['1 LGS 1-A/1 A (P)', '0 Haque A (O)']"
11,Round 1,Uzair TajuddinⒸ,"['1 ICAS A (P)', '0 Westminster B (O)']"
12,Round 1,Zainab TariqⒸ,"['1 LGS 55 Main A (O)', '0 ICAS B (P)']"
13,Round 1,"Joseph JeongⒸ , Muhammad AbdullahⓉ","['1 LGS Isb A (O)', '0 Westminster C (P)']"
14,Round 1,Mahad AkbarⒸ,"['1 Westminster A (O)', '0 LGS Isb B (P)']"
15,Round 1,"Yelmaz MujtabaⒸ , Ali SohailⓉ","['1 LGS JT A (P)', '0 Lyceum A (O)']"
16,Round 1,Danyal MaqboolⒸ,"['1 Nixor B (O)', '0 SNS B (P)']"
17,Round 1,Hamza FarookhiⒸ,"['1 SNS A (P)', ""0 St. Patrick's A (O)""]"
18,Round 2,Zainab TariqⒸ,"['1 AC A (O)', '0 Cedar A (P)']"
19,Round 2,Zainab ShahidⒸ,"['1 AC B (O)', '0 ICAS B (P)']"
20,Round 2,Lisa KnodtⒸ,"['1 LGS JT A (O)', '0 BDC A (P)']"
21,Round 2,"Iffah KitchlewⒸ , Monazza Asif , Mustafa Khursheed","['1 BGTL A (O)', '0 SNS B (P)']"
22,Round 2,Hamza FarookhiⒸ,"['1 BLL A (O)', '0 ICAS A (P)']"
23,Round 2,Shehrzadae MoeedⒸ,"['1 LGS Isb B (O)', '0 BMI A (P)']"
24,Round 2,"Ahmed MustafaⒸ , Ali Sohail , Imad Rashid","['1 CCI A (O)', '0 Westminster B (P)']"
25,Round 2,Danyal MaqboolⒸ,"['1 LGS Isb A (P)', '0 CCI B (O)']"
26,Round 2,"Minahil BakhtawarⒸ , Emaz Saif , Sania Shahid","['1 Froebels A (O)', '0 City Ravi A (P)']"
27,Round 2,Sharjeel AhmedⒸ,"['1 City Ravi B (O)', '0 LGS 55 Main A (P)']"
28,Round 2,"Nirvana AmjadⒸ , Ozair Zafer , Rayyan Farooq Butt","['1 Froebels B (O)', ""0 St. Patrick's A (P)""]"
29,Round 2,"Ali NawazⒸ , Yashar Khan , Zuha Ansari","['1 Haque A (P)', '0 Generations A (O)']"
30,Round 2,Joseph JeongⒸ,"['1 LACAS A (P)', '0 SNS A (O)']"
31,Round 2,Yelmaz MujtabaⒸ,"['1 Westminster A (P)', '0 LGS 1-A/1 A (O)']"
32,Round 2,Uzair TajuddinⒸ,"['1 LGS JT B (P)', '0 Lyceum B (O)']"
33,Round 2,Balach KhanⒸ,"['1 Nixor B (O)', '0 LGS OPF B (P)']"
34,Round 2,Sania IrfanⒸ,"['1 Westminster C (O)', '0 Lyceum A (P)']"
35,Round 2,"Mahad AkbarⒸ , Saad Farooqi , Usman Ali","['1 Nixor A (O)', '0 Nixor C (P)']"
36,Round 3,Joseph JeongⒸ,"['1 LGS JT B (O)', '0 AC A (P)']"
37,Round 3,Shehrzadae MoeedⒸ,"['1 AC B (P)', '0 ICAS A (O)']"
38,Round 3,Humza Nadeem JamiⒸ,"['1 BDC A (O)', '0 Froebels B (P)']"
39,Round 3,Usman AliⒸ,"['1 CCI A (P)', '0 BGTL A (O)']"
40,Round 3,"Uzair TajuddinⒸ , Zainab Tariq , Zoha Rehan","['1 BLL A (O)', '0 Nixor B (P)']"
41,Round 3,Ibrahim BabakhelⒸ,"[""1 St. Patrick's A (O)"", '0 BMI A (P)']"
42,Round 3,Sardar NadirⒸ,"['1 Froebels A (O)', '0 CCI B (P)']"
43,Round 3,Balach KhanⒸ,"['1 Cedar A (P)', '0 LGS Isb A (O)']"
44,Round 3,"Imad RashidⒸ , Ahmed Mustafa , Emaz Saif","['1 City Ravi A (P)', '0 Nixor C (O)']"
45,Round 3,Asad Hussain KhanⒸ,"['1 LGS JT A (O)', '0 City Ravi B (P)']"
46,Round 3,Hassan ur RehmanⒸ,"['1 ICAS B (O)', '0 Generations A (P)']"
47,Round 3,Minahil BakhtawarⒸ,"['1 LGS Isb B (P)', '0 Haque A (O)']"
48,Round 3,"Lisa KnodtⒸ , Ozair ZaferⓉ","['1 Westminster A (O)', '0 LACAS A (P)']"
49,Round 3,"Ali NawazⒸ , Rayyan Farooq Butt , Zohair Munir","['1 LGS 1-A/1 A (P)', '0 Lyceum B (O)']"
50,Round 3,Nirvana AmjadⒸ,"['1 Lyceum A (O)', '0 LGS 55 Main A (P)']"
51,Round 3,Danyal MaqboolⒸ,"['1 SNS A (O)', '0 LGS OPF B (P)']"
52,Round 3,Hamza FarookhiⒸ,"['1 Nixor A (O)', '0 Westminster C (P)']"
53,Round 3,"Sania IrfanⒸ , Muhammad Abdullah , Mustafa Khursheed","['1 SNS B (O)', '0 Westminster B (P)']"
54,Round 4,Osheen FatimahⒸ,"['1 AC A (P)', '0 City Ravi B (O)']"
55,Round 4,"Lyba BashirⒸ , Ahmed Mustafa , Mustafa Khursheed","['1 Cedar A (O)', '0 AC B (P)']"
56,Round 4,Zoha RehanⒸ,"['1 LGS Isb B (O)', '0 BDC A (P)']"
57,Round 4,Balach KhanⒸ,"['1 ICAS A (O)', '0 BGTL A (P)']"
58,Round 4,Imad RashidⒸ,"['1 BLL A (O)', '0 Westminster A (P)']"
59,Round 4,Mahad AkbarⒸ,"['1 CCI A (P)', '0 Froebels A (O)']"
60,Round 4,Nirvana AmjadⒸ,"['1 CCI B (O)', '0 Haque A (P)']"
61,Round 4,Ali TahirⒸ,"['1 City Ravi A (O)', '0 Froebels B (P)']"
62,Round 4,Zohair MunirⒸ,"['1 Nixor C (O)', '0 Generations A (P)']"
63,Round 4,Danyal MaqboolⒸ,"['1 Lyceum A (P)', '0 ICAS B (O)']"
64,Round 4,"Hamza FarookhiⒸ , Sania Irfan , Yashar Khan","['1 LACAS A (O)', '0 LGS 1-A/1 A (P)']"
65,Round 4,"Humza Nadeem JamiⒸ , Sania Shahid , Zainab Tariq","['1 SNS B (O)', '0 LGS 55 Main A (P)']"
66,Round 4,"Raffay TabassumⒸ , Emaz Saif , Ozair Zafer","['1 LGS Isb A (O)', '0 SNS A (P)']"
67,Round 4,Monazza AsifⒸ,"['1 LGS JT A (P)', '0 LGS JT B (O)']"
68,Round 4,Mustafa ShaukatⒸ,"['1 LGS OPF B (O)', '0 Lyceum B (P)']"
69,Round 4,"Sardar NadirⒸ , Minahil Bakhtawar , Muhammad Abdullah 💢","['1 Nixor A (O)', '0 Nixor B (P)']"
70,Round 4,"Myra HussainⒸ , Rayyan Farooq Butt , Saad Farooqi","['1 Westminster C (O)', ""0 St. Patrick's A (P)""]"
71,Round 4,Usman AliⒸ,"['1 Westminster B (P)', '0 Swing (O)']"
72,Octofinals,"Hamza FarookhiⒸ , Minahil Bakhtawar , Yashar Khan","['1 AC A (O)', '0 LGS JT B (P)']"
73,Octofinals,"Mahad AkbarⒸ , Imad Rashid , Sania Irfan","['1 BDC A (P)', '0 LGS Isb A (O)']"
74,Octofinals,Humza Nadeem JamiⒸ,"['1 BLL A (O)', '0 LGS 1-A/1 A (P)']"
75,Octofinals,"Lyba BashirⒸ 💢 , Monazza Asif , Zainab Tariq","['1 CCI A (P)', '0 Lyceum A (O)']"
76,Octofinals,Myra HussainⒸ,"['1 Froebels A (P)', '0 Cedar A (O)']"
77,Octofinals,"Lisa KnodtⒸ , Sania Shahid , Zoha Rehan","['1 LACAS A (P)', '0 Westminster A (O)']"
78,Octofinals,"Joseph JeongⒸ , Balach Khan 💢 , Rayyan Farooq Butt","['1 LGS Isb B (P)', '0 Nixor A (O)']"
79,Octofinals,"Yelmaz MujtabaⒸ , Sardar Nadir , Shehrzadae Moeed 💢","['1 SNS A (O)', '0 LGS JT A (P)']"
80,Quarterfinals,"Joseph JeongⒸ , Minahil Bakhtawar , Nirvana Amjad , Rayyan Farooq Butt , Yashar Khan","['1 AC A (O)', '0 BLL A (P)']"
81,Quarterfinals,"Mahad AkbarⒸ , Hamza Farookhi , Sardar Nadir 💢","['1 BDC A (P)', '0 CCI A (O)']"
82,Quarterfinals,"Lisa KnodtⒸ , Balach Khan , Zainab Tariq","['1 LGS Isb B (O)', '0 Froebels A (P)']"
83,Quarterfinals,"Uzair TajuddinⒸ , Lyba Bashir , Myra Hussain , Sania Shahid , Zoha Rehan","['1 LACAS A (O)', '0 SNS A (P)']"
84,Semifinals,"Lisa KnodtⒸ , Minahil Bakhtawar , Myra Hussain , Rayyan Farooq Butt , Zoha Rehan","['1 AC A (O)', '0 LGS Isb B (P)']"
85,Semifinals,"Hamza FarookhiⒸ 💢 , Joseph Jeong , Nirvana Amjad , Sania Shahid , Uzair Tajuddin 💢","['1 LACAS A (P)', '0 BDC A (O)']"
