,Round Name,Panel,Rankings
0,Round 1,"Vihasini GopakumarⒸ , Jaydeep SharmaⓉ , Sudarshan SivakumarⓉ , Tejas BaviskarⓉ","['3 5 second of Extensions (OO)', '2 Christ 1 (OG)', '1 Sugar🍉 (CG)', '0 ISB 2 (CO)']"
1,Round 1,"NamitaⒸ , Kiruthika SⓉ , Leo Raphael RodriguesⓉ , Mayank AgarwalⓉ","['3 BDC aLUMS (CO)', ""2 The Real OG's (OO)"", '1 Kookie (OG)', '0 Amity 1 (CG)']"
2,Round 1,"Altamash KadirⒸ , Rahul Datta , Retno Anjani","['3 UPD Conspiracy Theorists (OO)', '2 Dark souls as feminist critique (OG)', '1 ISB 1 (CG)', '0 Annandale Arms (CO)']"
3,Round 1,"Jonathan TuliaoⒸ , Kevin Santhosh , Udhay Aman Chopra","['3 NTU 3 (CG)', '2 Mission Lodu (OO)', '1 Anything but OG (OG)', '0 ILNU 2 (CO)']"
4,Round 1,Jumanah AhmedⒸ,"['3 Emus (CO)', '2 itaeWASTED (CG)', '1 Crocodiles of IITB (OO)', '0 Biggest debate achievement:donating (OG)']"
5,Round 1,"Karla Louise AlfonsoⒸ , Anum Naseer","['3 NITR 1 (CO)', '2 Sudama (OO)', '1 Binod OPsters (OG)', '0 CDC Viet Nam (CG)']"
6,Round 1,"Aditya PattanayakⒸ , Pranav A , Ribhu","['3 Swansons (OO)', '2 BITSG 1 (CG)', '1 IITK 3 (OG)', '0 Obi Ram Kenobi (CO)']"
7,Round 1,"Priyanka DasⒸ , Anoushka Singha , Cj Salayo","['3 IITB 1 (CG)', '2 BITSG 2 (OG)', '1 IITKGP AG (OO)', '0 IISERB 1 (CO)']"
8,Round 1,"Belle BarbinⒸ , Lau Jun Hong , Rachana N","['3 UCLA 2 (OO)', '2 In this economy (CO)', '1 POI machine go brrrr (OG)', '0 BRAC 1 (CG)']"
9,Round 1,Jill AycardoⒸ,"['3 Okapi (OO)', '2 No such thing as #FreeBeeJay (CO)', '1 Return of New Gold Mountain (CG)', '0 Checkmate, Neoliberal (OG)']"
10,Round 1,Thang TranⒸ,"['3 UP Los Banos 1 (OO)', '2 SHJ Cross (CG)', '1 Cherry Cola (CO)', '0 IITK 1 (OG)']"
11,Round 1,"Inna FerminⒸ , Ananya KⓉ , ShrijeeⓉ , Yashas T.RⓉ","['3 Presidency 1 (CG)', '2 What a Kant! (OO)', '1 UP Los Banos 2 (OG)', '0 Christ 2 (CO)']"
12,Round 1,"Mallika DandekarⒸ , Mozaien Tak , Priyadarshini Venkatesh","['3 Snakes of IITB (CO)', '2 IITK 2 (CG)', '1 RVCE 2 (OO)', '0 CNLU 1 (OG)']"
13,Round 1,"Yash ChaturvediⒸ , Anirvin Sharma , Srijit Talukdar","['3 Kinnaird 1 (OO)', '2 DLSU 1 (CG)', '1 Disco(rd) Dancers (CO)', '0 NITR 2 (OG)']"
