,Round Name,Panel,Rankings
0,Round 1,"Harish NatarajanⒸ , Devashish Trivedi , Lena Kolle","['3 Australia BB (CG)', '2 Israel FK (OG)', '1 Australia NO (OO)', '0 Canada PX (CO)']"
1,Round 1,"Noam DahanⒸ , Robert Barrie , Tamkeen Nawab","['3 Australia DM (CO)', '2 Pakistan IM (OO)', '1 Bangladesh AK (CG)', '0 Poland BM (OG)']"
2,Round 1,"Sharmila ParmanandⒸ , Estelle Novenka Florens , Fardeen Ameen , Pranav Kagalkar","['3 Bangladesh KW (CG)', '2 England AM (OO)', '1 Japan BO (OG)', '0 Israel GM (CO)']"
3,Round 1,"Taosif Amin KhanⒸ , Ameera Natasha Moore , Nicolas Lozano","['3 Israel HS (OG)', '2 Singapore KN (CG)', '1 Croatia BP (CO)', '0 British Empire KT (OO)']"
4,Round 1,"Wasifa NoshinⒸ , Jesus Falcis , Katherine Harris","['3 England HP (CO)', '2 Singapore HN (OO)', '1 Malaysia KS (CG)', '0 Ghana ST (OG)']"
5,Round 1,"Shudipto R. AhmedⒸ , Abigail Leblanc , Sourodip Paul","['3 India KM (CO)', '2 Serbia DM (OO)', '1 Philippines VV (OG)', '0 Kazakhstan JT (CG)']"
6,Round 2,"Sharmila ParmanandⒸ , Eric Kazadi , Katherine Harris","['3 England HP (OO)', '2 Israel HS (CG)', '1 Singapore HN (CO)', '0 Australia BB (OG)']"
7,Round 2,"Harish NatarajanⒸ , Abigail Leblanc , Devashish Trivedi , Nicolas Lozano","['3 Bangladesh KW (CO)', '2 India KM (OG)', '1 Australia DM (OO)', '0 England AM (CG)']"
8,Round 2,"Ameera Natasha MooreⒸ , Fardeen Ameen , Pranav Kagalkar","['3 Australia NO (OG)', '2 Bangladesh AK (OO)', '1 Israel GM (CG)', '0 Ghana ST (CO)']"
9,Round 2,"Shudipto R. AhmedⒸ , Lena Kolle , Wasifa Noshin","['3 British Empire KT (CG)', '2 Canada PX (OG)', '1 Kazakhstan JT (CO)', '0 Poland BM (OO)']"
10,Round 2,"Noam DahanⒸ , Sourodip Paul , Tamkeen Nawab","['3 Croatia BP (OG)', '2 Philippines VV (CG)', '1 Malaysia KS (CO)', '0 Japan BO (OO)']"
11,Round 2,"Robert BarrieⒸ , Estelle Novenka Florens , Jesus Falcis","['3 Israel FK (CG)', '2 Serbia DM (CO)', '1 Pakistan IM (OG)', '0 Singapore KN (OO)']"
12,Round 3,"Fardeen AmeenⒸ , Lena Kolle , Sourodip Paul","['3 Australia BB (CO)', '2 Philippines VV (OO)', '1 Australia NO (CG)', '0 Singapore HN (OG)']"
13,Round 3,"Harish NatarajanⒸ , Pranav Kagalkar","['3 Australia DM (CG)', '2 Serbia DM (OG)', '1 Israel FK (CO)', '0 Croatia BP (OO)']"
14,Round 3,"Noam DahanⒸ , Abigail Leblanc , Shudipto R. Ahmed","['3 British Empire KT (OG)', '2 Bangladesh AK (CO)', '1 Malaysia KS (OO)', '0 Pakistan IM (CG)']"
15,Round 3,"AmritⒸ , Devashish Trivedi , Robert Barrie","['3 India KM (OO)', '2 Bangladesh KW (OG)', '1 England HP (CG)', '0 Israel HS (CO)']"
16,Round 3,"Ameera Natasha MooreⒸ , Eric Kazadi","['3 Singapore KN (CO)', '2 Canada PX (OO)', '1 England AM (OG)', '0 Japan BO (CG)']"
17,Round 3,"Jesus FalcisⒸ , Katherine Harris , Tamkeen Nawab","['3 Israel GM (OO)', '2 Poland BM (CO)', '1 Kazakhstan JT (OG)', '0 Ghana ST (CG)']"
18,Round 4,"AmritⒸ , Harish Natarajan , Jesus Falcis","['3 Serbia DM (CG)', '2 Australia BB (OO)', '1 Israel FK (OG)', '0 British Empire KT (CO)']"
19,Round 4,"Sharmila ParmanandⒸ , Eric Kazadi , Noam Dahan","['3 England HP (OG)', '2 Australia DM (CO)', '1 Bangladesh KW (OO)', '0 India KM (CG)']"
20,Round 4,"Sourodip PaulⒸ , Abhinav Bathula , Ameera Natasha Moore , Devashish Trivedi","['3 Singapore KN (OG)', '2 Canada PX (CG)', '1 Australia NO (CO)', '0 Israel HS (OO)']"
21,Round 4,"Dominic GuinaneⒸ , Katherine Harris , Robert Barrie","['3 Philippines VV (CO)', '2 Croatia BP (CG)', '1 Israel GM (OO)', '0 Bangladesh AK (OG)']"
22,Round 4,"Lena KolleⒸ , Abigail Leblanc , Shudipto R. Ahmed","['3 England AM (CO)', '2 Malaysia KS (OG)', '1 Pakistan IM (OO)', '0 Singapore HN (CG)']"
23,Round 4,"Estelle Novenka FlorensⒸ , Pranav Kagalkar , Tamkeen Nawab","['3 Poland BM (CG)', '2 Kazakhstan JT (OO)', '1 Ghana ST (OG)', '0 Japan BO (CO)']"
24,Round 5,"Dan LahavⒸ , Sourodip Paul , Wasifa Noshin","['3 Singapore KN (CO)', '2 India KM (OG)', '1 Philippines VV (CG)', '0 Australia BB (OO)']"
25,Round 5,"Harish NatarajanⒸ , Lena Kolle , Noam Dahan","['3 Bangladesh KW (OO)', '2 Serbia DM (CO)', '1 England HP (CG)', '0 Australia DM (OG)']"
