,Name,Team,Categories,Speaker Scores
0,Janko Djordjevic,Serbia DM,,"['81', '83', '83', '84', '82']"
1,Sajid Asbat Khandaker,Bangladesh KW,,"['84', '86', '81', '78', '83']"
2,Arth Mishra,India KM,,"['83', '84', '83', '79', '83']"
3,Matt Hazell,England HP,,"['82', '84', '81', '83', '81']"
4,Monica Forman,Israel FK,,"['84', '84', '83', '80', '80']"
5,Milos Marjanovic,Serbia DM,,"['80', '82', '82', '84', '82']"
6,Mubarrat Wassey,Bangladesh KW,,"['83', '84', '81', '80', '82']"
7,Seamus Dove,Australia DM,,"['81', '83', '85', '81', '79']"
8,Jason Xiao,Canada PX,,"['83', '80', '82', '81', '82']"
9,Eden Blair,Australia BB,,"['84', '—', '79', '83', '80']"
10,Ido Kotler,Israel FK,,"['83', '83', '80', '81', '80']"
11,Ashish Xiangyi Kumar,Singapore KN,,"['81', '80', '82', '81', '83']"
12,Lucia Arce,England AM,,"['82', '81', '79', '82', '83']"
13,Jessica Musulin,Australia DM,,"['82', '81', '82', '81', '80']"
14,Madi Bosler,Australia BB,,"['84', '80', '81', '82', '79']"
15,Nar Sher May,Singapore KN,,"['80', '79', '82', '82', '83']"
16,John Papantoniou,England HP,,"['80', '83', '79', '81', '82']"
17,Chaitanya Kediyal,India KM,,"['84', '81', '81', '77', '82']"
18,Tin Puljić,Croatia BP,,"['79', '83', '81', '81', '80']"
19,Naomi Panovka,Canada PX,,"['81', '80', '81', '80', '81']"
20,Ignacio Villareal,Philippines VV,,"['80', '81', '80', '81', '80']"
21,Tudor Musat,England AM,,"['82', '80', '78', '81', '81']"
22,Michel Nehme,Australia NO,,"['83', '82', '79', '80', '78']"
23,Asif Mehedi Adi,Bangladesh AK,,"['79', '81', '82', '78', '81']"
24,Ayal Hayut-man,Israel HS,,"['81', '82', '80', '79', '78']"
25,Connor O'Brien,Australia NO,,"['82', '81', '79', '80', '78']"
26,Mikko Vitug,Philippines VV,,"['79', '80', '79', '81', '81']"
27,Sarah Tay,British Empire KT,,"['79', '81', '83', '79', '77']"
28,Mohammed Wasif Amin Khan,Bangladesh AK,,"['79', '81', '82', '77', '80']"
29,Taha Iqbal,Pakistan IM,,"['81', '81', '76', '80', '80']"
30,Roy Schulman,Israel HS,,"['81', '82', '79', '78', '78']"
31,Har Naveenjeet Singh,Malaysia KS,,"['80', '79', '79', '80', '79']"
32,Benji Kalman,British Empire KT,,"['78', '80', '82', '80', '77']"
33,Kuberan Hansrajh Kumaresan,Malaysia KS,,"['79', '80', '78', '80', '80']"
34,Ahsan Muhammad,Pakistan IM,,"['80', '79', '78', '79', '79']"
35,Adil Hakeem,Singapore HN,,"['81', '81', '78', '78', '76']"
36,Alisher Juzgenbayev,Kazakhstan JT,,"['78', '78', '78', '79', '80']"
37,Subra Nara,Singapore HN,,"['80', '80', '78', '79', '76']"
38,Hadar Goldberg,Israel GM,,"['79', '79', '80', '78', '77']"
39,Mukhtar Tashkenbayev,Kazakhstan JT,,"['77', '78', '77', '79', '80']"
40,Olja Bošnjak,Croatia BP,,"['79', '80', '77', '78', '77']"
41,Klaudia Maciejewska,Poland BM,,"['78', '78', '80', '80', '75']"
42,Josef Moscovici,Israel GM,,"['77', '78', '80', '79', '76']"
43,Takua Baba,Japan BO,,"['79', '78', '77', '77', '78']"
44,Toshiya Ozawa,Japan BO,,"['78', '78', '76', '77', '79']"
45,Dawid Bartkowiak,Poland BM,,"['77', '76', '79', '79', '74']"
46,Andrews Terku Terkpetey,Ghana ST,,"['77', '77', '77', '78', '75']"
47,Erasmus Mawuli Segbefia,Ghana ST,,"['77', '78', '76', '77', '75']"
