,Round Name,Panel,Rankings
0,Round 1,"Umbar SandhuⒸ , Amirul , James SherwoodⓉ","['3 2020 is cake (CO)', '2 The Avengers (OO)', '1 Hurricane Tortilla (OG)', '0 Deer Park (CG)']"
1,Round 1,"Anh CaoⒸ , Srijit Talukdar , Majo GutierrezⓉ","['3 shoelaces (CO)', '2 Aisha + Zi Cheng (OG)', '1 ILS X (OO)', '0 KC Charcoal (CG)']"
2,Round 1,"Abigail LeblancⒸ , Jessica Awurum , Njuguna Macharia","['3 University of the Cyber-Papal State (CG)', ""2 Low-key wish I had a Karen's self c (CO)"", '1 LGS 55 - AZ (OO)', '0 ana and jerAx (OG)']"
3,Round 1,"Saad KhanⒸ , Deepansh Jawrani , Nicole Angela Ugto","['3 Kamath (CO)', '2 Socialism with QAnon characteristic (CG)', '1 Ragdolls (OG)', '0 Assassibator (OO)']"
4,Round 1,"Rahul DattaⒸ , Sameer Shaik , Shrey Shah","['3 My last two brain cells during a de (OO)', ""2 Bakshi's wet dream (CO)"", '1 Just another debate team (OG)', '0 LGS 55 - MF (CG)']"
5,Round 1,"Andrius BudionoⒸ , Tawfique Elahi","['3 Zach and not Sam Huang (OG)', '2 european summer got cancelled smh (CG)', '1 the baguettes (OO)', '0 COFFEE SIMPS (CO)']"
6,Round 1,"Allen XiaoⒸ , Aditi Srinath , Pratikshit AgrahariⓉ","['3 What am I defending now (OO)', '2 Constrained Optimisation (CO)', '1 Surprised Pikachu (OG)', '0 My teammate is a loser (CG)']"
7,Round 1,"Andrew MooreⒸ , Adya Sharma , Charlene PhuaⓉ","['3 David developing his home circuit (CO)', '2 Unlikely Duo A (OG)', '1 LGS 55 - SF (OO)', '0 LGS 55 - KA (CG)']"
8,Round 1,"Eze Nwakuba NⒸ , Carlo Castillo","['3 The hecc is Gaulke still doing here (OG)', '2 Swing (CG)', '1 Dora & Diego (OO)', '0 Eating Eggs Benedict (CO)']"
9,Round 1,"Kerrin R-SⒸ , Jules Yvan Toledo , Kunal MahajanⓉ","['3 just beej n maison (OO)', '2 Quid Bro Quo (CO)', '1 Mail in vs absentee ballots (CG)', '0 Dreamville (OG)']"
10,Round 1,"Deepak ManchikantiⒸ , Lance Taag , Marvellous SplendorⓉ","['3 sean + mou (CO)', '2 Kampung Aku Lit (OO)', '1 LGS 55 - KD (CG)', '0 Sanitisers (OG)']"
11,Round 2,"Deepak ManchikantiⒸ , Fatema Nawar Silme , Shirish Kumar","['3 University of the Cyber-Papal State (CO)', '2 What am I defending now (CG)', '1 David developing his home circuit (OG)', '0 2020 is cake (OO)']"
12,Round 2,"Andrius BudionoⒸ , Sameer Shaik , James SherwoodⓉ","['3 Aisha + Zi Cheng (CG)', '2 Kampung Aku Lit (CO)', '1 Socialism with QAnon characteristic (OO)', '0 The Avengers (OG)']"
13,Round 2,"Rahul DattaⒸ , Deepansh Jawrani","['3 Deer Park (CO)', '2 ana and jerAx (CG)', '1 Dreamville (OO)', '0 Assassibator (OG)']"
14,Round 2,"Andrew MooreⒸ , Lance Taag , Majo Gutierrez","['3 Constrained Optimisation (CG)', ""2 Bakshi's wet dream (OO)"", '1 Swing (OG)', '0 LGS 55 - AZ (CO)']"
15,Round 2,"Srijit TalukdarⒸ , Saad Khan , Charlene PhuaⓉ","['3 LGS 55 - MF (CO)', '2 COFFEE SIMPS (CG)', '1 Sanitisers (OO)', '0 LGS 55 - KA (OG)']"
16,Round 2,"Kerrin R-SⒸ , Carlo Castillo","['3 Ragdolls (CG)', '2 ILS X (OG)', '1 Surprised Pikachu (OO)', '0 Dora & Diego (CO)']"
17,Round 2,"Jessica AwurumⒸ , Tawfique Elahi , Kunal MahajanⓉ","['3 Hurricane Tortilla (OO)', '2 Just another debate team (CO)', '1 LGS 55 - SF (CG)', '0 Eating Eggs Benedict (OG)']"
18,Round 2,"Eze Nwakuba NⒸ , Jules Yvan Toledo , Marvellous SplendorⓉ","[""3 Low-key wish I had a Karen's self c (CG)"", '2 european summer got cancelled smh (OO)', '1 Quid Bro Quo (OG)', '0 Mail in vs absentee ballots (CO)']"
19,Round 2,"Njuguna MachariaⒸ , Adya Sharma , Pratikshit Agrahari","['3 just beej n maison (CG)', '2 The hecc is Gaulke still doing here (CO)', '1 Unlikely Duo A (OO)', '0 sean + mou (OG)']"
20,Round 2,"Abigail LeblancⒸ , Aditi Srinath , Anh Cao","['3 Kamath (CG)', '2 Zach and not Sam Huang (OO)', '1 shoelaces (OG)', '0 My last two brain cells during a de (CO)']"
21,Round 2,"Allen XiaoⒸ , Amirul , Nicole Angela Ugto","['3 the baguettes (CG)', '2 My teammate is a loser (CO)', '1 KC Charcoal (OO)', '0 LGS 55 - KD (OG)']"
22,Round 3,"Jessica AwurumⒸ , Tawfique Elahi","['3 Socialism with QAnon characteristic (CO)', '2 sean + mou (OO)', '1 Unlikely Duo A (CG)', '0 2020 is cake (OG)']"
23,Round 3,Kerrin R-SⒸ,"['3 The hecc is Gaulke still doing here (CG)', '2 Constrained Optimisation (OO)', '1 Aisha + Zi Cheng (CO)', ""0 Low-key wish I had a Karen's self c (OG)""]"
24,Round 3,"Saad KhanⒸ , Shrey Shah , XingyueⓉ","['3 LGS 55 - SF (OG)', '2 Sanitisers (CO)', '1 ana and jerAx (OO)', '0 Dreamville (CG)']"
25,Round 3,"Aditi SrinathⒸ , Nicole Angela Ugto","['3 Assassibator (CO)', '2 Dora & Diego (OG)', '1 LGS 55 - KD (OO)', '0 LGS 55 - AZ (CG)']"
26,Round 3,"Anh CaoⒸ , Fatema Nawar Silme","['3 Ragdolls (CO)', ""2 Bakshi's wet dream (CG)"", '1 Deer Park (OO)', '0 european summer got cancelled smh (OG)']"
27,Round 3,"Andrew MooreⒸ , Amirul , Marvellous SplendorⓉ","['3 My teammate is a loser (OO)', '2 COFFEE SIMPS (OG)', '1 The Avengers (CO)', '0 Surprised Pikachu (CG)']"
28,Round 3,"Allen XiaoⒸ , Jules Yvan Toledo , James SherwoodⓉ","['3 David developing his home circuit (OO)', '2 Hurricane Tortilla (CG)', '1 Swing (CO)', '0 LGS 55 - MF (OG)']"
29,Round 3,"Deepak ManchikantiⒸ , Sameer Shaik","['3 Mail in vs absentee ballots (OO)', '2 Eating Eggs Benedict (CG)', '1 KC Charcoal (OG)', '0 LGS 55 - KA (CO)']"
30,Round 3,"Jeremiah EdagbamiⒸ , Pratikshit Agrahari","['3 Quid Bro Quo (CG)', '2 Just another debate team (OO)', '1 ILS X (CO)', '0 My last two brain cells during a de (OG)']"
31,Round 3,"Eze Nwakuba NⒸ , Majo Gutierrez","['3 Kamath (OG)', '2 just beej n maison (CO)', '1 Zach and not Sam Huang (CG)', '0 University of the Cyber-Papal State (OO)']"
32,Round 3,"Njuguna MachariaⒸ , Carlo Castillo","['3 Kampung Aku Lit (CG)', '2 What am I defending now (CO)', '1 the baguettes (OG)', '0 shoelaces (OO)']"
33,Round 4,"Andrius BudionoⒸ , Anh Cao","['3 2020 is cake (OG)', '2 Dora & Diego (CG)', '1 KC Charcoal (CO)', '0 Eating Eggs Benedict (OO)']"
34,Round 4,"Deepak ManchikantiⒸ , Njuguna Macharia","['3 Zach and not Sam Huang (CO)', '2 Socialism with QAnon characteristic (OG)', '1 sean + mou (CG)', '0 Aisha + Zi Cheng (OO)']"
35,Round 4,"Srijit TalukdarⒸ , Lance Taag , XingyueⓉ","['3 Deer Park (OG)', '2 The Avengers (CG)', '1 ana and jerAx (CO)', '0 Swing (OO)']"
36,Round 4,"AmirulⒸ , Deepansh Jawrani , Pratikshit AgrahariⓉ","['3 Surprised Pikachu (CO)', '2 My last two brain cells during a de (OG)', '1 Assassibator (CG)', '0 LGS 55 - MF (OO)']"
37,Round 4,"Allen XiaoⒸ , Adya Sharma , Carlo Castillo","['3 University of the Cyber-Papal State (OG)', ""2 Bakshi's wet dream (CG)"", '1 Hurricane Tortilla (CO)', '0 Quid Bro Quo (OO)']"
38,Round 4,"Eze Nwakuba NⒸ , Jules Yvan Toledo , James SherwoodⓉ","['3 Unlikely Duo A (CO)', '2 Sanitisers (CG)', '1 Mail in vs absentee ballots (OG)', '0 COFFEE SIMPS (OO)']"
39,Round 4,"Jeremiah EdagbamiⒸ , Jessica Awurum , Rahul Datta","['3 Constrained Optimisation (CG)', '2 Kampung Aku Lit (OG)', '1 Ragdolls (OO)', '0 What am I defending now (CO)']"
40,Round 4,"Andrew MooreⒸ , Aditi Srinath , Tawfique Elahi","['3 The hecc is Gaulke still doing here (CO)', '2 David developing his home circuit (CG)', '1 Kamath (OO)', '0 just beej n maison (OG)']"
41,Round 4,"Manisha Peramuna ArachchiⒸ , Shrey Shah","['3 Dreamville (CO)', '2 LGS 55 - KA (OO)', '1 LGS 55 - KD (CG)', '0 LGS 55 - AZ (OG)']"
42,Round 4,"Abigail LeblancⒸ , Majo Gutierrez , Saad Khan","['3 european summer got cancelled smh (CO)', '2 the baguettes (OO)', '1 My teammate is a loser (OG)', '0 Just another debate team (CG)']"
43,Round 4,"Kerrin R-SⒸ , Nicole Angela Ugto , Marvellous SplendorⓉ","['3 shoelaces (CG)', '2 LGS 55 - SF (CO)', ""1 Low-key wish I had a Karen's self c (OO)"", '0 ILS X (OG)']"
44,Round 5,"Allen XiaoⒸ , Aditi Srinath","['3 2020 is cake (CG)', '2 Aisha + Zi Cheng (CO)', '1 Just another debate team (OO)', '0 My teammate is a loser (OG)']"
45,Round 5,"Saad KhanⒸ , Shrey Shah","['3 LGS 55 - MF (OO)', '2 ana and jerAx (CG)', '1 LGS 55 - KD (CO)', '0 Assassibator (OG)']"
46,Round 5,"Njuguna MachariaⒸ , Adya Sharma , Tawfique Elahi","['3 Ragdolls (CG)', ""2 Bakshi's wet dream (OG)"", '1 Socialism with QAnon characteristic (OO)', '0 Unlikely Duo A (CO)']"
47,Round 5,"Anh CaoⒸ , Deepansh Jawrani","['3 COFFEE SIMPS (OG)', '2 Swing B (OO)', '1 Swing (CO)', '0 ILS X (CG)']"
48,Round 5,"Abigail LeblancⒸ , Kerrin R-S","['3 Kamath (CG)', '2 Constrained Optimisation (OG)', '1 The hecc is Gaulke still doing here (OO)', '0 David developing his home circuit (CO)']"
49,Round 5,"Deepak ManchikantiⒸ , Amirul , Jules Yvan Toledo","['3 shoelaces (OG)', '2 european summer got cancelled smh (CG)', '1 the baguettes (CO)', '0 Deer Park (OO)']"
50,Round 5,"Eze Nwakuba NⒸ , Carlo Castillo , Sameer Shaik","['3 Dora & Diego (CO)', ""2 Low-key wish I had a Karen's self c (OG)"", '1 Quid Bro Quo (OO)', '0 My last two brain cells during a de (CG)']"
51,Round 5,"Majo GutierrezⒸ , James Sherwood , Pratikshit Agrahari","['3 Eating Eggs Benedict (OO)', '2 KC Charcoal (OG)', '1 LGS 55 - KA (CG)', '0 LGS 55 - AZ (CO)']"
52,Round 5,"Andrew MooreⒸ , Jessica Awurum","['3 Hurricane Tortilla (CO)', '2 What am I defending now (OG)', '1 LGS 55 - SF (OO)', '0 sean + mou (CG)']"
53,Round 5,"Andrius BudionoⒸ , Jeremiah Edagbami , Rahul Datta","['3 Zach and not Sam Huang (OG)', '2 University of the Cyber-Papal State (OO)', '1 just beej n maison (CO)', '0 Kampung Aku Lit (CG)']"
54,Round 5,Srijit TalukdarⒸ,"['3 Surprised Pikachu (OG)', '2 Mail in vs absentee ballots (CO)', '1 The Avengers (OO)', '0 Sanitisers (CG)']"
55,Semifinals,"Andrius BudionoⒸ , Eze Nwakuba N , Srijit Talukdar","['1 Constrained Optimisation (OO)', '1 Zach and not Sam Huang (CG)', ""0 Bakshi's wet dream (CO)"", '0 shoelaces (OG)']"
56,Semifinals,"Deepak ManchikantiⒸ , Carlo Castillo , Jessica Awurum","['1 Kamath (CO)', '1 University of the Cyber-Papal State (CG)', '0 Hurricane Tortilla (OO)', '0 Ragdolls (OG)']"
57,Grand Final,"Aditi SrinathⒸ , Abigail Leblanc , Allen Xiao , Jeremiah Edagbami , Jessica Awurum","['1 University of the Cyber-Papal State (OO)', '0 Constrained Optimisation (OG)', '0 Kamath (CG)', '0 Zach and not Sam Huang (CO)']"
58,Novice Finals,"Njuguna MachariaⒸ , Andrew Moore , Jeremiah Edagbami , Kerrin R-S , Saad Khan","['1 LGS 55 - SF (CO)', '0 2020 is cake (OO)', '0 Dora & Diego (CG)', '0 the baguettes (OG)']"
