,Round Name,Panel,Rankings
0,Round 1,Vishal SidhuⒸ,"['1 Gscdc A (O)', '0 ACC1 (G)']"
1,Round 1,Rahul DattaⒸ,"['1 Farrokh Bulsara (G)', '0 ACPS 1 (O)']"
2,Round 1,Ariefinara HernawanⒸ,"['1 BNMPC 1 (G)', '0 MM D 3 (O)']"
3,Round 1,Inqiyad PatwaryⒸ,"['1 Bulgarian National Debate Team (G)', '0 DRMC 1 (O)']"
4,Round 1,Shruti DebⒸ,"['1 CCPC A (O)', '0 St Xaviers College (G)']"
5,Round 1,Priyanka DasⒸ,"['1 Punjabi Movie HD Download (G)', '0 CCPC B (O)']"
6,Round 1,Sneha DasⒸ,"['1 VDC 1 (O)', '0 Chittagong Govt. High School (G)']"
7,Round 1,Kaushik HMⒸ,"['1 WDC1 (O)', '0 DSDC 1 (G)']"
8,Round 1,Deepansh JawraniⒸ,"['1 JDC 2 (G)', '0 DT-1 (O)']"
9,Round 1,Antonina LeshchynskayaⒸ,"['1 ESS-1 (O)', '0 VDC2 (G)']"
10,Round 1,"Srijan PoudelⒸ , Lisa ChheangⓉ","['1 MAD2 (O)', '0 FSDC (G)']"
11,Round 1,Estelle Novenka FlorensⒸ,"['1 NDDC 1 (O)', '0 IDC 1 (G)']"
12,Round 1,"Shabab QuaderiⒸ , Adya Sharma , Govind Singh Madan Singh Bist","['1 IDC 2 (G)', '0 MUBC-2 (O)']"
13,Round 1,Vandhana RameshⒸ,"['1 MAD 1 (O)', '0 JDC 1 (G)']"
14,Round 1,"Srijit TalukdarⒸ , Bikhyat khatriⓉ","['1 MM D 1 (O)', '0 SAGC-1 (G)']"
15,Round 1,ReedⒸ,"['1 MM D 2 (O)', '0 Team Ukraine (G)']"
16,Round 1,Tushar PancholiⒸ,"['1 Nddc-2 (O)', '0 RCDC 1 (G)']"
17,Round 2,Rahul DattaⒸ,"['1 ESS-1 (G)', '0 ACC1 (O)']"
18,Round 2,Ariefinara HernawanⒸ,"['1 ACPS 1 (G)', '0 SAGC-1 (O)']"
19,Round 2,Srijit TalukdarⒸ,"['1 MM D 2 (G)', '0 BNMPC 1 (O)']"
20,Round 2,Srijan PoudelⒸ,"['1 Bulgarian National Debate Team (O)', '0 JDC 2 (G)']"
21,Round 2,ReedⒸ,"['1 CCPC A (O)', '0 Gscdc A (G)']"
22,Round 2,Shabab QuaderiⒸ,"['1 RCDC 1 (O)', '0 Chittagong Govt. High School (G)']"
23,Round 2,Vandhana RameshⒸ,"['1 Composite 1 (G)', '0 FSDC (O)']"
24,Round 2,"Tushar PancholiⒸ , Udhay Aman Chopra","['1 DRMC 1 (G)', '0 St Xaviers College (O)']"
25,Round 2,Aliya FairuzⒸ,"['1 DSDC 1 (O)', '0 MM D 3 (G)']"
26,Round 2,Estelle Novenka FlorensⒸ,"['1 IDC 2 (G)', '0 Farrokh Bulsara (O)']"
27,Round 2,Kaushik HMⒸ,"['1 IDC 1 (O)', '0 VDC2 (G)']"
28,Round 2,Deepansh JawraniⒸ,"['1 JDC 1 (O)', '0 MUBC-2 (G)']"
29,Round 2,Bikhyat khatriⒸ,"['1 MAD 1 (G)', '0 Punjabi Movie HD Download (O)']"
30,Round 2,Inqiyad PatwaryⒸ,"['1 WDC1 (G)', '0 MAD2 (O)']"
31,Round 2,Vishal SidhuⒸ,"['1 NDDC 1 (O)', '0 MM D 1 (G)']"
32,Round 2,Adya SharmaⒸ,"['1 VDC 1 (G)', '0 Nddc-2 (O)']"
33,Round 3,Kaushik HMⒸ,"['1 Composite 1 (O)', '0 ACC1 (G)']"
34,Round 3,Ariefinara HernawanⒸ,"['1 ACPS 1 (G)', '0 RCDC 1 (O)']"
35,Round 3,Shabab QuaderiⒸ,"['1 BNMPC 1 (O)', '0 IDC 1 (G)']"
36,Round 3,Srijit TalukdarⒸ,"['1 Bulgarian National Debate Team (O)', '0 NDDC 1 (G)']"
37,Round 3,Srijan PoudelⒸ,"['1 MAD 1 (O)', '0 CCPC A (G)']"
38,Round 3,K.M. Najib HayderⒸ,"['1 FSDC (G)', '0 Chittagong Govt. High School (O)']"
39,Round 3,Vandhana RameshⒸ,"['1 DRMC 1 (O)', '0 Farrokh Bulsara (G)']"
40,Round 3,Priyanka DasⒸ,"['1 MAD2 (G)', '0 DSDC 1 (O)']"
41,Round 3,Inqiyad PatwaryⒸ,"['1 DT-1 (G)', '0 MUBC-2 (O)']"
42,Round 3,Estelle Novenka FlorensⒸ,"['1 WDC1 (G)', '0 ESS-1 (O)']"
43,Round 3,Tushar PancholiⒸ,"['1 JDC 1 (G)', '0 Gscdc A (O)']"
44,Round 3,Rahul DattaⒸ,"['1 IDC 2 (O)', '0 MM D 2 (G)']"
45,Round 3,Khalid AurnabⒸ,"['1 MM D 1 (G)', '0 JDC 2 (O)']"
46,Round 3,Adya SharmaⒸ,"['1 St Xaviers College (G)', '0 MM D 3 (O)']"
47,Round 3,Deepansh JawraniⒸ,"['1 Punjabi Movie HD Download (O)', '0 Nddc-2 (G)']"
48,Round 3,Govind Singh Madan Singh BistⒸ,"['1 VDC2 (O)', '0 SAGC-1 (G)']"
