,Round Name,Panel,Rankings
0,Round 1,"Christina RamaniⒸ , Aryaman Jagdhari , Priyanka Das","['3 2350km (OG)', '2 Keio A (CG)', '1 Lockdown would be so much better if (OO)', '0 Young And Beautiful Boys (CO)']"
1,Round 1,"James PanⒸ , Irfan Kamaruzzaman","['3 UNO Reverse (OG)', '2 Alohomora (OO)', '1 CMCDC (CO)', '0 Team AJ (CG)']"
2,Round 1,"Abhilash SaneⒸ , Kan Morita","['3 THO CP Winter (CO)', '2 MARA Pakar IT Pakar Ekonomi (OG)', '1 Asasi UiTM A (CG)', '0 Icewallowcome (OO)']"
3,Round 1,"Umy Marshita (ineligible)Ⓒ , Keith","[""3 DReg's Angels (OO)"", '2 JioJio (CO)', '1 CDC A (CG)', '0 Asasi UiTM C (OG)']"
4,Round 1,"Catherine ZhouⒸ , Zohri","['3 SFU Crew (OG)', '2 Too hard to think of one (CG)', '1 Asasi UiTM D (OO)', '0 SWING C (CO)']"
5,Round 1,"Shudipto R. AhmedⒸ , Anis","['3 cookieunicornlovers69 (OG)', '2 KMLA Korea (CO)', '1 Asasi UITM B (OO)', '0 bj (CG)']"
6,Round 1,BorisⒸ,"['3 Batman and Robin (OO)', '2 MARA 63 (OG)', '1 What are you doing, step bro? (CO)', '0 Bench (CG)']"
7,Round 1,Rahul DattaⒸ,"['3 LUMS BOOMER ZOOMERS (CG)', '2 Habib Not Karachi (OO)', '1 Gimpa (OG)', '0 UNIB (CO)']"
8,Round 1,"Deepak ManchikantiⒸ , Ryosuke Yoshida","['3 Yiwu Normal University (CG)', '2 Habib Mariyam Heights (OG)', '1 MARA membara semangat waja (OO)', '0 laurence and jerry (CO)']"
9,Round 1,"Karla Louise AlfonsoⒸ , Kevin Rendra Pratama","['3 ken gelson break? (CO)', '2 it is what it is (OG)', '1 LUMS Framing (OO)', '0 Pocket Aces (CG)']"
10,Round 1,Taha Iqbal (ineligible)Ⓒ,"['3 Winslar Stellton (OO)', '2 Monash Malaysia (OG)', '1 Kanda Poha (CG)', '0 MARAdeka (CO)']"
11,Round 1,"Aditya SunkaraⒸ , Chloey","['3 Yato pics pls (CO)', '2 The Time I Got Reincarnated Into A (OG)', '1 Zero Rhetoric (OO)', '0 SWING B (CG)']"
12,Round 2,"Deepak ManchikantiⒸ , Anis","['3 SFU Crew (OO)', '2 Yiwu Normal University (CO)', '1 Batman and Robin (OG)', '0 2350km (CG)']"
13,Round 2,"Aditya SunkaraⒸ , Keith","['3 Too hard to think of one (CO)', '2 MARA 63 (OO)', '1 Alohomora (CG)', '0 JioJio (OG)']"
14,Round 2,"Christina RamaniⒸ , Kan Morita","['3 What are you doing, step bro? (OO)', '2 CDC A (CO)', '1 MARA membara semangat waja (CG)', '0 Asasi UiTM A (OG)']"
15,Round 2,"Priyanka DasⒸ , Kevin Rendra Pratama","['3 Pocket Aces (OG)', '2 MARAdeka (CG)', '1 Young And Beautiful Boys (OO)', '0 Asasi UiTM C (CO)']"
16,Round 2,"Abhilash SaneⒸ , Aryaman Jagdhari","['3 Lockdown would be so much better if (CG)', '2 Gimpa (OO)', '1 CMCDC (OG)', '0 Asasi UiTM D (CO)']"
17,Round 2,"BorisⒸ , Zohri","['3 Kanda Poha (OO)', '2 LUMS Framing (OG)', '1 Zero Rhetoric (CO)', '0 Asasi UITM B (CG)']"
18,Round 2,"Karla Louise AlfonsoⒸ , Irfan Kamaruzzaman","['3 SWING C (CG)', '2 SWING B (OO)', '1 Bench (OG)', '0 Team AJ (CO)']"
19,Round 2,"Rahul DattaⒸ , Ryosuke Yoshida","['3 laurence and jerry (OO)', '2 UNIB (CG)', '1 Icewallowcome (OG)', '0 bj (CO)']"
20,Round 2,Catherine ZhouⒸ,"['3 LUMS BOOMER ZOOMERS (CO)', '2 ken gelson break? (OG)', '1 cookieunicornlovers69 (OO)', '0 UNO Reverse (CG)']"
21,Round 2,"Shudipto R. AhmedⒸ , Chahana","[""3 DReg's Angels (CG)"", '2 Yato pics pls (OO)', '1 THO CP Winter (OG)', '0 Winslar Stellton (CO)']"
22,Round 2,James PanⒸ,"['3 Monash Malaysia (OO)', '2 Habib Not Karachi (OG)', '1 MARA Pakar IT Pakar Ekonomi (CO)', '0 Habib Mariyam Heights (CG)']"
23,Round 2,"Umy Marshita (ineligible)Ⓒ , Chloey","['3 The Time I Got Reincarnated Into A (CG)', '2 it is what it is (OO)', '1 Keio A (CO)', '0 KMLA Korea (OG)']"
24,Round 3,Christina RamaniⒸ,"['3 2350km (OO)', '2 laurence and jerry (OG)', '1 Gimpa (CG)', '0 UNO Reverse (CO)']"
25,Round 3,"BorisⒸ , Keith","['3 MARA Pakar IT Pakar Ekonomi (CG)', '2 Pocket Aces (OO)', '1 Zero Rhetoric (OG)', '0 Alohomora (CO)']"
26,Round 3,"Ryosuke YoshidaⒸ , Aryaman Jagdhari","['3 Asasi UiTM A (CO)', '2 Asasi UiTM D (OG)', '1 Icewallowcome (CG)', '0 Asasi UiTM C (OO)']"
27,Round 3,"ChahanaⒸ , Zohri","['3 MARAdeka (OO)', '2 Habib Mariyam Heights (CO)', '1 KMLA Korea (CG)', '0 Asasi UITM B (OG)']"
28,Round 3,"Catherine ZhouⒸ , Kevin Rendra Pratama","['3 THO CP Winter (OO)', '2 MARA 63 (CO)', '1 What are you doing, step bro? (OG)', '0 Batman and Robin (CG)']"
29,Round 3,"Karla Louise AlfonsoⒸ , Chloey","['3 Young And Beautiful Boys (CG)', '2 Bench (CO)', '1 Team AJ (OO)', '0 bj (OG)']"
