,Name,Team,Categories,Speaker Scores
0,Senin Chowdhury,RCDC 1,,"['80', '79', '77', '79', '80', '79']"
1,Abid Bin Ahmad,CCPC 1,,"['76', '81', '79', '78', '81', '79']"
2,Adhara Ayndrila,SD 1,,"['75', '80', '79', '79', '80', '79']"
3,Rafiush Safin,VH 1,,"['77', '80', '79', '80', '78', '78']"
4,Seeam Marjan,MAD 1,,"['78', '80', '79', '77', '78', '79']"
5,Akifuzzaban Labib,JDC 1,,"['77', '79', '77', '80', '78', '79']"
6,Al Wasee M Fahimuddaula,SD 1,,"['77', '79', '79', '79', '78', '78']"
7,Nahian Rashha,VDC 1,,"['77', '76', '77', '80', '79', '79']"
8,Imtiaz Ahmed Khan,RCDC 1,,"['80', '78', '76', '77', '79', '78']"
9,Tahmeed Khaled Chowdhury,AKS 2,,"['79', '77', '78', '78', '76', '79']"
10,Hasibul Kadir,MAD 1,,"['77', '79', '80', '78', '76', '77']"
11,Radin Rahman,MM D 2,,"['79', '78', '76', '79', '77', '78']"
12,Lamia Nur Rahman,ESS 1,,"['78', '78', '78', '79', '76', '78']"
13,Fairooj Rushmila,ESS 1,,"['78', '78', '77', '76', '78', '79']"
14,Tajreen Tabassum Nushba,VDC 1,,"['76', '75', '78', '79', '76', '81']"
15,Rafiul Alam Khan,NDDC 2,,"['77', '79', '76', '75', '77', '81']"
16,Abdullah Ahnaf Karim,DSDC 1,,"['77', '78', '78', '78', '76', '78']"
17,Rahib Mabsur Chowdhury,CCPC 1,,"['78', '77', '78', '78', '77', '77']"
18,Shayor Ahmad Khan,CGSD 1,Novice,"['78', '77', '78', '74', '81', '77']"
19,Azmaeen Muhammad Nibras,CCPC 1,Novice,"['77', '78', '77', '78', '78', '77']"
20,Tahira Tasnim,VDC 2,,"['76', '79', '77', '77', '77', '78']"
21,Farhan Khan,MM D 2,,"['79', '78', '74', '78', '77', '78']"
22,Farhan Islam,DSDC 1,,"['76', '78', '78', '78', '76', '78']"
23,Ahmad Fahim Shihab,DGBHS 1,,"['77', '77', '77', '77', '78', '78']"
24,Angana Mallick,SDC 1,,"['75', '77', '76', '80', '77', '78']"
25,Tamhidul Islam,DRMC 1,,"['77', '77', '78', '77', '77', '77']"
26,Reheber Islam,JDC 1,,"['76', '77', '78', '76', '76', '79']"
27,Monmoy Maahdie,AKS 2,,"['78', '77', '77', '78', '76', '76']"
28,Areez Binte Hossain,MM D 2,,"['79', '78', '76', '77', '76', '76']"
29,Jawaadul Islam,JDC 1,,"['76', '76', '77', '77', '76', '79']"
30,Tanaz Shahneel,AKS 2,,"['77', '77', '77', '77', '76', '77']"
31,Anisa Adiba Faryat,VDC 2,,"['76', '78', '77', '76', '77', '77']"
32,Subaita Arwaa,MAD 1,,"['76', '77', '78', '76', '77', '76']"
33,Farial Al Mashree,RCDC 1,,"['77', '75', '75', '77', '78', '78']"
