,Round Name,Panel,Rankings
0,Round 1,"Hadar GoldbergⒸ , Gwen Stearns , Rahul Datta","['3 Make sure you ask Nick about his tr (OG)', '2 Boys of the Old Brigade (OO)', '1 Britzkrieg** (CG)', '0 Astana OA (CO)']"
1,Round 1,"Nick ZervoudisⒸ , Arie Mora , Thang Tran","['3 Demosthenes (OG)', '2 Progeny of Partitioned People (OO)', '1 Bayern Bru (CG)', '0 Imperial Here for the memes (CO)']"
2,Round 1,"Enting LeeⒸ , Jessica Awurum , Leauren Ji , Prerana Rai","['3 Speaking faster than a Krankenwagen (OO)', '2 Veliki Doktor Who (CO)', '1 Imperial What timezone is this agai (OG)', '0 Boğaziçi A (CG)']"
3,Round 1,"Rachel HomnickⒸ , Areeb Sherwani , Lena Kolle","['3 The Germans saved our butts (OO)', '2 Help! My girlfriend moved in with m (OG)', '1 UCL ST (CG)', '0 Cake is bread, but is bread cake? (CO)']"
4,Round 1,"Ivan KapelyukhⒸ , Aditi Srinath , Anh Cao , Mikhail Druzhinin","['3 Saturday Night Discord Fever (OO)', '2 Squeaky Frog B** (OG)', '1 IHU A (CG)', '0 Chairman Meow** (CO)']"
5,Round 1,"Marike BreedⒸ , Ron Leizrowice , Vladimira Šuflaj","['3 The Doctor and her companion (OO)', '2 Jimmy Jabs (OG)', '1 IHU E (CG)', '0 Confused Screaming (CO)']"
6,Round 1,"Joona SuhonenⒸ , Nikola Michaylov , Rachana N","['3 Wet and Gushy (CG)', '2 ENLIGHT3NED (CO)', '1 Henlo u cute (OG)', '0 Duke Sasu (OO)']"
7,Round 1,"Ala FilbierⒸ , Cecil Khayat , Pranav Kagalkar","['3 Spinny Couch A (OG)', '2 if batman has a Utility belt then w (CO)', '1 Vincent is Emomazing (OO)', '0 GSÜ A (CG)']"
8,Round 1,"Emily FrizellⒸ , Parth Pandya , Sean Pearce","['3 We Can read in 4 alphabets but the (CO)', '2 IHU B (OG)', ""1 Message for Mehdi's onlyfans (OO)"", '0 Hertie School (CG)']"
9,Round 1,"Rhys SteeleⒸ , Anna Neuber , Nursat Kulumkanov","['3 Oops I debated again** (CO)', ""2 We don't fight during prep time. (OO)"", '1 TNTeam - Impact that blows your min (CG)', '0 IHU C (OG)']"
10,Round 1,"Katharina JansenⒸ , Alexandra Lovell , Francois Brits","['3 Tilbury House any% speedrun (OO)', '2 UDS Structure is in the Eye of the (CG)', '1 IHU D (OG)', '0 Mujahideen (CO)']"
11,Round 1,"Mukhtar TashkenbayevⒸ , Alexander Fraser , Priyanka Das","['3 Tabbycat has a limit for team names (OG)', '2 Necrodissonance (OO)', '1 Imperial Your money or your tab (CG)', '0 Is Bratwurst in Curry Cultural Appr (CO)']"
12,Round 1,"Milla HuuskonenⒸ , Sameer Shaikh , Umar Buckus","['3 Passive Aggressive (CO)', '2 IR A (OO)', '1 Swing (OG)', '0 Sudan (CG)']"
13,Round 2,"Marike BreedⒸ , Areeb Sherwani , Pranav Kagalkar","['3 Astana OA (CG)', '2 Mujahideen (OO)', '1 Imperial Here for the memes (OG)', '0 Hertie School (CO)']"
14,Round 2,"Ala FilbierⒸ , Alexander Fraser , Priyanka Das , Sameer Shaikh","[""3 Message for Mehdi's onlyfans (CG)"", '2 IHU D (OO)', '1 Imperial What timezone is this agai (CO)', '0 Bayern Bru (OG)']"
15,Round 2,"Arie MoraⒸ , Mikhail Druzhinin , Parth Pandya , Sowmya Srinivasan","['3 Confused Screaming (CG)', '2 Boğaziçi A (OG)', '1 IHU C (OO)', '0 Sudan (CO)']"
16,Round 2,"Mukhtar TashkenbayevⒸ , Alexandra Lovell , Arghya Dev Biswas Aryan , Mohamad Yahia Sammouneh","['3 Boys of the Old Brigade (CO)', ""2 We don't fight during prep time. (OG)"", '1 Help! My girlfriend moved in with m (OO)', '0 ENLIGHT3NED (CG)']"
17,Round 2,"Milla HuuskonenⒸ , Gwen Stearns , Prerana Rai , Vladimira Šuflaj","['3 Britzkrieg** (OG)', '2 UCL ST (OO)', '1 TNTeam - Impact that blows your min (CO)', '0 Henlo u cute (CG)']"
18,Round 2,"Rachel HomnickⒸ , Francois Brits , Thang Tran","['3 Imperial Your money or your tab (CO)', '2 IHU A (OG)', '1 Vincent is Emomazing (CG)', '0 Cake is bread, but is bread cake? (OO)']"
19,Round 2,"Ron LeizrowiceⒸ , Anna Neuber , Nikola Michaylov","['3 Duke Sasu (OG)', '2 Is Bratwurst in Curry Cultural Appr (OO)', '1 Chairman Meow** (CG)', '0 GSÜ A (CO)']"
20,Round 2,"Emily FrizellⒸ , Anh Cao , Hasif Ahmed , Umar Buckus","['3 UDS Structure is in the Eye of the (OO)', '2 Tilbury House any% speedrun (OG)', '1 Demosthenes (CO)', '0 The Germans saved our butts (CG)']"
21,Round 2,"Hadar GoldbergⒸ , Hillary J. Monroe , Leauren Ji , Lucy McManus","['3 if batman has a Utility belt then w (OG)', '2 Squeaky Frog B** (CO)', '1 IHU E (OO)', '0 IHU B (CG)']"
22,Round 2,"Nick ZervoudisⒸ , Nursat Kulumkanov , Rachana N , Rumen Marinov","['3 Make sure you ask Nick about his tr (OO)', '2 IR A (CG)', '1 Saturday Night Discord Fever (OG)', '0 The Doctor and her companion (CO)']"
23,Round 2,"Rhys SteeleⒸ , Cecil Khayat , Nicolaj Thor , Rahul Datta","['3 Necrodissonance (OG)', '2 Jimmy Jabs (CG)', '1 Veliki Doktor Who (OO)', '0 Swing (CO)']"
24,Round 2,"Ivan KapelyukhⒸ , Jyotirmoy , Lena Kolle , Sean Pearce","['3 We Can read in 4 alphabets but the (CG)', '2 Speaking faster than a Krankenwagen (OG)', '1 Oops I debated again** (OO)', '0 Spinny Couch A (CO)']"
25,Round 2,"Joona SuhonenⒸ , Fionuala McCarron , Jessica Awurum , Satvika Jain","['3 Wet and Gushy (OG)', '2 Tabbycat has a limit for team names (CO)', '1 Progeny of Partitioned People (CG)', '0 Passive Aggressive (OO)']"
26,Round 3,"Marike BreedⒸ , Jessica Awurum , Sameer Shaikh","['3 UCL ST (CO)', '2 Passive Aggressive (CG)', '1 Astana OA (OG)', '0 Boğaziçi A (OO)']"
27,Round 3,"Ala FilbierⒸ , Lucy McManus , Thang Tran , Vladimira Šuflaj","['3 IHU E (OG)', '2 IHU B (OO)', '1 Mujahideen (CG)', '0 Bayern Bru (CO)']"
