,Round Name,Panel,Rankings
0,Round 1,"Rangan MajumdarⒸ , Adhara , Fariha Tahsin Haque","[""3 Belli's wet dream (OO)"", '2 IUB 1 (CG)', '1 Ideal 2 (OG)', '0 CUFBDA B (CO)']"
1,Round 1,"Sajid SafwanⒸ , Abhishek Sinha , Meg Kandarpa","['3 BUET DT (OO)', '2 SSMC (CG)', '1 Tribute to SMM (CO)', '0 KUET (OG)']"
2,Round 1,"ReedⒸ , Namita Pandey , Rushdoon","['3 Team20 (OO)', '2 BUPDC A (CO)', '1 Demolition Crew (OG)', '0 CUDS (CG)']"
3,Round 1,"Estelle FlorensⒸ , Priyanka Das , Wasiul HoqueⓉ","['3 Rehab with rehebro (CO)', '2 JUDS Shongshaptak (CG)', '1 CUFBDA A (OG)', '0 Ideal 1 (OO)']"
4,Round 2,"Sowmya SrinivasanⒸ , Helena Hecke , Joy","['3 Rehab with rehebro (OO)', ""2 Belli's wet dream (CG)"", '1 BUET DT (OG)', '0 Team20 (CO)']"
5,Round 2,"Priyanka DasⒸ , Abid Bin Ahmad , Namita Pandey","['3 SSMC (CO)', '2 IUB 1 (OG)', '1 BUPDC A (CG)', '0 JUDS Shongshaptak (OO)']"
6,Round 2,"Zobayer AhmedⒸ , Fariha Tahsin Haque , Wasiul Hoque , Rashikah TazreenⓉ","['3 KUET (OO)', '2 CUFBDA B (CG)', '1 CUDS (OG)', '0 Ideal 1 (CO)']"
7,Round 2,"RifatⒸ , Hasif Ahmed , Meg Kandarpa , Samian AhmadⓉ","['3 Tribute to SMM (OG)', '2 Demolition Crew (OO)', '1 CUFBDA A (CG)', '0 Ideal 2 (CO)']"
8,Round 3,"Helena HeckeⒸ , Joy , Priyanka Das , Zobayer Ahmed","['3 Rehab with rehebro (CG)', ""2 Belli's wet dream (CO)"", '1 Tribute to SMM (OO)', '0 SSMC (OG)']"
9,Round 3,"Estelle FlorensⒸ , Rushdoon , PranayⓉ","['3 BUET DT (CG)', '2 Team20 (OG)', '1 BUPDC A (OO)', '0 IUB 1 (CO)']"
10,Round 3,"RifatⒸ , Abid Bin Ahmad , Fariha Tahsin Haque , Rashikah TazreenⓉ","['3 CUDS (OO)', '2 CUFBDA A (CO)', '1 Ideal 1 (OG)', '0 Ideal 2 (CG)']"
11,Round 3,"Sowmya SrinivasanⒸ , Meg Kandarpa , Wasiul Hoque","['3 KUET (CO)', '2 JUDS Shongshaptak (OG)', '1 Demolition Crew (CG)', '0 CUFBDA B (OO)']"
12,Round 4,"Zobayer AhmedⒸ , Abid Bin Ahmad , Meg Kandarpa","[""3 Belli's wet dream (OG)"", '2 KUET (CG)', '1 Rehab with rehebro (OO)', '0 BUET DT (CO)']"
13,Round 4,"RifatⒸ , Wasiul Hoque","['3 BUPDC A (OG)', '2 Demolition Crew (CO)', '1 Ideal 2 (OO)', '0 Ideal 1 (CG)']"
14,Round 4,"Estelle FlorensⒸ , Fariha Tahsin Haque , Joy , Rushdoon","['3 IUB 1 (CG)', '2 CUFBDA B (OG)', '1 CUFBDA A (OO)', '0 CUDS (CO)']"
15,Round 4,"AdharaⒸ , Priyanka Das","['3 Tribute to SMM (CG)', '2 SSMC (OO)', '1 Team20 (OG)', '0 JUDS Shongshaptak (CO)']"
