,Round Name,Panel,Rankings
0,Round 1,"Anna-Ruth CockerhamⒸ , Hadar Goldberg","['3 Aalto Discord Queens (OG)', '2 Gal Pals (OO)', '1 TCD Hist bedate (CG)', '0 Vincit qui se vincit (CO)']"
1,Round 1,"Helena HeckeⒸ , Anh Cao , Gwen Stearns","['3 Sheffield Something about being European (CO)', '2 Swing A (OG)', '1 Another Debating Saturday (OO)', '0 TCD Phil Sugar and Spice (CG)']"
2,Round 1,"Lucy McManusⒸ , Enting Lee , Erin Buckley , Shruti Deb","[""3 KCL I'm paralyzed by options (OO)"", '2 TCD Phil Very Orange-inal (CG)', '1 Celtic Alliance (CO)', '0 NU ADU (OG)']"
3,Round 2,"Anh CaoⒸ , Erin Buckley , Gwen Stearns","['3 Sheffield Something about being European (CG)', '2 Aalto Discord Queens (OO)', '1 TCD Phil Very Orange-inal (OG)', ""0 KCL I'm paralyzed by options (CO)""]"
4,Round 2,"Helena HeckeⒸ , Hadar Goldberg , Lucy McManus","['3 Swing A (OO)', '2 Another Debating Saturday (CG)', '1 TCD Hist bedate (OG)', '0 Gal Pals (CO)']"
5,Round 2,"Anna-Ruth CockerhamⒸ , Ellen McHugh","['3 TCD Phil Sugar and Spice (CO)', '2 Celtic Alliance (CG)', '1 NU ADU (OO)', '0 Vincit qui se vincit (OG)']"
6,Round 3,"Gwen StearnsⒸ , Erin Buckley , Lucy McManus","['3 Swing A (CO)', '2 Sheffield Something about being European (OO)', '1 Another Debating Saturday (OG)', '0 Aalto Discord Queens (CG)']"
7,Round 3,"Marta VasićⒸ , Anh Cao , Ellen McHugh","['3 TCD Phil Sugar and Spice (OG)', ""2 KCL I'm paralyzed by options (CG)"", '1 TCD Phil Very Orange-inal (CO)', '0 Celtic Alliance (OO)']"
8,Round 3,"Helena HeckeⒸ , Emily Frizell","['3 Swing B (CO)', '2 Gal Pals (OG)', '1 TCD Hist bedate (OO)', '0 Vincit qui se vincit (CG)']"
9,Round 4,"Marta VasićⒸ , Ellen McHugh , Erin Buckley , Hadar Goldberg","['3 Sheffield Something about being European (OG)', '2 Swing A (CG)', '1 TCD Phil Sugar and Spice (OO)', '0 Aalto Discord Queens (CO)']"
10,Round 4,"Sophie Furlong TigheⒸ , Anh Cao , Emily Frizell","[""3 KCL I'm paralyzed by options (OG)"", '2 TCD Phil Very Orange-inal (OO)', '1 Another Debating Saturday (CO)', '0 Gal Pals (CG)']"
11,Round 4,"Gwen StearnsⒸ , Helena Hecke , Lucy McManus","['3 Vincit qui se vincit (OO)', '2 Swing B (CG)', '1 Celtic Alliance (OG)', '0 TCD Hist bedate (CO)']"
12,Grand Final,"Marta VasićⒸ , Anh Cao , Anna-Ruth Cockerham , Emily Frizell , Helena Hecke","['1 Sheffield Something about being European (OG)', ""0 KCL I'm paralyzed by options (CO)"", '0 TCD Phil Sugar and Spice (OO)', '0 TCD Phil Very Orange-inal (CG)']"
