,Name,Team,Categories,Speaker Scores
0,Naomi Panovka,McGill FP,Novice,"['78', '87', '79', '84', '83']"
1,Matthew Farrell,McGill FP,Novice,"['79', '85', '78', '82', '84']"
2,Ethan Curry,Western/McMaster CH,,"['81', '81', '81', '79', '82']"
3,David Africa,Ateneo AA,,"['80', '81', '78', '81', '84']"
4,Ahmed El Sammak,Cornell KS,,"['75', '86', '82', '81', '80']"
5,Amaar Jeyasothy,Cornell JY,,"['80', '79', '81', '80', '83']"
6,Miranda Collett,SFU CW,,"['81', '77', '82', '81', '82']"
7,Luigi Alcaneses,Ateneo AA,,"['79', '81', '79', '80', '84']"
8,Isaac Goldstein,Berkeley DG,,"['79', '81', '79', '80', '84']"
9,Dylan Young,Cornell JY,,"['78', '81', '80', '79', '83']"
10,Meg Kandarpa,Cornell KS,Novice,"['75', '85', '82', '80', '79']"
11,Gabrielle Wong,SFU CW,Novice,"['80', '77', '81', '81', '81']"
12,Rebecca Han,Princeton HM,Novice,"['82', '79', '82', '76', '79']"
13,Zack Hassan,Western/McMaster CH,Novice,"['79', '80', '79', '77', '81']"
14,Frankie Duan,Berkeley DG,,"['77', '82', '78', '77', '82']"
15,Anoosha Zaki,USC FZ,,"['77', '80', '78', '80', '80']"
16,Sania Shahid,W&M SV,,"['79', '78', '79', '79', '78']"
17,Shanzeh Faheem,USC FZ,,"['76', '79', '77', '81', '80']"
18,Srishti Ghosh,Princeton AG,Novice,"['78', '82', '77', '77', '79']"
19,Will Duanmu,Georgetown DS,,"['77', '78', '77', '83', '78']"
20,Lochlann Kerr,Alberta BK,,"['77', '81', '80', '81', '74']"
21,Lydia Vlasto,W&M SV,,"['78', '79', '79', '79', '77']"
22,Varun Menon,Berkeley BM,,"['81', '78', '79', '76', '78']"
23,Max Rosen,McGill RY,Novice,"['79', '76', '78', '82', '77']"
24,Chris Beasley,Alberta BK,,"['77', '80', '81', '80', '74']"
25,Rhys Nickerson,McGill/Dawson CN,,"['82', '80', '75', '76', '79']"
26,Reana Yan,McGill RY,Novice,"['79', '77', '77', '81', '77']"
27,Aonkon Dey,Tufts AD,ESL,"['77', '77', '79', '79', '78']"
28,Muzamil Godil,JHU GM,ESL,"['78', '77', '77', '78', '80']"
29,Ted Chang,Tufts/Wellesley CZ,Novice,"['80', '78', '76', '78', '78']"
30,Maxwell Sheremeta,Georgetown DS,,"['78', '77', '77', '81', '77']"
31,Anubhav Agarwal,Princeton AG,Novice,"['78', '81', '77', '76', '78']"
32,Connor Aikayama,Tufts AD,,"['76', '77', '79', '78', '79']"
33,Jon Bodine,Berkeley BM,,"['80', '78', '78', '76', '77']"
34,Bruno Aravena M.,Princeton HM,,"['80', '78', '79', '74', '78']"
35,Swing 3B,Swing 3,,"['78', '77', '—', '77', '79']"
36,Ben Goldberg,Cornell GK,,"['76', '78', '79', '76', '79']"
37,Cindy Zhao,Tufts/Wellesley CZ,,"['79', '78', '75', '79', '77']"
38,Vratin Srivastava,IISER Bhopal/Manipal AS,Novice,"['77', '81', '78', '77', '75']"
39,Hans Gebauer,Regis MG,Novice,"['77', '79', '75', '79', '77']"
40,Joshua Cohen,McGill/Dawson CN,,"['80', '78', '75', '76', '78']"
41,Ethan So,Colgate ST,,"['77', '76', '76', '80', '—']"
42,Nicholas Aranda,Regis AW,,"['76', '76', '78', '79', '77']"
43,Varahunan Mathiyalakan,JHU GM,,"['77', '76', '76', '77', '80']"
44,Aaron Tanaka,Colgate ST,,"['77', '78', '75', '80', '76']"
45,Simar Kohli,Cornell GK,,"['74', '79', '80', '75', '78']"
46,Thomas Jones,Regis JR,,"['76', '80', '73', '77', '80']"
47,William Reid,Regis JR,,"['76', '81', '73', '77', '79']"
48,Saad Khan,Calgary/Saskatchewan KV,,"['77', '75', '78', '79', '76']"
49,Elijah Yap,USC HY,Novice,"['75', '79', '75', '79', '77']"
50,Bart Lahiff,HWS KL,,"['74', '78', '79', '75', '79']"
51,Sarim Karim,HWS KL,ESL,"['75', '77', '78', '76', '78']"
52,Lara Nayar,W&M MN,Novice,"['76', '79', '77', '76', '76']"
53,Evanjalina Matoy,Regis MG,,"['77', '77', '75', '79', '76']"
54,Jasmine Moheb,UCSD GM,,"['77', '79', '77', '76', '75']"
55,Juan Ramon Riojas,Mississippi RS,,"['76', '79', '77', '75', '77']"
56,Swing 3A,Swing 3,,"['—', '79', '72', '78', '78']"
57,May Zheng,Independent CZ,Novice,"['76', '77', '76', '76', '78']"
58,Matt Nusom,HWS NP,Novice,"['77', '78', '75', '76', '77']"
59,Tayseer Alawneh,NNUDS AH,"Novice, ESL","['77', '75', '78', '77', '76']"
60,April Chen,Independent CZ,Novice,"['76', '78', '76', '75', '78']"
61,Abby Vadeboncoeur,Calgary/Saskatchewan KV,,"['76', '76', '76', '80', '75']"
62,Meehakk Mulani,McGill/Waterloo CM,,"['73', '76', '77', '78', '79']"
63,Swing 1B,Swing 1,,"['74', '80', '—', '77', '75']"
64,Shane Lindsay,USAFA IL,,"['75', '77', '77', '76', '77']"
65,Arunav Gupta,UCSD GM,Novice,"['77', '78', '75', '75', '77']"
66,Colin Coppock,La Verne CM,,"['77', '76', '74', '77', '78']"
67,Colin Jarrett-Izzi,USAFA IL,,"['74', '78', '76', '76', '78']"
68,Swing 1A,Swing 1,,"['73', '79', '77', '77', '76']"
69,Sreyan Kanungo,HWS KS,"Novice, ESL","['76', '76', '73', '76', '81']"
