,Name,Team,Categories,Speaker Scores
0,Pragyan Acharya,long distance relationship,,"['80', '86', '83', '81']"
1,Ang Sonam Sherpa,OGOOCGCO,,"['80', '80', '82', '82']"
2,Chris Carlos,UPD CS,,"['80', '83', '78', '82']"
3,Miguel Carlos Sulit,UPD CS,,"['80', '83', '77', '81']"
4,Daniel Wiyarta Tenggara,long distance relationship,,"['80', '81', '81', '79']"
5,David Bejarin,Philippines' next top losers,,"['78', '81', '78', '82']"
6,Nicky Solis,UPD Best Friends,,"['80', '78', '80', '81']"
7,Pep Danguilan,UPD Best Friends,,"['79', '77', '81', '82']"
8,Nick,Monash University Malaysia,,"['80', '76', '80', '83']"
9,Anton Abiera,Philippines' next top losers,,"['79', '83', '77', '79']"
10,Milan Bishwakarma,OGOOCGCO,,"['79', '79', '80', '80']"
11,Taaha,Monash University Malaysia,,"['80', '77', '77', '81']"
12,Joshua Dita,De La Salle 1,,"['77', '78', '79', '79']"
13,Nimit Bhatia,No Rep Bias,Novice,"['77', '78', '78', '80']"
14,Kaushik HM,Pk ho kya,,"['79', '77', '76', '81']"
15,Kshitiz Garg,No Rep Bias,Novice,"['78', '77', '78', '80']"
16,Siddhartha Tandon,Hindu College,,"['78', '76', '79', '80']"
17,Ken Alunan,De La Salle 1,,"['76', '79', '79', '78']"
18,Sirish Joshi,Ultimate Chads,,"['77', '78', '77', '80']"
19,Gauri Ramachandran,Hindu College,,"['78', '77', '78', '79']"
20,Anirudh Anil Ojha,Amateur PoV,,"['78', '78', '76', '79']"
21,Farhan Rahaman,Nothing Special,,"['73', '81', '79', '78']"
22,Ravi Timsina,Ultimate Chads,,"['76', '78', '77', '79']"
23,Savishra Kandel,Nothing Special,,"['73', '80', '79', '78']"
24,Ankit Bhatta,Is there enough food in this tourna,,"['78', '77', '75', '79']"
25,Rivash Rijal,Team Amaterasu,Novice,"['76', '77', '80', '76']"
26,Prerana Rai,Pk ho kya,,"['78', '76', '76', '79']"
27,Kanon Eguchi,SAD X,,"['79', '77', '75', '78']"
28,Mitsushi Ono,SAD X,,"['78', '77', '75', '79']"
29,Suranjan Nepal,Nepal ko Pandeymic,,"['74', '78', '78', '78']"
30,Mohit Sharma,Grahan pachi ko ujyalo,,"['78', '76', '76', '78']"
31,Siddharth Sisodia,NLIU,,"['77', '75', '78', '77']"
32,Prajita Budhathoki,Auntie ji?,,"['76', '74', '78', '79']"
33,Shrijan Pandey,Nepal ko Pandeymic,,"['75', '77', '78', '77']"
34,Sashank Joshi,Grahan pachi ko ujyalo,,"['77', '75', '77', '78']"
35,Pratyush Ghimire,Auntie ji?,,"['75', '74', '77', '80']"
36,Himal Pandey,Is there enough food in this tourna,,"['78', '77', '75', '76']"
37,Nishant Mishra,AUD,,"['77', '76', '76', '76']"
38,Dristant Gautam,Eyes of the nation,Novice,"['77', '78', '75', '75']"
39,Nobel rimal,Fall guys,,"['78', '74', '77', '76']"
40,Tahansin Saad,SGHSC1,Novice,"['75', '77', '77', '76']"
41,Arya Raj Khadka,Team Amaterasu,Novice,"['75', '76', '78', '75']"
42,Sloka Roy,AUD,,"['76', '76', '75', '77']"
43,Grishma KC,Okayy,Novice,"['76', '74', '76', '77']"
44,Prasidha sangat,Fall guys,,"['76', '75', '76', '76']"
45,Anshuman Mishra,NLIU,,"['76', '75', '77', '75']"
46,Akib Mahmood Mahi,CMC,,"['77', '74', '77', '75']"
47,Saswot Shankar Shrestha,We're out of ideas,Novice,"['77', '75', '76', '73']"
48,Samarth Jha,Warriors,Novice,"['77', '76', '73', '75']"
49,Sujal Rajbhandari,Okayy,Novice,"['74', '75', '75', '76']"
50,Shreeya Dhakal,Rasode mein kaun tha,,"['76', '75', '73', '76']"
51,Narayan Agrawal,Warriors,Novice,"['77', '75', '73', '75']"
52,Rodin Bantawa,Piper picked a peck of pickled pep,Novice,"['74', '76', '75', '75']"
53,Nihil Mali,Balding baun,Novice,"['75', '76', '75', '73']"
54,Mir Muhammed Omayer,CMC,Novice,"['75', '73', '76', '75']"
55,Abha Dahal,Piper picked a peck of pickled pep,Novice,"['73', '76', '75', '75']"
56,Shalupa Khanal,Rasode mein kaun tha,,"['76', '76', '72', '75']"
57,Indwija Bhatta,We're out of ideas,Novice,"['76', '75', '76', '72']"
58,Sneha Kunwar,Who shall not be named,Novice,"['75', '74', '73', '76']"
59,Mamta Regmi,Who shall not be named,Novice,"['73', '75', '74', '76']"
60,Gaurav Bhatt,Balding baun,Novice,"['75', '75', '74', '74']"
61,Samriddhi Bista,Dumbledore's Army,Novice,"['74', '73', '74', '76']"
62,Prashamsa Aryal,Ultimate duo,Novice,"['72', '75', '75', '75']"
63,Trishika Singhania,Eyes of the nation,Novice,"['74', '76', '73', '74']"
64,Saaid Koirala,Dumbledore's Army,Novice,"['73', '73', '75', '75']"
65,Shiwali Shrestha,GIB minus 1,,"['70', '74', '75', '76']"
66,Cyrus Rana Magar,GIB minus 1,,"['69', '73', '76', '76']"
67,Ayushi Gupta,Ultimate duo,Novice,"['70', '75', '75', '74']"
68,Afif Bellikunhi,not harshita and fif,,"['79', '82', '78', '—']"
69,Harshika Tripathi,not harshita and fif,,"['78', '81', '77', '—']"
70,Siddhant Kharbanda,Amateur PoV,,"['77', '77', '—', '78']"
71,Prottoy Roy Chowdhury,SGHSC1,Novice,"['75', '76', '—', '—']"
72,Speaker 1,Swing,,"['—', '—', '—', '75']"
73,Speaker 2,Swing,,"['—', '—', '—', '75']"
