,Round Name,Panel,Rankings
0,Round 1,"Ashish KumarⒸ , Julia Hissai Yaegashi , Sameer Shaikh","['3 Come to My Window (OG)', '2 Over the Rainbow (CO)', '1 A Little Respect (OO)', '0 Dancing Queen (CG)']"
1,Round 1,"Julie NyergesⒸ , Cian Luddy , Charis FarrowⓉ","['3 True Trans Soul Rebel (OO)', '2 Brave (CO)', ""1 Ain't No Mountain High Enough (OG)"", '0 Swing 1 (CG)']"
2,Round 1,"Rhys SteeleⒸ , Ezra Miller , Freddie Mercury , Sharath NambiarⓉ","['3 Bohemian Rhapsody (OG)', '2 People Like Us (CO)', '1 Sissy That Walk (CG)', '0 Dancing on My Own (OO)']"
3,Round 1,"Olja BošnjakⒸ , Dominique Jackson , Webster Morrison , Vanshika GuptaⓉ","['3 Raise Your Glass (OO)', '2 Born This Way (CO)', '1 Mercury is in Retrograde (CG)', '0 Take Me or Leave Me (OG)']"
4,Round 1,"Sowmya SrinivasanⒸ , Lucie Slamova , Oskar Avery , Ande McClintockⓉ","[""3 Freedom '90 (CG)"", '2 Vogue (OG)', ""1 Don't Stop Me Now (OO)"", '0 Firework (CO)']"
5,Round 1,"Imogen Edwards-LawrenceⒸ , Katherine Harris , Parth Pandya , Vidisha GoyalⓉ","['3 We Are Family (OG)', ""2 I'm Coming Out (CG)"", '1 I Feel Love (CO)', '0 Same Love (OO)']"
6,Round 1,"Hadar GoldbergⒸ , Daniel Wiyarta Tenggara , Jack Synnott , Pascale WatkinsⓉ","['3 I Will Survive (CG)', ""2 Let's Have a Kiki (OG)"", '1 True Colors (CO)', ""0 What Doesn't Kill You Makes You Str (OO)""]"
7,Round 2,"Julie NyergesⒸ , Oskar Avery , Sameer Shaikh","[""3 Don't Stop Me Now (CO)"", '2 Feeling Myself (CG)', '1 Sissy That Walk (OG)', ""0 Ain't No Mountain High Enough (OO)""]"
8,Round 2,"Lucie SlamovaⒸ , Ashish Kumar , Daniel Wiyarta Tenggara , Pascale WatkinsⓉ","['3 Bohemian Rhapsody (CO)', '2 People Like Us (OG)', ""1 Freedom '90 (OO)"", '0 Come to My Window (CG)']"
9,Round 2,"Cian LuddyⒸ , Rhys Steele , Vanshika GuptaⓉ","['3 Brave (OG)', '2 Mercury is in Retrograde (CO)', '1 Vogue (CG)', '0 Born This Way (OO)']"
10,Round 2,"Olja BošnjakⒸ , Julia Hissai Yaegashi , Ande McClintockⓉ","['3 True Colors (OO)', '2 Take Me or Leave Me (CG)', '1 Dancing on My Own (OG)', '0 Swing 1 (CO)']"
11,Round 2,"Katherine HarrisⒸ , Jack Synnott , Vidisha GoyalⓉ","['3 Same Love (CG)', '2 Firework (OO)', '1 Dancing Queen (CO)', ""0 What Doesn't Kill You Makes You Str (OG)""]"
12,Round 2,"Sowmya SrinivasanⒸ , Webster Morrison , Ezra MillerⓉ","[""3 Let's Have a Kiki (CG)"", '2 I Feel Love (OG)', '1 Over the Rainbow (OO)', ""0 I'm Coming Out (CO)""]"
13,Round 2,"Dominique JacksonⒸ , Hadar Goldberg , Parth Pandya , Sharath NambiarⓉ","['3 Raise Your Glass (CG)', '2 We Are Family (OO)', '1 I Will Survive (CO)', '0 True Trans Soul Rebel (OG)']"
14,Round 3,"Lucie SlamovaⒸ , Parth Pandya","['3 Feeling Myself (CO)', '2 Born This Way (OG)', '1 Take Me or Leave Me (OO)', ""0 Ain't No Mountain High Enough (CG)""]"
15,Round 3,"Hadar GoldbergⒸ , Julia Hissai Yaegashi , Vanshika GuptaⓉ","['3 Bohemian Rhapsody (CG)', '2 We Are Family (CO)', ""1 Let's Have a Kiki (OO)"", '0 Raise Your Glass (OG)']"
16,Round 3,"Katherine HarrisⒸ , Dominique Jackson , Sowmya Srinivasan , Sharath NambiarⓉ","[""3 Freedom '90 (CO)"", '2 Brave (CG)', '1 People Like Us (OO)', '0 True Colors (OG)']"
17,Round 3,"Freddie MercuryⒸ , Julie Nyerges , Ezra MillerⓉ","['3 I Feel Love (CG)', ""2 I'm Coming Out (OO)"", '1 Over the Rainbow (OG)', '0 Come to My Window (CO)']"
18,Round 3,"Ashish KumarⒸ , Sameer Shaikh , Vidisha GoyalⓉ","['3 Dancing Queen (OO)', '2 Dancing on My Own (CG)', '1 Swing 1 (OG)', ""0 What Doesn't Kill You Makes You Str (CO)""]"
19,Round 3,"Jack SynnottⒸ , Olja Bošnjak","['3 I Will Survive (OO)', ""2 Don't Stop Me Now (CG)"", '1 Mercury is in Retrograde (OG)', '0 True Trans Soul Rebel (CO)']"
20,Round 3,"Imogen Edwards-LawrenceⒸ , Pascale Watkins , Ande McClintockⓉ","['3 Same Love (OG)', '2 Sissy That Walk (OO)', '1 Firework (CG)', '0 Vogue (CO)']"
21,Round 4,"Julie NyergesⒸ , Parth Pandya , Ezra MillerⓉ","[""3 What Doesn't Kill You Makes You Str (CG)"", '2 Dancing on My Own (OG)', ""1 Ain't No Mountain High Enough (CO)"", '0 Vogue (OO)']"
22,Round 4,"Jack SynnottⒸ , Hadar Goldberg","['3 Brave (OO)', '2 Bohemian Rhapsody (CO)', ""1 Freedom '90 (OG)"", '0 We Are Family (CG)']"
23,Round 4,"Imogen Edwards-LawrenceⒸ , Sameer Shaikh , Vidisha GoyalⓉ","['3 Born This Way (CG)', '2 Dancing Queen (OG)', '1 Mercury is in Retrograde (OO)', '0 Sissy That Walk (CO)']"
24,Round 4,"Rhys SteeleⒸ , Ande McClintock , Vanshika GuptaⓉ","['3 True Colors (CO)', '2 Come to My Window (OO)', ""1 I'm Coming Out (OG)"", '0 Over the Rainbow (CG)']"
25,Round 4,"Dominique JacksonⒸ , Katherine Harris","['3 Feeling Myself (OO)', '2 People Like Us (CG)', ""1 Don't Stop Me Now (OG)"", ""0 Let's Have a Kiki (CO)""]"
26,Round 4,"Lucie SlamovaⒸ , Julia Hissai Yaegashi , Sharath NambiarⓉ","['3 Firework (OG)', '2 True Trans Soul Rebel (CG)', '1 Take Me or Leave Me (CO)', '0 Swing 1 (OO)']"
27,Round 4,"Olja BošnjakⒸ , Pascale Watkins","['3 I Will Survive (OG)', '2 Raise Your Glass (CG)', '1 Same Love (CO)', '0 I Feel Love (OO)']"
28,Round 5,"Katherine HarrisⒸ , Ande McClintock , Hadar Goldberg , Pascale Watkins , Elsa KivinenⓉ","['3 Take Me or Leave Me (OO)', '2 Vogue (CG)', '1 Over the Rainbow (OG)', ""0 Ain't No Mountain High Enough (CO)""]"
29,Round 5,"Lucie SlamovaⒸ , Christian Jester , Cian Luddy , Julia Hissai Yaegashi","['3 Bohemian Rhapsody (OO)', '2 Raise Your Glass (CO)', '1 I Will Survive (OG)', '0 Brave (CG)']"
30,Round 5,"Julie NyergesⒸ , Sameer Shaikh , Shudipto R. Ahmed , Kshitiz GargⓉ","['3 Born This Way (OO)', '2 We Are Family (CO)', ""1 Freedom '90 (OG)"", ""0 Don't Stop Me Now (CG)""]"
31,Round 5,"Freddie MercuryⒸ , Imogen Edwards-Lawrence , Parth Pandya , Ezra MillerⓉ","['3 True Trans Soul Rebel (CO)', '2 Sissy That Walk (CG)', '1 Come to My Window (OO)', ""0 I'm Coming Out (OG)""]"
32,Round 5,"Dominique JacksonⒸ , Ashish Kumar , Vidisha Goyal , Vanshika GuptaⓉ","['3 I Feel Love (CG)', '2 Mercury is in Retrograde (OO)', '1 Firework (OG)', '0 Dancing on My Own (CO)']"
33,Round 5,"Jack SynnottⒸ , Daniel Wiyarta Tenggara , Rhys Steele , Sharath NambiarⓉ","['3 People Like Us (CO)', '2 True Colors (CG)', ""1 Let's Have a Kiki (OG)"", '0 Dancing Queen (OO)']"
34,Round 6,"Shudipto R. AhmedⒸ , Christian Jester , Julia Hissai Yaegashi , Kshitiz GargⓉ","[""3 I'm Coming Out (CG)"", '2 Vogue (CO)', ""1 Ain't No Mountain High Enough (OG)"", '0 Dancing on My Own (OO)']"
35,Round 6,"Lucie SlamovaⒸ , Elsa Kivinen , Hadar Goldberg , Sameer Shaikh , Sharath NambiarⓉ","['3 Bohemian Rhapsody (OO)', '2 Raise Your Glass (OG)', '1 I Will Survive (CO)', '0 Born This Way (CG)']"
36,Round 6,"Dominique JacksonⒸ , Imogen Edwards-Lawrence , Sowmya Srinivasan , Georgiy KorchenkoⓉ","[""3 Freedom '90 (CG)"", '2 Brave (CO)', '1 People Like Us (OO)', '0 True Colors (OG)']"
37,Round 6,"Cian LuddyⒸ , Ande McClintock , Ashish Kumar , Parth Pandya , Pratyush Kumar ShekharⓉ","['3 Over the Rainbow (OO)', '2 Come to My Window (OG)', '1 Sissy That Walk (CO)', '0 Dancing Queen (CG)']"
38,Round 6,"Rhys SteeleⒸ , Katherine Harris , Vidisha Goyal , Ezra MillerⓉ","['3 I Feel Love (OO)', '2 True Trans Soul Rebel (CG)', '1 We Are Family (OG)', ""0 Don't Stop Me Now (CO)""]"
39,Round 6,"Julie NyergesⒸ , Daniel Wiyarta Tenggara , Jack Synnott , Pascale Watkins , Vanshika GuptaⓉ","['3 Mercury is in Retrograde (OG)', ""2 Let's Have a Kiki (CG)"", '1 Firework (OO)', '0 Take Me or Leave Me (CO)']"
40,Semifinals,"Jack SynnottⒸ , Julie Nyerges , Lucie Slamova","['1 Born This Way (CG)', '1 I Will Survive (OO)', ""0 Freedom '90 (OG)"", '0 Raise Your Glass (CO)']"
41,Semifinals,"Cian LuddyⒸ , Dominique Jackson , Olja Bošnjak","['1 Brave (CO)', '1 I Feel Love (CG)', '0 Mercury is in Retrograde (OG)', '0 People Like Us (OO)']"
42,Grand Final,"Lucie SlamovaⒸ , Dominique Jackson , Katherine Harris , Parth Pandya , Rhys Steele","['1 I Feel Love (OO)', '0 Born This Way (CO)', '0 Brave (OG)', '0 I Will Survive (CG)']"
43,Pro-Am Finals,"Katherine HarrisⒸ , Freddie Mercury , Imogen Edwards-Lawrence , Parth Pandya , Sowmya Srinivasan","[""1 I'm Coming Out (CG)"", '0 Come to My Window (CO)', '0 Over the Rainbow (OG)', '0 Vogue (OO)']"
