,Round Name,Panel,Rankings
0,Round 1,"Alicja FilbierⒸ , Jessica Awurum","['3 Aalto A (OG)', '2 Breaking Badly (CG)', '1 Necrodissonance (CO)', '0 Bosses of the referal gym (OO)']"
1,Round 1,"Jack WilliamsⒸ , Hillary Monroe","['3 Arie Potter and Ron Weasley (CO)', '2 Gymtlemen (OO)', '1 IHU C (OG)', '0 Rostov A (CG)']"
2,Round 1,"Sarah TayⒸ , Deepansh Jawrani","['3 Kyzylzhar A (OG)', '2 When are BuzzFeed unsolved going to (OO)', '1 Astana is where I put my laptop (CG)', '0 Peter Pandemic and Wendid you last (CO)']"
3,Round 1,"Aigerim ShadeyevaⒸ , Caoimhin Hamill","['3 Deus ex machine (OO)', '2 Sernie Banders (CO)', '1 Team of Mamestan (OG)', '0 Castle on the Hill (CG)']"
4,Round 1,"Milla HuuskonenⒸ , Hasif Ahmed","['3 Cubers y Gamers A (OO)', '2 Daurendra Modi (CG)', '1 ENLIGHT3NED (OG)', '0 Swing 1 (CO)']"
5,Round 1,Joona SuhonenⒸ,"['3 GDS dinos at last (CO)', '2 UDS board duty (OG)', '1 Orbit w/o sugar (CG)', '0 IHU A (OO)']"
6,Round 1,"Maciej LulewiczⒸ , Eze Nwakuba","['3 MDM A (OO)', '2 I used to love OG, but Pjotr makes (OG)', '1 Kaizen (CO)', '0 X Æ A-12 (CG)']"
7,Round 1,"Lena KolleⒸ , Jack Synnott","['3 KC A (OO)', '2 Squeaky Frog A (CG)', '1 IHU B (OG)', '0 Наруто и Саске (CO)']"
8,Round 1,"Lior SokolⒸ , Shynar Akhmetova","['3 Passive Aggressive (OO)', '2 Universally Basic Incase (you didnt (CG)', '1 Is that a weed? (CO)', '0 IHU D (OG)']"
9,Round 1,Hadar GoldbergⒸ,"['3 KC 1 (CO)', '2 Mykonooos! (CG)', '1 IHU E (OO)', '0 Oh fine ok (OG)']"
10,Round 1,"Lucía Arce CubasⒸ , Egemonye Christopher , Tejas Jaiswal","['3 we can do anything we put our minds (OG)', '2 Na opyte (CG)', '1 KC moonlight (OO)', '0 Mom, I wanna be Hokage (CO)']"
11,Round 2,"Janko DjordjevicⒸ , Shynar Akhmetova","['3 Passive Aggressive (OG)', '2 MDM A (CO)', '1 Aalto A (CG)', '0 we can do anything we put our minds (OO)']"
12,Round 2,"Lucía Arce CubasⒸ , Eze Nwakuba , Hasif Ahmed","['3 Arie Potter and Ron Weasley (OG)', '2 Kyzylzhar A (CG)', '1 KC 1 (OO)', '0 KC A (CO)']"
13,Round 2,"Aigerim ShadeyevaⒸ , Jessica Awurum","['3 Astana is where I put my laptop (CO)', '2 IHU A (CG)', '1 Наруто и Саске (OG)', '0 Orbit w/o sugar (OO)']"
14,Round 2,"George FilippopoulosⒸ , Maciej Lulewicz","['3 Peter Pandemic and Wendid you last (OG)', '2 IHU D (OO)', '1 Bosses of the referal gym (CO)', '0 Swing 1 (CG)']"
15,Round 2,"Roy SchulmanⒸ , Hillary Monroe","['3 Na opyte (CO)', '2 Universally Basic Incase (you didnt (OG)', '1 Breaking Badly (OO)', '0 When are BuzzFeed unsolved going to (CG)']"
16,Round 2,"Lena KolleⒸ , Caoimhin Hamill","['3 Necrodissonance (OG)', '2 Castle on the Hill (OO)', '1 Is that a weed? (CG)', '0 IHU C (CO)']"
17,Round 2,"Milla HuuskonenⒸ , Jack Synnott","['3 GDS dinos at last (OO)', '2 Deus ex machine (CO)', '1 Cubers y Gamers A (CG)', '0 Daurendra Modi (OG)']"
18,Round 2,"Sarah TayⒸ , Lior Sokol","['3 Kaizen (OO)', '2 ENLIGHT3NED (CG)', '1 KC moonlight (OG)', '0 IHU B (CO)']"
19,Round 2,"Joona SuhonenⒸ , Egemonye Christopher","['3 Gymtlemen (CO)', '2 Squeaky Frog A (OG)', '1 I used to love OG, but Pjotr makes (CG)', '0 Mykonooos! (OO)']"
20,Round 2,"Dani GeorgievⒸ , Jack Williams","['3 UDS board duty (CO)', '2 Team of Mamestan (OO)', '1 Sernie Banders (CG)', '0 IHU E (OG)']"
21,Round 2,"Hadar GoldbergⒸ , Nikola Michaylov","['3 Mom, I wanna be Hokage (OO)', '2 X Æ A-12 (CO)', '1 Rostov A (OG)', '0 Oh fine ok (CG)']"
22,Round 3,"Roy SchulmanⒸ , Nikola Michaylov","['3 I used to love OG, but Pjotr makes (OO)', '2 Cubers y Gamers A (OG)', '1 Team of Mamestan (CG)', '0 Aalto A (CO)']"
23,Round 3,"Joona SuhonenⒸ , Hasif Ahmed","['3 Arie Potter and Ron Weasley (OO)', '2 Passive Aggressive (CO)', '1 Gymtlemen (OG)', '0 GDS dinos at last (CG)']"
24,Round 3,"Dani GeorgievⒸ , Egemonye Christopher","['3 Kyzylzhar A (CO)', '2 Astana is where I put my laptop (OG)', '1 UDS board duty (OO)', '0 Deus ex machine (CG)']"
25,Round 3,"Jack SynnottⒸ , Eze Nwakuba , Prerana Rai","['3 Bosses of the referal gym (OG)', '2 Наруто и Саске (CG)', '1 Oh fine ok (OO)', '0 Swing 2 (CO)']"
26,Round 3,"George FilippopoulosⒸ , Deepansh Jawrani , Hadar Goldberg","['3 Mom, I wanna be Hokage (OG)', '2 KC A (CG)', '1 Daurendra Modi (OO)', '0 Breaking Badly (CO)']"
27,Round 3,"Lior SokolⒸ , Lena Kolle","['3 IHU D (CG)', '2 Castle on the Hill (CO)', '1 Orbit w/o sugar (OG)', '0 IHU B (OO)']"
28,Round 3,"Sarah TayⒸ , Aigerim Aibassova","['3 When are BuzzFeed unsolved going to (OG)', '2 ENLIGHT3NED (OO)', '1 we can do anything we put our minds (CO)', '0 Peter Pandemic and Wendid you last (CG)']"
29,Round 3,"Jack WilliamsⒸ , Aigerim Shadeyeva","['3 KC moonlight (CG)', '2 X Æ A-12 (OO)', '1 IHU A (CO)', '0 Mykonooos! (OG)']"
30,Round 3,"Maciej LulewiczⒸ , Peter Chiamaka Abiakwu","['3 Rostov A (CO)', '2 IHU C (OO)', '1 Swing 1 (OG)', '0 IHU E (CG)']"
31,Round 3,"Milla HuuskonenⒸ , Caoimhin Hamill , Jessica Awurum","['3 Squeaky Frog A (CO)', '2 Kaizen (OG)', '1 Necrodissonance (CG)', '0 Sernie Banders (OO)']"
32,Round 3,"Janko DjordjevicⒸ , Tejas Jaiswal","['3 Universally Basic Incase (you didnt (CO)', '2 Na opyte (OO)', '1 MDM A (OG)', '0 KC 1 (CG)']"
33,Round 4,Hadar GoldbergⒸ,"['3 Bosses of the referal gym (CG)', '2 Aalto A (OO)', '1 Sernie Banders (OG)', '0 Team of Mamestan (CO)']"
34,Round 4,"Milla HuuskonenⒸ , Tejas Jaiswal","['3 Arie Potter and Ron Weasley (OG)', '2 Kyzylzhar A (CO)', '1 Squeaky Frog A (OO)', '0 Passive Aggressive (CG)']"
35,Round 4,"Aigerim ShadeyevaⒸ , Deepansh Jawrani","['3 Gymtlemen (CG)', '2 Astana is where I put my laptop (OO)', '1 Mom, I wanna be Hokage (OG)', '0 When are BuzzFeed unsolved going to (CO)']"
