,Round Name,Panel,Rankings
0,Round 1,"Nick ZervoudisⒸ , Sowmya Srinivasan , Joshua DitaⓉ","['3 LSE C (CG)', '2 Skillshare A (OG)', '1 Bristol B (OO)', '0 <> (CO)']"
1,Round 1,"Milla HuuskonenⒸ , Brynley Hamer , Smee CujicⓉ","['3 Give us the win so the CAs have to (CO)', '2 Adopted Europeans (CG)', '1 Imperial No Dinos Here (OO)', '0 No Sleep Schedule (OG)']"
2,Round 1,"Uphie AbdurrahmanⒸ , Andrea D'Souza , Yusuf Steel , Shitij MalikⓉ","['3 BDU A (OO)', '2 NUUUUU (OG)', '1 Swing A (CO)', '0 Maare & Lotte (CG)']"
3,Round 1,"Jacklin KwanⒸ , Alexander Fraser , Liam Oldrey , Shruti DebⓉ","['3 Białystok A (OG)', '2 Christina & Ellinor (CG)', '1 NU D (CO)', '0 Bin there, done that (OO)']"
4,Round 1,"Maurice CoutielⒸ , Alex Lovell , Gwylim Taylor , Parth RavalⓉ","['3 Team Qatar A (CG)', ""2 Third Time's a Charm (OO)"", ""1 take us, we're the hit (OG)"", '0 Definitely not Merlin (CO)']"
5,Round 1,"Adil HakeemⒸ , Katherine Harris , Avi VijayvergiyaⓉ","['3 East Park A (CO)', '2 Yelling down your nearest payphone (OO)', '1 Vienna X (OG)', '0 Tories (CG)']"
6,Round 1,"Ife GrilloⒸ , Edith Chow , Sean Pearce , Henri Iso KoivistoⓉ","[""3 One of us can't read, guess which o (OG)"", '2 GUU B (CG)', '1 Edinburgh B (CO)', ""0 It's us or the ultimatums (OO)""]"
7,Round 1,"RedactedⒸ , Maciej Lulewicz , Namit AgrawalⓉ","['3 Saksalainen vallankaappaus (CG)', '2 GUU A (OO)', '1 Helsinki Amalia & Elsa (OG)', '0 La Casa de Falafel (CO)']"
8,Round 1,"Jason WoodsⒸ , Sameer Shaikh , Cecil KhayatⓉ","[""3 One's here for debating, the other (CG)"", '2 I need Jesus but he died, so I brou (CO)', '1 Mayan Apocalypse (OO)', '0 Summer Manifesto (OG)']"
9,Round 1,"Sarah TayⒸ , Nikola Michaylov , Parth PandyaⓉ","['3 NU A (CO)', '2 Imperial IR (OG)', '1 Y Pant Pedro and Narain (OO)', '0 No degree in theoretical debate win (CG)']"
10,Round 1,"Neo Wei ShengⒸ , Charlie Barnett , Lucy McManus","['3 The cross-city luas project was ill (OG)', '2 UDS Cat emoji (CO)', '1 Krasotki (OO)', '0 Open Heart Surgery (CG)']"
11,Round 1,"Rok HafnerⒸ , Lucie Slamova , Nikhila PushadapuⓉ","['3 אם את יכולה לקרוא את זה תני לנו מקו (OO)', '2 Yeet and Yikes (CO)', '1 Michelle & Kerli (OG)', '0 PBDS 2 (CG)']"
12,Round 1,"Anita CarrollⒸ , Lucas de Carvalho , Shudipto R. Ahmed","['3 When two young Dinos enter (CO)', '2 Team Qatar C (CG)', '1 NU G (OG)', '0 Team Qatar B (OO)']"
13,Round 1,"Katya BroombergⒸ , Flora Baek","['3 Okay-ish (OG)', '2 The Fifth Minute (OO)', '1 Passive Aggressive (CG)', '0 Strath from the dead (CO)']"
14,Round 2,"Maurice CoutielⒸ , Katherine Harris , Rahul Datta","['3 Summer Manifesto (CG)', ""2 It's us or the ultimatums (CO)"", '1 <> (OG)', '0 PBDS 2 (OO)']"
15,Round 2,"RedactedⒸ , Nikola Michaylov","['3 Adopted Europeans (CO)', '2 GUU B (OO)', ""1 Third Time's a Charm (OG)"", '0 NUUUUU (CG)']"
16,Round 2,"Francesca ReynoldsⒸ , Alexander Fraser , Henri Iso KoivistoⓉ","['3 NU A (OO)', '2 Okay-ish (CO)', '1 BDU A (CG)', '0 The Fifth Minute (OG)']"
17,Round 2,"Ife GrilloⒸ , Parth Pandya , Sean Pearce , Smee CujicⓉ","['3 אם את יכולה לקרוא את זה תני לנו מקו (CO)', ""2 One of us can't read, guess which o (CG)"", '1 Saksalainen vallankaappaus (OG)', '0 Białystok A (OO)']"
18,Round 2,"Katya BroombergⒸ , Gwylim Taylor , Avi VijayvergiyaⓉ","['3 No Sleep Schedule (CG)', '2 Bin there, done that (OG)', '1 Open Heart Surgery (OO)', '0 Maare & Lotte (CO)']"
19,Round 2,"Klaudia MaciejewskaⒸ , Flora Baek , Liam Oldrey","['3 Bristol B (OG)', '2 La Casa de Falafel (CG)', '1 Team Qatar B (CO)', '0 Swing A (OO)']"
