,Name,Team,Categories,Speaker Scores
0,Lucy Murphy,אם את יכולה לקרוא את זה תני לנו מקו,,"['82', '85', '82', '79', '82']"
1,Mubarrat Wassey,Team Qatar A,,"['80', '81', '81', '85', '81']"
2,Hadar Goldberg,אם את יכולה לקרוא את זה תני לנו מקו,,"['80', '84', '81', '79', '83']"
3,Vicki Reif-Breitwieser,"One of us can't read, guess which o",,"['78', '84', '80', '86', '77']"
4,Ron Leizrowice,Give us the win so the CAs have to,,"['81', '82', '80', '77', '82']"
5,Areeb Sherwani,"One of us can't read, guess which o",,"['78', '83', '80', '85', '76']"
6,Marc-Andre Schulz,BDU A,,"['80', '77', '79', '83', '82']"
7,Joseph Lewis,Bristol B,,"['75', '78', '81', '80', '84']"
8,Alanoud Al Thani,Team Qatar A,Novice,"['78', '81', '79', '82', '78']"
9,Braedon Lehman,BDU A,,"['78', '78', '80', '82', '80']"
10,Daan Spackler,UDS Cat emoji,,"['81', '79', '80', '77', '80']"
11,Rhys Steele,Imperial IR,,"['78', '81', '79', '80', '79']"
12,Naomi Panovka,Adopted Europeans,Novice,"['80', '82', '78', '79', '78']"
13,Ivan Kapelyukh,Imperial IR,,"['79', '80', '80', '79', '78']"
14,Elise Kapferer,Give us the win so the CAs have to,,"['80', '81', '78', '77', '80']"
15,Joris Graff,UDS Cat emoji,,"['80', '78', '80', '77', '80']"
16,Mukhtar Tashkenbayev,NU A,,"['80', '80', '77', '76', '80']"
17,Ruben Dillmann,Saksalainen vallankaappaus,,"['75', '80', '79', '78', '80']"
18,Afzal Hussain,Białystok A,,"['78', '79', '79', '78', '78']"
19,Jack Williams,"One's here for debating, the other",,"['78', '80', '74', '79', '81']"
20,Alisher Juzgenbayev,NU A,,"['80', '80', '76', '77', '79']"
21,Georgia Bentley,Edinburgh B,,"['75', '80', '76', '80', '80']"
22,Rohan Kompella,Bristol B,,"['74', '77', '80', '77', '83']"
23,Karol Janiuk,Białystok A,,"['76', '80', '79', '77', '78']"
24,Mehdi Naderi Varandi,"One's here for debating, the other",,"['77', '80', '75', '79', '79']"
25,Helena Hecke,Saksalainen vallankaappaus,,"['76', '81', '79', '76', '78']"
26,Dino Wildi,When two young Dinos enter,,"['78', '77', '79', '77', '79']"
27,Arie Mora,East Park A,,"['79', '80', '76', '77', '78']"
28,Ariel Lim,No Sleep Schedule,,"['75', '80', '78', '75', '81']"
29,Micaela Lewis,Adopted Europeans,,"['79', '80', '77', '77', '76']"
30,Julie Nyerges,GUU A,,"['75', '81', '77', '79', '76']"
31,Markus Myllymäki,Yeet and Yikes,,"['77', '77', '77', '78', '79']"
32,Adam Mallis,Edinburgh B,,"['74', '79', '76', '78', '81']"
33,Josh Freeman,LSE C,,"['78', '77', '79', '75', '78']"
34,Emma Chan,GUU A,,"['74', '80', '77', '78', '78']"
35,Uzair Tajuddin,Yeet and Yikes,,"['76', '77', '76', '76', '80']"
36,Frederic Augustin,When two young Dinos enter,,"['78', '78', '78', '73', '78']"
