,Round Name,Panel,Rankings
0,Round 1,"Clarice SambaⒸ , Birungi Primah Elizabeth , Joy Hadome , Minkateko Majoko","['3 Wahu (CO)', '2 Summer Walker (CG)', '1 Alicia Keys (OG)', '0 Cardi B (OO)']"
1,Round 1,"Prateek SinghⒸ , Okuku James Junior , Sinovuyo Mhlana","['3 Jhené Aiko (CG)', '2 Anita Baker (OO)', '1 Fena Gitu (CO)', '0 Patti Smith (OG)']"
2,Round 1,"Rebecca AndesoⒸ , Fariha Tahsin Haque , Naznin Liza , Nimit Bhatia","['3 Tiwa Savage (CG)', '2 Simi (OG)', '1 Yemi Alade (OO)', '0 Aretha Franklin (CO)']"
3,Round 1,"Abena AchiaaⒸ , Afreen Khan , Kashvi Yadav , Zechia Fonjuanang","['3 Teni (OG)', '2 Erykah Badu (CG)', '1 Beyonce (CO)', '0 Jamila Woods (OO)']"
4,Round 1,"Chahana CharlesⒸ , Ezekiel Addy , Janet Kihara","['3 Solange (CG)', '2 Ciara (CO)', '1 Whitney Houston (OO)', '0 Lisa Odour-Noah (OG)']"
5,Round 2,"Kashvi YadavⒸ , Naznin Liza , Okuku James Junior","['3 Yemi Alade (OG)', '2 Alicia Keys (CO)', '1 Lisa Odour-Noah (CG)', '0 Stevie Nicks (OO)']"
6,Round 2,"Rebecca AndesoⒸ , Fariha Tahsin Haque , Fred Odhiambo","['3 Fena Gitu (OG)', '2 Whitney Houston (CG)', '1 Beyonce (OO)', '0 Anita Baker (CO)']"
7,Round 2,"Nimit BhatiaⒸ , Jessica Awurum","['3 Snoh Aalegra (OG)', '2 Aretha Franklin (CG)', '1 Jamila Woods (CO)', '0 Patti Smith (OO)']"
8,Round 2,"Ruth Acolatse SelormeⒸ , Afreen Khan , Birungi Primah Elizabeth","['3 Tiwa Savage (OG)', '2 Ciara (CG)', '1 Wahu (OO)', '0 Jhené Aiko (CO)']"
9,Round 2,"Prateek SinghⒸ , Joy Hadome , Zechia Fonjuanang","['3 Erykah Badu (OG)', '2 Simi (CG)', '1 Teni (OO)', '0 Solange (CO)']"
10,Round 3,"Ruth Acolatse SelormeⒸ , Okuku James Junior , Rebecca Andeso","['3 Jhené Aiko (OO)', '2 Anita Baker (OG)', '1 Snoh Aalegra (CO)', '0 Alicia Keys (CG)']"
11,Round 3,"Kashvi YadavⒸ , Naznin Liza , Prateek Singh","['3 Solange (OO)', '2 Whitney Houston (CO)', '1 Aretha Franklin (OG)', '0 Beyonce (CG)']"
12,Round 3,"Birungi Primah ElizabethⒸ , Fariha Tahsin Haque , Jessica Awurum","['3 Erykah Badu (CO)', '2 Ciara (OG)', '1 Tiwa Savage (OO)', '0 Yemi Alade (CG)']"
13,Round 3,"Afreen KhanⒸ , Charity Makhala , Zechia Fonjuanang","['3 swb (CO)', '2 Wahu (OG)', '1 Fena Gitu (OO)', '0 Teni (CG)']"
14,Round 3,"Joy HadomeⒸ , Abena Achiaa , Nimit Bhatia","['3 Stevie Nicks (OG)', '2 Patti Smith (CO)', '1 Lisa Odour-Noah (OO)', '0 swing (CG)']"
15,Round 4,"Ruth Acolatse SelormeⒸ , Kashvi Yadav , Prateek Singh","['3 Alicia Keys (OO)', '2 Aretha Franklin (CO)', '1 Beyonce (OG)', '0 Snoh Aalegra (CG)']"
16,Round 4,"Nimit BhatiaⒸ , Naznin Liza , Rebecca Andeso","['3 Whitney Houston (OG)', '2 Yemi Alade (CO)', '1 Anita Baker (CG)', '0 Simi (OO)']"
17,Round 4,"Birungi Primah ElizabethⒸ , Okuku James Junior , Zechia Fonjuanang","['3 Ciara (OO)', '2 Jhené Aiko (OG)', '1 Fena Gitu (CG)', '0 Teni (CO)']"
18,Round 4,"Jessica AwurumⒸ , Fariha Tahsin Haque , Joy Hadome","['3 Wahu (CG)', '2 Tiwa Savage (CO)', '1 Erykah Badu (OO)', '0 Solange (OG)']"
19,Round 4,"Afreen KhanⒸ , Clarice Samba","['3 Patti Smith (CG)', '2 Lisa Odour-Noah (CO)', '1 Jamila Woods (OG)', '0 swb (OO)']"
20,Round 5,"Abena AchiaaⒸ , Naznin Liza , Rebecca Andeso","['3 Jhené Aiko (CO)', '2 Alicia Keys (OG)', '1 Whitney Houston (CG)', '0 Fena Gitu (OO)']"
21,Round 5,"Prateek SinghⒸ , Ruth Acolatse Selorme","['3 Yemi Alade (CO)', '2 Anita Baker (OG)', '1 Aretha Franklin (OO)', '0 Solange (CG)']"
22,Round 5,"Nimit BhatiaⒸ , Okuku James Junior","['3 swb (OG)', '2 swing (OO)', '1 Beyonce (CO)', '0 SWC (CG)']"
23,Round 5,"Afreen KhanⒸ , Kashvi Yadav , Zechia Fonjuanang","['3 Tiwa Savage (OG)', '2 Erykah Badu (CG)', '1 Ciara (CO)', '0 Wahu (OO)']"
24,Round 5,"Fariha Tahsin HaqueⒸ , Birungi Primah Elizabeth","['3 Simi (CO)', '2 Lisa Odour-Noah (OG)', '1 Snoh Aalegra (OO)', '0 Patti Smith (CG)']"
