,Round Name,Panel,Rankings
0,Round 1,AnanyaⒸ,"['1 ADMU-SHS Commodities (O)', '0 DSDC 1 (G)']"
1,Round 1,Hagar AsafⒸ,"['1 ADMU-SHS Grape (O)', '0 Cedar Charmander (G)']"
2,Round 1,Daniel SheremetaⒸ,"['1 ADMU-SHS This house supports you (O)', '0 ADMU-SHS HSHSHS (G)']"
3,Round 1,Udhay AmanⒸ,"['1 ADMU-SHS JONKS 3: If Gab is Iron Person, May (O)', '0 Consistently Tired (G)']"
4,Round 1,AkanshaⒸ,"['1 ADMU-SHS PCP 2: Electric Boogaloo (G)', '0 Cedar Squirtle (O)']"
5,Round 1,Sharaf AhmadⒸ,"['1 BLL A (O)', '0 ADMU-SHS PVC Pipes (G)']"
6,Round 1,Varshini VenkateshⒸ,"['1 ADMU-SHS Ra(w)r (G)', '0 WDA - Chomsky (O)']"
7,Round 1,Satvik PutiⒸ,"['1 ADMU-SHS sent too many teams (G)', '0 SUST (O)']"
8,Round 1,Aditya BalakrishnanⒸ,"['1 ADMU-SHS WAP (G)', '0 Bad News (O)']"
9,Round 1,Mark WebberⒸ,"['1 Mute yourselves!!! (G)', '0 Best Friends Squad (O)']"
10,Round 1,Hansa MaheshwariⒸ,"['1 Ditched from Pre-Worlds (G)', '0 Cedar Bulbasaur (O)']"
11,Round 1,Sujato DuttaⒸ,"['1 Sishu Griha DiplomatSSS (O)', '0 Cedar Ditto (G)']"
12,Round 1,Janko DjordjevicⒸ,"['1 MUDS Z (G)', '0 Cedar Pikachu (O)']"
13,Round 1,Vikrant SinghⒸ,"['1 Cedar We ran out of starter Pokemons (O)', '0 Staggering Average of 81.4 (G)']"
14,Round 1,Sucharitha RaoⒸ,"['1 Cereal Killers (G)', '0 WDA - Aristotle (O)']"
15,Round 1,SiddⒸ,"['1 Lyceum Red (G)', '0 Death by a thousand cuts (O)']"
16,Round 1,Zhanin Al-ShargabiⒸ,"['1 Eau De Bate (O)', '0 Sankara A (G)']"
17,Round 1,Cintya Amanda LabettaⒸ,"['1 Go Karona - karona Gone (G)', '0 MAIS B (O)']"
18,Round 1,Isabel Mateos MendezⒸ,"['1 Greenback Boogies (O)', '0 Lyceum Grey (G)']"
19,Round 1,Humza Nadeem JamiⒸ,"['1 Igniting Minds Vlad to see ya (O)', '0 Lyceum White (G)']"
20,Round 1,Arthur NgⒸ,"['1 KNC-DU A (O)', '0 Sishu Griha sgdebut (G)']"
21,Round 1,"Hadar GoldbergⒸ , Nandini","['1 Straight Outta Dhaka (G)', '0 Lyceum Green (O)']"
22,Round 1,Gaurav Kumar VermaⒸ,"['1 MAIS A (O)', '0 Sishu Griha Thoth (G)']"
23,Round 1,Paritosh MishraⒸ,"['1 Topical Tornado (O)', '0 Sankara B (G)']"
24,Round 1,"Tejas SubramaniamⒸ , Sumati 💢","['1 Sishu Griha Boundless Orators (G)', '0 WDA - Bentham (O)']"
25,Round 1,Jenna HongⒸ,"['1 Swiing 2 (O)', ""0 VIT Maamu's Only Fans (G)""]"
26,Round 2,Janko DjordjevicⒸ,"['1 ADMU-SHS sent too many teams (O)', '0 ADMU-SHS Commodities (G)']"
27,Round 2,Sanjna KartikⒸ,"['1 ADMU-SHS Grape (G)', '0 Go Karona - karona Gone (O)']"
28,Round 2,Sujato DuttaⒸ,"['1 ADMU-SHS HSHSHS (O)', '0 MAIS B (G)']"
