,Round Name,Panel,Rankings
0,Round 1,Shudipto R. AhmedⒸ,"['3 CUDS A (CO)', '2 KUET 1 (OO)', '1 BUET A (OG)', '0 IUB 1 (CG)']"
1,Round 1,"ReedⒸ , Rafiush Safin","['3 IBA DU 1 (CG)', '2 JUDS1 (OG)', '1 BUET B (CO)', '0 NITERDS (OO)']"
2,Round 1,Aliya FairuzⒸ,"['3 IBA DU 2 (CG)', '2 CUDS B (OO)', '1 JUDS2 (CO)', '0 EDUDS Vipers (OG)']"
3,Round 1,Parinda RahmanⒸ,"['3 Estel (OG)', '2 CUFBDA (CG)', '1 JUDO (Shangshaptak) (OO)', '0 ULABDC1 (CO)']"
4,Round 1,"Megha RahmanⒸ , Inqiyad Patwary","['3 Proud Tomatoes (OG)', '2 IUB 2 (OO)', '1 Noiayeek 1 (CG)', '0 JUDO Amar Ekush (CO)']"
5,Round 2,Parinda RahmanⒸ,"['3 BUET A (CG)', '2 JUDO (Shangshaptak) (CO)', '1 JUDS2 (OO)', '0 IUB 1 (OG)']"
6,Round 2,Aliya FairuzⒸ,"['3 BUET B (OO)', '2 JUDS1 (CG)', '1 IUB 2 (OG)', '0 Noiayeek 1 (CO)']"
7,Round 2,ReedⒸ,"['3 CUDS A (OO)', '2 IBA DU 2 (OG)', '1 CUDS B (CG)', '0 Proud Tomatoes (CO)']"
8,Round 2,"Klaudia MaciejewskaⒸ , Shudipto R. Ahmed","['3 IBA DU 1 (OG)', '2 Estel (CO)', '1 CUFBDA (OO)', '0 KUET 1 (CG)']"
9,Round 2,"Inqiyad PatwaryⒸ , Ahmad Tousif Jami","['3 NITERDS (CO)', '2 EDUDS Vipers (OO)', '1 ULABDC1 (OG)', '0 JUDO Amar Ekush (CG)']"
10,Round 3,Klaudia MaciejewskaⒸ,"['3 JUDS1 (CO)', '2 BUET A (OO)', '1 BUET B (OG)', '0 JUDO (Shangshaptak) (CG)']"
11,Round 3,"Parinda RahmanⒸ , Aliya Fairuz","['3 IBA DU 1 (CO)', '2 IBA DU 2 (OO)', '1 CUDS A (OG)', '0 Estel (CG)']"
12,Round 3,Inqiyad PatwaryⒸ,"['3 KUET 1 (CO)', '2 JUDS2 (CG)', '1 CUDS B (OO)', '0 NITERDS (OG)']"
13,Round 3,ReedⒸ,"['3 Proud Tomatoes (OO)', '2 CUFBDA (OG)', '1 IUB 2 (CO)', '0 EDUDS Vipers (CG)']"
14,Round 3,Ahmad Tousif JamiⒸ,"['3 IUB 1 (CO)', '2 ULABDC1 (CG)', '1 Noiayeek 1 (OG)', '0 JUDO Amar Ekush (OO)']"
15,Round 4,Parinda RahmanⒸ,"['3 BUET A (CO)', '2 KUET 1 (OG)', '1 Estel (OO)', '0 Proud Tomatoes (CG)']"
16,Round 4,Shudipto R. AhmedⒸ,"['3 BUET B (OO)', '2 JUDS2 (OG)', '1 CUFBDA (CO)', '0 IUB 2 (CG)']"
17,Round 4,"Aliya FairuzⒸ , Rafiush Safin","['3 IBA DU 1 (OO)', '2 IBA DU 2 (CO)', '1 CUDS A (CG)', '0 JUDS1 (OG)']"
18,Round 4,Ahmad Tousif JamiⒸ,"['3 CUDS B (CO)', '2 ULABDC1 (OO)', '1 NITERDS (CG)', '0 JUDO (Shangshaptak) (OG)']"
19,Round 4,Inqiyad PatwaryⒸ,"['3 IUB 1 (CG)', '2 JUDO Amar Ekush (OG)', '1 EDUDS Vipers (CO)', '0 Noiayeek 1 (OO)']"
20,Semifinals,"Parinda RahmanⒸ , Ahmad Tousif Jami , Inqiyad Patwary","['1 BUET B (OO)', '1 CUDS A (OG)', '0 CUDS B (CO)', '0 IBA DU 2 (CG)']"
21,Grand Final,"Shudipto R. AhmedⒸ , Ahmad Tousif Jami , Aliya Fairuz , Parinda Rahman , Rafiush Safin","['1 IBA DU 1 (CO)', '0 BUET A (OO)', '0 BUET B (CG)', '0 CUDS A (OG)']"
