,Round Name,Panel,Rankings
0,Round 1,"AudrinaⒸ , Sultan Prasasti","['3 Ada amer sayang? (CG)', '2 Go Blocks (OG)', '1 USU deket tapi ga jadian (CO)', '0 أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا الل (OO)']"
1,Round 1,"JRevevalinⒸ , Joshua Karel Riantoputra","[""3 Pavlov's Puppy (CG)"", '2 pengen break tapi broken inside (CO)', '1 Bebek Wekwek🦆 (OG)', '0 Amity (OO)']"
2,Round 1,Soraya Vioglenna 🧁Ⓒ,"['3 ANJING (CG)', '2 Bad At Names (OG)', '1 Sasageyo (CO)', '0 UII-X (OO)']"
3,Round 1,Adfikri Kevin MarvelⒸ,"['3 UCOL A (OG)', '2 UII-Y (CO)', '1 Apel (OO)', '0 Smelly Cat (CG)']"
4,Round 1,RioⒸ,"['3 Ketolak STEI (CO)', '2 Atma Jaya K (OG)', '1 Panic (OO)', '0 Trisakti C (CG)']"
5,Round 1,"Hernoud 🍭Ⓒ , Mutiara Annisa Fathma","[""3 Don't trust the Bitch in Apartment (CG)"", '2 bebas (CO)', '1 Republik Batam Serikat (OO)', '0 Forever young (OG)']"
6,Round 1,Chantique TalakuaⒸ,"['3 yauda (CO)', '2 Crimson Fishie (CG)', '1 BlackpinQe (OG)', '0 UMY B (OO)']"
7,Round 1,Gita AsariaⒸ,"['3 Twiddledum & Twiddledee (CG)', '2 Butuh pacar (OO)', '1 Forgive me daddy for i have simped (OG)', '0 Duonuts (CO)']"
8,Round 1,"AkitaⒸ , Marvin Tandy","['3 Tidak Terafiliasi Dengan UPH Colleg (CG)', '2 Chicken nuggies (OG)', '1 Does any1 wanna b my valentine date (OO)', '0 Quirky and witty (CO)']"
9,Round 1,Judah PurwantoⒸ,"['3 Hmm, kamu ada saran? (OG)', '2 Kosongin dulu aja wkwk (CG)', '1 UMY A (OO)', '0 Daerah Istimewa Batam (CO)']"
10,Round 1,Annon 🥔Ⓒ,"['3 Wibu tidur pagi (OG)', '2 Khairulbariyah = sebaik-baiknya sif (CG)', '1 nama teamnya apa ya (OO)', '0 DELLA (CO)']"
11,Round 1,"KarioⒸ , Samuel","['3 SMA Karasuno A (OG)', '2 Halo mas adit, kita dibantai lagi : (CG)', '1 DKI Batam (OO)', '0 Go Block 2 (CO)']"
12,Round 1,"Gio NicksonⒸ , Bunga AnnisaⓉ","['3 Practice (CO)', '2 GBU (OO)', '1 Trisakti B (CG)', '0 UII-W (OG)']"
13,Round 1,BataraⒸ,"['3 https://youtu.be/TJIPiBfSflM (OO)', ""2 I swear we're not singles on valent (CO)"", '1 We are cool (OG)', '0 Pararunten akang teteh (CG)']"
14,Round 1,Charlie SanjayaⒸ,"['3 Ngajak turun kucing dalam karung (OG)', '2 Hungry Socialist (CO)', '1 Republik Rakyat Batam (OO)', '0 Trisakti A (CG)']"
15,Round 1,"Bobby 🙉Ⓒ , Afkari Zulaiha RahmadianiⓉ","['3 kami tau ga akan menang (CG)', '2 Merindukan Hishah (CO)', '1 PolsriA (OO)', '0 UII-Z (OG)']"
16,Round 1,Madeleine👀Ⓒ,"['3 Petualangan Sherina (CO)', '2 USU single sans (OO)', '1 PNP A (OG)', '0 Karesidenan Batam (CG)']"
17,Round 2,"Gio NicksonⒸ , Marvin Tandy","[""3 Don't trust the Bitch in Apartment (CO)"", '2 Ada amer sayang? (OG)', ""1 Pavlov's Puppy (OO)"", '0 yauda (CG)']"
18,Round 2,Charlie SanjayaⒸ,"['3 أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا الل (OG)', '2 Amity (CO)', '1 Forever young (OO)', '0 UII-W (CG)']"
19,Round 2,Adfikri Kevin MarvelⒸ,"['3 Hmm, kamu ada saran? (CG)', '2 https://youtu.be/TJIPiBfSflM (CO)', '1 Tidak Terafiliasi Dengan UPH Colleg (OO)', '0 ANJING (OG)']"
20,Round 2,"RioⒸ , Afkari Zulaiha RahmadianiⓉ","['3 Kosongin dulu aja wkwk (OO)', '2 Butuh pacar (CG)', '1 pengen break tapi broken inside (OG)', '0 Apel (CO)']"
21,Round 2,"Gita AsariaⒸ , Samuel","['3 Khairulbariyah = sebaik-baiknya sif (CO)', '2 Atma Jaya K (OO)', ""1 I swear we're not singles on valent (OG)"", '0 Hungry Socialist (CG)']"
22,Round 2,JRevevalinⒸ,"['3 Twiddledum & Twiddledee (CO)', '2 Bad At Names (OO)', '1 Halo mas adit, kita dibantai lagi : (OG)', '0 USU single sans (CG)']"
23,Round 2,AudrinaⒸ,"['3 GBU (OG)', '2 Crimson Fishie (CO)', '1 Merindukan Hishah (CG)', '0 bebas (OO)']"
24,Round 2,Annon 🥔Ⓒ,"['3 Bebek Wekwek🦆 (CO)', '2 Republik Rakyat Batam (CG)', '1 UII-X (OG)', '0 We are cool (OO)']"
25,Round 2,"BataraⒸ , Mutiara Annisa Fathma","['3 Sasageyo (OG)', '2 PolsriA (CG)', '1 PNP A (OO)', '0 BlackpinQe (CO)']"
26,Round 2,"KarioⒸ , Bunga AnnisaⓉ","['3 Chicken nuggies (OO)', '2 Does any1 wanna b my valentine date (CG)', '1 Go Blocks (CO)', '0 UII-Y (OG)']"
27,Round 2,Chantique TalakuaⒸ,"['3 Daerah Istimewa Batam (OG)', '2 Quirky and witty (CG)', '1 Trisakti A (CO)', '0 Go Block 2 (OO)']"
28,Round 2,Hernoud 🍭Ⓒ,"['3 Trisakti C (CO)', '2 Duonuts (OO)', '1 Pararunten akang teteh (OG)', '0 DELLA (CG)']"
29,Round 2,Madeleine👀Ⓒ,"['3 Forgive me daddy for i have simped (OO)', '2 nama teamnya apa ya (OG)', '1 Trisakti B (CO)', '0 DKI Batam (CG)']"
30,Round 2,Judah PurwantoⒸ,"['3 Ngajak turun kucing dalam karung (CO)', '2 UCOL A (CG)', '1 Petualangan Sherina (OG)', '0 kami tau ga akan menang (OO)']"
31,Round 2,Soraya Vioglenna 🧁Ⓒ,"['3 Smelly Cat (OG)', '2 Karesidenan Batam (OO)', '1 UMY B (CO)', '0 UII-Z (CG)']"
32,Round 2,"Bobby 🙉Ⓒ , Sultan Prasasti","['3 Practice (OG)', '2 SMA Karasuno A (OO)', '1 Wibu tidur pagi (CO)', '0 Ketolak STEI (CG)']"
33,Round 2,"AkitaⒸ , Joshua Karel Riantoputra","['3 Republik Batam Serikat (CG)', '2 Panic (OG)', '1 USU deket tapi ga jadian (OO)', '0 UMY A (CO)']"
34,Round 3,JRevevalinⒸ,"['3 Kosongin dulu aja wkwk (CO)', '2 Tidak Terafiliasi Dengan UPH Colleg (OG)', '1 SMA Karasuno A (CG)', '0 Ada amer sayang? (OO)']"
35,Round 3,AudrinaⒸ,"['3 Trisakti B (OO)', '2 USU single sans (OG)', '1 Amity (CG)', '0 PNP A (CO)']"
