,Round Name,Panel,Rankings
0,Round 1,"Jeffrey MaⒸ , Jonathan Tuliao , TJ Hunt , Trent AtkinsonⓉ","['3 MDU FP (OO)', '2 UADS BJ (CO)', '1 Duke CD (OG)', '0 Bard DZ (CG)']"
1,Round 1,"Patrick CowleyⒸ , Charlize Hurley Medina , Lucille Bergmann , Joseph-Justin GalouziⓉ","['3 Hybrid LM (CG)', '2 Saskatchewan RV (CO)', '1 Bard GS (OO)', '0 Hybrid DH (OG)']"
2,Round 1,"Saara MeghjiⒸ , Adya Sharma , Tawfique Elahi , Dihan Mashroor NiloyⓉ","['3 Cornell JY (CG)', '2 Bard OS (CO)', '1 USC FZ (OO)', '0 UWODS LM (OG)']"
3,Round 1,"Navin KariyawasamⒸ , Deekshant Hooda , Jibran Ahmad Khan , Tianchang LiⓉ","['3 Cornell GK (OO)', '2 Hybrid TT (OG)', '1 Brown KX (CO)', '0 Utah JL (CG)']"
4,Round 1,"EZE NWAKUBA NⒸ , Priyanka Das , Sujato Datta , Tanvir Shahriar , Mia FeldmanⓉ","['3 Princeton JW (CG)', '2 EDS DF (OO)', '1 Calgary CK (OG)', '0 Yale AS (CO)']"
5,Round 1,"Wan LiⒸ , Amaris Hester , Jack Kelly , Serena Yuan , Lakith RanaweeraⓉ","['3 MDU WZ (OO)', '2 UWODS CK (CG)', '1 Carroll BM (OG)', '0 USC HV (CO)']"
6,Round 1,"Tanay PatriⒸ , Evelyn Kim , Eyas Valdez , Sam LehmanⓉ","['3 Carroll GO (OO)', '2 Carroll PT (OG)', '1 MDU MA (CO)', '0 McMaster AR (CG)']"
7,Round 1,"Simren SharmaⒸ , Milin Patel , Oluwafikunmi Kilanko , Wendy QinⓉ","['3 Yale EQ (OO)', '2 Hybrid BC (CG)', '1 Philippines EL (OG)', '0 Colgate MM (CO)']"
8,Round 1,"🐪 Seyoung Jeon 🐪Ⓒ , Gia-An Trinh , Matt Aydin , Rena WangⓉ","['3 Princeton AM (CO)', '2 Colgate SM (OO)', '1 UWODS LW (OG)', ""0 King's HL (CG)""]"
9,Round 1,"Shruti DebⒸ , Anessa Feero , Ceylan Borgers , Jacob Li , Isabella LiⓉ","['3 Hybrid GS (CO)', '2 Cornell EK (OO)', '1 Hopkins GM (CG)', '0 CWS IR (OG)']"
10,Round 1,"Zuha TanweerⒸ , Chris Costello , Jason Jordan , Valerie PangⓉ","['3 Waterloo AP (OO)', '2 Princeton IT (CO)', '1 Hybrid CD (CG)', '0 Cornell GH (OG)']"
11,Round 1,"Chris PangⒸ , Cameron Chacon , John Zhang , Christina WangⓉ","['3 Hathazari AA (CO)', '2 HWS AH (OO)', '1 Cornell JM (OG)', '0 Unisa MM (CG)']"
12,Round 1,"Isaac BothamⒸ , Aniket Srikumar , Fatema Nami , Anna ClarkⓉ","['3 Yale NW (OO)', '2 UBC PW (OG)', '1 Cornell LS (CG)', '0 Hansraj ST (CO)']"
13,Round 1,"Noah PinnoⒸ , Amalie Wilkinson , Sneha  Das , Lisa ChenⓉ","['3 MDU RY (OG)', '2 MDU DD (OO)', '1 Cornell RS (CO)', '0 HWS BW (CG)']"
14,Round 1,"Dhananjay AshokⒸ , Malcolm Bainborough , Rushdoon Ahmed , Eli PallrandⓉ","['3 EDS AL (OO)', '2 PUCP MN (OG)', '1 CUDS AR (CG)', '0 Unisa AM (CO)']"
15,Round 1,"Katelyn WangⒸ , Becca Poliquin , Callum Stirton , Eden Zorne , Olivia SunⓉ","['3 CUDS GO (OG)', '2 EDS BK (CO)', '1 UADS BK (CG)', '0 McMaster ST (OO)']"
16,Round 1,"Arya RahmaniⒸ , Boomba Nishikawa , Brandon Hong , Chelsea MacasaetⓉ","['3 Philippines DM (CO)', '2 Delhi KK (OO)', '1 Stanford AB (CG)', '0 Marianopolis AL (OG)']"
17,Round 1,"Nikhil JamesⒸ , Jessica Awurum , Terry Luan , Victoria Liu , Greg KwokⓉ","['3 Yale IY (CO)', '2 Duke RW (CG)', '1 MDU AK (OO)', '0 QDU KS (OG)']"
18,Round 1,"Klaudia MaciejewskaⒸ , Elgin Lin , Gaby Nieves , Sarah Zelifan , Amin AliⓉ","['3 EDS AK (OO)', '2 Wyoming AB (CG)', '1 Unisa AT (CO)', '0 EDS BC (OG)']"
19,Round 1,"Sukhmani KaurⒸ , Bailey Applebaum , Maame Adjoa Asumadu Addo , Oleg Oleynikov , Adrienne RocⓉ","['3 Yale TW (OO)', '2 Hybrid AN (CG)', '1 EDS LS (CO)', '0 Independent LO (OG)']"
20,Round 1,"Kieran Kreidié-AkazakiⒸ , Adam Banihani , Justin Liu , Samuel TangⓉ","['3 QDU AG (CG)', '2 Harvard MW (OO)', '1 Saskatchewan MP (OG)', '0 Utah OZ (CO)']"
21,Round 1,"Francois BritsⒸ , Rebecca Han , Will Sorge , Louis-Charles GirardⓉ","['3 Hybrid CL (CG)', '2 QDU LM (OO)', '1 HWS DL (OG)', '0 QDU FX (CO)']"
22,Round 1,"Jason XiaoⒸ , Angad Singh , Hasif Ahmed , Ciara McGarryⓉ","['3 Utah LW (CO)', '2 Hybrid BS (OO)', '1 HWS KK (OG)', '0 Stanford SS (CG)']"
