,Round Name,Panel,Rankings
0,Round 1,Chen BeiqiⒸ,"['3 Con Legs (OO)', '2 SP C (CO)', ""1 Almost didn't make it :) (CG)"", '0 NYP A (OG)']"
1,Round 1,"Bryan YanⒸ , Maison Pieterson , Suman Mitra","['3 NTU Michelangelo (CG)', '2 ok la (OG)', '1 Team China G (CO)', '0 Among Us (OO)']"
2,Round 1,"Ariel LimⒸ , Deekshant Hooda , Vedant Sandhu","['3 DA VINKI (CG)', '2 NTU Donatello (OG)', '1 Bin Room Debaters (OO)', '0 SWING (CO)']"
3,Round 1,"Parth ManiktalaⒸ , Devashish Trivedi , Ryan Lim","['3 FeO2 (OG)', '2 ZXY (CG)', '1 Cempaka Tennis Team (CO)', '0 NYP B (OO)']"
4,Round 1,Luigi AlcanesesⒸ,"['3 LEFT 7 (OG)', '2 NTU Leonardo (OO)', '1 ILNU (CO)', '0 UWC B (CG)']"
5,Round 1,VihaⒸ,"['3 Potato Farm (CG)', '2 trash cannots (CO)', '1 Timbak two (OO)', '0 Last Team (OG)']"
6,Round 1,Tan Yao KunⒸ,"['3 Waffles Rebate (CO)', '2 NTU Raphael (OO)', '1 We lost *Gracefully* (OG)', '0 Rogues of the Dark Night (CG)']"
7,Round 1,Sam HuangⒸ,"['3 UWC A (CG)', '2 NYP C (CO)', '1 Pedantique (OO)', '0 SP D (OG)']"
8,Round 2,Sam HuangⒸ,"['3 Cempaka Tennis Team (CG)', '2 ILNU (OG)', '1 We lost *Gracefully* (CO)', ""0 Almost didn't make it :) (OO)""]"
9,Round 2,Ariel LimⒸ,"['3 SWING (CG)', '2 Last Team (OO)', '1 Among Us (OG)', '0 UWC B (CO)']"
10,Round 2,"Parth ManiktalaⒸ , Rohan Kapur","['3 Bin Room Debaters (OG)', '2 Timbak two (CO)', '1 Team China G (OO)', '0 Pedantique (CG)']"
11,Round 2,Yarn ShihⒸ,"['3 Potato Farm (OG)', '2 FeO2 (OO)', '1 DA VINKI (CO)', '0 Con Legs (CG)']"
12,Round 2,"Devashish TrivediⒸ , Bryan Yan , Vedant Sandhu","['3 Waffles Rebate (OG)', '2 NTU Michelangelo (OO)', '1 UWC A (CO)', '0 LEFT 7 (CG)']"
13,Round 2,"Suman MitraⒸ , Chen Beiqi , Ryan Lim","['3 NTU Raphael (OG)', '2 NTU Donatello (OO)', '1 ok la (CO)', '0 trash cannots (CG)']"
