,Round Name,Panel,Rankings
0,Round 1,"Pep DanguilanⒸ , AaronⓉ","['3 UT MARA 1 (OG)', '2 UNITEN 2 (OO)', '1 UNIMAS 3 (CO)', '0 IIUM 1 (CG)']"
1,Round 1,"SanjiivanⒸ , Annabelle SuⓉ , Shereen LimⓉ","['3 IIUM 2 (OO)', '2 IIUM 8 (OG)', '1 IIUM 7 (CG)', '0 UTP 3 (CO)']"
2,Round 1,"Azim NadzariⒸ , Hishah Khalishah , Darren SimⓉ , Yuvenesh VasuⓉ","['3 IIUM 3 (CO)', '2 Sunway 2 (OG)', '1 Malaya 5 (OO)', '0 TENBY 4 (CG)']"
3,Round 1,"RedactedⒸ , Aliesa IzuraⓉ , IlyasⓉ","['3 Malaya 4 (OG)', '2 UT MARA 2 (CG)', '1 IIUM 4 (OO)', '0 UTP 2 (CO)']"
4,Round 1,"Ernest MahⒸ , Leong Wye KittⓉ , Ronan OoiⓉ","['3 Sunway 1 (CG)', '2 UT MARA 3 (CO)', '1 IIUM 5 (OO)', '0 Sunway 4 (OG)']"
5,Round 1,"Keerthivasan SⒸ , EmmaⓉ , ShaveenaⓉ","['3 UNIMAS 2 (CG)', '2 UTP 1 (CO)', '1 IIUM 6 (OG)', '0 TENBY 2 (OO)']"
6,Round 1,"Hafiz Muh RizaⒸ , Umar Fazlan , Nicholas PangⓉ","['3 Malaya 1 (OG)', '2 UTM 2 (OO)', '1 Malaya 6 (CG)', '0 TENBY 1 (CO)']"
7,Round 1,"Toshiya OzawaⒸ , Nuhad KabirⓉ","['3 Malaya 2 (OG)', '2 USM 1 (CG)', '1 UMS 3 (OO)', '0 SUTS 3 (CO)']"
8,Round 1,"Aiman ZuhailyⒸ , Intan ShimaⓉ","['3 UT MARA 4 (CG)', '2 Malaya 3 (OG)', '1 USM 2 (OO)', '0 SUTS 1 (CO)']"
9,Round 1,"ReedⒸ , Averyl TanⓉ , Enoch Lim EeⓉ , Laila KhalidahⓉ","['3 SUTS 2 (OO)', '2 UT MARA 5 (CG)', '1 Sunway 3 (OG)', '0 UMS 2 (CO)']"
10,Round 1,"DaphneⒸ , Nicholas ChinⓉ , SandiⓉ","['3 UTM 1 (OG)', '2 TENBY 3 (CO)', '1 UMS 1 (OO)', '0 TENBY 6 (CG)']"
11,Round 1,"TiffanyⒸ , Srijan Poudel , DeclanⓉ , NurshifaⓉ","['3 UNIMAS 1 (OO)', '2 UNITEN 1 (OG)', '1 UTM 3 (CO)', '0 TENBY 5 (CG)']"
12,Round 2,"Ernest MahⒸ , Keerthivasan S , EmmaⓉ , Yuvenesh VasuⓉ","['3 IIUM 1 (CO)', '2 SUTS 3 (CG)', '1 UMS 2 (OO)', '0 TENBY 6 (OG)']"
13,Round 2,"RedactedⒸ , IlyasⓉ , Shereen LimⓉ","['3 IIUM 2 (OG)', '2 Malaya 1 (OO)', '1 UT MARA 1 (CG)', '0 UNIMAS 2 (CO)']"
14,Round 2,"Srijan PoudelⒸ , Nicholas PangⓉ","['3 Sunway 1 (OO)', '2 Malaya 2 (CO)', '1 IIUM 3 (OG)', '0 UNIMAS 1 (CG)']"
15,Round 2,"Pep DanguilanⒸ , Averyl TanⓉ , Nuhad KabirⓉ","['3 IIUM 4 (CG)', '2 IIUM 6 (OO)', '1 Malaya 5 (CO)', '0 UMS 3 (OG)']"
16,Round 2,"Azim NadzariⒸ , Darren SimⓉ , Ronan OoiⓉ","['3 IIUM 5 (CG)', '2 Sunway 3 (OO)', '1 Malaya 6 (OG)', '0 UMS 1 (CO)']"
17,Round 2,"SanjiivanⒸ , Annabelle SuⓉ , SandiⓉ","['3 UTM 3 (CG)', '2 UNIMAS 3 (OO)', '1 USM 2 (OG)', '0 IIUM 7 (CO)']"
18,Round 2,"Kimberley Justine TegjeuⒸ , Enoch Lim EeⓉ , Leong Wye KittⓉ","['3 Sunway 2 (CO)', '2 UTP 1 (OG)', '1 USM 1 (OO)', '0 IIUM 8 (CG)']"
19,Round 2,"TiffanyⒸ , Ahmadul Hoque AdnanⓉ , NurshifaⓉ","['3 UT MARA 2 (OO)', '2 Malaya 3 (CO)', '1 UTM 2 (OG)', '0 UNITEN 2 (CG)']"
20,Round 2,"Toshiya OzawaⒸ , DeclanⓉ","['3 UT MARA 4 (CO)', '2 SUTS 2 (OG)', '1 Malaya 4 (OO)', '0 UTM 1 (CG)']"
21,Round 2,"DaphneⒸ , Umar Fazlan , Nicholas ChinⓉ","['3 UTP 2 (OG)', '2 SUTS 1 (OO)', '1 Sunway 4 (CG)', '0 TENBY 4 (CO)']"
22,Round 2,"ReedⒸ , Hishah Khalishah , Intan ShimaⓉ","['3 TENBY 1 (OG)', '2 UTP 3 (CG)', '1 TENBY 2 (CO)', '0 TENBY 5 (OO)']"
23,Round 2,"Aiman ZuhailyⒸ , AaronⓉ , Laila KhalidahⓉ","['3 UT MARA 3 (CG)', '2 UT MARA 5 (OG)', '1 UNITEN 1 (CO)', '0 TENBY 3 (OO)']"
24,Round 3,"ReedⒸ , Intan ShimaⓉ , Ronan OoiⓉ","['3 IIUM 1 (OG)', '2 UNIMAS 2 (OO)', '1 IIUM 6 (CG)', '0 Sunway 3 (CO)']"
25,Round 3,"Toshiya OzawaⒸ , Hishah Khalishah , Srijan Poudel , Darren SimⓉ","['3 Malaya 1 (CO)', '2 Sunway 1 (OG)', '1 UT MARA 4 (OO)', '0 IIUM 2 (CG)']"
26,Round 3,"Ernest MahⒸ , Nicholas ChinⓉ","['3 IIUM 3 (CG)', '2 IIUM 5 (OG)', '1 UNITEN 1 (OO)', '0 UT MARA 5 (CO)']"
27,Round 3,"SanjiivanⒸ , Declan , Annabelle SuⓉ , Averyl TanⓉ","['3 UT MARA 3 (OG)', '2 IIUM 4 (CO)', '1 Malaya 4 (CG)', '0 Sunway 2 (OO)']"
28,Round 3,"RedactedⒸ , Aliesa IzuraⓉ , Laila KhalidahⓉ","['3 UMS 1 (CG)', '2 IIUM 7 (OG)', '1 TENBY 4 (OO)', '0 TENBY 6 (CO)']"
29,Round 3,"TiffanyⒸ , AaronⓉ , EmmaⓉ","['3 SUTS 1 (CG)', '2 UMS 2 (OG)', '1 Malaya 6 (CO)', '0 IIUM 8 (OO)']"
30,Round 3,"Hilmy YazidⒸ , Keerthivasan S , Umar Fazlan , Yuvenesh VasuⓉ","['3 Malaya 2 (CG)', '2 UT MARA 2 (OG)', '1 Malaya 3 (OO)', '0 SUTS 2 (CO)']"
31,Round 3,"Pep DanguilanⒸ , Leong Wye KittⓉ , Nuhad KabirⓉ","['3 UNITEN 2 (CO)', '2 Malaya 5 (OG)', '1 USM 2 (CG)', '0 UTP 3 (OO)']"
32,Round 3,"Azim NadzariⒸ , IlyasⓉ , Shereen LimⓉ","['3 Sunway 4 (OO)', '2 TENBY 2 (CG)', '1 UMS 3 (CO)', '0 TENBY 5 (OG)']"
33,Round 3,"Aiman ZuhailyⒸ , NurshifaⓉ","['3 UNIMAS 3 (CG)', '2 SUTS 3 (OG)', '1 USM 1 (CO)', '0 TENBY 1 (OO)']"
34,Round 3,"Kimberley Justine TegjeuⒸ , Ahmadul Hoque AdnanⓉ","['3 UTM 2 (CG)', '2 UNIMAS 1 (CO)', '1 UTP 2 (OO)', '0 TENBY 3 (OG)']"
35,Round 3,"DaphneⒸ , Enoch Lim Ee , Nicholas PangⓉ","['3 UT MARA 1 (OO)', '2 UTP 1 (CG)', '1 UTM 1 (CO)', '0 UTM 3 (OG)']"
36,Round 4,Hafiz Muh RizaⒸ,"['3 IIUM 2 (CO)', '2 IIUM 1 (OO)', '1 IIUM 4 (OG)', '0 IIUM 5 (CG)']"
37,Round 4,"Kimberley Justine TegjeuⒸ , Ilyas","['3 UT MARA 4 (OG)', '2 UT MARA 1 (CG)', '1 IIUM 3 (OO)', '0 UT MARA 2 (CO)']"
38,Round 4,"Aiman ZuhailyⒸ , Enoch Lim Ee","['3 UNITEN 1 (CG)', '2 UTP 2 (OG)', '1 UTM 3 (OO)', '0 IIUM 6 (CO)']"
39,Round 4,"Toshiya OzawaⒸ , Darren Sim","['3 TENBY 2 (OG)', '2 USM 2 (CO)', '1 IIUM 7 (OO)', '0 UMS 2 (CG)']"
40,Round 4,Hishah KhalishahⒸ,"['3 UTP 3 (OG)', '2 Malaya 6 (OO)', '1 UMS 3 (CG)', '0 IIUM 8 (CO)']"
41,Round 4,"Hilmy YazidⒸ , Nurshifa","['3 Malaya 1 (CG)', '2 Malaya 2 (CO)', '1 Sunway 1 (OG)', '0 UT MARA 3 (OO)']"
42,Round 4,"Pep DanguilanⒸ , Redacted","['3 UTM 2 (CO)', '2 UNIMAS 3 (OG)', '1 UTP 1 (OO)', '0 Malaya 3 (CG)']"
43,Round 4,Keerthivasan SⒸ,"['3 SUTS 2 (CG)', '2 Malaya 4 (CO)', '1 UNITEN 2 (OG)', '0 SUTS 1 (OO)']"
44,Round 4,"DaphneⒸ , Annabelle Su , Ng Qiao Xin","['3 UTM 1 (OO)', '2 UMS 1 (OG)', '1 Sunway 4 (CO)', '0 Malaya 5 (CG)']"
45,Round 4,Ernest MahⒸ,"['3 Sunway 2 (CG)', '2 UNIMAS 1 (CO)', '1 UNIMAS 2 (OG)', '0 SUTS 3 (OO)']"
46,Round 4,"TiffanyⒸ , Declan","['3 UT MARA 5 (OO)', '2 USM 1 (OG)', '1 Sunway 3 (CG)', '0 TENBY 1 (CO)']"
47,Round 4,"SanjiivanⒸ , Mohd Amiruddin","['3 TENBY 4 (OG)', '2 TENBY 3 (CG)', '1 TENBY 6 (OO)', '0 TENBY 5 (CO)']"
48,Quarterfinals,"SanjiivanⒸ , Hishah Khalishah , Srijan Poudel","['1 IIUM 1 (CG)', '1 Malaya 2 (CO)', '0 Malaya 4 (OG)', '0 UTM 2 (OO)']"
49,Quarterfinals,"DaphneⒸ , Ernest Mah , Pep Danguilan","['1 IIUM 2 (CO)', '1 UT MARA 2 (OG)', '0 SUTS 2 (CG)', '0 UT MARA 4 (OO)']"
50,Quarterfinals,"Toshiya OzawaⒸ , Keerthivasan S , Tiffany","['1 Malaya 1 (CO)', '1 UT MARA 3 (OO)', '0 IIUM 3 (OG)', '0 IIUM 4 (CG)']"
51,Quarterfinals,"Hilmy YazidⒸ , Reed , Umar Fazlan","['1 Sunway 1 (CG)', '1 UT MARA 1 (CO)', '0 Sunway 2 (OG)', '0 UNIMAS 3 (OO)']"
52,Semifinals,"Keerthivasan SⒸ , Aiman Zuhaily , Daphne , Hishah Khalishah , Sanjiivan","['1 IIUM 1 (OO)', '1 Malaya 2 (CO)', '0 IIUM 2 (OG)', '0 UT MARA 2 (CG)']"
53,Semifinals,"ReedⒸ , Pep Danguilan , Srijan Poudel , Toshiya Ozawa , Umar Fazlan","['1 Malaya 1 (CG)', '1 Sunway 1 (OO)', '0 UT MARA 1 (CO)', '0 UT MARA 3 (OG)']"
54,Grand Final,"Keerthivasan SⒸ , Azim Nadzari , Pep Danguilan , Srijan Poudel , Tiffany , Toshiya Ozawa , Umar Fazlan","['1 Malaya 1 (OG)', '0 IIUM 1 (CO)', '0 Malaya 2 (CG)', '0 Sunway 1 (OO)']"
55,Novice Semifinals,"Aiman ZuhailyⒸ , Enoch Lim Ee , Intan Shima , Kimberley Justine Tegjeu , Nicholas Chin","['1 UT MARA 5 (CO)', '1 UTM 1 (OG)', '0 SUTS 1 (OO)', '0 UMS 1 (CG)']"
56,Novice Semifinals,"RedactedⒸ , Azim Nadzari , Darren Sim , Declan , Hafiz Muh Riza","['1 UNITEN 1 (CO)', '1 UNITEN 2 (CG)', '0 USM 1 (OG)', '0 USM 2 (OO)']"
57,Novice Finals,"Ernest MahⒸ , Enoch Lim Ee , Hilmy Yazid , Redacted , Tiffany","['1 UNITEN 1 (CG)', '0 UNITEN 2 (CO)', '0 UT MARA 5 (OO)', '0 UTM 1 (OG)']"
