,Name,Team,Categories,Speaker Scores
0,Luc Choong,Malaya 1,,"['79', '78', '80', '85']"
1,Aaron L. Raj,Malaya 2,,"['79', '77', '82', '83']"
2,Vishal Sidhu,Malaya 2,,"['79', '80', '80', '82']"
3,Irfan,Sunway 1,,"['78', '80', '79', '83']"
4,Afiq Muazzam,Sunway 1,,"['79', '80', '80', '81']"
5,Danesh Aggarwal,Malaya 1,,"['79', '78', '80', '82']"
6,Silla Alam,UT MARA 2,,"['79', '79', '81', '77']"
7,Sharyfa,UT MARA 3,,"['77', '78', '79', '82']"
8,Taqiyuddin Redzuan,UT MARA 4,,"['77', '80', '78', '80']"
9,Iman Hassan,UT MARA 1,,"['79', '77', '79', '79']"
10,Zazuan Daud,UT MARA 1,,"['79', '78', '79', '77']"
11,Kuhan Karttikeyn,Malaya 4,,"['80', '77', '77', '78']"
12,Aimi Shahirah,UT MARA 2,,"['78', '79', '80', '75']"
13,Anis Sufea,IIUM 2,,"['76', '79', '77', '79']"
14,Bryan Sim,IIUM 3,,"['77', '78', '78', '78']"
15,Mujahid Hadzri,UT MARA 4,,"['77', '78', '78', '78']"
16,Manasir,IIUM 1,,"['76', '77', '79', '78']"
17,Sarrah Salihan,IIUM 2,,"['76', '79', '76', '79']"
18,Arsyad,IIUM 3,,"['78', '78', '78', '76']"
19,Elia,IIUM 4,Novice,"['77', '79', '77', '77']"
20,Imran,IIUM 4,,"['78', '78', '77', '77']"
21,Ryan Yap,SUTS 2,Novice,"['77', '77', '77', '79']"
22,Ryan Adler Tan,UNIMAS 1,,"['77', '76', '79', '78']"
23,Tanzeem Junaid,UTM 2,Novice,"['76', '76', '80', '78']"
24,Syafiq Razak,UT MARA 3,Novice,"['76', '78', '77', '79']"
25,Ariz,IIUM 1,Novice,"['76', '76', '80', '77']"
26,Lit Wen,Sunway 2,Novice,"['76', '79', '75', '79']"
27,Syed ‘Akasyah,UNIMAS 1,,"['78', '76', '78', '77']"
28,Amy Suhana,UNIMAS 2,,"['78', '77', '78', '76']"
29,Leezzie John,Malaya 3,,"['76', '78', '79', '76']"
30,Farhan,UTP 1,,"['77', '77', '79', '76']"
31,Syed,UTP 1,,"['77', '78', '78', '76']"
32,Vishnudev A/L Indran,UNITEN 1,Novice,"['78', '77', '76', '78']"
33,Catherine,Malaya 4,,"['78', '76', '76', '78']"
34,Sharveena,UTP 2,,"['76', '78', '77', '77']"
35,Muiz,UNITEN 2,Novice,"['78', '75', '78', '77']"
36,Wahaj Qaiser Syed,SUTS 2,Novice,"['76', '77', '76', '78']"
37,Kamara Azlie Kamarazaman,Malaya 3,,"['76', '77', '79', '75']"
38,Alau,UNITEN 2,Novice,"['77', '74', '79', '77']"
39,Amir,IIUM 6,Novice,"['77', '78', '76', '75']"
40,Shoroúq,IIUM 6,Novice,"['76', '77', '77', '76']"
41,Brendan Jeremy,UNIMAS 2,,"['78', '76', '77', '75']"
42,Daryl Yap Zhen Yao,UNIMAS 3,,"['77', '76', '76', '77']"
43,Malik Araf,UTM 2,Novice,"['75', '75', '78', '78']"
44,Sivwani Sivaram,UTP 2,,"['76', '77', '76', '77']"
45,Harith,IIUM 5,Novice,"['75', '78', '76', '76']"
46,Tasmia,IIUM 5,,"['76', '77', '76', '76']"
47,Chee Henn,Sunway 2,Novice,"['75', '78', '75', '77']"
48,Gurtej Singh a/I Sarjit Singh,UNIMAS 3,,"['77', '76', '76', '76']"
49,Harith Danial,Malaya 5,Novice,"['75', '77', '78', '75']"
50,Huda,UTM 1,Novice,"['77', '75', '76', '77']"
51,Aan,UTM 1,Novice,"['77', '75', '76', '77']"
52,Lancelan Pegan,SUTS 1,Novice,"['74', '78', '76', '76']"
53,Jeremy Lau,USM 1,Novice,"['78', '75', '75', '76']"
54,Abdul Hakeem,UNITEN 1,Novice,"['76', '76', '75', '77']"
55,Abdullah Saud,USM 2,Novice,"['75', '76', '76', '76']"
56,Syauqi,UT MARA 5,Novice,"['76', '77', '74', '76']"
57,Jason Kng,USM 2,Novice,"['74', '75', '77', '76']"
58,Magesh,UTM 3,Novice,"['74', '77', '75', '76']"
59,Jik Long,UTM 3,Novice,"['75', '76', '75', '76']"
60,Izz Danial,UT MARA 5,Novice,"['74', '77', '75', '76']"
61,Gitanjali,Sunway 4,Novice,"['74', '77', '74', '76']"
62,Wan Faris Ali Ibrahim,SUTS 1,Novice,"['74', '76', '75', '76']"
63,Amadeus Lim,USM 1,Novice,"['77', '75', '74', '75']"
64,Ajay Raul,Malaya 5,Novice,"['74', '76', '76', '75']"
65,Matius,Sunway 3,Novice,"['73', '75', '77', '75']"
66,Fatin,Sunway 3,Novice,"['74', '77', '75', '74']"
67,Gurvin,Sunway 4,Novice,"['74', '76', '74', '76']"
68,Darren Lim,TENBY 2,Novice,"['75', '74', '74', '77']"
69,Sarah Binti Supahan,SUTS 3,Novice,"['75', '76', '75', '73']"
70,Zulfadhli,UTP 3,Novice,"['73', '74', '76', '75']"
71,Tasnim,UTP 3,Novice,"['73', '75', '76', '74']"
72,Faria Rashid,TENBY 3,Novice,"['76', '75', '75', '72']"
73,Ernest Yeong,TENBY 1,Novice,"['73', '78', '73', '73']"
