,Round Name,Panel,Rankings
0,Round 1,"Seamus DoveⒸ , Gazi Mahtab , Ihuoma Marvelous , Ahana ChaudhuriⓉ","['3 Entirely unclear at this point (CG)', '2 Safe and Legal Thrills (OO)', '1 a very novice team (OG)', '0 Young and beautiful (CO)']"
1,Round 1,"Adhipatya SinghⒸ , Iqbal Maulana , Kara AnganⓉ","['3 All I Want for Christmas is Xu (OG)', '2 Panda and Rabbit 🐼🐰 (OO)', '1 Team Nigeria (CO)', '0 Q.E.D. (CG)']"
2,Round 1,"Cao AnhⒸ , Maliha Rahman , Nabil Muhammad Mukhlis","['3 Allocate Aroon and Leah into the sa (OG)', '2 One of us soon to be halal from har (CO)', '1 Pak Army Lumber 1 (CG)', '0 Swing 2 (OO)']"
3,Round 1,"Samuel BlackwoodⒸ , Simon Luo , Sirish Joshi","['3 tbd (Miguel and Speaker 2) (CO)', '2 Alpha Romeo (OO)', '1 Are We in Paris? (CG)', '0 Ideal 1 (OG)']"
4,Round 1,"Tota TakahashiⒸ , Aditya Tripathi , Brodie Knox , Karthik Pande","['3 Arin and Billie (OO)', '2 The Least Important Stakeholder (OG)', ""1 it's scissors paper rock (CG)"", '0 Lontoh Duo (CO)']"
5,Round 1,"Matthew Conley-EvansⒸ , Jaime Castro , Johnwilson Ojukwu","['3 Temporary Unretirement (CO)', '2 President A (CG)', '1 Zoom Hoons (OG)', '0 Caedentibus Daret (OO)']"
6,Round 1,"Senkai HsiaⒸ , Majo Gutierrez , Precious Ahaneku , Seval JainⓉ","['3 Constrained optimisation (OO)', '2 Swing 1 (CO)', '1 Supreme Leader Trump 2024 (CG)', '0 EEC Unila (OG)']"
7,Round 1,"Anshuman MishraⒸ , Dio , Redacted","['3 NA SPAR A (CO)', '2 Cross 2 (OO)', '1 why are we here (OG)', '0 Who Cares (CG)']"
8,Round 1,"Alice WangⒸ , Ajwah Nadeem , Avi Vijayvergiya","['3 Enreach HS (OO)', '2 Return of the trolls (CO)', ""1 Scott Morrison's Knickers (CG)"", '0 Papa johns Pakistan (OG)']"
9,Round 1,"Connor O' BrienⒸ , Michael Ferdinand Arya Lukmanto , Nusrat Charu","['3 Time-zones are Tyranny (CO)', '2 Gone with the win (OO)', '1 Switty Warriors (OG)', '0 Honjokers (CG)']"
10,Round 1,"Banun SabriⒸ , Marco Dava , Travis Barton","['3 University of North sumatera (CG)', '2 Very Nice! - Borat (OG)', '1 This House Would Not Want To Stay U (CO)', '0 Kenyatta Spears (OO)']"
11,Round 1,"Adya SharmaⒸ , Lada","['3 Pigeon Extermination Squad (CO)', '2 Tamkeen’s pride and joy (OG)', '1 Mesut Özil Fan Club: Ürümqi Divisio (CG)', '0 tick tock, wait the reg was closed? (OO)']"
12,Round 2,"Adya SharmaⒸ , DioⓉ","['3 Supreme Leader Trump 2024 (CO)', '2 Mesut Özil Fan Club: Ürümqi Divisio (OG)', '1 Are We in Paris? (OO)', '0 a very novice team (CG)']"
13,Round 2,"Tota TakahashiⒸ , Marco Dava , Maliha RahmanⓉ","['3 Pigeon Extermination Squad (OG)', '2 Constrained optimisation (CG)', '1 Arin and Billie (CO)', '0 All I Want for Christmas is Xu (OO)']"
14,Round 2,"Connor O' BrienⒸ , Ihuoma Marvelous , Sirish JoshiⓉ","['3 tbd (Miguel and Speaker 2) (OO)', '2 Allocate Aroon and Leah into the sa (CG)', '1 Enreach HS (CO)', '0 Temporary Unretirement (OG)']"
