,Round Name,Panel,Rankings
0,Round 1,"Jaymal LodhaⒸ , Shivangi Srivastava , Sudheesh S KesarkarⓉ","['3 Hi Da Nikhit (OO)', '2 25 din mein prize money double (CG)', '1 AIL-M 1 (CO)', '0 SLS-H 1 (OG)']"
1,Round 1,"Chinmaya MohanⒸ , Shaunak Choudhury","['3 IIIT-H 1 (OO)', '2 Adjes on the Edge (CO)', '1 NMIMS SOC 3 (OG)', '0 Swing 3 (CG)']"
2,Round 1,Rohan GroverⒸ,"['3 Swing 4 (OG)', '2 IIT-R 2 (CO)', '1 SSE 1 (CG)', '0 AIL-M 2 (OO)']"
3,Round 1,"Teo EnQiⒸ , Rupali YadavⓉ , WANYA SINHAⓉ","['3 NLIU 1 (CO)', '2 IIT-B 2 (OO)', '1 CNLU 1 (OG)', '0 RCL 3 (CG)']"
4,Round 1,"Tiyasha MitraⒸ , Abhishek Ranjan , Anirudh dasⓉ","['3 NLUO 2 (OG)', '2 NMIMS Law 2 (CO)', '1 NLIU 2 (OO)', '0 COEP 1 (CG)']"
5,Round 1,"Syamanthak SrikrishnanⒸ , Joel Thyparampil Alex","['3 NLUO 1 (OO)', '2 NMIMS Law 3 (CO)', '1 COEP 2 (OG)', '0 MIT 2 (CG)']"
6,Round 1,"Mausam GalaⒸ , Kartik Mathur","['3 Daru Desi (CO)', '2 NIT-R 1 (OO)', '1 Last minute (CG)', '0 SLCU 3 (OG)']"
7,Round 1,"Omkar JoshiⒸ , Sumantra Sen","['3 swinging at night (OG)', '2 Zhongli come home (OO)', '1 GLC 2 (CO)', '0 WBNUJS 1 (CG)']"
8,Round 1,"Namita PandeyⒸ , Beatrice Cuizon , Jeetsingh RathoreⓉ","['3 IIT-B 1 (OO)', '2 SLCU 2 (OG)', '1 IIT-KGP 1 (CG)', '0 JGU 1 (CO)']"
9,Round 1,"Samarth SrinivasⒸ , Pratik Gore","['3 IIT-BHU 1 (CO)', '2 RCL 2 (OO)', '1 NMIMS SOC 2 (OG)', '0 NMIMS Law 4 (CG)']"
10,Round 1,"Shreyas AlevoorⒸ , Pranov Suresh","['3 WBNUJS 2 (OO)', '2 IIT-KGP 3 (OG)', '1 MIT 1 (CO)', '0 IIT-K 1 (CG)']"
11,Round 1,"David AfricaⒸ , Raghav KalraⓉ","['3 Swing 2 (CO)', '2 NMIMS SOC 1 (OO)', '1 NLUD 2 (CG)', '0 IIT-K 2 (OG)']"
12,Round 1,"Reed HerterⒸ , Mansha Sidhu , Rohini RoyⓉ","['3 RCL 1 (CG)', '2 NIT-R 2 (OO)', '1 IIT-KGP 2 (CO)', '0 SLCU 1 (OG)']"
13,Round 1,"NeelanshⒸ , Dhruv Wandre","['3 NLUD 1 (OO)', '2 NLUO 3 (CG)', '1 IIT-R 1 (OG)', '0 NMIMS Law 5 (CO)']"
14,Round 1,"Tushar PancholiⒸ , Kousalya Kalaparthi","['3 ILNU 1 (CO)', '2 SSE 3 (CG)', '1 SSE 2 (OG)', '0 NMIMS Law 1 (OO)']"
15,Round 2,"Tushar PancholiⒸ , Sumantra Sen","['3 25 din mein prize money double (CO)', '2 IIT-KGP 3 (OO)', '1 NIT-R 2 (OG)', '0 NMIMS Law 2 (CG)']"
16,Round 2,"Teo EnQiⒸ , Kartik Mathur , Shivangi Srivastava , Anirudh dasⓉ","['3 Daru Desi (OO)', '2 swinging at night (CG)', '1 WBNUJS 2 (CO)', '0 Adjes on the Edge (OG)']"
17,Round 2,"Mausam GalaⒸ , Joel Thyparampil Alex","['3 SSE 1 (OG)', '2 AIL-M 1 (OO)', '1 MIT 1 (CG)', '0 NMIMS Law 4 (CO)']"
18,Round 2,"Rohan GroverⒸ , Syamanthak Srikrishnan , Jeetsingh RathoreⓉ","['3 SLCU 3 (CG)', '2 AIL-M 2 (OG)', '1 NMIMS Law 5 (OO)', '0 WBNUJS 1 (CO)']"
19,Round 2,"Chinmaya MohanⒸ , Samarth Srinivas , Nishanth RⓉ","['3 Last minute (OG)', '2 SLCU 1 (CO)', '1 CNLU 1 (OO)', '0 IIT-KGP 2 (CG)']"
20,Round 2,"Shreyas AlevoorⒸ , Pranov Suresh","['3 Swing 3 (CG)', '2 COEP 1 (OO)', '1 MIT 2 (CO)', '0 JGU 1 (OG)']"
21,Round 2,"Tiyasha MitraⒸ , Abhishek Ranjan , Rupali YadavⓉ","['3 NMIMS SOC 3 (OO)', '2 SSE 2 (CO)', '1 COEP 2 (CG)', '0 NLUD 2 (OG)']"
22,Round 2,"Klaudia MaciejewskaⒸ , Mansha Sidhu , Sanjana SⓉ","['3 Hi Da Nikhit (CO)', '2 SSE 3 (OG)', '1 IIT-B 1 (CG)', '0 NLUO 3 (OO)']"
23,Round 2,"NeelanshⒸ , Namita Pandey , Shaunak Choudhury","['3 NLUO 2 (CG)', '2 IIT-BHU 1 (OO)', '1 IIIT-H 1 (OG)', '0 NLUO 1 (CO)']"
24,Round 2,"David AfricaⒸ , Dhruv Wandre , Rohini RoyⓉ","['3 IIT-B 2 (CG)', '2 RCL 2 (OG)', '1 NIT-R 1 (CO)', '0 IIT-R 2 (OO)']"
25,Round 2,"Omkar JoshiⒸ , Pratik Gore , Vikas BubnaⓉ","['3 IIT-K 2 (CG)', '2 IIT-K 1 (CO)', '1 RCL 3 (OG)', '0 SLS-H 1 (OO)']"
26,Round 2,"Sarthak YadavⒸ , Kousalya Kalaparthi","['3 NMIMS SOC 2 (CO)', '2 IIT-KGP 1 (OG)', '1 NLIU 2 (CG)', '0 IIT-R 1 (OO)']"
27,Round 2,"Jaymal LodhaⒸ , Beatrice Cuizon , Janhavi MahalikⓉ , Mohit ChandⓉ","['3 ILNU 1 (OO)', '2 NLUD 1 (CG)', '1 RCL 1 (CO)', '0 NLIU 1 (OG)']"
28,Round 2,"Reed HerterⒸ , Raghav Kalra , Sudheesh S Kesarkar","['3 Zhongli come home (OG)', '2 SLCU 2 (CO)', '1 NMIMS SOC 1 (CG)', '0 NMIMS Law 3 (OO)']"
29,Round 3,"Jaymal LodhaⒸ , Dhruv Wandre , Syamanthak Srikrishnan","['3 25 din mein prize money double (OO)', '2 Zhongli come home (CO)', '1 IIT-BHU 1 (OG)', '0 IIIT-H 1 (CG)']"
