,Round Name,Panel,Rankings
0,Round 1,Marta VasicⒸ,"['3 McCymru (CO)', '2 5G causes corona (OG)', '1 N!jm*g*& is where I put my laptop (OO)', ""0 *My partner's having back pain for (CG)""]"
1,Round 1,"Parth PandyaⒸ , Dylan Gyauch-Lewis","['3 The BYT (CO)', '2 confused kittens with dictatorial t (OG)', '1 *ABC... (CG)', '0 Het Eerste Duumviraat (OO)']"
2,Round 1,"Olivia MackenderⒸ , Gigi Gil","['3 You either retire a hero or debate (CG)', '2 young and sweet way over 17 (OG)', '1 ARGO A (OO)', '0 Found dead in electrical (CO)']"
3,Round 1,"Hadar GoldbergⒸ , Avi Vijayvergiya","['3 Who cares about breaks? We have sop (OG)', '2 Flamboyant Flamingo (OO)', '1 *Maccie & snackie (CG)', '0 BBU Society (CO)']"
4,Round 1,"Fabian BeitsmaⒸ , Jaffra","['3 TBA some joke about civil servants (OG)', '2 Breaking News (CG)', '1 OG Octos (OO)', ""0 *Jon's First Uni Comp 🥺🥰 (CO)""]"
5,Round 1,Lucy McManusⒸ,"[""3 Papa Creg's favourite children (OG)"", '2 DC Freiburg (CO)', '1 Fingers Crossed (CG)', '0 Free Belarus (OO)']"
6,Round 1,"Daan SpacklerⒸ , Benedict Anslow","['3 Plexus Kikkers (OG)', '2 Fate / Stay (up all) Night (Debatin (OO)', '1 Our Whips Left Us (CG)', '0 Irrelephants (CO)']"
7,Round 1,"Roel BeckerⒸ , Leonardus Hans Sebastian **","['3 Opening Rakija (OG)', '2 PN Opening (OO)', '1 Partij Voor Drents BestaansRecht (P (CO)', '0 GMT7 (CG)']"
8,Round 1,"Lisa van VlietⒸ , Ellen Goltstein","['3 President A (CO)', '2 Kroepoek (OO)', '1 *Skeletons and Zombies (OG)', '0 Out of order (CG)']"
9,Round 2,"Roel BeckerⒸ , Jaffra","['3 confused kittens with dictatorial t (CG)', '2 Breaking News (OG)', '1 5G causes corona (OO)', '0 Kroepoek (CO)']"
10,Round 2,Lucy McManusⒸ,"['3 N!jm*g*& is where I put my laptop (CG)', '2 *ABC... (OG)', '1 Our Whips Left Us (CO)', '0 Partij Voor Drents BestaansRecht (P (OO)']"
11,Round 2,"Benedict AnslowⒸ , Hadar Goldberg","['3 Irrelephants (OO)', '2 *Skeletons and Zombies (CO)', '1 Fingers Crossed (OG)', '0 ARGO A (CG)']"
12,Round 2,Lisa van VlietⒸ,"['3 Out of order (OO)', '2 Found dead in electrical (CG)', ""1 *My partner's having back pain for (CO)"", '0 BBU Society (OG)']"
13,Round 2,"Daan SpacklerⒸ , Avi Vijayvergiya","['3 DC Freiburg (OO)', '2 *Maccie & snackie (OG)', '1 OG Octos (CO)', '0 young and sweet way over 17 (CG)']"
