,Round Name,Panel,Rankings
0,Round 1,"Sajid KhandakerⒸ , Hoang Thai HaⓉ , Karthik PandeⓉ","['3 Bo and Fanele (CG)', '2 :) (OO)', '1 Swellie (CO)', '0 Redacted (OG)']"
1,Round 1,"Amrit AgastiaⒸ , Ahana Chaudhuri , Jiaxin LiuⓉ","['3 Hong Kong Jockey Club A (CO)', '2 cool zone homeowners association (OG)', '1 #2020isoverparty😤 (CG)', '0 Oat milk (OO)']"
2,Round 1,"Madi BoslerⒸ , Anshuman Mishra , Seval JainⓉ","['3 breaking badly (OG)', '2 Keio 1 (OO)', '1 A day at the zoo (CG)', '0 Grumpy Cat and Morgan Stanley Dog (CO)']"
3,Round 1,"Udai KamathⒸ , Ryan Patrick Thalari , Tengku Omar","['3 just two Aussies (OO)', '2 AAAAAAAAAAAAAAAA (OG)', '1 Alpha Romeo (CO)', '0 UNIMAS (CG)']"
4,Round 1,"Seamus DoveⒸ , Bi Asma Taroa KasipahuⓉ , Olga ShevtsovaⓉ","['3 UWODS Retirement Home (CO)', '2 Cats Gone Wild (CG)', '1 Oxford B(rown) Boys (OG)', '0 Africa is not a country (OO)']"
5,Round 1,"Tota TakahashiⒸ , Abhishek Acharya , Matthew Conley-Evans","['3 Avril Lavigne??? (CG)', '2 Arin and Billie (CO)', '1 Lidya & Daniele (OO)', '0 return of the trolls (OG)']"
6,Round 2,"Amrit AgastiaⒸ , Olga ShevtsovaⓉ","['3 Bo and Fanele (OG)', '2 :) (CO)', '1 Hong Kong Jockey Club A (OO)', '0 just two Aussies (CG)']"
7,Round 2,"Udai KamathⒸ , Hoang Thai HaⓉ","['3 Swellie (OG)', '2 Oxford B(rown) Boys (CG)', '1 #2020isoverparty😤 (CO)', '0 Alpha Romeo (OO)']"
8,Round 2,"Zachary ChambersⒸ , Abhishek AcharyaⓉ , Karthik PandeⓉ","['3 A day at the zoo (OO)', '2 Redacted (CO)', '1 Africa is not a country (OG)', '0 Lidya & Daniele (CG)']"
9,Round 2,"Tota TakahashiⒸ , Bi Asma Taroa KasipahuⓉ , Jiaxin LiuⓉ","['3 Cats Gone Wild (OG)', '2 Keio 1 (CG)', '1 Arin and Billie (OO)', '0 AAAAAAAAAAAAAAAA (CO)']"
10,Round 2,"Madi BoslerⒸ , Shahjalal Hossain SiumⓉ , Tengku OmarⓉ","['3 UWODS Retirement Home (CG)', '2 Avril Lavigne??? (OG)', '1 breaking badly (CO)', '0 cool zone homeowners association (OO)']"
11,Round 2,"Matthew Conley-EvansⒸ , Ahana Chaudhuri , Ryan Patrick Thalari","['3 return of the trolls (OO)', '2 Grumpy Cat and Morgan Stanley Dog (OG)', '1 UNIMAS (CO)', '0 Oat milk (CG)']"
12,Round 3,"Udai KamathⒸ , Tengku OmarⓉ","['3 :) (CG)', '2 just two Aussies (CO)', '1 breaking badly (OO)', '0 A day at the zoo (OG)']"
13,Round 3,"Ahana ChaudhuriⒸ , Abhishek Acharya , Ryan Patrick Thalari","['3 #2020isoverparty😤 (OG)', '2 cool zone homeowners association (CG)', '1 Grumpy Cat and Morgan Stanley Dog (OO)', '0 Lidya & Daniele (CO)']"
14,Round 3,"Zachary ChambersⒸ , Jiaxin LiuⓉ","['3 Arin and Billie (OG)', '2 Oxford B(rown) Boys (CO)', '1 AAAAAAAAAAAAAAAA (OO)', '0 Redacted (CG)']"
15,Round 3,"Matthew Conley-EvansⒸ , Shahjalal Hossain SiumⓉ","['3 Alpha Romeo (CG)', '2 UNIMAS (OO)', '1 Africa is not a country (CO)', '0 Oat milk (OG)']"
16,Round 3,"Madi BoslerⒸ , Bi Asma Taroa KasipahuⓉ , Hoang Thai HaⓉ","['3 UWODS Retirement Home (OG)', '2 Avril Lavigne??? (CG)', '1 Cats Gone Wild (OO)', '0 Bo and Fanele (CO)']"
17,Round 3,"Tota TakahashiⒸ , Karthik PandeⓉ , Olga ShevtsovaⓉ","['3 Hong Kong Jockey Club A (CG)', '2 Swellie (OO)', '1 Keio 1 (OG)', '0 return of the trolls (CO)']"
18,Round 4,"Zachary ChambersⒸ , Olga ShevtsovaⓉ","['3 just two Aussies (OG)', '2 breaking badly (CG)', '1 Keio 1 (CO)', '0 #2020isoverparty😤 (OO)']"
19,Round 4,Emily KimⒸ,"['3 cool zone homeowners association (CO)', '2 AAAAAAAAAAAAAAAA (CG)', '1 A day at the zoo (OO)', '0 Alpha Romeo (OG)']"
20,Round 4,"Udai KamathⒸ , Seval JainⓉ","['3 Grumpy Cat and Morgan Stanley Dog (CO)', '2 return of the trolls (CG)', '1 Africa is not a country (OO)', '0 UNIMAS (OG)']"
21,Round 4,Seamus DoveⒸ,"['3 Arin and Billie (CG)', '2 UWODS Retirement Home (OO)', '1 Avril Lavigne??? (CO)', '0 Hong Kong Jockey Club A (OG)']"
22,Round 4,Matthew Conley-EvansⒸ,"['3 Swellie (CG)', '2 Bo and Fanele (OG)', '1 Oxford B(rown) Boys (OO)', '0 Cats Gone Wild (CO)']"
23,Round 4,Bella RollinsonⒸ,"['3 SWING 1 (OO)', '2 SWING 2 (CG)', '1 Oat milk (CO)', '0 Lidya & Daniele (OG)']"
24,Round 5,"Udai KamathⒸ , Madi Bosler , Seval JainⓉ","['3 return of the trolls (OO)', '2 #2020isoverparty😤 (OG)', '1 A day at the zoo (CO)', '0 AAAAAAAAAAAAAAAA (CG)']"
25,Round 5,"Matthew Conley-EvansⒸ , Abhishek Acharya","['3 Alpha Romeo (OG)', '2 UNIMAS (OO)', '1 HALF ROOM 2 CO (CO)', '0 HALF ROOM 2 CG (CG)']"
26,Round 5,Seamus DoveⒸ,"['3 Bo and Fanele (OO)', '2 Arin and Billie (OG)', '1 Swellie (CO)', '0 UWODS Retirement Home (CG)']"
27,Round 5,Amrit AgastiaⒸ,"['3 Avril Lavigne??? (OO)', '2 just two Aussies (CO)', '1 Hong Kong Jockey Club A (OG)', '0 cool zone homeowners association (CG)']"
