,Round Name,Panel,Rankings
0,Round 1,Chen BeiqiⒸ,"['3 UPD Game Over (OO)', '2 50% Simp 100% Am (CO)', '1 The Master Debaters (CG)', '0 POWIIS shuaiges (OG)']"
1,Round 1,Jesus Reyna IIIⒸ,"['3 Rich & Elite (CG)', '2 CFS 1 (CO)', '1 Victoria AE (OG)', ""0 Eagle's Eye (OO)""]"
2,Round 1,Clarice TeeⒸ,"['3 Ted and Lily (CG)', '2 GJ (CO)', '1 spaghetti with the white sauce (OG)', '0 CFS 2 (OO)']"
3,Round 1,"Sharyfa HabsheeⒸ , Ronan Ooi Shen Yuan","['3 Jizzy Wedges (OO)', '2 Victoria MS (CO)', '1 CFS 3 (CG)', '0 Victoria BR (OG)']"
4,Round 1,"Ashit Kumar DuttaⒸ , Umar","['3 Potato Farm (CG)', '2 Crunchy tempura (OG)', '1 Victoria JT (OO)', '0 CFS 4 (CO)']"
5,Round 1,AmeerⒸ,"['3 Debate Exchange Programme (CG)', '2 UNIMAS A (CO)', '1 I think, therefore I am (OO)', '0 The L.O.T (OG)']"
6,Round 1,"Daud LoudoeⒸ , Ee Jenn","['3 UNIMAS B (OO)', '2 Victoria NS (OG)', '1 ECUPL A (CO)', '0 Titans (CG)']"
7,Round 2,"Ashit Kumar DuttaⒸ , Ee Jenn","['3 UNIMAS A (OG)', '2 50% Simp 100% Am (OO)', '1 CFS 3 (CO)', '0 GJ (CG)']"
8,Round 2,Clarice TeeⒸ,"['3 Swing 1 (CG)', '2 CFS 1 (OO)', '1 Victoria MS (OG)', '0 The Master Debaters (CO)']"
9,Round 2,Jesus Reyna IIIⒸ,"['3 Victoria BR (CG)', '2 CFS 2 (OG)', '1 The L.O.T (CO)', '0 Titans (OO)']"
10,Round 2,"Chen BeiqiⒸ , Nabil Hossain","['3 ECUPL A (OO)', '2 Victoria JT (CO)', '1 Victoria AE (CG)', '0 CFS 4 (OG)']"
11,Round 2,"Daud LoudoeⒸ , Ronan Ooi Shen Yuan","['3 UPD Game Over (CG)', '2 Debate Exchange Programme (OO)', '1 Rich & Elite (CO)', '0 Potato Farm (OG)']"
12,Round 2,Sharyfa HabsheeⒸ,"['3 Whatever flies (OO)', '2 I think, therefore I am (OG)', '1 POWIIS shuaiges (CO)', ""0 Eagle's Eye (CG)""]"
13,Round 2,"AmeerⒸ , Umar","['3 UNIMAS B (CO)', '2 Jizzy Wedges (CG)', '1 Ted and Lily (OG)', '0 Victoria NS (OO)']"
14,Round 3,Nabil HossainⒸ,"['3 Potato Farm (OO)', '2 Ted and Lily (CO)', '1 50% Simp 100% Am (OG)', '0 I think, therefore I am (CG)']"
15,Round 3,"Chen BeiqiⒸ , Ronan Ooi Shen Yuan","['3 Rich & Elite (OO)', '2 Debate Exchange Programme (CO)', '1 ECUPL A (CG)', '0 CFS 1 (OG)']"
16,Round 3,Jesus Reyna IIIⒸ,"['3 spaghetti with the white sauce (CG)', '2 CFS 2 (CO)', '1 CFS 3 (OG)', '0 The Master Debaters (OO)']"
17,Round 3,"Clarice TeeⒸ , Ee Jenn","['3 The L.O.T (OO)', '2 Titans (CO)', ""1 Eagle's Eye (OG)"", '0 CFS 4 (CG)']"
18,Round 3,"Sharyfa HabsheeⒸ , Umar","['3 GJ (OG)', '2 POWIIS shuaiges (OO)', '1 Victoria NS (CG)', '0 Victoria AE (CO)']"
19,Round 3,Ashit Kumar DuttaⒸ,"['3 UPD Game Over (CO)', '2 Jizzy Wedges (OG)', '1 UNIMAS A (OO)', '0 UNIMAS B (CG)']"
20,Round 3,"AmeerⒸ , Daud Loudoe","['3 Victoria BR (OO)', '2 Whatever flies (CO)', '1 Victoria MS (CG)', '0 Victoria JT (OG)']"
21,Round 4,"AmeerⒸ , Ronan Ooi Shen Yuan","['3 Potato Farm (CO)', '2 50% Simp 100% Am (CG)', '1 ECUPL A (OG)', '0 GJ (OO)']"
22,Round 4,UmarⒸ,"['3 Whatever flies (OG)', '2 CFS 2 (CG)', '1 Victoria MS (OO)', '0 CFS 1 (CO)']"
23,Round 4,Sharyfa HabsheeⒸ,"['3 Victoria NS (CO)', '2 CFS 3 (OO)', '1 POWIIS shuaiges (CG)', '0 Titans (OG)']"
24,Round 4,Daud LoudoeⒸ,"['3 Victoria AE (CG)', '2 The Master Debaters (OG)', '1 CFS 4 (OO)', ""0 Eagle's Eye (CO)""]"
25,Round 4,Nabil HossainⒸ,"['3 UPD Game Over (OG)', '2 Rich & Elite (CG)', '1 Debate Exchange Programme (OO)', '0 Jizzy Wedges (CO)']"
26,Round 4,Clarice TeeⒸ,"['3 spaghetti with the white sauce (OO)', '2 I think, therefore I am (CO)', '1 Victoria JT (OG)', '0 The L.O.T (CG)']"
27,Round 4,"Ee JennⒸ , Chen Beiqi","['3 UNIMAS A (CG)', '2 UNIMAS B (OG)', '1 Ted and Lily (OO)', '0 Victoria BR (CO)']"
28,Semifinals,"Ashit Kumar DuttaⒸ , Chen Beiqi , Nabil Hossain","['1 UNIMAS A (OG)', '1 UPD Game Over (OO)', '0 50% Simp 100% Am (CO)', '0 Debate Exchange Programme (CG)']"
29,Semifinals,"Jesus Reyna IIIⒸ , Ee Jenn , Sharyfa Habshee","['1 Potato Farm (OG)', '1 Rich & Elite (CO)', '0 UNIMAS B (OO)', '0 Whatever flies (CG)']"
30,Grand Final,"Sharyfa HabsheeⒸ , Ameer , Ashit Kumar Dutta , Ee Jenn , Nabil Hossain","['1 Rich & Elite (CO)', '0 Potato Farm (OO)', '0 UNIMAS A (OG)', '0 UPD Game Over (CG)']"
