,Round Name,Panel,Rankings
0,Round 1,"Matt CaitoⒸ , Daniel Wiyarta","['3 Alberta A (OO)', '2 Edinburgh C (OG)', '1 NU B (CG)', '0 Swing 2 (CO)']"
1,Round 1,"Nikola MichaylovⒸ , Ashley Costa","['3 Stanford LZ (CO)', '2 LSE B (CG)', '1 Alberta B (OO)', '0 Haifa A (OG)']"
2,Round 1,"Lovro ŠpremⒸ , Jessica Awurum , Prashasti Saxena","['3 ANU 1 (OO)', '2 IIUM 1 (OG)', '1 Hart House BG (CO)', '0 JRPDS DS (CG)']"
3,Round 1,"Olja BošnjakⒸ , John Camara","['3 Harvard KW (CO)', '2 Ateneo AA (CG)', '1 Redacted (OG)', '0 USAFA BR (OO)']"
4,Round 1,"LucíaⒸ , Sharon Maidanchik , lior finkelman","['3 Oxford Soup Distributors (OG)', '2 GUU FV (OO)', '1 Ateneo BC (CG)', '0 UBC CZ (CO)']"
5,Round 1,"Xiao-ke LuⒸ , Hasif Ahmed","['3 Hart House RB (OO)', '2 Yale SY (CO)', '1 AUEB KS (CG)', '0 IbnHaldun MB (OG)']"
6,Round 1,"Abhinav BathulaⒸ , Eric Kazadi","['3 Yale QC (OO)', '2 Edinburgh B (OG)', '1 Beckinetti (CO)', ""0 Taylor's B (CG)""]"
7,Round 1,"Aisling TullyⒸ , Simon Luo","['3 TAU HE (OO)', '2 Belgrade ČP (OG)', '1 USAFA SB (CO)', '0 Stanford FS (CG)']"
8,Round 1,"Dani GeorgievⒸ , Filip Gavranovic","['3 LSE C (CO)', '2 Imperial IC (OG)', '1 BiBo (CG)', '0 Swing 5 (OO)']"
9,Round 1,"Pranav KagalkarⒸ , Somsubhro Bagchi","['3 Princeton kW (CG)', '2 McGill YR (OG)', '1 Edinburgh D (OO)', '0 Bucharest A (CO)']"
10,Round 1,"Devashish TrivediⒸ , Joe Atkinson","['3 Calgary GK (CO)', '2 Rebrittal (OO)', '1 Durham C (OG)', '0 Cornell CP (CG)']"
11,Round 1,"Namita PandeyⒸ , Keerthana Bathula","['3 TCD Hist A (OO)', '2 Redacted (CO)', '1 Durham B (CG)', '0 Chicago A (OG)']"
12,Round 1,"Harmen de JongⒸ , Rebecca Sproston","['3 UCLA ZJ (CG)', '2 Viennilla (OO)', '1 Sofia A (OG)', '0 Cornell BG (CO)']"
13,Round 1,"Katherine HarrisⒸ , Brynley Hamer","['3 Leiden A (CG)', '2 Cornell EK (CO)', '1 De La Salle AW (OO)', '0 NU A (OG)']"
14,Round 1,"Tin PuljićⒸ , Helena Hecke , Simren Sharma","['3 LUMS A (CG)', '2 Cornell GS (OG)', '1 JRPDS LW (OO)', '0 Swing 1 (CO)']"
15,Round 1,"Estelle Novenka FlorensⒸ , Arth , Teodor Grama","['3 De La Salle GF (CG)', '2 Hart House BP (OO)', '1 Delhi 1 (OG)', '0 Oxford B(ad) W(hips) (CO)']"
16,Round 1,"Joshua YeungⒸ , Shitij Malik","['3 De La Salle LP (OO)', '2 LUMS C (CO)', '1 Yale HK (CG)', '0 USAFA JL (OG)']"
