,Round Name,Panel,Rankings
0,Round 1,Sneha DasⒸ,"['3 Trotterslop 3: Work Hard Play Harde (CO)', ""2 M&M's (OO)"", '1 10$ Team Name (OG)', '0 WITS LA (CG)']"
1,Round 1,"Seamus DoveⒸ , Margaret TsaiⓉ","['3 My, My, My (CO)', '2 The H in STEM means Happiness (CG)', '1 ad astra (OG)', '0 God knows we’ve tried (OO)']"
2,Round 1,Matthew Conley-EvansⒸ,"['3 Sam & Zachary (OO)', '2 arin and billie (CO)', '1 Xxx Detention with Mr McConnell xxX (OG)', '0 we pooled our 2 brain cells for thi (CG)']"
3,Round 1,"Udhay Aman ChopraⒸ , Clea Porteous BorthwickⓉ","['3 Rob & Natasha (OO)', '2 UNISA EM (CO)', '1 Ethical Canadian Parliamentary (CG)', '0 We Need A Pro (OG)']"
4,Round 1,"Pranav AⒸ , Olivia Mackended","['3 JGU X (CO)', '2 JUDS A (OO)', '1 PUCP I am learning english (CG)', '0 Oriental Outlaws (OG)']"
5,Round 1,Momotaz Rahman MeghaⒸ,"['3 Milhouse (CO)', ""2 Xavier's SR (OO)"", '1 Kanye 2024 (CG)', '0 RVCE B (OG)']"
6,Round 2,Olivia MackendedⒸ,"['3 Xxx Detention with Mr McConnell xxX (OO)', '2 Ethical Canadian Parliamentary (OG)', '1 10$ Team Name (CO)', '0 RVCE B (CG)']"
7,Round 2,Sneha DasⒸ,"['3 Kanye 2024 (OG)', '2 ad astra (CO)', '1 PUCP I am learning english (OO)', '0 God knows we’ve tried (CG)']"
8,Round 2,"Momotaz Rahman MeghaⒸ , Margaret TsaiⓉ","['3 arin and billie (OO)', ""2 M&M's (CO)"", '1 UNISA EM (CG)', '0 The H in STEM means Happiness (OG)']"
9,Round 2,"Quynh AnhⒸ , Lidya AndreaniⓉ","['3 Trotterslop 3: Work Hard Play Harde (OO)', '2 Rob & Natasha (CG)', '1 JGU X (OG)', ""0 Xavier's SR (CO)""]"
10,Round 2,"Seamus DoveⒸ , Avi VijayvergiyaⓉ","['3 Sam & Zachary (CO)', '2 Milhouse (OO)', '1 My, My, My (OG)', '0 JUDS A (CG)']"
11,Round 2,Matthew Conley-EvansⒸ,"['3 Oriental Outlaws (CG)', '2 Swing 1 (OO)', '1 we pooled our 2 brain cells for thi (OG)', '0 Swing 2 (CO)']"
12,Round 3,"Avi VijayvergiyaⒸ , Margaret TsaiⓉ","[""3 Xavier's SR (CG)"", '2 10$ Team Name (OO)', '1 PUCP I am learning english (CO)', '0 JUDS A (OG)']"
13,Round 3,"Seamus DoveⒸ , Lidya AndreaniⓉ","['3 Kanye 2024 (CO)', ""2 M&M's (OG)"", '1 ad astra (CG)', '0 Oriental Outlaws (OO)']"
14,Round 3,"Sneha DasⒸ , Shahjalal Hossain SiumⓉ","['3 arin and billie (OG)', '2 JGU X (CG)', '1 Xxx Detention with Mr McConnell xxX (CO)', '0 My, My, My (OO)']"
15,Round 3,Matthew Conley-EvansⒸ,"['3 Ethical Canadian Parliamentary (OO)', '2 UNISA EM (OG)', '1 The H in STEM means Happiness (CO)', '0 Swing 1 (CG)']"
16,Round 3,Momotaz Rahman MeghaⒸ,"['3 God knows we’ve tried (OG)', '2 we pooled our 2 brain cells for thi (OO)', '1 HALF ROOM 2 (CO)', '0 HALF ROOM 1 (CG)']"
17,Round 3,Quynh AnhⒸ,"['3 Trotterslop 3: Work Hard Play Harde (CG)', '2 Sam & Zachary (OO)', '1 Rob & Natasha (CO)', '0 Milhouse (OG)']"
