,Round Name,Panel,Rankings
0,Round 1,"Miri MunteanⒸ , Mubarrat Wassey , Shira Labin","['3 Ateneo OV (CO)', '2 Harvard MW (OG)', '1 Yale CM (CG)', '0 Brown FM (OO)']"
1,Round 1,"namita pandeyⒸ , Prashasti Saxena , Simon Luo , Jayun WonⓉ","['3 Belgrade A (OG)', '2 Hart House NS (CG)', '1 MAD1 (OO)', '0 Hart House YY (CO)']"
2,Round 1,"SooyoungⒸ , Daniel Wiyarta , Jaymal Lodha , Shivangi SrivastavaⓉ","['3 Stanford LZ (OG)', '2 IBA DU 1 (CO)', '1 Belgrade B (OO)', '0 Yale MM (CG)']"
3,Round 1,"Janko ĐorđevićⒸ , Abhishek Acharya , Atiya Al-Hammud , Ceylan BorgersⓉ","['3 Tufts AD (CO)', '2 Berlin A (OG)', '1 Swing Mars (CG)', '0 BUET C (OO)']"
4,Round 1,"Dan LahavⒸ , Anqi Li , Njuguna Macharia","['3 PDP1 (OO)', '2 Berlin B (OG)', '1 DUTY (CO)', '0 UNTAD (CG)']"
5,Round 1,"Emily FrizellⒸ , Ethan John Floro , Lucille BergmannⓉ","['3 NUS 1 (OO)', '2 BUET A (OG)', '1 Swing 1 (CG)', '0 BITS Goa 1 (CO)']"
6,Round 1,"Ameera MooreⒸ , Ben Koch , Erica Liu","['3 UCL A (CO)', '2 Hart House AS (OO)', '1 Brown KX (CG)', '0 Oxford1 (OG)']"
7,Round 1,"Lovro špremⒸ , Anushka Subramanian , Felix Andueza","['3 UT MARA 1 (CG)', '2 Tufts DC (OG)', '1 BUET B (OO)', '0 UST1 (CO)']"
8,Round 1,"Banun SabriⒸ , Ethan Curry , Sebastián Flores , Andrea Sze RobangⓉ","['3 Chicago B (CO)', '2 KC B (OO)', '1 Rosario A (CG)', '0 KU1 (OG)']"
9,Round 1,"Katherine HarrisⒸ , Connor O’Brien , Valerie PangⓉ","['3 Technion2 (OO)', '2 PDP3 (CO)', '1 YUU1 (OG)', '0 EDiS (CG)']"
10,Round 1,"Klaudia MaciejewskaⒸ , Avi Vijayvergiya , Rushdoon Ahmed","['3 Edinburgh A (OG)', '2 KC A (CO)', '1 UMAC 1 (CG)', '0 UST 2 (OO)']"
11,Round 1,"Shudipto R. AhmedⒸ , Cyrus Ma , Rosy Raj , Patrick WittumⓉ","['3 Yale CH (CG)', '2 JU1 (OG)', '1 GIKI (OO)', '0 Polo (CO)']"
12,Round 1,"Ilija IvanisevicⒸ , Cao Anh , Jyotirmoy Mishra , Cindy Cynthia Anastasya ZeesⓉ","['3 WM1 (OG)', '2 Western Australia MP (OO)', '1 SISU1 (CO)', '0 GIKI 2.0 (CG)']"
13,Round 1,"Nikola MichaylovⒸ , Har Naveenjeet Singh , Priyanka Das , Md Nagib + MahfuzⓉ","['3 TCD Hist A (CG)', '2 PDP2 (OO)', '1 IIT BHU 1 (OG)', '0 Rosario B (CO)']"
14,Round 1,"Juanita HincapieⒸ , Isaac Botham , Adeline LawⓉ","['3 Mood Swing (CO)', '2 Oxford WA (CG)', '1 KUET 1 (OO)', '0 IIUC1 (OG)']"
15,Round 1,"Tin PuljićⒸ , Barbara Zofia Batycka , Diego Duarte , Johanne KjaersgaardⓉ","['3 JHU1 (CO)', '2 WITS1 (OO)', '1 Technion1 (OG)', '0 Mariategui (CG)']"
16,Round 1,"Brian WongⒸ , Nitin Kumar Saidha , Tania Ihsan Ahmad , Emmanuel MichelakakisⓉ","['3 JHU2 (OG)', '2 Leiden (OO)', '1 YUU2 (CG)', '0 SSERIGA (CO)']"
17,Round 1,"Noluthando HononoⒸ , Nelle Madera , Tecks , Farihatul MimⓉ","['3 NWU A (CO)', '2 President A (OG)', '1 UPD (CG)', '0 MUST1 (OO)']"
18,Round 2,"Ameera MooreⒸ , Isaac Botham , Noluthando Honono","['3 Ateneo OV (OG)', '2 PDP1 (CO)', '1 Chicago B (OO)', '0 Belgrade A (CG)']"
19,Round 2,"Klaudia MaciejewskaⒸ , Diego Duarte , Andrea Sze RobangⓉ","['3 Swing 1 (OO)', '2 Belgrade B (CO)', '1 SISU1 (OG)', '0 GIKI (CG)']"
20,Round 2,"Tejal PatwardhanⒸ , Njuguna Macharia , Simon Luo","['3 Berlin A (CO)', '2 WITS1 (OG)', '1 KC A (OO)', '0 BUET A (CG)']"
21,Round 2,"Janko ĐorđevićⒸ , Daniel Wiyarta , Priyanka Das","['3 PDP2 (OG)', '2 Oxford WA (OO)', '1 Berlin B (CO)', '0 Leiden (CG)']"
22,Round 2,"Juanita HincapieⒸ , Nitin Kumar Saidha , Pitch Shapiro , Shivangi SrivastavaⓉ","['3 Oxford1 (CO)', '2 BITS Goa 1 (CG)', '1 EDiS (OO)', '0 UST 2 (OG)']"
23,Round 2,"Nikola MichaylovⒸ , Erica Liu , Felix Andueza , Emmanuel MichelakakisⓉ","['3 UST1 (OO)', '2 Brown FM (OG)', '1 Yale MM (CO)', '0 BUET C (CG)']"
24,Round 2,"Emily FrizellⒸ , Ben Koch , Shira Labin , Farihatul MimⓉ","['3 Brown KX (OO)', '2 IIT BHU 1 (CG)', '1 MAD1 (OG)', '0 KU1 (CO)']"
25,Round 2,"Brent SchmidtⒸ , Anushka Subramanian , Jyotirmoy Mishra , Adeline LawⓉ","['3 BUET B (CO)', '2 DUTY (CG)', '1 YUU2 (OO)', '0 Swing Mars (OG)']"
26,Round 2,"Sebastian DassoⒸ , Prashasti Saxena , Sebastián Flores , Patrick WittumⓉ","['3 Edinburgh A (CG)', '2 TCD Hist A (OG)', '1 UCL A (OO)', '0 JHU2 (CO)']"
27,Round 2,"Shudipto R. AhmedⒸ , Avi Vijayvergiya , Katherine Harris , Ceylan BorgersⓉ","['3 GIKI 2.0 (OG)', '2 Rosario B (CG)', '1 Polo (OO)', '0 IIUC1 (CO)']"
28,Round 2,"Ilija IvanisevicⒸ , Ethan John Floro , Rosy Raj , Johanne KjaersgaardⓉ","['3 UT MARA 1 (OG)', '2 NWU A (OO)', '1 Technion2 (CG)', '0 Hart House AS (CO)']"
29,Round 2,"Milos MarjanovicⒸ , Cao Anh , Har Naveenjeet Singh","['3 Tufts DC (CO)', '2 IBA DU 1 (OG)', '1 Hart House NS (OO)', '0 KC B (CG)']"
30,Round 2,"Miri MunteanⒸ , Abhishek Acharya , Anqi Li , Lucille BergmannⓉ","['3 Hart House YY (CG)', '2 UNTAD (OG)', '1 Mariategui (CO)', '0 SSERIGA (OO)']"
31,Round 2,"Lovro špremⒸ , Barbara Zofia Batycka , Ethan Curry , Md Nagib + MahfuzⓉ","['3 President A (CO)', '2 Western Australia MP (OG)', '1 Harvard MW (OO)', '0 JU1 (CG)']"
32,Round 2,"Dan LahavⒸ , Jaymal Lodha , namita pandey","['3 PDP3 (OG)', '2 JHU1 (CG)', '1 Yale CH (CO)', '0 WM1 (OO)']"
33,Round 2,"Banun SabriⒸ , Rushdoon Ahmed , Valerie PangⓉ","['3 UPD (CO)', '2 Yale CM (OG)', '1 KUET 1 (CG)', '0 Technion1 (OO)']"
