,Round Name,Panel,Rankings
0,Round 1,Syed Shadab TajwarⒸ,"['1 BUET A (G)', '0 JUST KZF (O)']"
1,Round 1,Christian Jester SalayoⒸ,"['1 BUET B (O)', '0 IUB (G)']"
2,Round 1,Gazi MahtabⒸ,"['1 Noiayeek Trimatrik (G)', '0 CMC (O)']"
3,Round 1,Ashit Kumar DuttaⒸ,"['1 SSMC (O)', '0 CU FBDA (G)']"
4,Round 1,Retno AnjaniⒸ,"['1 DU B (G)', '0 CUDS A (O)']"
5,Round 1,JyotirmoyⒸ,"['1 NSU A (O)', '0 CUDS B (G)']"
6,Round 1,Khalid AurnabⒸ,"[""1 Xavier's Mumbai 1 (O)"", '0 CUSD (G)']"
7,Round 1,Kshitiz GargⒸ,"['1 DU A (O)', '0 Skylark (G)']"
8,Round 1,Ahana ChaudhuriⒸ,"['1 GLC (O)', '0 Pinocchio (G)']"
9,Round 1,Narayan SharmaⒸ,"['1 MIST A (G)', '0 How About No? (O)']"
10,Round 1,"CJ CarlosⒸ , Md Shifatul Ahsan Apurba","['1 IBA-DU A (O)', '0 KUET 1 (G)']"
11,Round 1,Nabil Muhammad MukhlisⒸ,"['1 Noiyaeek 2 (O)', '0 JUDO Shangshaptok (G)']"
12,Round 1,Rahul RajasekarⒸ,"['1 RUDF Paris Road (G)', '0 PUDS Anchor (O)']"
13,Round 1,WilliamⒸ,"['1 PUDS Legacy (G)', '0 USTC_Nirvik (O)']"
14,Round 1,Benedict DimacutacⒸ,"['1 RUDF-Shabash Bangla (O)', '0 PUDS Spurs (G)']"
15,Round 1,Tousif IslamⒸ,"['1 SUDS 71 (O)', '0 SUDS 52 (G)']"
16,Round 2,"Audrey LeeⒸ , Md Shifatul Ahsan Apurba","['1 SSMC (G)', '0 BUET A (O)']"
17,Round 2,Brendan WintersⒸ,"['1 BUET B (O)', '0 NSU A (G)']"
18,Round 2,"JyotirmoyⒸ , Narayan Sharma","['1 CMC (G)', '0 Skylark (O)']"
19,Round 2,"Tanibur Rahman TunanⒸ , Mushfiq US Salehin","['1 CU FBDA (G)', '0 CUSD (O)']"
20,Round 2,Nabil Muhammad MukhlisⒸ,"['1 CUDS A (G)', '0 KUET 1 (O)']"
21,Round 2,"Khalid AurnabⒸ , Benedict Dimacutac","['1 SUDS 52 (G)', '0 CUDS B (O)']"
22,Round 2,"Banun SabriⒸ , Tousif Islam","['1 DU A (G)', '0 DU B (O)']"
23,Round 2,"Jessica MusulinⒸ , Udhay Aman Chopra","['1 GLC (G)', ""0 Xavier's Mumbai 1 (O)""]"
24,Round 2,"Retno AnjaniⒸ , William","['1 How About No? (O)', '0 JUST KZF (G)']"
25,Round 2,"Christian Jester SalayoⒸ , Hasif Ahmed","['1 IBA-DU A (G)', '0 PUDS Legacy (O)']"
26,Round 2,Rahul RajasekarⒸ,"['1 IUB (O)', '0 USTC_Nirvik (G)']"
27,Round 2,Yash ChaturvediⒸ,"['1 JUDO Shangshaptok (O)', '0 PUDS Spurs (G)']"
28,Round 2,"CJ CarlosⒸ , Anoushka","['1 MIST A (O)', '0 SUDS 71 (G)']"
29,Round 2,"Syed Shadab TajwarⒸ , Gazi Mahtab , SouravⓉ","['1 Noiayeek Trimatrik (G)', '0 RUDF Paris Road (O)']"
30,Round 2,Kshitiz GargⒸ,"['1 RUDF-Shabash Bangla (G)', '0 Noiyaeek 2 (O)']"
31,Round 2,Ashit Kumar DuttaⒸ,"['1 Pinocchio (O)', '0 PUDS Anchor (G)']"
32,Round 3,"Rahul RajasekarⒸ , William","[""1 Xavier's Mumbai 1 (G)"", '0 BUET A (O)']"
33,Round 3,Banun SabriⒸ,"['1 BUET B (G)', '0 MIST A (O)']"
34,Round 3,"Syed Shadab TajwarⒸ , Anoushka","['1 CMC (G)', '0 PUDS Legacy (O)']"
35,Round 3,"JyotirmoyⒸ , Hasif Ahmed","['1 DU B (G)', '0 CU FBDA (O)']"
36,Round 3,Brendan WintersⒸ,"['1 CUDS A (O)', '0 JUDO Shangshaptok (G)']"
37,Round 3,"Khalid AurnabⒸ , Ashit Kumar Dutta , Gazi Mahtab","['1 CUDS B (G)', '0 JUST KZF (O)']"
38,Round 3,"Benedict DimacutacⒸ , Sourav","['1 KUET 1 (O)', '0 CUSD (G)']"
39,Round 3,Udai KamathⒸ,"['1 DU A (G)', '0 IBA-DU A (O)']"
40,Round 3,CJ CarlosⒸ,"['1 SSMC (O)', '0 GLC (G)']"
41,Round 3,"Shudipto AhmedⒸ , Udhay Aman Chopra","['1 How About No? (G)', '0 RUDF Paris Road (O)']"
42,Round 3,"Tanibur Rahman TunanⒸ , Tousif Islam","['1 IUB (O)', '0 Noiyaeek 2 (G)']"
43,Round 3,Jessica MusulinⒸ,"['1 Noiayeek Trimatrik (O)', '0 RUDF-Shabash Bangla (G)']"
44,Round 3,"Mushfiq US SalehinⒸ , Retno Anjani","['1 NSU A (G)', '0 SUDS 71 (O)']"
45,Round 3,"Audrey LeeⒸ , Nabil Muhammad Mukhlis","['1 Pinocchio (G)', '0 SUDS 52 (O)']"
46,Round 3,Christian Jester SalayoⒸ,"['1 PUDS Anchor (O)', '0 Skylark (G)']"
47,Round 3,"Narayan SharmaⒸ , Md Shifatul Ahsan Apurba","['1 PUDS Spurs (O)', '0 USTC_Nirvik (G)']"
48,Round 4,Mushfiq US SalehinⒸ,"['1 BUET A (G)', '0 SUDS 52 (O)']"
49,Round 4,Hasif AhmedⒸ,"['1 SSMC (G)', '0 BUET B (O)']"
50,Round 4,JyotirmoyⒸ,"['1 CMC (O)', '0 CUDS A (G)']"
51,Round 4,Gazi MahtabⒸ,"['1 RUDF Paris Road (G)', '0 CU FBDA (O)']"
52,Round 4,WilliamⒸ,"['1 SUDS 71 (G)', '0 CUDS B (O)']"
53,Round 4,Tazrin TonnyⒸ,"['1 JUST KZF (G)', '0 CUSD (O)']"
54,Round 4,Audrey LeeⒸ,"['1 Noiayeek Trimatrik (G)', '0 DU A (O)']"
55,Round 4,Jessica MusulinⒸ,"['1 DU B (O)', '0 How About No? (G)']"
56,Round 4,Banun SabriⒸ,"[""1 Xavier's Mumbai 1 (G)"", '0 GLC (O)']"
57,Round 4,Udhay Aman ChopraⒸ,"['1 IBA-DU A (G)', '0 NSU A (O)']"
58,Round 4,Narayan SharmaⒸ,"['1 IUB (G)', '0 RUDF-Shabash Bangla (O)']"
59,Round 4,Md Shifatul Ahsan ApurbaⒸ,"['1 JUDO Shangshaptok (O)', '0 KUET 1 (G)']"
60,Round 4,CJ CarlosⒸ,"['1 Pinocchio (O)', '0 MIST A (G)']"
61,Round 4,"SouravⒸ , Tasfia Afrin Faria","['1 PUDS Spurs (O)', '0 Noiyaeek 2 (G)']"
62,Round 4,Tousif IslamⒸ,"['1 PUDS Legacy (O)', '0 PUDS Anchor (G)']"
63,Round 4,Nabil Muhammad MukhlisⒸ,"['1 Skylark (O)', '0 USTC_Nirvik (G)']"
64,Quarterfinals,"Md Shifatul Ahsan ApurbaⒸ , Gazi Mahtab , Khalid Aurnab","['1 Pinocchio (O)', '0 BUET B (G)']"
65,Quarterfinals,"WilliamⒸ , Banun Sabri , Hasif Ahmed","['1 CMC (G)', '0 Noiayeek Trimatrik (O)']"
66,Quarterfinals,"Narayan SharmaⒸ , Nabil Muhammad Mukhlis , Retno Anjani","['1 DU A (G)', '0 SSMC (O)']"
67,Quarterfinals,"Tanibur Rahman TunanⒸ , Ashit Kumar Dutta , Tousif Islam","[""1 Xavier's Mumbai 1 (G)"", '0 IBA-DU A (O)']"
68,Semifinals,"JyotirmoyⒸ , Christian Jester Salayo , Rahul Rajasekar , Retno Anjani , Tanibur Rahman Tunan","[""1 Xavier's Mumbai 1 (O)"", '0 CMC (G)']"
69,Semifinals,"Audrey LeeⒸ , Md Shifatul Ahsan Apurba , Nabil Muhammad Mukhlis , Narayan Sharma , William","['1 Pinocchio (O)', '0 DU A (G)']"
