,Round Name,Panel,Rankings
0,ラウンド1,"Danesh AggarwalⒸ , Hishah Khalishah","['3 Business ft. Science (OG)', '2 POI Hazeru Hateru Made (CG)', '1 2350km (CO)', '0 The Vikings (OO)']"
1,ラウンド1,"Sneha DasⒸ , Riku Saito , nelle madera","['3 Edogawa Conan is so hot (OO)', '2 Anjo (OG)', '1 Capstone FG (CG)', '0 Johnouchi 1 (CO)']"
2,ラウンド1,"Sourodip PaulⒸ , Aditya Tripathi","['3 Beagle Democracy (OO)', '2 TH celebrates alcohol (CO)', '1 Fluffy cow (CG)', '0 Senzoku 1 (OG)']"
3,ラウンド1,"Takua BabaⒸ , Sneha Verma","['3 Camb VR (OO)', '2 Nerds A (OG)', '1 Kobe A (CG)', '0 Kin-gya (CO)']"
4,ラウンド1,"Enshia LiⒸ , Kenji Tate , Azriel PilartaⓉ","['3 The Geese (OG)', '2 Capstone DJ (OO)', ""1 We're in agreement (CG)"", '0 Ceiling gang (CO)']"
5,ラウンド1,"Jason LeeⒸ , Nusrat Charu , Samvid Singh RajwarⓉ","['3 Gambaruzo A (OO)', '2 WAD A (CO)', '1 ShibuKoma (OG)', '0 Capstone HY (CG)']"
6,ラウンド1,"Ralph LeeⒸ , AFREEN KHAN , Kaartikay Agarwal","['3 Cats vs Pandora’s Box vs Darkrai (CG)', '2 Capstone JP (CO)', '1 Korea Red (OG)', '0 JGU - A (OO)']"
7,ラウンド1,"PloopyⒸ , Eishan Deshwal","['3 Pandas love debate (CO)', '2 Utilitarian Idealist (CG)', '1 Capstone MK (OO)', '0 Floor gang (OG)']"
8,ラウンド1,"reedⒸ , Iqbal Maulana","['3 Capstone RH (CG)', '2 Giantriking (OO)', '1 CentiMeter (OG)', '0 You’re a debater, Harry (CO)']"
9,ラウンド1,"Sachit RamⒸ , Teguh Aris Munandar","['3 Hawai‘i A (CO)', '2 HDS 1 (OO)', '1 Kumbaya (OG)', '0 Capstone TJ (CG)']"
10,ラウンド1,"James CafferkyⒸ , Deeksha R , Shirish kumar","['3 Catspotting Society (OG)', '2 The battle of the trash heap (OO)', '1 Mood. (CO)', '0 Team Bannermen (CG)']"
